V1,NOR_A01_02,NOR_A03,NOR_B05_06,NOR_B07_08,NOR_B09,NOR_C10T12,NOR_C13T15,NOR_C16,NOR_C17_18,NOR_C19,NOR_C20,NOR_C21,NOR_C22,NOR_C23,NOR_C24,NOR_C25,NOR_C26,NOR_C27,NOR_C28,NOR_C29,NOR_C30,NOR_C31T33,NOR_D,NOR_E,NOR_F,NOR_G,NOR_H49,NOR_H50,NOR_H51,NOR_H52,NOR_H53,NOR_I,NOR_J58T60,NOR_J61,NOR_J62_63,NOR_K,NOR_L,NOR_M,NOR_N,NOR_O,NOR_P,NOR_Q,NOR_R,NOR_S,NOR_T
NOR_J61,8.7393,8.0626,13.5627,4.9075,27.514,22.1867,1.7326,5.3096,3.2015,3.9759,7.6003,3.4475,1.6319,4.3643,6.9054,7.1695,6.1629,5.0795,10.217,2.0563,7.3612,13.6496,20.4206,34.4707,91.9918,253.6832,194.3032,507.1437,12.7855,70.8109,7.7858,19.6605,46.1343,1534.4554,89.7815,116.4104,127.2931,261.6011,121.6137,143.0013,35.9515,89.7526,16.1172,24.767,0.0
NOR_J62_63,3.3604,14.4884,29.458,7.3542,25.6522,48.4884,3.7483,10.3392,6.6542,6.3548,16.3062,6.009,3.3541,8.9374,13.6479,14.8554,13.0751,10.7621,19.7898,4.4194,14.2173,28.16,104.447,77.2275,189.6366,701.2852,56.9074,48.8033,24.5284,391.8711,16.9576,43.6723,280.9151,265.648,1053.8877,1279.9259,275.7995,990.642,268.6044,669.9405,108.649,836.9772,47.6112,54.295,0.0
NOR_K,46.5925,116.0503,139.7958,30.4676,181.905,260.4983,12.9033,54.8979,42.9911,49.4609,78.2202,47.1857,19.5608,49.703,115.3465,84.6983,64.4692,59.951,88.2769,24.2118,85.1474,134.4056,80.7872,49.1906,665.0466,635.067,144.8512,818.8206,64.921,206.4442,24.9873,109.9608,122.6391,93.5851,293.5136,3053.3162,4642.2796,519.5605,238.186,1588.8575,162.023,407.4722,94.7238,177.9929,0.0
NOR_L,7.3609,0.5132,52.3517,24.8785,28.9115,139.8755,21.1193,41.031,38.2541,3.8184,17.591,3.6437,22.2278,29.4761,9.5423,112.8426,42.4652,41.0322,75.3353,18.661,60.2855,164.8037,33.2249,79.9614,584.5494,2966.6466,89.8267,45.0308,15.1149,184.8502,73.6194,689.3726,127.4749,97.9398,282.1169,353.7955,1481.604,646.2359,451.2998,943.7884,384.2358,677.0888,251.5903,254.9306,0.0
NOR_M,62.6169,222.4924,252.5781,39.4636,563.3684,97.9414,7.4822,22.0418,15.0162,13.8629,35.8792,12.7693,7.2157,19.0648,32.6787,32.3285,29.9572,23.488,53.8282,9.9071,31.5838,59.4916,115.2647,154.7326,4081.7915,1305.3162,125.7373,78.466,57.9811,322.2675,33.523,232.5997,172.0147,224.3336,611.6692,610.6681,613.206,2018.7976,658.7733,789.2503,187.8893,458.3171,124.3434,213.0855,0.0
NOR_N,11.2646,33.996,363.4011,62.8243,234.508,191.6605,10.559,37.5486,29.7505,15.7886,58.0754,14.8822,15.1136,47.6739,42.4301,67.5207,35.1833,43.0221,83.1783,13.539,52.696,129.6522,77.9311,201.3945,1479.3543,1219.4718,353.4607,656.1646,276.9088,426.993,82.7517,265.0364,217.0522,129.735,496.2332,375.1744,580.1692,1263.0761,835.5696,751.2365,317.4537,523.7934,128.0671,178.895,0.0
NOR_O,5.163,4.8841,25.6244,1.4553,7.2739,79.6998,5.5701,16.9885,19.5412,21.7428,44.7375,20.7794,7.3756,21.6425,48.0983,36.4053,42.0611,28.5268,42.7254,13.2838,33.1483,73.0101,6.2891,10.3056,529.5742,128.694,514.7179,179.1689,12.4838,127.373,3.4098,6.9473,60.2666,16.7658,176.0331,62.5672,50.785,269.3755,54.7923,427.1009,159.1949,336.1398,117.4347,143.0422,0.0
NOR_P,0.5251,0.5285,2.2485,0.2712,4.6365,8.1369,0.5213,1.801,1.9793,2.1042,4.4334,2.0423,0.7861,2.2488,4.9894,3.6614,4.0458,2.7683,4.2983,1.2227,3.4875,6.9753,0.7046,4.9288,42.4473,14.8262,2.0003,4.7725,1.5676,15.0478,0.1263,0.5411,7.4096,3.3009,24.7165,8.7529,7.1133,47.9853,10.9064,99.8345,76.8228,105.1702,54.3241,16.0117,0.0
NOR_Q,5.8003,4.2428,2.9346,0.6084,6.2191,10.0891,0.6255,18.9779,7.0372,1.6589,3.786,1.404,1.2259,2.6024,5.878,7.9623,8.6532,4.7965,8.1004,1.3775,14.1331,12.6645,0.8792,4.1016,67.8585,21.6465,5.1985,9.0627,1.8041,14.2782,0.645,1.7129,9.7809,1.9816,13.2449,6.8845,16.3973,31.7251,10.5102,81.3203,12.0482,40.6825,11.0255,11.3224,0.0
NOR_R,1.2314,2.3814,3.3554,0.9357,2.388,10.769,0.8162,2.1908,1.3003,2.4375,2.8568,1.966,0.7804,1.8333,3.3043,3.0792,2.6804,2.2146,3.6367,0.8939,3.1326,5.5998,2.4001,4.8176,22.2628,44.524,5.3841,8.4678,3.1962,12.3411,1.4151,7.1027,10.8688,2.2008,14.7945,8.3169,21.8897,38.2067,17.9727,38.1379,12.8239,24.6076,101.7699,9.057,0.0
NOR_S,7.3374,9.9023,6.1728,4.0148,7.4142,36.5347,4.2356,11.123,7.0172,6.8092,14.6812,6.1451,3.5642,8.9214,16.6725,14.2925,14.1525,10.3452,15.4534,4.3591,17.265,27.9123,7.864,11.2017,91.4007,83.2237,18.5774,18.2939,4.817,54.0949,3.9232,33.502,29.5073,7.1828,66.5002,29.0979,41.2086,129.7803,44.3729,165.6123,99.7526,345.0542,29.1032,75.5202,0.0
NOR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
