V1,UKR_A01_02,UKR_A03,UKR_B05_06,UKR_B07_08,UKR_B09,UKR_C10T12,UKR_C13T15,UKR_C16,UKR_C17_18,UKR_C19,UKR_C20,UKR_C21,UKR_C22,UKR_C23,UKR_C24,UKR_C25,UKR_C26,UKR_C27,UKR_C28,UKR_C29,UKR_C30,UKR_C31T33,UKR_D,UKR_E,UKR_F,UKR_G,UKR_H49,UKR_H50,UKR_H51,UKR_H52,UKR_H53,UKR_I,UKR_J58T60,UKR_J61,UKR_J62_63,UKR_K,UKR_L,UKR_M,UKR_N,UKR_O,UKR_P,UKR_Q,UKR_R,UKR_S,UKR_T
UKR_A01_02,6275.712,2.2725,3.4994,2.0581,0.8462,5153.229,17.2374,183.3882,149.2914,0.5801,40.4381,15.7415,0.3372,3.4333,1.2615,0.5081,0.0364,0.0875,0.7097,0.2496,0.7373,44.0844,39.2453,0.7216,5.6702,1688.7189,51.2845,19.4363,7.6562,25.3804,0.0644,96.5155,0.0912,0.0543,0.1297,1.0887,17.5382,8.2468,10.2566,69.7566,116.9155,24.8298,1.881,1.4208,0.0
UKR_A03,97.165,33.5026,0.0086,0.0051,0.0021,13.029,0.0412,0.478,0.3593,0.0014,0.0998,0.0396,0.0008,0.0085,0.0032,0.0013,0.0001,0.0002,0.0018,0.0006,0.0018,0.1106,0.0969,0.0056,0.0326,4.171,0.094,0.069,0.039,0.0581,0.0009,0.2411,0.0002,0.0001,0.0003,0.0,0.045,0.0206,0.0256,0.1722,1.6438,0.0613,0.0047,0.0035,0.0
UKR_B05_06,34.0968,0.0074,92.174,20.2116,9.9497,148.841,1.6411,7.2746,12.3881,819.9236,126.6197,2.6779,1.2727,154.1634,583.4795,6.1078,0.319,3.8643,7.8392,0.4689,2.5957,1.588,2409.306,4.273,4.9533,55.4766,292.4765,40.0807,29.905,74.3805,3.1096,3.0337,0.3394,0.7828,1.22,0.5404,2.4449,2.7354,19.1467,28.058,49.1455,14.6844,3.3211,2.3105,0.0
UKR_B07_08,4.9863,0.0011,15.692,92.844,16.1783,73.9553,0.5017,0.0921,0.2093,5.5676,33.1568,0.1635,1.0504,333.4119,1663.3455,2.1799,0.0581,0.4222,1.1906,0.1244,0.349,1.3082,0.8041,4.4569,307.5502,22.2549,46.5748,3.4178,6.03,23.3608,2.9979,1.0401,0.4573,0.0528,0.4035,0.8812,7.1932,3.3251,3.6221,0.0,0.3415,0.1248,0.8395,0.5718,0.0
UKR_B09,13.5523,0.0029,72.8185,283.1444,178.5332,125.2407,0.2358,0.3771,0.5488,14.2275,7.0257,0.2998,2.1784,191.5402,158.8584,3.5173,0.0167,0.2232,2.3999,0.2317,0.2157,0.9529,2.5844,7.8925,217.9572,45.303,137.5379,7.81,10.8467,52.0268,0.0,2.1822,0.0435,0.0,0.8695,0.3056,18.3572,5.7018,5.8727,0.0,0.8806,0.4351,0.6955,1.1128,0.0
UKR_C10T12,37.7769,0.0417,0.5933,0.5668,0.1468,1843.4493,0.2086,0.2506,0.4832,0.0397,2.7192,0.9583,0.0369,0.2711,0.2229,0.2106,0.0443,0.0685,0.2134,0.0735,0.1588,0.8606,0.7906,0.1729,0.245,91.7823,2.2133,0.9194,0.8938,1.1555,0.208,76.6875,0.9134,0.121,1.5731,0.0493,6.0138,26.3892,2.3898,12.8752,15.908,11.3924,0.7743,0.6859,0.0
UKR_C13T15,3.3084,0.0036,1.6992,1.9128,0.805,17.3624,125.1238,1.706,4.183,0.619,6.7116,2.4792,1.7146,1.9198,3.2496,2.2256,0.1509,0.4571,1.2957,0.6001,1.6335,23.1966,6.1239,0.8511,4.8733,116.1161,4.2933,0.9651,1.0428,2.2383,0.4153,6.8205,0.7784,0.3793,0.166,0.123,1.6973,2.784,2.476,15.9049,2.3626,6.7541,3.3044,3.4129,0.0
UKR_C16,23.6719,0.0258,2.3054,1.6565,0.5593,161.4397,1.3212,332.4647,34.6609,1.1512,7.976,6.9067,9.9817,22.5887,5.4763,8.3032,0.5715,1.7926,3.9386,0.8672,0.8545,61.3864,5.8726,2.5907,64.2589,60.3567,8.3001,1.3273,0.7514,7.4985,0.3656,5.8293,10.1866,0.4005,1.1634,0.7361,37.8793,5.0934,3.4832,46.4333,9.8909,3.2425,1.2168,6.541,0.0
UKR_C17_18,26.3118,0.0287,2.4422,2.0972,0.8134,553.1521,3.7769,37.2075,407.136,2.709,20.9474,48.6086,16.5624,28.1629,10.32,7.5361,1.7168,3.9238,4.6544,0.9226,0.8136,28.9798,7.9745,6.5019,4.3314,215.3064,24.7447,2.5247,4.3624,19.2169,3.1477,23.3229,129.4877,3.0837,12.0309,9.2978,51.3162,37.8395,16.2598,207.5352,48.0997,20.4268,7.6609,13.6814,0.0
UKR_C19,436.736,0.4812,18.8518,56.5502,15.9732,89.3085,2.7805,11.022,9.1837,34.0421,54.2675,4.757,9.2825,65.5271,514.7958,3.6002,0.2298,17.5521,3.8731,0.6951,2.3836,7.3476,48.5042,24.0116,126.0729,364.4748,328.522,45.4452,80.7173,32.7126,4.9616,1.7505,0.6972,1.5727,0.4591,2.0913,13.266,19.3307,17.5782,11.8079,5.6419,11.2194,1.6929,4.0877,0.0
