V1,AUT_A01_02,AUT_A03,AUT_B05_06,AUT_B07_08,AUT_B09,AUT_C10T12,AUT_C13T15,AUT_C16,AUT_C17_18,AUT_C19,AUT_C20,AUT_C21,AUT_C22,AUT_C23,AUT_C24,AUT_C25,AUT_C26,AUT_C27,AUT_C28,AUT_C29,AUT_C30,AUT_C31T33,AUT_D,AUT_E,AUT_F,AUT_G,AUT_H49,AUT_H50,AUT_H51,AUT_H52,AUT_H53,AUT_I,AUT_J58T60,AUT_J61,AUT_J62_63,AUT_K,AUT_L,AUT_M,AUT_N,AUT_O,AUT_P,AUT_Q,AUT_R,AUT_S,AUT_T,AUT_HFCE,AUT_NPISH,AUT_GGFC,AUT_GFCF,AUT_INVNT,AUT_DPABR
AUT_A01_02,1466.2512,0.1258,0.6564,1.2851,0.0354,2727.5239,6.0387,1053.9611,434.3571,2.0432,73.465,7.4661,22.1644,4.665,7.1724,8.9067,4.6069,4.417,8.729,4.1078,1.8618,18.3159,40.11,8.1597,159.1015,75.3593,14.1805,1.0011,1.7069,13.7576,0.9445,232.3716,6.1089,2.6815,5.8426,11.2478,72.1406,18.7143,47.3378,21.3456,10.98,33.0281,5.8727,5.1359,0.0,2440.5893,1.6726,199.8992,360.8046,130.4712,0.0
AUT_A03,0.0,1.5372,0.0,0.0,0.0,5.6358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0001,0.4465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5486,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0023,0.0,0.0,0.0,50.2179,0.0,0.0,0.0,1.1388,0.0
AUT_B05_06,1.306,0.0193,18.8232,2.462,0.1634,4.3534,0.622,1.4879,1.222,325.1978,5.7263,0.5613,0.848,1.5542,56.8861,1.7228,0.7876,1.5583,8.1719,4.6413,0.4871,1.9973,318.8834,0.7517,10.8201,5.6873,12.5502,0.0257,0.2909,1.5861,0.0764,1.8877,0.2124,0.2222,0.1702,0.2362,3.9663,1.7192,1.3802,0.7638,0.6465,2.0363,0.5611,0.4568,0.0,24.1907,0.0,1.5663,29.6907,14.863,0.0
AUT_B07_08,5.4306,0.0883,2.0199,220.3741,2.7918,6.394,0.0,1.1645,36.9393,0.0023,28.6688,0.1637,1.2495,377.5492,405.6978,1.0529,0.0961,3.5869,1.6023,0.0919,0.0279,2.1663,2.8265,6.1684,247.3434,2.4877,3.1283,0.002,0.0,6.5797,0.1066,0.3557,0.0261,0.0352,0.0,0.0,8.2652,4.6158,6.6102,25.227,0.9175,2.3341,0.52,0.3883,0.0,36.754,0.0,0.0,37.7366,27.1296,0.0
AUT_B09,0.0812,0.002,0.0178,1.4456,0.0823,0.0435,0.0,0.0218,0.6119,0.0,0.1961,0.0011,0.019,1.7478,2.7599,0.011,0.0002,0.0125,0.0204,0.0007,0.0002,0.0004,0.048,0.0557,1.376,0.0258,0.0247,0.0,0.0,0.0448,0.0007,0.0023,0.0001,0.0,0.0,0.0,0.0551,0.0314,0.0448,0.4819,0.0125,0.0145,0.0034,0.0003,0.0,0.0,0.0,0.0,1.1948,0.0,0.0
AUT_C10T12,364.0657,9.4566,0.04,0.0886,0.0019,2640.728,69.7441,1.3044,33.4366,0.418,109.0386,48.749,2.2821,1.6545,3.5619,1.7111,0.6953,1.2518,3.0885,1.346,0.2247,1.4932,1.5857,0.2588,3.5818,133.1678,40.973,15.205,14.4593,1.4951,0.1281,2158.1254,7.7199,0.5622,1.207,7.1107,0.8699,6.5335,18.1745,28.7528,60.8009,332.4392,21.0934,19.1794,0.0,10125.5266,0.0,1.1363,4.0207,376.6906,0.0
AUT_C13T15,11.3669,0.189,0.112,0.2678,0.0056,10.8663,273.4638,3.8378,18.2803,1.1614,6.6184,1.9894,35.1272,27.2073,7.7097,17.7276,9.5239,7.6721,13.2474,27.1808,3.6112,54.5881,3.2095,1.0644,26.7672,54.8084,3.6569,0.1523,0.6,5.0852,0.0965,13.1098,1.0426,0.4349,0.7395,5.9531,1.781,10.2593,10.2246,4.7448,2.2144,26.2009,3.5193,5.6653,0.0,1764.8656,0.0,3.2297,83.761,59.5298,0.0
AUT_C16,42.7007,0.5995,2.5004,9.3281,0.199,48.6837,4.8978,1679.881,66.8155,1.2031,22.9678,6.7753,31.8003,22.0245,32.381,108.8275,15.8092,25.7799,54.1888,17.923,7.164,343.8135,42.6618,6.4882,1219.3459,136.7163,11.4667,0.3271,1.6126,8.8745,1.1986,13.5517,2.6492,2.7776,9.9781,10.6093,20.925,36.6304,24.0125,55.9142,15.0973,38.4068,9.9266,5.5607,0.0,520.1466,1.9076,8.0913,1082.3656,115.4329,0.0
AUT_C17_18,8.3928,0.1284,0.2386,3.8071,0.0753,145.3506,6.9612,80.015,926.3094,1.6732,99.9176,23.8223,34.5928,20.631,16.492,29.0287,19.5909,17.0873,44.0242,14.4071,9.8806,30.3922,10.0748,7.1544,40.4689,257.719,15.2584,0.6638,2.3407,13.3406,4.5264,42.4715,768.3729,11.6372,52.4264,78.6441,22.8156,424.8226,61.9367,160.8739,41.5968,66.4075,23.6291,92.3817,0.0,391.1303,0.9963,11.67,101.5462,86.2794,0.0
AUT_C19,116.4566,0.7791,1.8285,8.9389,0.1935,21.9166,4.2942,18.5952,14.2854,47.1437,120.123,7.083,26.1304,43.8768,158.4481,13.2598,8.1202,18.9677,15.7327,19.5187,1.431,16.6484,53.9413,44.9203,214.4402,221.8539,326.5422,8.5186,155.3472,48.9168,5.538,109.0099,5.0094,4.6537,19.5016,13.0688,47.0318,65.4216,57.1134,72.4668,62.3662,119.5904,29.7461,34.4613,0.0,1289.1292,0.0226,4.4768,21.1467,54.6088,0.0
AUT_C20,111.4154,0.1349,3.5714,10.7727,0.2851,114.5242,55.8573,79.9068,161.8228,47.5363,1888.2628,111.4467,446.3416,84.99,138.0234,83.9127,123.8112,105.4692,59.6285,68.7493,7.7892,58.5299,18.6521,16.4408,191.986,111.6567,29.5169,0.7133,5.3375,12.191,2.5828,33.1882,5.9581,5.0593,16.4538,16.827,25.5006,93.0606,57.7746,25.3811,11.4184,94.5436,8.2754,25.826,0.0,983.8533,1.168,33.3848,264.7087,113.8691,0.0
AUT_C21,8.7165,0.0801,1.4278,4.2264,0.1207,28.315,10.2515,6.8256,5.8509,2.6224,22.3874,156.8308,6.5525,4.7994,27.0531,9.3279,10.8719,7.1213,15.1501,10.017,2.9901,13.712,9.702,4.6744,36.7883,53.937,16.3048,0.6212,3.324,4.8174,0.7659,22.9611,2.3217,3.4007,7.7884,7.1935,7.1479,64.8523,22.5655,16.0233,4.4519,364.332,3.6996,3.8562,0.0,643.1195,1.1869,925.6066,571.3649,47.9539,0.0
AUT_C22,40.9928,0.3129,0.6666,7.7649,0.1983,194.384,23.7238,52.3763,66.7839,3.8774,52.4041,33.2969,196.4296,45.6046,34.5294,74.8405,30.2936,104.4821,196.2077,115.1794,41.7723,86.7912,12.005,14.7254,480.9285,322.3713,37.5527,0.5894,2.8658,19.1304,1.3477,19.8054,22.1163,6.2436,21.9716,46.2701,21.2042,131.9994,42.4356,29.2766,13.9866,138.8488,10.2826,21.3746,0.0,624.2567,49.2748,16.8207,565.4918,67.6769,0.0
AUT_C23,24.1479,0.815,0.6757,6.5078,0.1912,70.5704,5.8005,61.6458,6.8793,2.2593,26.1495,25.2585,83.7315,525.132,53.7266,75.0391,27.742,77.6878,52.3367,34.4063,13.5214,56.3364,18.8095,17.8124,2037.02,87.3333,28.7199,0.3127,2.7544,13.6224,1.5167,55.3777,4.5132,3.5998,25.8946,15.7352,100.4365,56.7236,28.1634,64.3305,5.4054,38.4511,5.1563,8.6237,0.0,454.5709,14.3303,14.3795,833.8933,80.0344,0.0
AUT_C24,2.8143,0.0,0.0571,11.648,0.58,4.1427,0.0,14.7012,18.1453,0.3445,17.5873,3.6516,42.5874,42.8761,2946.4576,1679.5095,34.726,319.1229,646.8581,354.6076,76.2071,684.6623,6.3901,8.4776,515.889,16.4659,1.3253,0.0,0.0,2.5267,0.0,0.0055,0.6738,0.0,0.0,0.0,1.877,4.4609,0.0324,4.3582,3.2172,40.764,0.0949,2.2523,0.0,15.7104,0.0,0.0,146.0174,141.9531,0.0
AUT_C25,78.1446,0.4961,5.5421,6.2169,0.1885,343.98,10.0079,123.8046,19.0759,4.7262,32.274,16.6383,85.8071,68.2994,376.8309,1506.2591,90.9842,328.9238,1135.0373,366.6506,183.8508,364.0393,33.3021,15.9804,1088.2056,439.7752,45.4048,1.0294,8.9818,35.4412,1.583,76.4283,10.6853,9.7034,36.85,41.5127,58.005,128.5801,30.4877,81.3935,38.5488,73.2802,15.3765,18.6175,0.0,783.4971,0.7097,30.693,1390.3658,162.3322,0.0
AUT_C26,7.2289,0.0676,0.4125,1.2833,0.0459,11.8957,1.3345,3.8653,8.8006,1.4504,6.0413,3.315,5.1809,3.7104,7.2997,22.5334,454.2616,209.0926,83.9135,74.081,17.6061,128.2516,12.7946,4.685,67.9955,64.4144,12.5583,0.3374,5.5837,3.8874,0.5363,6.4541,18.7776,137.8031,97.76,15.4311,6.3899,67.3591,23.1761,11.1199,14.2227,61.8753,2.7053,8.4663,0.0,752.1945,1.1916,55.1269,1605.0296,67.4454,0.0
