V1,IND_A01_02,IND_A03,IND_B05_06,IND_B07_08,IND_B09,IND_C10T12,IND_C13T15,IND_C16,IND_C17_18,IND_C19,IND_C20,IND_C21,IND_C22,IND_C23,IND_C24,IND_C25,IND_C26,IND_C27,IND_C28,IND_C29,IND_C30,IND_C31T33,IND_D,IND_E,IND_F,IND_G,IND_H49,IND_H50,IND_H51,IND_H52,IND_H53,IND_I,IND_J58T60,IND_J61,IND_J62_63,IND_K,IND_L,IND_M,IND_N,IND_O,IND_P,IND_Q,IND_R,IND_S,IND_T,IND_HFCE,IND_NPISH,IND_GGFC,IND_GFCF,IND_INVNT,IND_DPABR
IND_A01_02,38274.9634,1612.907,0.0,0.0,0.5976,120878.2155,15508.2005,2015.4452,515.5951,0.202,8725.5566,364.0535,2908.6359,89.9933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.1187,1092.4758,0.0,23135.6967,0.0,4070.0295,0.0002,0.0,0.0,0.0,32431.4976,35.1713,0.0,0.0,0.0,0.0,0.0,0.0,13977.206,0.0,0.0,0.0,0.0,0.0,202517.9457,15.7426,0.0,1231.6705,18929.2899,0.0
IND_A03,0.0,830.3985,0.0,0.0,0.0011,4689.3257,0.0,0.0,0.0,0.0,0.0,1782.5137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.3154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24160.9197,3.7558,0.0,0.0,1483.6304,0.0
IND_B05_06,0.0,0.0,15.9287,14.3543,39.8688,207.1287,1023.2673,9.5384,475.9762,18816.6666,479.627,55.764,96.3198,4350.8761,8277.9055,17.341,0.1812,3.7672,63.4585,5.4347,3.0794,9.2493,5155.873,530.0858,0.0,0.0,243.5127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.048,0.0,0.0,0.0,1547.5795,0.0
IND_B07_08,0.0,276.4799,31.8696,26.2407,29.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1415.4277,14645.6798,2988.0486,0.0,0.0,0.0,0.0,0.0,74.7329,0.0,0.0,1783.3124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.9443,0.0,0.0,0.0,688.7155,0.0
IND_B09,218.8807,104.2095,2046.8353,1718.6894,1441.7657,91.2901,8.6479,1.6224,46.5648,3960.8084,294.0554,11.381,19.7554,919.7801,2230.8729,49.1119,1.0255,4.0295,25.3205,1.8442,3.4095,5.3018,865.8271,53.0257,3015.3744,31.161,208.8207,0.5266,3.9049,18.776,0.0298,3.3275,0.1216,0.0,0.2356,0.0282,90.5415,3.6232,12.4182,30.1674,1.9217,8.5008,1.0751,2.2157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_C10T12,3963.4159,28.6376,185.0082,267.5615,15.9353,15451.6589,2319.3369,65.5994,200.7729,288.5041,4915.8295,967.5854,1432.6713,192.9158,489.0819,51.9762,78.243,267.1446,174.9084,268.9543,80.7987,783.6509,14.7773,32.6217,982.5037,272.5305,71.3985,1.2844,23.8269,38.9428,5.0712,1397.5574,59.8199,91.5162,14.394,103.4775,27.3821,6.1142,24.8423,6025.5588,10.7086,599.9956,4.9347,73.2233,0.0,159072.7028,56.9419,36.13,295.8359,10351.702,0.0
IND_C13T15,836.641,23.2378,409.4041,362.4057,22.91,452.2146,31216.688,135.5853,261.8828,322.4744,4175.9628,852.5012,2222.1939,292.7161,538.1388,85.8343,144.0146,352.3795,451.7674,1039.0493,270.6157,1272.1314,400.0821,66.876,1445.9472,397.5885,1398.6005,31.1848,523.1144,233.476,14.3493,6.8134,82.5441,86.0178,30.7458,33.7553,59.2597,16.4208,103.1202,117.5718,34.0169,161.5822,9.6248,202.2035,0.0,73967.1086,17.9903,3.413,568.9876,6598.9092,0.0
IND_C16,422.2473,22.4899,773.8083,15.0273,6.3354,70.571,117.3643,1750.7898,467.8345,18.2101,81.1157,14.6974,32.6975,38.6947,86.3646,69.8472,21.5119,30.5148,97.0527,184.734,91.9326,2038.6019,40.1788,8.5419,883.8119,1174.3028,85.309,1.2111,19.1784,12.1827,2.1883,4.0848,21.2339,26.2328,9.1645,16.0402,13.8616,35.3198,222.2682,14.7965,9.4484,13.7917,1.9211,18.1643,0.0,2023.9944,1.641,0.0154,285.5747,407.7761,0.0
IND_C17_18,466.0606,26.3692,46.7614,91.96,14.2544,193.0631,234.2588,149.9705,6798.747,353.2078,137.271,386.7478,150.6616,85.9278,235.1939,32.4991,187.1841,49.3067,291.4065,51.4521,25.9221,134.9325,1153.1548,52.291,221.6425,481.9618,2330.9583,32.7168,456.2902,469.3395,118.5289,9.1319,2893.4493,626.228,201.6091,1253.5484,251.3797,188.9193,691.5955,73.9551,1115.4049,83.9118,50.9289,430.4427,0.0,5583.1761,11.0159,0.0,7.9677,2078.1974,0.0
IND_C19,4317.9728,49.7197,902.0185,921.8695,155.6633,1364.4381,4131.4529,107.7553,422.2509,3822.2186,5057.2134,1146.9279,2249.5911,1281.898,7375.0294,243.3689,197.0042,620.0428,2157.5772,715.2223,224.5412,1199.5434,6277.8105,1169.483,5572.1514,5659.7552,17443.6417,51.4649,731.3611,2008.4394,689.1424,196.2703,238.3031,3186.3362,292.5629,787.631,2062.1315,542.2572,4142.4321,29.1317,311.7454,41.5596,74.8755,1592.5467,0.0,16738.9189,1.3422,0.0,0.0,3584.3231,0.0
