V1,MMR_A01_02,MMR_A03,MMR_B05_06,MMR_B07_08,MMR_B09,MMR_C10T12,MMR_C13T15,MMR_C16,MMR_C17_18,MMR_C19,MMR_C20,MMR_C21,MMR_C22,MMR_C23,MMR_C24,MMR_C25,MMR_C26,MMR_C27,MMR_C28,MMR_C29,MMR_C30,MMR_C31T33,MMR_D,MMR_E,MMR_F,MMR_G,MMR_H49,MMR_H50,MMR_H51,MMR_H52,MMR_H53,MMR_I,MMR_J58T60,MMR_J61,MMR_J62_63,MMR_K,MMR_L,MMR_M,MMR_N,MMR_O,MMR_P,MMR_Q,MMR_R,MMR_S,MMR_T,MMR_HFCE,MMR_NPISH,MMR_GGFC,MMR_GFCF,MMR_INVNT,MMR_DPABR
MMR_H49,264.2757,64.5393,162.7645,74.0307,0.9796,87.0538,55.4786,19.4727,16.4089,36.5663,18.4514,5.1633,13.7337,41.4277,26.0332,11.772,13.518,9.5854,10.3666,19.3653,2.8354,22.4465,10.2208,3.0531,87.9337,239.7802,168.7225,12.5263,11.4092,63.9571,8.3643,23.719,9.2387,14.2764,4.4006,19.5568,11.3062,22.1514,16.4098,41.0502,23.2382,21.3014,5.4703,13.3455,0,769.8914,0.5768,260.3448,150.2753,1.2013,0.0
MMR_H50,29.9569,7.8608,100.4584,17.7745,0.2947,8.2392,22.5739,5.1794,4.7584,27.7216,7.4688,1.6879,5.0842,10.8058,8.9512,5.3076,6.1103,4.3557,5.0723,7.8792,2.0156,7.3204,2.3904,0.6863,22.4553,87.68,32.5208,189.4705,7.4775,45.3165,1.3354,3.9642,1.9892,6.3207,1.4281,3.8826,3.0702,6.6184,5.4076,11.1759,3.4244,5.9895,1.466,2.8914,0,230.3,0.1111,41.6496,94.2927,20.6725,0.0
MMR_H51,32.1089,5.912,30.821,8.5343,0.243,8.6348,24.6109,2.1572,3.8566,9.4197,6.0955,2.258,5.0939,5.8947,6.2741,4.7214,7.5309,4.5837,5.2339,7.3254,2.0379,8.0187,2.872,0.6343,25.311,41.6894,15.3678,4.4811,36.0982,15.9032,3.9771,4.8336,3.5107,8.2696,4.5284,17.3054,4.8789,17.5016,14.8232,24.451,8.2888,8.7532,2.5256,5.4518,0,352.3812,0.2473,24.2757,94.5571,24.8828,0.0
MMR_H52,47.0522,13.6552,32.3071,18.0147,0.2961,16.1813,12.4819,4.2603,3.8774,11.645,4.703,1.6128,3.2033,8.6371,5.9617,3.3029,4.4014,2.7889,3.0347,6.1266,0.8317,5.6407,2.368,0.8086,16.5678,143.1347,84.7165,55.6544,62.6581,98.5789,2.8869,4.2645,2.57,7.0221,1.413,3.8397,3.1107,7.4028,4.949,10.3593,2.5917,3.7458,1.2194,2.8184,0,103.8639,0.2106,178.2496,26.7742,1.0961,0.0
MMR_H53,0.9,0.1793,2.8473,0.7141,0.0176,0.2617,1.054,0.2604,0.493,0.3472,0.329,0.1978,0.2512,0.4285,0.2503,0.3006,0.6764,0.2859,0.376,0.4006,0.0919,0.7916,0.9079,0.2429,2.0917,19.8258,1.8237,0.3671,0.5684,2.9824,9.6542,0.3696,3.6511,13.6203,1.5485,17.2597,2.7486,6.1842,3.1034,10.2247,2.4341,2.4236,0.9682,2.1369,0,33.1867,0.0468,9.1467,2.3898,0.01,0.0
MMR_I,5.7186,1.5058,34.2132,8.2775,0.2797,2.5611,8.404,1.9168,2.4025,3.3999,2.7634,2.3932,2.4764,4.1756,2.5683,3.0916,6.6202,3.1145,3.6483,4.3289,0.9995,6.6218,4.4239,1.17,22.4158,77.5065,21.8586,5.226,25.8149,13.3218,1.4112,7.99,9.486,24.3046,10.6444,57.2556,14.1808,42.7491,31.5169,67.7374,34.7837,36.9062,10.738,18.4441,0,2409.8107,5.2099,235.2039,15.9512,0.0226,0.0
MMR_J58T60,1.3356,0.3045,2.8972,1.0447,0.0289,0.9113,2.2911,0.4112,2.4403,0.6726,0.6692,0.6673,0.4646,0.802,0.4373,0.5107,1.5377,0.7064,0.6724,0.8091,0.2291,1.6266,0.7611,0.2818,2.813,23.9943,1.833,0.3865,0.998,1.5712,0.4196,0.9481,60.1377,27.5723,5.5961,14.4854,4.1055,28.9624,4.9768,12.9698,14.6195,3.3864,4.7492,3.9742,0,135.8585,2.7422,132.7943,154.3622,0.0414,0.0
MMR_J61,7.2999,1.8892,31.8241,6.042,0.1711,1.8267,7.2003,1.9944,2.2766,2.3237,1.73,1.2942,1.8015,3.5739,1.812,2.8575,7.0052,2.3713,2.988,3.432,0.753,5.4267,4.2348,1.2345,20.1477,85.5228,14.8629,2.9546,4.3489,10.8381,3.0632,3.3085,21.3762,629.9444,20.5544,91.9041,20.4875,41.9066,22.4864,59.0652,16.125,19.1792,6.0531,13.8864,0,1133.3661,0.8426,135.0305,70.4629,0.1029,0.0
MMR_J62_63,1.2204,0.2882,4.1187,0.7763,0.0219,0.5234,1.2554,0.2428,0.4522,0.6455,0.3436,0.3419,0.264,0.494,0.3332,0.3507,1.6441,0.5145,0.46,0.7784,0.1442,0.8376,0.9978,0.2341,2.5182,11.6896,1.9525,0.3961,1.0262,1.4547,0.3861,0.3619,3.1574,17.1886,15.5576,21.4672,2.3369,7.6755,2.7029,8.3634,2.448,2.4387,0.927,1.7368,0,18.8661,0.155,10.2499,174.951,0.1428,0.0
MMR_K,32.7882,5.1989,112.3936,18.7212,0.5528,3.866,17.2729,5.4558,6.4906,11.4528,5.2768,3.0375,5.0599,9.5726,8.195,6.3483,12.2411,6.0854,6.9186,10.231,2.1726,11.7715,13.8595,2.8913,60.7496,140.739,36.1205,9.2829,11.2733,19.779,2.3854,5.3243,8.9607,40.4798,10.059,527.6037,361.4485,48.6532,27.574,66.2773,14.1746,18.9299,6.3806,14.7608,0,641.5279,4.202,281.2781,29.449,0.0605,0.0
MMR_L,3.6715,0.71,21.0103,4.7782,0.0984,1.588,10.0793,2.0832,2.8433,1.9129,1.2897,0.9995,1.9866,3.3957,1.6776,3.2355,4.8894,2.3164,2.4038,3.4622,0.849,7.4443,3.4354,1.1536,23.7328,177.4556,12.2072,2.119,3.3229,15.4128,2.0281,10.7977,8.928,41.447,10.7526,63.7971,92.399,42.9821,19.5624,36.6431,21.2877,22.2212,9.2278,20.8877,0,1862.7131,4.2366,87.3194,301.751,0.0365,0.0
MMR_M,7.818,0.9956,36.1969,7.3731,0.319,3.4088,7.5507,1.549,2.4695,3.8731,2.7017,3.6168,2.1132,3.809,2.4422,2.3825,7.1669,3.1932,3.0427,4.7736,0.9914,5.5892,3.8614,1.2504,26.3756,75.6594,6.8926,2.2144,3.0138,6.4169,0.7833,2.3141,10.445,32.3462,9.2863,50.4281,22.2631,58.4892,14.7811,20.5954,7.6012,9.291,4.6892,7.1893,0,25.1597,0.7227,40.6151,269.3199,0.4388,0.0
MMR_N,6.9683,1.2041,56.0561,10.3493,0.5132,2.7323,8.5329,2.286,3.4579,3.6531,2.5318,2.6974,3.2092,5.3645,2.7847,3.8611,8.7257,3.8166,4.209,6.8507,1.1263,8.0662,5.1094,1.8521,34.0765,68.8412,22.1635,7.7536,12.5217,17.3909,2.18,3.6126,9.8981,43.1543,11.3929,39.4548,24.7916,35.3632,46.7725,24.1687,12.6339,17.5625,5.5053,8.6727,0,46.4957,0.8877,51.4424,44.46,0.5586,0.0
MMR_O,2.3985,0.444,3.8276,1.9333,0.0307,0.6911,1.1331,0.5171,0.4901,0.6683,0.4151,0.2414,0.3377,0.8063,2.4758,0.4682,0.5772,0.32,0.3445,0.5376,0.121,0.7545,0.9071,0.599,3.682,8.7222,2.7011,0.9102,1.1052,2.1288,0.1671,0.5273,0.8833,3.1096,0.9234,4.2217,4.3042,3.3126,1.4893,7.8408,1.827,1.9877,0.6792,1.0539,0,39.7108,2.2063,3796.3519,36.4108,0.0399,0.0
MMR_P,0.6304,0.1258,1.7288,0.3291,0.0089,0.2016,0.3503,0.1148,0.1245,0.1881,0.1111,0.1326,0.0927,0.1771,0.1457,0.1131,0.3466,0.1402,0.1485,0.2139,0.0458,0.26,0.2252,0.0681,0.8525,2.3395,0.5414,0.1231,0.5086,0.3934,0.0524,0.135,0.4496,1.613,0.6863,2.587,0.6393,2.1118,0.9287,4.357,6.9638,1.195,0.3005,0.644,0,114.7394,9.6066,1924.1768,26.9353,0.0117,0.0
MMR_Q,1.386,0.3514,0.6912,0.2238,0.0083,0.4423,0.7228,0.0783,0.0986,0.1528,0.1082,0.1545,0.0934,0.1328,0.1059,0.0825,0.1926,0.0884,0.0939,0.14,0.0316,0.2371,0.1134,0.0439,0.6444,1.7263,0.5329,0.1152,0.1517,0.2746,0.0439,0.2607,0.1798,0.5671,0.2809,1.3308,0.4394,0.9345,0.5802,3.4751,1.1003,31.9127,0.2602,0.4806,0,180.4358,13.9014,2784.8716,5.6893,0.0134,0.0
MMR_R,0.7191,0.1509,0.6132,0.1985,0.0044,0.2869,0.4066,0.1134,0.1289,0.1169,0.0815,0.071,0.0816,0.1297,0.0783,0.0882,0.186,0.0911,0.0908,0.1588,0.0373,0.2402,0.1378,0.0578,0.7644,2.6673,0.4034,0.1671,0.1801,0.3327,0.0464,0.4514,5.0484,1.8507,0.4499,1.7667,0.8631,2.4171,1.1029,3.4309,2.0082,0.6324,12.5974,2.0226,0,120.8723,20.464,300.6009,10.6701,0.0398,0.0
MMR_S,3.8033,1.12,7.1161,2.6287,0.0741,1.1067,3.2738,0.6902,0.761,1.1278,0.6172,0.3695,0.6331,1.5566,0.7664,0.7167,1.7109,0.7183,0.6912,0.9894,0.233,1.8006,1.1055,0.5912,4.3246,18.1694,4.3317,0.7755,1.217,3.0937,0.3851,2.9525,3.0236,8.1647,3.3769,12.212,5.1657,9.5692,4.8266,12.1288,6.1822,18.4701,3.0563,22.5896,0,536.3556,92.1511,200.2524,58.4353,0.0105,0.0
MMR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
