V1,NOR_A01_02,NOR_A03,NOR_B05_06,NOR_B07_08,NOR_B09,NOR_C10T12,NOR_C13T15,NOR_C16,NOR_C17_18,NOR_C19,NOR_C20,NOR_C21,NOR_C22,NOR_C23,NOR_C24,NOR_C25,NOR_C26,NOR_C27,NOR_C28,NOR_C29,NOR_C30,NOR_C31T33,NOR_D,NOR_E,NOR_F,NOR_G,NOR_H49,NOR_H50,NOR_H51,NOR_H52,NOR_H53,NOR_I,NOR_J58T60,NOR_J61,NOR_J62_63,NOR_K,NOR_L,NOR_M,NOR_N,NOR_O,NOR_P,NOR_Q,NOR_R,NOR_S,NOR_T,NOR_HFCE,NOR_NPISH,NOR_GGFC,NOR_GFCF,NOR_INVNT,NOR_DPABR
NOR_A01_02,278.2525,3.0284,1.8354,0.4044,0.7931,2457.9154,11.7194,290.4845,61.7393,1.2451,46.5586,0.1866,1.0453,1.0291,0.615,0.946,0.5451,0.4671,0.6918,0.1647,0.6247,1.397,3.2731,0.9897,105.4618,45.5218,1.6637,0.5641,0.8984,4.3958,0.4406,70.8444,6.8093,1.905,5.1519,4.1008,1.9495,15.4743,22.3722,56.2764,8.6929,38.2467,4.8194,3.6926,0.0,1640.7586,0.0,0.4783,43.6736,193.3494,0.0
NOR_A03,3.3867,1146.2988,1.8321,0.338,0.1793,3260.9336,0.343,1.2986,0.3179,0.038,0.9699,0.6838,0.2719,0.7178,0.3876,0.7983,0.4264,0.4119,0.4547,0.1278,23.7903,1.0053,1.9819,0.5475,1.471,9.2177,0.266,9.0439,0.2277,2.6468,0.1278,86.5535,4.8935,0.4891,3.9917,2.4458,0.599,3.8627,2.5839,5.8744,4.88,39.8518,1.2052,0.179,0.0,180.1953,0.0,25.1019,194.6975,449.3723,0.0
NOR_B05_06,50.8493,63.1432,250.0129,59.0399,191.6588,44.9566,1.151,7.1638,7.0619,2445.3272,185.6775,37.6773,5.421,114.7484,104.232,15.2288,11.3916,4.9291,126.4145,5.3965,145.4746,65.4468,117.4643,46.9376,293.0931,310.0124,289.3205,788.9265,284.1617,186.06,11.7122,27.3856,28.0512,12.1977,26.243,8.2412,95.3513,71.6662,115.1666,66.9584,21.8094,69.1124,29.868,12.8565,0.0,756.9111,0.0,0.2857,1760.4184,529.8349,0.0
NOR_B07_08,6.199,4.5467,15.8067,14.4575,97.5842,8.5123,0.3217,5.6323,2.9989,0.4824,36.1277,24.1276,2.4889,223.212,15.2624,1.9582,1.0876,1.0024,6.1949,0.3352,23.0187,3.6975,0.3038,2.6664,205.9425,8.2747,5.5822,5.9025,0.8318,6.1678,0.3268,0.9096,0.7973,0.1989,1.2547,0.3955,2.8348,3.3162,4.3134,13.0051,0.5824,5.7801,6.5283,0.4952,0.0,53.8465,0.0,0.6098,488.1376,42.3363,0.0
NOR_B09,2.8249,31.0914,4422.3251,138.6478,2872.3912,10.5828,0.0443,0.549,5.6547,1638.4803,27.1346,0.3381,0.7639,71.7354,246.4284,8.1584,0.1248,0.2792,2.9514,0.0272,0.2524,2.2038,104.8392,5.8704,566.7439,8.2204,14.3549,10.5471,2.3563,6.4764,0.0142,0.5698,0.0261,0.0,0.0328,0.0072,14.0033,18.3286,3.4907,9.9739,0.5452,4.0297,0.7823,0.5374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOR_C10T12,778.57,1827.4432,13.7704,3.1611,5.777,6132.1859,10.0746,10.8194,1.862,1.1788,7.2288,4.3972,2.3509,4.5046,2.7965,6.6669,3.6546,3.4472,4.3126,0.9446,4.3826,9.7781,16.3943,3.4524,17.964,66.6089,2.6252,60.7361,0.957,19.9317,0.9924,1313.4199,38.8344,3.2515,33.0062,18.2221,4.7544,28.9749,22.468,76.4429,41.5834,328.8473,12.2621,0.7508,0.0,10701.8394,0.0,0.661,8.1283,1214.2871,0.0
NOR_C13T15,2.1139,11.077,7.2073,1.2011,3.0279,9.8257,34.5299,2.4849,1.1549,1.941,4.2126,0.3286,4.6147,1.973,5.3024,7.4269,1.7643,2.3269,7.1906,1.0482,3.9279,16.9593,3.2736,11.2062,63.3972,22.0361,2.155,1.8618,2.0908,5.0368,0.2355,5.5943,10.2188,0.9816,3.6107,0.7962,4.7513,13.7602,9.3735,8.0456,5.0363,47.8236,35.8245,12.5853,0.0,487.9804,0.0,0.755,25.6599,65.1112,0.0
NOR_C16,2.8081,6.3631,6.8918,1.5613,5.1683,12.8631,0.625,447.7216,28.7311,0.8214,5.3939,0.2155,1.1809,4.2053,2.2521,13.3027,1.5097,1.5419,4.4297,7.4349,5.2095,27.981,9.1464,16.5125,1773.0461,69.4089,3.0579,5.118,2.011,5.1471,0.5068,4.8554,4.2128,1.8456,3.1554,2.1702,372.4678,12.408,8.5131,4.4014,4.9378,13.5678,28.9808,10.8344,0.0,51.1844,0.7228,3.5351,149.0016,97.5446,0.0
NOR_C17_18,8.6873,14.7506,6.8503,2.1536,6.0606,81.6167,1.6405,8.1911,237.6641,9.4249,8.9264,1.9807,4.5281,5.2719,5.3712,3.2842,3.6288,6.9632,3.5367,0.5321,8.0941,5.9834,2.6293,17.0987,50.0702,391.9362,7.7093,7.8966,4.1051,9.5571,66.6275,22.6562,180.1693,3.2342,25.9482,25.3302,40.5475,232.2613,87.9257,65.2806,31.7835,33.6303,46.6491,31.2062,0.0,186.8566,0.9263,3.3888,42.6979,75.4318,0.0
NOR_C19,76.6517,80.1602,83.2807,59.5958,186.9806,71.4695,3.7078,9.38,6.0895,129.0411,27.975,19.5167,2.4619,116.3386,48.4299,14.5599,4.2409,5.3666,18.9577,1.9068,9.4918,19.3994,29.3065,51.6308,286.5035,285.9608,330.2105,1060.6466,359.093,110.2978,10.1736,33.3682,30.878,15.4097,20.2971,6.9076,122.7451,55.5502,51.1427,92.5814,29.8037,92.3132,31.1525,16.1818,0.0,1144.2858,19.4435,16.7106,139.6898,310.864,0.0
NOR_C20,69.0199,26.395,44.2123,24.4162,70.7097,60.8263,5.6761,40.111,79.408,16.533,508.7817,30.1747,112.3234,43.0711,76.944,23.9811,5.0241,6.6879,18.2968,20.0064,60.8321,36.0111,4.5866,23.4689,270.9509,142.7829,29.8695,44.7504,39.2678,15.4052,6.566,19.6792,18.7866,9.3243,12.6587,7.7217,57.371,54.3716,78.8629,16.2873,29.5305,59.1685,25.9493,27.9351,0.0,522.1934,7.5307,16.3336,183.1966,154.2639,0.0
NOR_C21,9.5291,41.0493,3.9642,3.2075,1.8556,26.0458,2.2656,0.6952,0.5429,65.1978,3.5839,16.2688,0.4064,0.8552,9.4598,0.9116,0.7347,0.7535,2.2838,0.2157,5.4809,1.8513,0.5859,4.5766,11.4651,8.14,1.6249,3.0671,1.5258,2.1557,0.2559,9.041,1.3613,1.1014,2.5206,0.7001,2.3913,11.0771,4.2626,6.5816,3.3517,405.1275,1.4766,1.1601,0.0,306.055,2.4392,255.1222,21.1334,49.6536,0.0
