V1,UKR_A01_02,UKR_A03,UKR_B05_06,UKR_B07_08,UKR_B09,UKR_C10T12,UKR_C13T15,UKR_C16,UKR_C17_18,UKR_C19,UKR_C20,UKR_C21,UKR_C22,UKR_C23,UKR_C24,UKR_C25,UKR_C26,UKR_C27,UKR_C28,UKR_C29,UKR_C30,UKR_C31T33,UKR_D,UKR_E,UKR_F,UKR_G,UKR_H49,UKR_H50,UKR_H51,UKR_H52,UKR_H53,UKR_I,UKR_J58T60,UKR_J61,UKR_J62_63,UKR_K,UKR_L,UKR_M,UKR_N,UKR_O,UKR_P,UKR_Q,UKR_R,UKR_S,UKR_T,UKR_HFCE,UKR_NPISH,UKR_GGFC,UKR_GFCF,UKR_INVNT,UKR_DPABR
UKR_A01_02,5620.0897,1.3799,8.7677,1.4956,0.6141,4614.4692,11.5915,166.2767,146.0397,0.25,35.5706,8.1955,0.6454,3.2,0.6666,0.3529,0.045,0.0726,0.8224,0.0688,0.8938,21.3544,5.1901,1.8672,6.0511,1064.5017,14.1989,9.9915,4.08,9.3656,0.0475,76.8444,0.0538,0.074,1.5613,0.8184,0.4244,5.727,13.4047,88.5274,84.3537,30.1738,1.8327,0.6863,0.0,6560.1137,0.0,186.3619,111.639,270.6075,0.0
UKR_A03,61.2378,14.2103,0.0118,0.002,0.0008,6.4142,0.0168,0.2264,0.1926,0.0003,0.0474,0.0111,0.0009,0.0043,0.0009,0.0005,0.0001,0.0001,0.0011,0.0001,0.0012,0.0287,0.0069,0.0079,0.0189,1.4514,0.0128,0.0169,0.0097,0.0097,0.0003,0.1038,0.0003,0.0001,0.0021,0.0,0.0006,0.0077,0.0179,0.1181,0.6378,0.0402,0.0024,0.0009,0.0,47.2318,0.0,0.0,0.0,7.6514,0.0
UKR_B05_06,98.6485,0.0144,168.98,45.6435,23.8615,338.3989,4.2893,16.5459,29.4067,1370.9661,288.7845,4.2435,2.8029,125.2279,895.2788,8.6221,0.7025,5.4281,20.3907,1.8431,10.5048,3.648,1993.0802,3.2431,12.5038,213.489,454.0086,112.8822,88.1534,165.1533,0.1453,7.6913,0.6806,1.6868,2.0324,0.5781,0.462,4.9888,30.6504,45.3131,65.5171,26.7724,10.7839,3.8409,0.0,379.5691,0.0,0.0,0.0,76.7456,0.0
UKR_B07_08,3.3056,0.0005,13.2317,59.0826,9.8336,23.185,0.1749,0.1089,0.2784,2.7813,15.5136,0.0323,0.4231,153.0194,1042.6456,1.7113,0.2119,0.2383,0.837,0.0611,0.1355,1.8657,0.3767,0.9201,194.9644,12.3482,24.2908,3.1096,4.7806,14.8252,1.5127,0.6495,0.2474,0.0529,0.3045,0.467,1.53,1.4258,6.943,0.0,0.0295,0.0594,0.236,0.4457,0.0,30.718,0.0,0.0,0.0,31.3952,0.0
UKR_B09,9.3223,0.0014,63.9516,187.107,120.8926,39.0226,0.0915,0.469,0.7628,7.1442,3.6598,0.0621,0.8961,90.6702,108.6438,2.9493,0.0642,0.1336,1.7392,0.1173,0.0885,1.6209,1.2114,1.6685,142.8067,25.3064,74.7175,8.0199,10.5448,36.9062,0.0,1.4207,0.026,0.0,0.6792,0.177,3.9901,2.9364,11.615,0.0,0.0771,0.2191,0.1959,0.9086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UKR_C10T12,161.146,0.1203,5.9762,0.8781,0.2286,2136.1043,0.4298,0.2758,0.5648,0.0813,4.4239,1.5602,0.1251,0.3401,2.5408,0.3791,0.0583,0.1336,0.6299,0.255,0.3987,1.1638,0.8961,0.197,0.6681,309.2399,4.2391,3.0977,3.056,2.6137,0.1598,77.44,0.5363,0.2573,6.2337,0.1182,9.4237,23.7756,2.3537,38.2247,37.0256,13.4886,1.0597,1.3634,0.0,14254.9242,21.3365,54.1353,0.0,327.5319,0.0
UKR_C13T15,3.954,0.0029,2.1696,1.6788,0.6764,9.5769,96.9412,3.0196,8.0052,0.5756,3.2132,0.9643,4.5606,1.29,2.942,1.5095,0.1392,0.4058,1.0234,0.7903,1.9171,23.8325,2.0911,0.4409,3.1362,34.7987,1.7978,0.7279,0.7947,1.2177,0.1026,4.88,0.4166,0.3674,0.5887,0.1385,2.0838,2.4392,1.7917,15.5692,2.3336,1.1555,3.4629,4.8816,0.0,812.4599,11.4321,26.4868,0.0,19.1174,0.0
UKR_C16,11.6391,0.0086,6.0089,0.7954,0.2604,119.2538,1.2824,274.3168,30.1675,0.3007,9.1353,4.7783,3.7688,18.3973,2.4278,6.424,0.35,2.5617,2.9428,1.1303,0.8235,27.157,1.9058,2.6227,65.5199,79.5618,3.3237,1.0308,0.6264,3.9127,0.4511,1.8996,6.7133,0.718,2.0965,0.9431,5.8497,4.981,1.2278,26.4284,4.9878,1.3798,1.1968,2.6211,0.0,102.2048,0.0,0.0,0.0,9.9808,0.0
UKR_C17_18,12.6109,0.0093,10.591,0.9988,0.3576,405.2821,3.9043,23.2286,282.7221,0.7015,23.7176,34.3922,6.184,21.2627,4.2954,5.4582,1.0004,5.244,3.3672,1.1678,0.8688,12.6483,2.5474,6.7246,4.528,288.2163,9.9788,1.8983,3.2427,10.1608,3.9387,7.2048,99.4745,5.6347,20.5017,11.7096,7.9147,36.288,5.6073,126.5369,24.5469,8.8075,7.4016,5.3373,0.0,304.1887,0.0,4.3277,0.0,25.884,0.0
UKR_C19,523.2465,0.39,29.7482,84.6581,23.1836,134.7517,2.9739,12.5929,11.5331,45.4522,62.781,0.3469,4.8509,66.2113,725.448,4.7397,0.8153,21.9705,3.9209,2.0278,4.147,10.1093,40.8233,22.578,153.3772,371.5849,301.1684,75.978,130.9899,38.2436,6.4903,5.1992,1.8782,7.3533,5.7603,3.2553,18.7241,25.0307,26.8918,26.6547,7.31,8.5409,2.3207,6.9513,0.0,550.7153,0.0,0.0,0.0,33.6097,0.0
