V1,PAK_A01_02,PAK_A03,PAK_B05_06,PAK_B07_08,PAK_B09,PAK_C10T12,PAK_C13T15,PAK_C16,PAK_C17_18,PAK_C19,PAK_C20,PAK_C21,PAK_C22,PAK_C23,PAK_C24,PAK_C25,PAK_C26,PAK_C27,PAK_C28,PAK_C29,PAK_C30,PAK_C31T33,PAK_D,PAK_E,PAK_F,PAK_G,PAK_H49,PAK_H50,PAK_H51,PAK_H52,PAK_H53,PAK_I,PAK_J58T60,PAK_J61,PAK_J62_63,PAK_K,PAK_L,PAK_M,PAK_N,PAK_O,PAK_P,PAK_Q,PAK_R,PAK_S,PAK_T,PAK_HFCE,PAK_NPISH,PAK_GGFC,PAK_GFCF,PAK_INVNT,PAK_DPABR
PAK_A01_02,27257.391,185.3421,63.9482,6.8291,4.3279,15245.1596,1719.1451,635.8012,282.5237,19.3348,265.4495,76.2124,110.4545,26.0396,15.6189,11.3598,14.8793,8.5401,13.2281,17.1242,5.0563,116.4498,136.023,22.253,175.8174,761.0572,70.5313,30.1594,27.2296,32.0118,4.5743,1955.8607,33.1378,47.3027,14.5258,48.641,56.1182,83.9409,101.512,371.6218,155.6331,273.6429,80.2609,128.068,0.0,62773.965,35.1153,292.2756,2891.1381,2918.2282,0.0
PAK_A03,42.2676,519.805,3.1059,0.2808,0.2217,339.0528,8.3252,0.7692,1.0606,1.0594,2.7797,0.8496,0.6657,0.8305,0.6754,0.4267,0.7586,0.412,0.6736,0.6999,0.2017,2.0935,2.4908,0.5761,3.2473,16.512,2.9451,2.2825,1.5632,1.1149,0.1684,172.5472,1.7305,2.1361,0.6592,1.4883,1.0826,2.7243,1.6279,9.3208,3.9096,7.8485,2.4697,3.0429,0.0,4839.4164,4.5267,5.8812,41.7415,77.3107,0.0
PAK_B05_06,64.2012,4.4871,628.5522,18.0665,13.0243,44.1124,41.1183,2.3181,21.7259,4854.6715,165.0652,4.7153,8.2216,89.8522,114.3661,6.6686,4.3368,2.6982,5.4737,4.537,1.8434,6.4745,3233.8494,10.0941,44.3811,53.2002,49.0446,8.5154,8.7358,10.2971,2.3947,22.3095,2.7979,5.0112,0.9717,5.8107,12.2614,13.3016,8.6357,32.9179,19.1323,19.7183,7.378,14.4573,0.0,97.2353,0.1484,0.9632,322.8297,164.6451,0.0
PAK_B07_08,16.4974,0.9317,19.144,32.1902,4.6826,4.9185,3.3764,0.2107,2.7582,10.2286,45.7198,1.3252,1.0214,172.4247,226.7693,4.1062,1.0565,1.8233,1.1709,0.8811,0.3274,3.658,28.9,2.4353,129.9862,3.7368,2.0592,0.1433,0.1294,1.0186,0.0401,1.0861,0.1713,0.3261,0.0775,0.2339,2.3407,1.1862,1.016,5.2714,0.6992,0.9451,0.5386,1.2106,0.0,89.7567,0.0391,0.3267,23.0161,7.9178,0.0
PAK_B09,3.4589,1.6293,199.4073,12.9572,14.1499,1.0393,0.5308,0.045,1.2181,51.5256,3.1245,0.0957,0.2476,9.295,10.8219,0.5811,0.0758,0.0619,0.2664,0.0698,0.0492,0.1646,29.6919,0.8783,20.0202,1.2745,2.3691,0.2615,0.2423,0.5483,0.0176,0.1784,0.0671,0.1117,0.0357,0.1044,0.9668,0.979,0.3294,1.3476,0.1436,0.3411,0.1208,0.1711,0.0,2.5401,0.0122,0.0826,200.9742,0.1133,0.0
PAK_C10T12,3331.8055,214.2174,8.4184,1.3445,0.5917,2001.4439,158.017,2.61,17.6543,6.7281,117.0125,32.7505,12.8207,7.2661,5.3446,3.4726,5.2915,3.3822,4.5647,4.6602,1.2616,12.1889,18.7143,6.2817,18.2947,232.6854,16.3459,18.1074,11.7603,10.8085,1.135,2144.6723,17.1449,14.2651,5.2084,16.2281,11.1029,27.512,21.5768,166.1173,122.5593,226.422,52.9117,61.4836,0.0,24136.0388,12.9508,24.4552,94.1506,240.7442,0.0
PAK_C13T15,83.695,18.4666,18.8373,1.8672,1.1585,39.2185,5293.9872,6.1655,25.8109,6.4709,21.222,7.0164,26.3254,11.7995,7.8577,9.2763,13.1166,7.7054,12.024,32.3488,5.0722,78.6824,21.6907,9.2895,45.6089,140.39,21.3856,6.1731,7.9081,8.119,2.9547,33.7443,13.8523,15.3602,3.9387,12.0082,7.6969,26.6227,22.6671,119.3295,25.3321,87.6283,22.4742,76.3621,0.0,12310.629,10.4464,16.1707,186.1058,401.0946,0.0
PAK_C16,78.9158,7.9934,8.2973,2.3594,0.4464,30.2762,42.8711,425.944,78.9962,1.0596,15.4824,2.1749,13.2201,29.7418,7.2696,13.7676,6.966,8.2533,9.1096,27.3142,12.2682,488.342,49.4333,4.0785,520.1767,80.0934,9.4231,1.6345,1.0408,7.7265,0.5565,9.8622,6.7124,3.7497,1.1783,3.0219,41.899,13.9282,10.0272,14.9616,10.5721,11.4461,7.3193,44.7817,0.0,581.0625,1.7483,1.1738,148.3139,37.2689,0.0
PAK_C17_18,89.173,12.4023,8.1651,1.7728,0.5454,265.0053,198.976,19.7797,1270.8329,3.0047,61.7899,38.1475,40.1849,49.1549,9.6299,11.5863,26.9,20.7327,14.4349,15.5994,2.8458,60.7553,22.7858,11.2595,30.7149,360.0996,22.01,4.633,5.1898,19.9369,12.1392,55.9026,458.4536,49.3827,22.2255,113.8214,22.0961,151.5343,65.4628,196.3141,137.6651,102.1695,40.1344,81.0687,0.0,1870.7593,3.2358,12.4612,108.1206,69.7005,0.0
PAK_C19,1049.9494,212.3403,166.8175,37.8617,17.1728,86.7617,166.3031,16.3974,39.271,423.1687,297.8666,17.3109,44.1565,132.7187,80.2966,21.5244,17.7946,17.1951,17.8478,24.469,7.7765,48.0486,437.943,61.9782,255.9805,566.9498,1491.5645,377.8005,608.0035,103.962,28.5324,60.4663,23.9371,51.2551,11.4753,58.9244,33.7765,83.2074,79.4238,343.0969,75.122,139.1873,33.6456,111.637,0.0,4542.0098,0.5511,5.6173,103.5595,154.114,0.0
PAK_C20,1376.8636,15.8651,68.462,15.6868,5.836,108.1198,862.2286,38.7567,185.0188,102.2876,1208.8968,130.3922,579.354,113.3399,54.4765,38.5493,63.6323,60.9176,32.6482,63.5763,15.335,114.8324,55.7395,35.2067,135.7476,144.669,27.3278,6.9298,8.2177,10.5759,1.4124,35.153,35.7198,8.114,3.6742,10.8285,33.0942,49.6595,38.8789,59.7987,37.8218,233.1317,17.2867,108.4531,0.0,1848.3914,2.8887,14.1554,91.6813,84.081,0.0
PAK_C21,66.7631,1.5488,1.9277,0.364,0.14,10.0006,14.4551,0.5645,2.3674,1.4391,18.6226,116.1348,6.1556,1.7768,1.0742,0.7067,1.6772,1.0844,1.0118,1.1694,0.3224,2.9067,1.8766,0.8801,3.4038,11.7813,1.7675,0.7434,0.8849,0.7349,0.1658,2.1766,1.3558,1.6086,0.5078,1.5405,0.8422,10.8591,1.4761,16.9121,4.6785,475.834,1.7712,4.5054,0.0,1254.7707,1.9312,142.3533,57.2259,12.3585,0.0
PAK_C22,138.9156,17.6226,23.387,5.0227,2.2373,193.0111,272.5421,12.862,66.8636,6.3219,84.5573,32.6016,320.5395,45.897,13.6331,27.4985,83.6905,67.2354,60.9884,176.3636,18.2058,122.8285,17.1313,19.74,288.2599,298.5642,116.5444,4.2327,6.5843,17.1896,3.612,29.5728,18.1717,14.627,4.757,12.0447,22.912,29.7292,20.8119,42.5814,14.6697,52.3522,9.2629,53.0774,0.0,1070.2979,0.1844,3.8357,163.2362,37.7468,0.0
PAK_C23,92.6294,4.8431,23.5359,8.879,3.7572,111.566,45.5186,14.8503,7.1106,4.4511,40.7174,21.7557,34.9148,802.1498,47.5502,30.4362,49.2488,36.3158,22.7696,63.1002,14.0913,50.3073,31.6902,16.8917,1942.1984,101.7873,16.1689,3.8487,2.8701,8.101,0.5584,32.7064,4.0686,9.3075,1.7398,5.03,85.5143,27.1185,11.8074,43.2087,19.4797,33.7617,6.8459,24.0029,0.0,1401.2982,0.3648,4.0832,300.1426,86.6001,0.0
PAK_C24,25.7019,2.0418,95.9666,6.1409,6.3947,23.0735,45.4224,8.8834,18.1066,4.6737,41.7106,5.5431,43.2527,82.1501,1873.5109,883.0184,223.4588,505.1663,484.9716,489.7168,111.515,312.2704,47.4131,45.0182,634.7975,81.4691,21.1584,4.1481,2.2878,10.5972,0.1598,2.4336,4.3609,5.6646,1.1104,2.6834,12.8633,25.2917,5.8908,12.0132,3.8677,7.3601,2.2173,27.6413,0.0,23.9011,0.1076,0.8868,472.8238,106.4402,0.0
PAK_C25,91.1896,11.7717,68.6936,6.3539,4.9001,80.9309,80.2027,15.6355,15.2312,6.0639,28.6021,6.3069,29.2169,36.4409,73.3368,236.9524,70.9857,69.8053,153.6327,177.8501,46.2015,114.6581,37.2504,15.3883,455.7349,98.1519,22.3868,6.0006,5.2228,14.6494,1.0116,15.2645,6.0766,15.324,3.2674,6.4021,19.4314,30.9036,17.0223,73.4081,13.9251,19.871,8.3459,45.8128,0.0,794.5807,1.2163,7.2972,1046.2007,33.504,0.0
PAK_C26,18.9589,2.8605,7.4069,0.7747,0.5762,7.9386,14.0831,0.9607,4.6939,1.7628,4.4202,1.9418,3.9273,3.3662,3.1723,4.9916,410.8472,35.7743,20.771,25.4306,7.1667,21.5964,17.841,3.7775,31.3493,56.7205,8.9524,2.7451,4.5431,4.9796,1.4027,5.1134,14.8187,117.3599,25.7474,13.6076,3.6547,31.7967,10.2808,40.1111,16.2373,61.8459,7.0477,76.8742,0.0,1332.7648,1.929,11.5427,1843.7988,26.1712,0.0
PAK_C27,19.8881,4.2853,9.4241,1.1615,0.7506,7.1978,14.8574,1.2076,3.82,1.5457,4.4698,1.2273,4.7161,5.5195,9.6663,11.214,109.7302,186.8194,47.5338,62.0899,12.2829,34.6459,74.8263,4.7956,161.7545,68.261,15.1232,3.2149,3.0723,6.0223,0.7712,7.161,6.2634,51.8366,5.4006,5.3632,8.2929,18.5836,9.1615,22.3429,7.118,13.5641,6.1357,50.0377,0.0,1007.9709,0.7311,1.7888,982.599,25.683,0.0
PAK_C28,91.4147,10.3556,57.4573,7.4664,4.3782,20.1037,38.7472,4.0603,13.0818,5.2926,11.7818,3.3851,9.3552,16.8278,14.4738,19.9157,29.8679,25.5535,167.1688,75.3995,19.5039,47.6792,42.8052,10.1452,98.7664,72.4871,20.1355,7.3193,7.9142,9.2994,0.9737,6.4837,5.035,13.6762,3.0632,5.4167,6.2203,17.7506,12.2911,29.0012,7.2842,15.916,4.2661,23.7938,0.0,431.5703,0.7816,2.6182,2648.3184,31.4394,0.0
PAK_C29,21.5582,2.2367,8.4668,1.2161,0.5446,7.7448,12.62,1.0923,2.4613,1.1627,3.5217,1.0444,5.3655,4.9807,24.469,10.9171,10.5534,14.0119,20.2766,561.7387,7.4412,19.487,6.1813,5.1731,20.9841,235.4047,73.2942,2.1161,3.5556,7.345,1.5071,2.7166,2.0103,5.547,1.1936,2.9543,2.3393,7.5734,9.6394,17.8079,3.5367,6.5849,2.3533,12.9442,0.0,2551.5883,0.9926,3.1807,2393.8992,44.3744,0.0
PAK_C30,1.5358,9.0297,1.3199,0.1602,0.0475,0.572,0.759,0.0867,0.1718,0.1017,0.2124,0.0755,0.2917,0.2328,0.3044,0.5343,1.0898,0.6948,1.5373,9.7721,92.7815,12.9921,0.805,0.2356,2.0908,6.815,16.9005,23.582,26.3571,2.2395,0.1473,0.3215,0.2013,0.4108,0.0987,0.2531,0.2088,0.907,1.4061,34.3428,0.3907,0.8659,0.5596,3.6834,0.0,296.2105,0.0211,3.6575,954.1054,6.2685,0.0
PAK_C31T33,173.7579,28.1506,63.9881,7.9114,4.2182,37.4497,151.1022,18.5085,24.6448,8.858,23.9365,9.4248,15.2105,25.7453,22.1605,17.1337,31.8296,15.2353,26.5328,28.9998,11.772,194.0559,85.3654,20.3165,100.8309,125.3989,68.8425,31.1363,56.2775,24.0886,3.869,31.2868,17.8072,50.9463,9.1064,37.6658,22.1893,45.9188,31.6999,114.143,52.0601,282.0185,37.12,55.6337,0.0,2441.9078,2.0128,39.6596,1214.4402,14.8996,0.0
