V1,JOR_A01_02,JOR_A03,JOR_B05_06,JOR_B07_08,JOR_B09,JOR_C10T12,JOR_C13T15,JOR_C16,JOR_C17_18,JOR_C19,JOR_C20,JOR_C21,JOR_C22,JOR_C23,JOR_C24,JOR_C25,JOR_C26,JOR_C27,JOR_C28,JOR_C29,JOR_C30,JOR_C31T33,JOR_D,JOR_E,JOR_F,JOR_G,JOR_H49,JOR_H50,JOR_H51,JOR_H52,JOR_H53,JOR_I,JOR_J58T60,JOR_J61,JOR_J62_63,JOR_K,JOR_L,JOR_M,JOR_N,JOR_O,JOR_P,JOR_Q,JOR_R,JOR_S,JOR_T,JOR_HFCE,JOR_NPISH,JOR_GGFC,JOR_GFCF,JOR_INVNT,JOR_DPABR
JOR_A01_02,238.746,0.2835,0.0003,0.0004,0.0002,1032.6657,0.171,35.155,0.0262,1.5365,8.5559,0.0842,2.9402,0.212,0.0171,0.0317,0.0,0.0001,0.0199,0.0152,0.0054,1.4178,0.1964,0.3175,0.4934,2.3772,0.0172,0.0,0.0,0.0364,0.0001,99.5522,0.0743,0.0009,0.0256,0.0291,0.4102,0.008,0.0269,10.7114,0.0005,0.4229,1.4456,1.0237,0.0,1094.3564,0.3258,0.037,183.3927,67.9,0.0
JOR_A03,0.0,0.1474,0.0,0.0,0.0,0.4172,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0002,0.001,0.0,0.0,0.0,0.0,0.0,1.1177,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0003,0.0,6.8906,0.0,0.0,0.0,0.1635,0.0
JOR_B05_06,0.002,0.0,0.817,0.0102,0.0026,1.872,0.0008,0.0052,0.1112,380.5027,0.0445,0.0985,0.0195,5.1744,0.1011,0.1152,0.0005,0.0024,0.0003,1.2358,0.2553,1.3456,49.2839,0.1844,0.4369,21.5328,8.6566,0.0258,0.9213,0.0848,0.0007,0.0514,0.716,0.9411,0.1852,2.503,0.0184,0.0003,0.0124,0.0002,0.0068,1.1176,0.0526,0.0428,0.0,72.7855,0.0006,0.0001,161.5205,10.6002,0.0
JOR_B07_08,0.0075,0.0,0.12,0.7558,0.0768,45.39,0.0158,0.1242,0.0025,0.0,9.3788,2.4186,0.1364,150.3476,0.006,0.0034,0.0006,0.0032,0.0006,0.0003,0.0001,0.0014,0.0,0.1969,79.0847,0.0264,0.0146,0.0,0.0,1.922,0.0026,0.0021,0.0,0.0001,0.0028,0.0,0.1467,0.0047,0.0117,1.7614,0.1248,0.0,0.3801,0.4363,0.0,3.4455,0.0,0.0,14.7289,14.2921,0.0
JOR_B09,0.0,0.0,61.6702,0.1986,11.9762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.724,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOR_C10T12,447.7573,1.0096,2.311,2.7831,0.6722,1515.8476,1.5087,0.1106,2.8301,1.1905,6.6716,1.4904,0.9322,0.7716,0.7696,18.6877,0.2149,0.7425,0.2587,0.1627,0.1919,7.4387,0.9764,2.5621,7.3115,8.0048,0.4915,0.0122,0.2683,0.5871,0.0133,198.374,0.8246,1.669,0.2898,0.5233,2.3687,0.2155,0.2327,31.3843,4.1395,29.2778,11.8695,1.1592,0.0,3549.8087,3.3232,0.1873,88.0673,154.1439,0.0
JOR_C13T15,1.6997,0.005,9.2622,16.3874,2.8922,0.9896,366.2719,0.1302,2.0418,1.1309,1.0762,3.1995,4.7686,0.1515,0.0274,0.0522,0.1826,0.5763,0.1674,0.451,0.0377,1.1214,0.0251,0.7036,2.021,4.9428,0.0534,0.0043,1.532,0.4421,0.0126,5.3471,0.0433,0.0212,0.0492,0.0687,0.209,0.1975,1.617,31.5219,4.4977,13.5014,1.524,0.2395,0.0,497.1372,1.3621,8.5788,4.6369,57.4283,0.0
JOR_C16,1.5139,0.0,0.0047,0.0079,0.0022,0.2366,2.8526,0.9044,6.3691,0.0055,0.3362,0.0275,0.1472,0.962,0.0925,0.4358,1.9959,7.4615,2.0963,2.04,0.5559,15.4645,0.0054,0.1281,34.7657,1.3728,0.016,0.0113,0.0027,0.0033,0.0003,0.1459,0.0822,0.084,0.022,0.0393,0.0059,0.1087,0.1507,1.468,0.8684,0.1508,0.2372,0.0658,0.0,11.4213,0.0082,0.1258,7.8421,1.6289,0.0
JOR_C17_18,2.6526,0.0018,0.0262,0.0159,0.0029,13.3321,0.8911,0.2334,266.8977,0.1834,9.0674,8.7519,13.7691,6.6548,2.3056,5.4368,0.2993,0.9903,0.1535,0.1689,0.0206,0.453,0.2787,2.6703,4.8054,13.6366,0.5742,0.006,0.616,0.6945,0.1228,25.3573,1.1474,0.711,0.1531,17.7912,1.2231,8.0032,1.1942,65.3943,37.3926,7.4223,1.2418,1.0724,0.0,210.8568,2.1889,10.544,25.0831,15.764,0.0
JOR_C19,66.3782,0.3224,3.0145,0.6636,0.0625,166.4246,12.5383,2.3988,13.3094,168.191,45.7398,8.245,10.0153,60.1496,13.4797,18.5935,1.6446,7.1434,1.8044,1.4315,0.2493,4.289,132.9269,17.5754,121.8822,105.582,529.7468,0.1299,224.9598,3.1853,0.6679,38.0762,4.6546,14.4292,2.5245,8.0474,4.6199,3.1828,6.7242,147.2838,80.4122,40.2554,7.8851,9.359,0.0,982.5696,15.0492,0.0,20.4541,91.607,0.0
JOR_C20,14.5341,0.0286,0.2647,0.2701,0.0383,2.3535,0.7474,0.1177,1.8792,0.1048,286.8253,18.4733,91.9036,4.8401,1.9745,2.3418,3.1321,13.5793,1.279,2.2347,0.2838,5.2319,0.1595,4.1409,17.9703,9.0531,0.2198,0.0011,0.0541,0.0649,0.0074,2.9007,0.0604,0.0649,0.0192,0.1277,3.1728,1.2359,0.0926,1.7345,1.7983,11.7027,0.4582,4.3794,0.0,184.1771,3.4286,3.6653,27.5699,16.7169,0.0
JOR_C21,15.4911,0.0062,0.0009,0.0005,0.0001,2.7205,0.2801,0.0255,0.1208,0.0012,16.9076,300.7677,1.8623,0.1004,0.0501,0.1273,0.6358,0.9523,0.236,0.2492,0.0542,1.0216,0.0139,2.3287,0.1753,9.4084,0.0106,0.0001,0.0668,0.0534,0.0026,0.9785,0.1161,0.1803,0.0513,0.6588,0.1539,0.196,0.1453,4.2661,0.7295,137.1506,0.5068,0.8057,0.0,248.5491,0.3982,9.6779,3.5135,20.1327,0.0
JOR_C22,24.947,0.0086,0.3089,0.3673,0.0726,39.9078,8.2928,0.0705,3.197,1.1825,46.9553,9.4248,66.2033,2.656,0.7739,1.5936,1.3089,5.799,0.9939,1.6836,0.1097,2.2496,4.3461,2.4984,97.4837,35.9218,13.1468,0.0005,0.6164,0.1957,0.0759,4.3755,0.9124,1.4385,0.3471,3.7699,3.6998,0.4838,0.6132,9.9776,4.7836,5.3282,0.8112,2.2045,0.0,180.6148,0.2024,1.9032,17.9663,12.4736,0.0
JOR_C23,3.537,0.0022,0.7077,0.8705,0.2151,14.4222,5.9177,0.5812,0.6276,2.1758,4.65,2.1977,3.1089,348.1597,2.0558,3.447,1.1612,3.7826,0.7846,0.8966,0.1558,1.9633,0.3184,10.0921,542.8183,104.3176,0.3334,0.0049,1.3609,0.8775,0.0508,5.7851,1.1784,3.9676,0.7049,8.7895,1.5497,3.0075,1.9658,6.2491,9.2139,5.5146,8.8211,15.305,0.0,272.5942,1.9271,1.8008,94.0307,24.4284,0.0
JOR_C24,2.4845,0.0017,0.1022,0.1463,0.0292,4.0123,0.1633,0.1986,0.4369,2.2146,7.7311,0.4726,5.9384,0.9789,144.5202,168.066,3.6316,33.7159,5.6702,5.5043,0.7591,7.2648,12.8263,4.535,104.7333,10.1572,0.564,0.0016,0.4299,2.5184,0.3756,0.1193,0.063,0.0295,0.0083,0.1626,0.1529,0.1046,0.1363,8.2151,0.0745,0.5285,0.405,1.4511,0.0,14.2565,0.0065,0.0025,101.4821,12.1114,0.0
JOR_C25,9.6172,0.0,2.8197,4.0303,0.8042,91.2279,6.2815,1.233,0.5503,2.2158,4.2559,9.4559,1.5017,5.0117,14.5049,66.5528,2.029,10.5462,2.9868,2.6727,0.4084,3.2095,7.203,36.6828,276.7876,7.6489,3.254,0.0616,11.8377,12.0284,1.1358,3.4817,0.0887,0.1676,0.048,0.3486,0.7285,0.2013,0.0694,23.7654,3.0088,4.6489,0.5618,8.4412,0.0,346.6369,0.1973,0.3204,87.6469,25.815,0.0
JOR_C26,0.6805,0.0006,0.1019,0.0,0.0,0.5903,0.0564,0.0037,0.0126,0.1625,0.0,0.0897,0.0008,0.012,0.0066,0.0332,0.0126,0.0091,0.0011,0.0013,0.0003,0.0017,0.0,0.6091,6.6257,1.9914,0.0001,0.0375,1.0774,0.1768,0.0277,0.0052,6.216,35.097,6.4741,0.0607,0.0152,7.8955,0.2258,0.0,0.0698,11.5701,2.0652,0.2481,0.0,10.014,0.0001,0.0161,27.5564,6.0639,0.0
JOR_C27,1.1453,0.0002,0.3031,0.3606,0.072,8.4018,0.5109,0.1108,0.0739,0.2754,0.6997,0.8903,0.1275,0.4477,2.1255,8.4389,6.4102,58.8547,3.5605,3.5363,0.4976,3.1713,28.5185,3.703,245.8916,1.5225,0.2887,0.0054,1.0582,1.0715,0.1016,0.3099,0.0287,0.0134,0.4125,0.0372,0.0702,0.0219,0.0219,20.8716,0.2476,0.5045,1.6723,1.2303,0.0,31.8976,0.0175,0.124,109.022,15.1673,0.0
JOR_C28,2.4273,0.0,0.184,0.0212,0.0039,6.7596,0.2774,0.0373,0.5538,2.0167,2.3161,0.7647,1.5831,3.4633,4.1065,13.3758,3.5164,11.3602,13.9485,6.2755,0.9745,6.4482,7.0328,2.8999,32.838,2.4019,0.9669,0.0001,0.7922,2.2193,0.0083,0.3525,0.0191,0.0419,0.009,6.0814,1.6164,0.0441,0.0703,4.4669,1.3183,1.8688,0.0975,0.4552,0.0,8.691,0.2825,2.9906,79.6448,12.1686,0.0
JOR_C29,0.5536,0.0004,0.0823,0.0497,0.0081,0.9107,2.0197,0.0062,0.0356,0.0109,0.0286,0.0687,0.0071,0.0249,0.142,0.3342,0.0883,0.1535,0.1005,0.8859,0.0217,0.124,0.0319,0.2443,5.9221,4.6953,5.1938,0.0619,3.9787,0.4581,0.0308,0.0173,0.0452,0.2242,0.035,0.056,0.0692,0.0013,0.1844,11.7095,0.1568,0.5754,0.0958,0.8102,0.0,98.8515,0.0009,3.637,42.3066,11.8236,0.0
JOR_C30,0.0,0.0,0.0,0.0,0.0,0.0054,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9894,0.0,0.0,0.0,0.0,0.0001,0.0618,0.1121,0.5609,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0012,0.0077,0.0,0.0001,0.0,0.026,0.019,0.0,0.407,0.0,0.2882,56.0377,0.6983,0.0
JOR_C31T33,1.1187,0.0008,0.0947,0.1215,0.0295,5.8268,24.8505,0.3146,1.9248,0.3213,2.2426,1.1586,1.8433,2.0924,0.4257,1.4588,0.9072,2.8386,0.7767,0.7211,0.2036,3.4262,1.2228,1.5144,20.5366,3.3807,1.1336,0.0965,0.6552,0.3039,0.0328,2.5265,0.825,2.6632,0.3396,2.7586,1.5487,0.742,0.7771,11.5087,9.5303,3.6854,2.1029,1.1099,0.0,72.9737,0.069,1.042,43.9153,2.473,0.0
JOR_D,42.1815,0.4626,2.6031,1.1256,0.2076,52.8518,13.3245,1.3711,12.5036,7.2847,48.9489,8.0105,39.1617,27.0281,15.6933,17.0965,1.9604,7.2271,1.515,1.6512,0.2794,2.9687,1.5729,169.7419,5.6396,174.1508,0.8632,0.0221,3.276,4.2557,0.5417,34.7652,2.6371,13.1663,1.2885,40.7517,16.801,3.2657,1.7708,101.5586,50.9301,79.4157,25.4472,15.3671,0.0,619.9374,4.5983,42.0943,0.8841,0.1634,0.0
JOR_E,45.0962,0.0078,0.8657,0.2369,0.0472,25.7218,4.2196,0.132,2.1511,2.7914,8.7914,2.5959,5.9678,13.5894,31.4364,26.1621,0.5193,1.6959,0.3874,0.3291,0.0921,0.7005,0.8972,0.8008,16.1651,58.9548,0.1863,0.0042,0.626,1.4067,0.1037,15.1593,0.9775,2.1484,0.4897,2.7075,23.1774,0.8828,0.4708,26.5488,24.939,24.3118,7.5042,8.2771,0.0,212.3414,3.9796,153.9542,9.8753,0.0,0.0
JOR_F,90.244,0.0002,0.0227,0.0009,0.0002,10.5994,3.9495,0.1584,1.4593,1.5693,2.4539,5.8211,3.6639,1.0078,1.1077,2.6865,0.3521,1.1676,0.3318,0.2839,0.0859,0.6294,0.2035,2.4279,816.425,63.9895,11.6598,0.5825,48.7866,2.533,0.2431,12.9437,0.7084,3.2042,0.4179,22.344,327.8765,1.7989,0.9559,45.0306,59.4877,41.4419,9.1488,6.5436,0.0,179.8046,8.2815,12.6235,3770.3604,0.0232,0.0
