V1,EST_A01_02,EST_A03,EST_B05_06,EST_B07_08,EST_B09,EST_C10T12,EST_C13T15,EST_C16,EST_C17_18,EST_C19,EST_C20,EST_C21,EST_C22,EST_C23,EST_C24,EST_C25,EST_C26,EST_C27,EST_C28,EST_C29,EST_C30,EST_C31T33,EST_D,EST_E,EST_F,EST_G,EST_H49,EST_H50,EST_H51,EST_H52,EST_H53,EST_I,EST_J58T60,EST_J61,EST_J62_63,EST_K,EST_L,EST_M,EST_N,EST_O,EST_P,EST_Q,EST_R,EST_S,EST_T,EST_HFCE,EST_NPISH,EST_GGFC,EST_GFCF,EST_INVNT,EST_DPABR
EST_A01_02,281.7674,0.0337,0.5053,0.5228,0.005,303.1236,2.8248,437.7754,27.8094,0.0906,0.3454,0.0276,0.3614,0.5397,0.0259,1.2686,0.4875,0.4013,0.3632,0.1785,0.1203,17.5485,5.398,1.1061,5.4197,13.8418,1.6003,1.1555,0.1637,3.5297,0.1704,16.6732,0.2667,0.2158,0.7865,0.9192,4.0724,6.1977,3.8878,2.6278,2.0696,1.1925,1.9568,0.7023,0.0,242.4507,0.6835,8.6171,25.2617,28.1955,0.0
EST_A03,0.1212,0.2286,0.0099,0.0051,0.0001,37.9762,0.0377,0.102,0.0157,0.0165,0.0184,0.001,0.0137,0.0309,0.0008,0.0458,0.0174,0.0206,0.0214,0.0094,0.0066,0.1082,0.0652,0.007,0.1467,0.7485,0.1434,0.0945,0.057,0.2217,0.0038,7.538,0.0285,0.0113,0.0273,0.0241,0.1673,0.2876,0.1607,0.1213,0.1659,0.1134,0.0918,0.0217,0.0,4.1511,0.0014,0.024,0.0588,1.0934,0.0
EST_B05_06,5.0369,0.005,2.3711,0.576,0.0124,0.1539,0.0076,0.0024,0.0078,47.9404,3.5857,0.9848,0.0022,2.5988,0.0217,0.0063,0.0009,0.0,0.0247,0.003,0.004,0.075,187.6458,0.2207,0.0783,0.0754,0.721,2.9592,0.0046,0.2781,0.0,0.0076,0.0071,0.0019,0.0,0.0,4.3795,0.3963,0.9525,0.1511,0.2753,0.0501,0.4138,0.0056,0.0,2.2669,0.0,0.0,0.2356,4.5471,0.0
EST_B07_08,1.6693,0.0601,1.4946,2.7467,0.0153,0.291,0.0388,0.4261,0.5125,0.0328,2.126,0.0054,0.1589,20.5344,0.0216,0.3976,0.0544,0.1394,0.2445,0.028,0.0352,0.1891,3.3787,0.2935,109.9182,0.7794,2.7526,1.7979,0.0125,0.6762,0.0098,0.068,0.0116,0.0232,0.1605,0.0283,3.1057,0.3895,0.6268,1.4103,0.1517,0.0833,0.2944,0.6857,0.0,1.7953,0.0,0.3553,5.2984,2.66,0.0
EST_B09,0.0001,0.0,0.0063,0.0033,0.0001,0.0001,0.0,0.0001,0.0001,0.0029,0.0003,0.0,0.0,0.0015,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0001,0.006,0.0001,0.0004,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EST_C10T12,53.012,0.7873,0.0435,0.0286,0.0006,144.3753,1.6985,0.0637,0.1872,0.0,6.0504,0.2069,0.0102,0.0368,0.0014,0.012,0.0009,0.0001,0.126,0.0051,0.001,4.5109,0.0284,0.0291,0.3912,5.1932,0.3463,0.0421,0.1495,0.2789,0.0,105.6972,0.651,0.0047,0.2795,0.3401,0.6999,5.0499,2.341,3.1623,10.3825,6.8561,3.2964,0.5429,0.0,1010.5286,0.0,0.8392,0.0,30.2995,0.0
EST_C13T15,1.7579,1.1492,0.4596,0.3389,0.0046,1.6427,63.8404,1.9773,1.1133,0.241,0.3624,0.0282,2.7865,0.9904,0.0247,2.284,0.8391,2.7958,0.9712,3.6291,0.2948,22.4498,0.5503,0.1203,5.463,6.0335,0.8882,0.1843,0.1156,1.7335,0.0876,3.8326,0.5884,0.0952,0.493,0.3988,1.7174,5.8611,7.9109,1.7872,0.8328,3.3071,3.3496,2.3035,0.0,211.8932,0.0039,0.1358,1.648,10.1518,0.0
EST_C16,10.7983,0.0662,0.9615,0.9739,0.0135,2.9566,1.9533,413.7565,2.0816,0.1961,0.7776,0.0239,2.9671,7.0964,0.1412,2.8644,1.5993,2.2609,1.4035,1.5378,1.8133,77.528,49.8828,0.8277,174.6759,16.3297,3.2168,0.4566,0.1589,11.2188,0.0626,0.9707,0.2423,0.3427,0.9564,0.7127,10.4554,5.4649,1.91,1.2723,0.473,0.949,0.8468,0.7992,0.0,19.4179,0.0503,1.7934,23.3103,30.264,0.0
EST_C17_18,3.6144,0.1292,0.7084,0.3356,0.0013,15.2409,4.4366,10.3129,46.7665,0.0783,1.0872,0.2852,1.2076,1.545,0.1361,1.5654,1.5288,1.088,1.2647,0.2263,0.1172,2.9136,0.3623,1.021,1.3382,31.7463,0.404,0.1945,0.0969,2.1243,1.2484,2.4726,39.564,4.2929,18.076,7.9646,1.2492,46.3009,11.3489,11.9218,3.9874,1.9844,2.9894,12.4626,0.0,21.5262,0.045,0.6611,0.8743,8.3432,0.0
EST_C19,13.2196,1.3105,2.2725,1.561,0.0173,1.6961,0.372,1.9621,0.5914,0.8945,1.1657,0.0201,0.4819,1.2162,0.0362,1.1206,0.0865,0.2461,0.3423,0.157,0.0531,1.9041,5.697,0.7044,18.7,7.1339,58.5706,10.3988,7.3682,4.5082,0.2692,0.4497,0.1195,0.2102,0.5375,0.4269,1.4498,1.8129,1.9713,3.0627,1.5155,1.0385,1.0969,0.6959,0.0,30.8411,0.0015,3.768,11.4124,1.5578,0.0
