V1,CHE_A01_02,CHE_A03,CHE_B05_06,CHE_B07_08,CHE_B09,CHE_C10T12,CHE_C13T15,CHE_C16,CHE_C17_18,CHE_C19,CHE_C20,CHE_C21,CHE_C22,CHE_C23,CHE_C24,CHE_C25,CHE_C26,CHE_C27,CHE_C28,CHE_C29,CHE_C30,CHE_C31T33,CHE_D,CHE_E,CHE_F,CHE_G,CHE_H49,CHE_H50,CHE_H51,CHE_H52,CHE_H53,CHE_I,CHE_J58T60,CHE_J61,CHE_J62_63,CHE_K,CHE_L,CHE_M,CHE_N,CHE_O,CHE_P,CHE_Q,CHE_R,CHE_S,CHE_T,CHE_HFCE,CHE_NPISH,CHE_GGFC,CHE_GFCF,CHE_INVNT,CHE_DPABR
CHE_A01_02,1125.882,0.7251,2.6934,0.1369,0.0168,5107.7,0.5802,106.9339,7.4396,4.4878,57.2939,61.9204,19.2749,1.3206,0.5094,2.3581,12.0024,2.9235,4.2006,0.4826,0.6482,11.6889,3.0936,1.7674,26.3677,269.1049,19.714,38.8776,5.6014,3.8517,0.541,256.1392,1.3334,1.715,3.2454,8.9092,6.8668,47.9502,47.7515,207.6845,5.9912,63.5389,9.1787,26.771,0.0,2929.8856,0.0,350.2556,580.715,-0.122,0.0
CHE_A03,0.0,4.3387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.3902,0.0,0.0,0.0,-11.9557,0.0
CHE_B05_06,1.304,0.0,96.1561,2.1664,0.1808,39.9735,0.1047,0.9133,12.8019,73.224,102.2234,23.2427,2.7923,70.9781,141.6235,1.0386,0.6439,0.9971,57.1666,0.6691,0.2298,9.3827,283.8426,3.0743,56.7454,113.9935,31.3341,27.1348,6.4581,6.7917,1.925,0.9829,1.0567,0.7765,2.0168,14.7992,0.2165,26.615,7.2675,91.4547,5.243,17.8572,2.6888,6.7882,0.0,117.6587,0.0,0.0,0.0,-0.0043,0.0
CHE_B07_08,0.5469,0.0,4.7559,1.1374,0.0412,9.5927,0.0272,0.278,3.8775,13.8458,93.88,8.5992,1.1083,69.961,65.5374,0.6004,0.2668,0.5161,32.7839,0.2157,0.1191,3.4192,18.2387,1.2936,94.0088,40.5061,8.8409,6.9303,1.2778,2.4862,0.4289,0.266,0.272,0.229,0.5546,2.8903,0.151,8.6131,2.5468,28.0353,1.0464,2.865,0.5233,1.4439,0.0,25.0547,0.0,0.0,0.0,0.0621,0.0
CHE_B09,0.08,0.0,3.7123,0.0946,0.0355,0.7635,0.0009,0.0528,0.5166,0.4405,2.1082,0.9269,0.0897,0.7066,0.3491,0.0536,0.0042,0.0106,2.935,0.0183,0.0044,0.3697,1.0818,0.1305,2.5202,2.7519,1.4653,0.5812,0.2438,0.2175,0.0994,0.0149,0.0015,0.0,0.0024,0.5785,0.0211,1.0929,0.1251,3.8714,0.1712,0.5689,0.035,0.1737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE_C10T12,1169.3769,0.0,1.4553,0.0866,0.0082,4797.528,31.354,9.0447,12.0057,42.1968,499.8517,317.9978,0.8937,1.7245,0.0696,3.5194,37.6617,25.1772,1.4496,0.1539,5.5843,7.4153,1.5156,21.0011,6.3202,557.3154,139.5956,391.3021,81.8964,5.3573,0.0829,3843.4469,5.3357,0.0033,0.1876,6.1284,1.5832,83.4123,12.956,1163.1343,75.0109,1298.2495,31.8297,80.3349,0.0,17372.8033,0.0,0.0,0.0,6.526,0.0
CHE_C13T15,15.2341,0.0,1.1549,0.0758,0.0049,27.3569,226.5605,1.505,20.3092,7.6702,49.2722,31.2873,6.0252,23.286,0.6169,3.475,73.4126,3.1487,15.18,8.6321,7.3479,59.5999,1.7743,8.0946,57.9314,82.8732,12.917,17.1767,4.4298,2.0237,4.2669,14.8773,4.5079,0.172,0.2534,1.1472,4.8205,19.2308,16.4383,59.5251,2.1391,27.6938,23.7319,25.2515,0.0,1586.502,0.0,18.7975,70.7923,-6.6496,0.0
CHE_C16,2.365,0.0038,23.6592,1.2177,0.0891,80.382,3.6982,1973.1086,6.7903,1.7727,16.5859,11.8537,34.6252,29.514,11.823,100.1228,266.092,71.0448,80.4425,4.9023,18.0869,772.5328,33.363,16.9342,2919.7251,296.7172,15.4632,18.9658,4.1705,30.5079,2.6442,3.1505,2.5928,6.8336,2.0579,10.7437,34.6534,76.5865,50.8145,103.768,26.2026,14.5888,17.9265,122.4388,0.0,128.307,0.0,0.1522,26.8416,0.1861,0.0
CHE_C17_18,7.2289,0.0004,1.6626,0.1616,0.0094,85.2041,5.5891,19.9683,422.0101,6.9843,101.7511,76.2416,45.6425,16.1813,4.5774,22.3196,141.8309,43.5702,36.8633,2.9652,3.9122,32.9496,37.2306,14.4358,24.5748,914.6531,20.9996,20.352,5.9145,25.4307,44.2814,21.4609,985.2166,58.962,10.8744,268.9658,12.7782,408.8085,200.5846,181.608,33.1775,48.9205,22.8262,52.1015,0.0,169.5122,0.0,0.0134,18.178,-1.6698,0.0
CHE_C19,26.6374,0.0,5.4659,0.5855,0.026,39.4351,5.2402,11.5077,12.318,85.2349,221.5932,123.2832,88.2463,27.3769,19.591,21.7785,46.3129,74.9716,17.8476,1.5467,2.9159,21.0042,76.3743,6.3484,87.7192,374.2712,159.6507,142.3527,61.9253,67.9101,7.5406,21.1009,2.1031,0.9704,2.0804,3.3658,1.2261,46.9832,24.438,53.9147,4.587,16.7929,9.928,12.5349,0.0,635.1047,0.0,0.0,0.0,-0.0801,0.0
