V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T,KAZ_HFCE,KAZ_NPISH,KAZ_GGFC,KAZ_GFCF,KAZ_INVNT,KAZ_DPABR
KAZ_A01_02,13019.2263,2.3374,11.6077,24.0418,1.4748,7051.3753,318.7982,58.148,18.3773,2.4999,33.3407,98.3685,1.2497,30.0853,12.0231,0.1119,0.0152,0.0338,0.0365,0.106,0.5791,2.7411,11.4425,5.134,16.9092,285.2391,21.4122,1.4439,0.9594,554.5931,0.3834,997.0207,3.1893,1.7678,2.2211,273.1714,422.3808,179.5447,155.8745,1928.8913,196.3255,311.8454,325.4892,483.1606,0.0,3246.3838,0.0,18.8032,380.1599,1250.4224,0.0
KAZ_A03,12.2994,0.0416,0.0607,0.0304,0.0049,8.1788,0.0022,0.0007,0.0013,0.4048,0.008,0.0024,0.004,0.0111,0.1166,0.0052,0.0004,0.0026,0.0148,0.0014,0.0017,0.0096,0.0176,0.5967,0.4833,0.0272,0.1764,0.0035,0.0076,0.1052,0.0007,5.1875,0.0012,0.0062,0.001,0.0064,0.0137,2.9475,18.08,56.1632,10.8746,19.8037,3.5436,0.0046,0.0,521.5159,0.0,1.7844,0.0307,104.6991,0.0
KAZ_B05_06,14.6669,1.3433,9038.9437,72.8316,81.8154,29.0059,0.2511,0.152,14.9811,5634.6356,1030.3286,5.8826,258.9777,184.4842,17.8229,0.0469,0.0057,5.8341,0.0143,0.6149,0.0293,38.9652,1802.8057,17.3152,40.2603,418.425,3622.7517,0.2455,0.2163,9.4637,13.7992,1.0545,0.4142,2.0808,0.1633,0.5906,19.4476,36.0314,14.7784,67.095,66.1159,10.3441,34.1656,1.1951,0.0,146.8358,0.0,0.0003,1.8597,3354.2519,0.0
KAZ_B07_08,1.9169,0.2541,177.9873,543.239,1.6708,0.789,0.04,0.3077,0.0258,10.5725,438.6625,0.072,0.4091,178.8045,10818.7336,1.1064,0.0718,0.0612,0.0731,0.0325,0.172,25.8855,3.1197,1.9835,435.9536,12.752,16.3369,0.082,4.0899,2.3322,0.3879,0.4615,0.121,1.0959,0.124,0.845,43.7673,93.2491,7.8842,3.6667,16.23,5.4226,1.1254,6.0863,0.0,4.32,0.0,0.0104,59.8968,176.4211,0.0
KAZ_B09,0.8158,0.0093,2220.8088,699.646,96.4569,0.3519,0.013,0.0076,0.0428,0.1561,0.2165,0.0382,0.0461,5.057,0.9004,0.0522,0.0059,0.0178,1.2352,0.0174,0.0158,0.1229,1.2909,0.7211,6.985,18.8024,3.7131,0.4917,0.2136,1.5107,0.0069,0.0926,0.1609,0.2453,0.1581,0.8355,1.2535,159.6389,2.3121,0.2598,0.7465,0.5534,2.0639,0.23,0.0,0.5237,0.0,0.0015,2.6656,0.2361,0.0
KAZ_C10T12,2542.7388,46.4859,45.951,15.5808,45.9196,2003.0654,6.4039,0.679,22.4899,1.9129,3.3856,40.9511,0.5096,3.4978,29.9528,0.6588,0.0456,0.2246,0.2221,0.6389,0.1479,3.1067,8.8242,2.1686,28.736,2443.1543,26.3806,0.1416,10.6908,72.5594,5.6851,1568.6082,78.4118,2.1101,43.211,9.0954,62.2989,303.8593,113.8061,199.1067,648.4071,853.4656,317.9708,173.0985,0.0,4709.6738,0.0,0.0145,3.8473,1383.4391,0.0
KAZ_C13T15,3.489,17.4254,20.3078,5.7829,1.3259,5.0828,95.5428,0.0195,1.1549,0.3394,1.2206,1.2732,5.8395,2.9221,1.4006,0.1284,0.0056,0.0565,0.8685,0.0174,0.1435,7.9612,2.719,1.8389,13.4536,58.7502,20.4099,0.7321,14.8359,11.242,8.8185,21.1321,2.4721,1.3374,1.7037,3.3444,2.4091,61.8071,69.7162,25.4374,30.9321,132.7084,90.4474,33.8484,0.0,112.2746,0.0,0.0359,6.7354,23.804,0.0
KAZ_C16,1.2013,0.2002,1.1555,0.1539,13.9441,0.4148,0.027,0.4275,0.0153,0.0039,0.0133,0.0233,0.3633,0.423,0.3162,0.1053,0.0003,0.0025,0.0045,0.0676,0.9809,19.3359,0.4123,0.4375,12.2577,21.4327,1.6133,0.0017,2.5791,2.1637,0.2499,3.1861,0.008,0.4465,0.0048,0.1769,34.9133,11.4544,0.9161,1.1855,0.6835,0.1401,2.9133,3.2139,0.0,0.7302,0.0,0.0026,0.1963,0.8838,0.0
KAZ_C17_18,1.0663,0.9108,3.7964,0.3946,0.2305,18.5216,0.0567,0.8329,17.2117,0.0136,0.207,3.5983,0.0968,0.6551,2.0625,0.0055,0.0442,0.0076,0.0028,0.1794,0.0026,0.1193,2.0338,0.0226,52.6185,260.1434,5.9744,0.1244,0.4422,6.5326,31.0325,18.3037,57.764,3.4927,31.8639,13.9888,18.2803,74.8817,17.3283,61.8037,101.3038,18.804,16.3185,7.1115,0.0,7.8316,0.0,0.0272,0.0533,7.0412,0.0
KAZ_C19,120.5915,143.8891,362.5349,393.0963,5.0816,8.5401,0.401,7.4476,0.0708,0.4349,4.4151,2.9677,0.0144,60.5485,784.3957,0.0229,0.0407,0.019,0.0101,0.0403,0.011,26.3049,160.801,4.716,81.9966,868.8192,3286.9154,9.2861,193.8113,63.8787,1.9069,0.9119,3.8611,2.6463,4.2531,36.3463,398.0907,61.4448,35.9504,251.1722,37.1129,207.1042,26.7743,99.1852,0.0,88.7464,0.0,0.0015,0.5533,147.3259,0.0
