V1,CZE_A01_02,CZE_A03,CZE_B05_06,CZE_B07_08,CZE_B09,CZE_C10T12,CZE_C13T15,CZE_C16,CZE_C17_18,CZE_C19,CZE_C20,CZE_C21,CZE_C22,CZE_C23,CZE_C24,CZE_C25,CZE_C26,CZE_C27,CZE_C28,CZE_C29,CZE_C30,CZE_C31T33,CZE_D,CZE_E,CZE_F,CZE_G,CZE_H49,CZE_H50,CZE_H51,CZE_H52,CZE_H53,CZE_I,CZE_J58T60,CZE_J61,CZE_J62_63,CZE_K,CZE_L,CZE_M,CZE_N,CZE_O,CZE_P,CZE_Q,CZE_R,CZE_S,CZE_T,CZE_HFCE,CZE_NPISH,CZE_GGFC,CZE_GFCF,CZE_INVNT,CZE_DPABR
CZE_A01_02,1135.8263,1.2243,3.069,6.3322,0.9049,3155.8926,112.2022,754.1503,104.1124,7.8073,25.759,17.665,16.8945,2.8893,9.778,3.9766,7.3769,2.3841,5.7071,25.0624,3.1337,20.261,131.0556,10.6382,20.9151,329.815,11.3097,0.1619,0.7085,4.385,0.2322,324.1672,3.662,1.4037,1.4416,5.3015,22.8433,28.9603,45.2726,7.7526,2.4149,19.1552,35.6558,6.1518,0.0,2326.3389,6.3866,12.9234,193.639,94.1751,0.0
CZE_A03,1.39,0.0771,0.0057,0.0056,0.0005,6.4768,0.163,0.0195,0.0219,0.013,0.0702,0.0313,0.0687,0.0217,0.016,0.0356,0.0746,0.1146,0.0833,0.1216,0.0078,0.0538,0.1735,0.0744,0.1143,0.6242,0.0777,0.0007,0.0063,0.0396,0.0021,0.5071,0.0339,0.0116,0.0736,0.0442,0.1284,0.3221,0.1323,0.1812,0.0667,0.1195,0.1213,0.3439,0.0,16.579,0.0386,0.1551,0.5469,0.2368,0.0
CZE_B05_06,5.8422,0.0584,6.7903,1.8747,1.5288,8.9735,2.2072,1.2571,7.0927,57.6049,34.8298,0.6386,3.8278,20.1941,244.8757,3.7913,3.9725,1.663,6.6482,7.9659,0.3911,1.5884,648.2724,1.6689,4.2304,8.7426,6.8495,0.0276,0.2759,6.4499,0.3308,2.4577,0.833,0.6966,0.6545,1.4453,15.9457,4.8424,3.1757,11.0654,7.6082,5.8405,1.8067,1.4701,0.0,274.8484,0.0199,1.7965,2.5176,14.0262,0.0
CZE_B07_08,7.0751,0.1748,0.7606,30.4221,0.0625,4.9372,0.7153,0.5007,1.0567,0.6561,25.0256,0.307,3.2472,113.6725,113.4078,3.7659,3.14,4.0254,4.8661,3.9188,0.9411,2.6722,5.9451,14.3453,205.0415,9.6493,4.746,0.0623,0.0725,5.7196,0.0958,0.6101,0.2252,0.1006,0.1316,0.3489,5.0188,6.1964,6.0566,2.1639,0.5174,1.1839,0.8195,0.7583,0.0,34.605,0.0364,1.1335,21.4225,7.3377,0.0
CZE_B09,27.6459,0.2191,10.6249,0.1032,13.7416,0.3347,0.0443,0.1489,0.1403,2.1464,2.7504,0.1949,1.0833,1.0438,17.9539,0.554,0.0928,0.1562,0.2914,1.5562,0.05,0.232,21.9729,0.0314,1.2292,0.5977,5.4174,0.0033,0.0351,1.1612,0.015,0.1043,0.0103,0.0091,0.0038,0.0122,0.2179,24.8491,2.5529,0.1192,0.1437,0.437,0.0411,0.0701,0.0,1.2388,0.0004,0.1998,0.9493,0.1335,0.0
CZE_C10T12,675.4886,2.1061,1.8811,1.4,0.1258,1125.8,12.6485,6.8791,10.3269,3.1269,55.6201,7.9425,60.9065,12.0734,13.2593,26.6913,28.1103,14.9297,25.0301,61.5325,2.7063,13.634,20.3984,8.8332,20.821,213.2925,16.1132,0.4629,3.991,7.3809,0.635,531.7843,6.7135,2.5837,6.3696,9.1876,40.1177,35.8059,40.9817,42.8282,40.7919,70.3165,14.5504,13.913,0.0,7358.045,8.0885,12.0464,56.3177,122.736,0.0
CZE_C13T15,26.1673,0.1164,3.8816,0.7468,0.0932,10.3683,283.4278,2.0232,11.9507,0.825,14.4403,34.2111,76.6365,4.8183,3.8785,18.4265,12.1418,14.1384,27.4694,365.1878,5.7469,45.0579,16.3512,9.6407,18.9616,81.2501,12.6203,0.1051,0.2416,2.2583,1.3924,11.4548,15.4541,0.7167,1.6886,1.9897,19.4609,16.8817,36.338,10.1911,3.8274,54.7301,14.1888,8.8985,0.0,710.1486,0.684,12.6939,18.5922,26.2693,0.0
CZE_C16,49.8458,0.0649,5.0617,2.0448,0.0667,14.4479,1.5764,577.5123,135.1262,1.1909,10.6629,0.7936,34.8624,37.2043,119.4384,32.9222,20.0411,8.324,23.5874,265.9852,4.8044,269.2192,33.8179,11.4801,145.9439,63.9469,6.5451,0.0468,0.4883,10.958,1.2922,18.1389,10.2954,1.4886,6.5028,3.4376,381.5873,38.0472,17.6258,2.3369,6.4406,9.2591,3.6812,10.8782,0.0,171.1881,0.1337,2.5849,19.5435,30.9596,0.0
CZE_C17_18,8.913,0.0772,0.6058,1.0727,0.0819,108.8699,14.2696,27.9422,906.132,0.6453,37.642,22.0286,41.8313,28.3105,13.6829,20.4682,35.7343,25.6907,27.7293,68.8456,1.2346,39.4738,18.7097,6.7825,24.4076,147.6372,7.9726,0.5534,0.8672,14.7481,2.0547,35.8748,323.5727,2.1443,6.9357,85.1507,52.6574,485.3334,109.6093,30.0651,46.3579,29.1988,23.2918,31.7911,0.0,238.5392,0.403,10.2701,11.0303,34.534,0.0
CZE_C19,211.5057,0.2497,4.298,4.1385,1.2901,30.3931,9.8978,26.3974,10.2049,21.1265,232.9298,1.9483,62.6247,40.5458,51.9634,46.0566,10.4647,17.706,38.7865,119.9202,3.2876,35.4025,32.6519,69.2193,272.6795,453.1444,856.4054,5.8431,117.7645,49.5577,11.9407,12.3774,4.7385,7.2834,11.2581,23.2465,105.3306,50.2774,83.2685,65.0106,7.9014,19.9168,9.7695,9.9246,0.0,297.8086,0.0004,1.1678,0.3046,13.2634,0.0
CZE_C20,163.7773,0.5362,10.1167,11.5034,0.7643,62.8293,72.6946,58.0414,73.2253,30.5472,693.2035,33.1336,971.1099,85.5197,47.2102,69.3878,101.5673,132.7875,83.0051,225.1783,7.47,87.8066,55.0974,20.3932,54.6889,83.734,54.0687,0.4832,7.2706,26.5041,1.2263,4.1585,2.6931,1.0108,1.853,3.6747,45.9323,34.0846,26.0961,12.627,7.4427,34.6681,2.9152,11.0738,0.0,531.3611,0.0939,23.9212,43.1023,43.9333,0.0
CZE_C21,10.1174,0.0322,0.3261,0.2261,0.0158,7.9052,3.4172,1.1531,3.8777,0.4768,10.3519,70.4574,17.6986,1.9059,1.5363,3.52,4.4337,3.1913,3.5346,31.6436,0.6807,2.6469,1.5566,3.0066,3.9398,49.7225,1.1399,0.0216,0.143,0.3623,0.0616,1.8015,0.9811,0.2349,0.781,0.9337,3.6198,34.4876,2.727,3.6934,0.6801,442.2762,3.3906,7.3054,0.0,338.0713,0.067,381.3046,45.4892,16.6251,0.0
CZE_C22,28.8306,0.1624,11.9263,9.5941,0.8557,81.6453,16.7356,13.7988,25.7419,1.0457,17.5933,9.1674,895.2664,39.1207,21.4474,317.7124,324.8305,140.7907,137.7229,2218.552,85.1372,105.0919,11.0198,15.4518,214.4557,114.9936,36.0396,0.0614,0.5148,4.5799,0.3961,8.2894,2.1859,1.1189,2.4408,3.0325,198.5481,44.1607,20.9635,4.2261,2.2279,10.6311,3.5023,3.9301,0.0,225.4342,0.2795,10.3821,133.076,65.9328,0.0
CZE_C23,14.5063,0.1943,3.2783,8.0534,1.0312,55.0669,40.9145,27.4023,5.4989,3.0131,29.0418,6.7608,22.9781,782.3839,40.9856,56.8577,153.4925,29.7718,41.494,114.829,5.2594,40.6084,10.5839,13.4611,1082.5809,35.4516,6.3036,0.2315,0.4847,8.3207,0.3097,8.6983,2.9192,1.0707,4.5916,2.9033,381.7884,33.8481,13.9678,4.0937,3.3638,6.3164,3.2831,2.7359,0.0,230.15,0.1247,4.7233,79.1566,44.7131,0.0
CZE_C24,8.6048,3.533,1.6069,1.4376,0.1432,3.6672,0.4925,2.6373,1.6825,0.5573,5.3301,0.0097,23.1891,20.3857,779.6566,949.6029,113.6833,597.9006,989.2961,851.0718,69.4014,115.1832,35.9027,125.8625,214.5279,31.5777,0.3866,0.718,0.0731,0.6053,0.0323,0.4722,0.653,0.0173,0.5658,0.0604,7.3474,12.5778,3.6488,0.1711,1.2013,0.04,0.381,0.7127,0.0,2.942,0.0,0.0,44.108,46.9569,0.0
CZE_C25,24.9714,0.203,46.7707,10.2204,0.712,58.76,25.6908,77.2094,46.6741,9.5103,68.4544,14.0124,129.8342,77.4176,438.8259,2661.2828,285.7146,315.2331,1516.3963,1262.4725,45.223,301.3008,21.6232,21.7892,467.0701,157.2156,38.7137,0.2033,1.9729,18.5212,1.376,5.9569,3.3624,2.164,2.5856,3.2373,143.291,101.9334,27.651,30.807,3.9186,18.8065,7.0754,7.2945,0.0,338.9551,0.6017,11.0665,638.4338,114.6476,0.0
CZE_C26,9.9504,0.1716,9.6547,1.78,0.1683,6.4486,1.9162,3.713,4.2392,1.215,11.0251,1.5749,25.3781,10.5714,4.922,16.4293,463.6378,224.6567,92.3905,213.5004,155.2509,47.6303,76.5126,16.5527,302.0621,61.1458,15.0816,0.1852,0.7233,25.112,10.9685,100.9151,4.4066,263.8932,33.5945,64.8779,16.648,121.6748,9.7055,24.5219,41.0551,35.8439,7.3191,12.0174,0.0,580.0915,2.7041,37.6971,1212.5739,94.1412,0.0
CZE_C27,24.2226,0.1969,10.6727,2.1475,0.4711,19.9912,6.4224,5.7249,9.4047,5.9697,10.809,4.9474,61.9691,12.9713,18.9857,80.4799,180.2015,676.6087,215.4669,1216.6736,39.3658,172.5679,140.6297,11.9025,381.7732,157.1337,25.0333,0.3527,5.5083,12.2906,3.0611,15.9584,2.1496,10.6602,12.8108,9.8442,152.6242,43.0359,37.0058,30.5581,6.8294,14.0952,8.3483,3.9952,0.0,443.2614,0.247,21.803,749.2928,64.2854,0.0
CZE_C28,104.4146,2.4398,57.5452,4.3944,2.033,34.2209,10.9829,14.917,19.3309,8.0136,64.1282,5.4841,50.8052,123.3234,30.6287,155.0818,45.2263,86.0577,262.0996,356.8265,56.1202,138.2308,113.9174,33.3959,302.9819,183.5674,22.7386,0.3975,6.0132,16.21,1.1994,10.1123,5.1531,4.4356,5.7219,4.5963,99.2774,54.129,32.7287,13.2801,6.7716,16.9149,22.4714,22.8849,0.0,131.1668,0.3118,25.0096,2874.8125,75.0615,0.0
CZE_C29,56.3321,0.3989,4.1617,2.7205,0.3251,12.6923,11.7915,5.0576,2.721,2.6006,8.1086,4.8529,169.7337,57.9874,85.7944,77.0688,24.383,753.6115,142.1267,7507.6243,32.2247,30.9879,27.4971,50.3587,212.3354,981.7809,409.427,0.2612,0.5271,7.0659,2.6874,3.6116,2.1313,4.5246,12.5195,16.2265,39.7155,63.4135,57.879,12.1995,5.5372,13.1691,9.0349,8.081,0.0,1893.1527,0.8631,90.5381,2824.3923,299.7128,0.0
CZE_C30,0.0594,0.1239,0.8281,0.1077,0.0295,2.0477,0.0312,0.6895,1.3515,0.0,0.1129,0.0953,0.0305,0.2124,0.4243,10.4615,7.5606,0.1594,117.3576,4.6436,108.2768,59.6599,0.8086,0.3024,1.1186,9.3053,11.0586,0.5747,10.4523,0.483,0.4403,0.2329,0.1567,0.0528,0.0,2.9098,0.3817,2.6481,2.8648,12.6059,0.1792,0.7937,0.106,0.148,0.0,248.642,0.0,52.0697,514.2405,0.8091,0.0
CZE_C31T33,122.6422,1.1301,21.8604,5.0612,1.6041,94.9723,39.9611,28.5847,63.7763,51.4532,48.8314,16.5676,65.3879,32.7986,28.9837,118.4812,64.1844,107.6684,477.0782,286.8891,66.2726,467.8714,227.4295,18.7032,128.3177,266.8761,75.747,2.659,47.8333,80.7681,1.568,70.4797,4.8127,14.722,10.6253,10.9401,74.1509,77.7894,26.1705,69.5107,32.1218,165.0221,61.5803,17.0825,0.0,885.3735,2.9557,51.0365,1487.0457,10.2611,0.0
CZE_D,86.1124,0.4133,46.8437,34.4342,1.2092,265.7164,68.7178,55.7088,146.6021,102.2465,219.708,26.5949,128.1268,258.3344,246.1185,173.682,204.5826,74.7629,180.1248,167.1492,16.2856,72.1074,2454.1716,82.7422,189.2298,274.2119,151.5011,0.4924,3.2114,104.0274,4.8301,104.9223,19.5465,32.4963,17.9759,58.0424,794.7864,94.7074,54.8968,310.9397,208.7651,262.4707,68.0977,52.3423,0.0,5938.234,0.9491,8.9348,86.5042,14.8405,0.0
CZE_E,57.594,1.2219,7.6969,5.6083,0.1359,68.8896,9.478,4.3484,20.6042,8.5862,35.4701,7.9681,12.8375,10.7989,771.8746,77.9676,59.1998,13.7752,116.0176,151.0313,7.116,11.7341,208.3845,916.9934,142.8215,140.5003,26.3588,0.2644,1.0968,23.304,1.2361,68.7477,2.7578,1.531,5.334,16.0367,247.9718,52.4941,128.2479,102.6496,45.7669,92.8059,21.9272,18.4078,0.0,1278.2195,3.4496,117.0977,92.6364,1.0675,0.0
CZE_F,151.7711,0.8822,24.6209,6.197,5.1273,47.3529,8.5974,65.0096,33.3744,14.4263,112.0814,6.8435,26.2257,38.3004,54.1199,51.0787,30.251,37.5962,100.1699,78.6699,4.4336,382.1357,245.5618,91.1689,8667.0343,398.3694,106.8656,0.37,3.0129,420.7951,4.3382,100.8859,9.9165,11.7077,30.8851,93.17,1997.0742,750.0932,87.0354,777.2358,92.5538,197.6102,75.1374,34.7164,0.0,531.6569,0.4754,13.4592,17725.7994,21.2006,0.0
CZE_G,763.9546,3.1774,50.3949,28.8264,2.6319,1439.2895,333.3925,163.3087,262.9553,48.9203,482.4347,176.8148,756.062,325.255,346.333,779.5671,784.8551,363.2665,745.392,3078.157,84.7916,376.9354,487.3572,243.7617,981.292,4496.7389,1181.1949,5.4575,87.9064,193.4138,32.2425,357.7622,182.0805,101.7325,120.2031,202.9202,554.4357,1034.4101,754.3728,204.38,102.7186,549.2566,165.4569,113.7657,0.0,6349.4228,6.4521,361.6395,1476.7477,200.5116,0.0
CZE_H49,57.5146,0.2106,41.4513,52.1592,0.8618,242.2881,30.962,74.8238,97.7684,104.7439,82.0688,8.6231,83.7889,85.4581,86.4614,94.3819,91.0499,74.9816,141.618,311.8599,8.6338,59.71,221.6775,18.4162,193.4709,481.0672,611.0873,3.3155,16.8735,1399.6654,28.043,22.4106,9.9641,4.2865,10.9807,19.9124,45.8395,49.7148,73.2481,42.3776,9.1095,21.8289,11.5655,20.9661,0.0,1812.4424,0.3011,228.4484,128.6109,246.6905,0.0
CZE_H50,0.1825,0.0009,0.0142,0.0028,0.0012,0.2263,0.0329,0.0073,0.0327,0.1854,0.0293,0.0066,0.1542,0.0512,0.1024,0.1514,0.126,0.0696,0.0548,0.3577,0.0174,0.1094,0.4912,0.0402,0.3094,0.2384,0.1705,0.0016,0.031,0.0071,0.0006,0.2105,0.0165,0.0196,0.0239,0.0105,0.2035,0.1707,0.3145,0.0322,0.0756,0.2194,0.0437,0.0187,0.0,4.1596,0.001,0.4268,0.5897,20.9329,0.0
CZE_H51,2.3242,0.014,0.8539,0.5913,0.0908,1.747,0.3723,0.3568,0.7246,1.7297,1.0504,0.147,1.2909,1.9378,1.3927,2.2297,0.4366,1.6428,4.3365,3.9944,0.611,2.0195,4.0504,0.2994,1.6379,8.6689,14.4034,0.2382,3.2988,18.4284,0.644,0.6238,0.1429,0.1702,0.0511,0.0237,0.4736,0.7425,2.2094,0.4554,0.0783,0.4267,0.1327,0.1522,0.0,0.8121,0.0035,19.3989,9.818,99.1075,0.0
CZE_H52,134.2086,0.2173,79.5396,64.1215,9.2911,82.0542,7.8489,7.8101,10.1463,53.0461,49.8684,1.6243,32.0375,192.1811,56.8948,127.7987,17.0716,46.256,37.936,81.3947,2.0079,8.0687,87.8697,30.6821,75.6237,922.1494,1771.1623,26.7508,365.3449,2233.1415,80.7197,11.862,17.1998,28.395,10.3611,6.7103,24.5393,70.5284,276.0798,16.8749,9.8178,32.6353,16.5328,22.7951,0.0,270.2259,6.2159,2440.0063,15.2039,13.1402,0.0
CZE_H53,4.3127,0.0897,0.2568,0.6751,0.1281,1.7822,0.8334,1.0005,6.2445,0.1026,1.3393,0.5044,2.0407,2.805,0.919,7.6301,4.1797,0.6457,0.4522,12.0732,0.2362,3.3699,33.1427,2.951,7.4126,164.1367,10.5062,0.1977,1.7224,26.5842,276.5298,3.2966,45.9625,55.2516,14.3862,257.8829,16.9269,68.112,21.2718,247.6548,12.5371,9.4646,13.1488,9.8853,0.0,54.0923,0.0747,18.8227,0.5062,0.8057,0.0
CZE_I,34.5454,0.2385,3.377,0.518,0.324,37.2165,8.6214,4.8628,5.0589,0.7602,17.209,3.5445,13.8459,3.2595,7.7512,12.9184,12.2168,6.8688,10.6783,44.9004,1.648,20.831,28.4312,11.5665,39.8665,182.6536,166.4484,1.3305,18.0767,16.5452,0.5251,148.9638,6.7511,4.6961,27.4887,13.4645,162.0592,155.377,424.7011,72.6318,60.3857,141.6172,52.0353,24.7887,0.0,4319.5439,3.32,57.5711,42.6862,3.9973,0.0
CZE_J58T60,11.7065,0.0407,0.4255,0.6544,0.0418,17.597,1.5774,0.9666,11.9492,0.2117,13.874,0.9006,2.7033,4.3002,4.363,2.709,43.312,5.2776,13.0437,11.2965,0.3718,6.116,5.0956,1.2064,5.462,85.7492,5.6474,0.1987,0.3171,31.1349,1.3681,46.7729,611.0745,6.6484,41.4309,27.0219,3.7046,98.7406,13.048,8.1659,86.2556,11.0912,13.7059,17.9248,0.0,847.9299,3.0342,267.2084,643.1532,8.2733,0.0
CZE_J61,17.1846,0.1813,0.7319,1.0176,0.2807,13.898,4.5207,4.6378,6.687,0.7209,4.1208,3.0584,31.4137,7.7084,3.4591,31.2899,33.8983,12.0762,32.0991,30.5233,3.8891,26.3434,50.426,9.8627,23.6831,190.8889,36.6941,0.2631,2.9979,46.6679,18.6002,29.3251,92.8653,1052.3918,105.854,81.7006,89.7255,142.1634,40.857,378.206,42.4633,39.9425,32.1007,17.5948,0.0,1623.2752,0.1373,1.859,80.0418,3.9083,0.0
CZE_J62_63,19.1176,0.1366,1.8807,1.3204,0.1649,59.8676,6.2221,8.0967,40.99,1.2573,12.2988,8.6628,10.9752,11.9954,4.7155,15.0107,75.0313,70.3439,46.9883,114.1206,3.2345,148.8488,48.0309,11.2808,56.5589,415.5322,28.8997,0.0694,1.7697,69.1499,13.6076,26.0597,43.5211,111.396,1488.6092,557.8249,86.8342,357.0939,70.0746,78.2099,52.3501,37.8819,67.0258,70.2994,0.0,97.043,5.6186,22.0039,3264.9999,6.9996,0.0
CZE_K,198.0305,1.429,10.8642,7.9461,0.6359,72.8061,27.2199,26.3458,70.2119,7.4367,40.5982,21.3819,89.4504,51.2663,44.9604,213.3338,55.4208,66.1343,159.203,157.0987,25.5525,125.9878,223.7286,89.8352,416.9522,908.7229,455.9882,1.2215,98.2719,130.6251,11.5887,60.5918,49.4826,33.5692,72.2876,3016.1106,2252.8909,577.248,307.147,108.0985,57.8018,147.2427,99.4643,97.84,0.0,2996.2339,0.1788,25.9538,106.5369,3.6872,0.0
CZE_L,56.5547,2.7973,4.827,1.6386,0.4094,104.1859,38.8978,22.6656,39.5592,2.1708,20.313,18.4401,39.8934,20.6577,13.7874,56.2684,224.583,49.1106,134.3038,131.6366,3.3367,132.24,156.7231,295.7572,371.4922,2646.1457,78.5754,1.0944,14.2226,381.9896,16.2493,845.3353,118.4683,110.8382,334.3349,491.5642,2210.4276,892.6797,224.6979,356.5786,263.1487,306.0169,362.7709,120.0465,0.0,18323.5826,18.8217,489.1133,531.6138,0.2657,0.0
CZE_M,268.0034,0.6269,16.057,14.4189,1.0604,289.2885,66.1455,27.5668,51.5057,5.0252,166.2474,138.2296,182.1562,95.8553,28.0025,274.3188,491.7675,173.4961,401.5486,586.8496,20.0403,162.7014,181.6611,223.8869,3592.2245,2122.3655,148.4716,2.0097,8.2694,182.4698,24.9726,179.2652,144.4278,102.0095,250.2887,403.9611,1110.6421,4545.4532,377.5192,630.1048,137.2174,184.8368,154.6848,66.9604,0.0,266.7574,10.6817,204.0058,1045.6339,15.0691,0.0
CZE_N,63.6906,0.5703,19.6333,5.9821,5.8282,113.1306,10.6912,18.6789,30.3782,4.6414,39.5302,11.2096,77.4997,40.7143,53.7097,102.3682,273.3226,73.2313,157.8088,254.0727,16.1251,57.9112,100.2721,86.5316,331.1618,717.0584,201.0183,4.3264,80.7644,101.3255,12.4313,186.4112,41.3185,33.8976,155.3574,243.5462,740.2091,268.1573,2507.4747,591.2666,67.2235,98.3527,154.9189,45.6712,0.0,1551.6237,4.2266,16.9041,106.0031,5.4359,0.0
CZE_O,52.0014,0.1136,9.7183,7.9819,1.1875,18.9455,3.7712,11.0771,11.4112,7.1565,6.8496,2.5629,9.5208,23.8365,80.9567,28.5774,18.7612,8.3582,15.6743,38.4786,3.29,3.9002,37.7175,102.9579,41.37,107.5961,170.9779,2.5421,34.5025,245.4666,7.7764,6.1598,16.9421,2.916,26.4378,56.3801,41.4177,40.4299,50.1865,266.5406,3.8328,23.9934,17.1251,12.9962,0.0,189.7711,17.4219,14811.9555,74.2149,1.2833,0.0
