V1,JPN_A01_02,JPN_A03,JPN_B05_06,JPN_B07_08,JPN_B09,JPN_C10T12,JPN_C13T15,JPN_C16,JPN_C17_18,JPN_C19,JPN_C20,JPN_C21,JPN_C22,JPN_C23,JPN_C24,JPN_C25,JPN_C26,JPN_C27,JPN_C28,JPN_C29,JPN_C30,JPN_C31T33,JPN_D,JPN_E,JPN_F,JPN_G,JPN_H49,JPN_H50,JPN_H51,JPN_H52,JPN_H53,JPN_I,JPN_J58T60,JPN_J61,JPN_J62_63,JPN_K,JPN_L,JPN_M,JPN_N,JPN_O,JPN_P,JPN_Q,JPN_R,JPN_S,JPN_T,JPN_HFCE,JPN_NPISH,JPN_GGFC,JPN_GFCF,JPN_INVNT,JPN_DPABR
JPN_A01_02,9553.2399,3.0016,0.2583,1.8734,0.1118,35369.2041,116.0282,1772.3991,29.5039,1.5401,223.5628,94.2997,683.3901,8.4261,14.9672,12.9122,39.5851,22.4648,34.4797,10.4893,6.0047,189.8155,7.3578,7.1454,334.451,2064.0188,11.6269,10.8454,1.4506,24.128,5.8545,6293.7225,13.5214,9.0302,8.5237,53.1658,11.7925,111.9718,70.4067,32.1599,247.4635,1184.0069,210.4625,196.9826,0,34965.6176,0.0,0.0,1360.9047,516.1087,0.0
JPN_A03,1.9443,426.1092,0.034,0.4029,0.0002,6030.8271,0.5382,0.052,1.6951,0.4579,7.1369,4.8882,1.5385,0.6622,2.8438,0.4891,13.5587,4.0331,4.367,4.1805,0.9181,457.3489,1.8281,1.4542,10.6795,62.564,5.247,4.5808,0.3494,4.6117,1.3799,1512.4946,3.4216,1.9277,5.7006,13.1612,3.0255,5.4625,2.7041,4.8392,10.1545,285.8698,6.9049,23.4478,0,4075.1965,0.0,0.0,0.0,73.5363,0.0
JPN_B05_06,0.7371,0.0404,0.0319,0.0652,0.2145,3.6738,0.7035,0.1705,10.3295,565.5024,17.2991,0.4806,0.4637,10.746,13.4404,0.3784,0.5791,1.2026,1.1517,1.4662,0.1957,0.3419,427.1235,0.7756,6.7755,2.1288,0.5776,0.0922,0.0798,0.1219,0.01,1.2884,0.0575,0.1363,0.1008,0.1837,0.1717,0.409,0.2464,0.4532,0.2581,0.7483,0.2295,0.286,0,6.3155,0.1024,1.6785,0.4568,4.2449,0.0
JPN_B07_08,0.4625,0.0004,0.0,11.2259,3.3051,0.9237,2.1637,0.1305,17.0439,19.3423,79.3648,5.3244,1.0866,371.0473,3323.8944,5.9858,71.3408,17.7027,6.7252,2.9619,0.285,14.2989,0.0227,0.0002,31.5478,0.5136,1.5459,0.0,0.0,0.0,0.0,0.0,0.0229,0.1912,0.0,0.0001,0.0009,12.6047,0.0,0.1375,0.001,0.0111,0.9507,1.1031,0,0.002,0.0,0.0,0.0,18.8556,0.0
JPN_B09,3.4598,2.198,5.2834,20.8771,24.2566,8.6751,0.0882,0.1424,8.5221,359.4707,31.6369,0.6852,2.7204,37.5414,255.6035,6.4729,0.4838,0.8221,7.5058,0.5085,0.3805,0.4602,102.4247,9.5341,230.0376,7.6696,13.6968,0.5338,0.4133,3.2399,0.0037,0.9498,0.0164,0.0,0.0229,0.0052,9.8096,6.4929,1.9358,4.7909,0.1964,2.1918,0.5452,0.1568,0,0.0,0.0,0.0,0.0,0.0,0.0
JPN_C10T12,4295.2912,556.0741,0.9402,10.6573,0.3538,27860.2192,124.7908,18.8857,122.4112,13.9514,593.5151,170.3757,49.7787,35.2504,65.2623,49.0329,111.0043,78.6273,137.8394,73.0088,23.4828,116.1367,47.2877,49.9782,283.1274,3021.9054,103.8341,100.6012,8.9075,150.4825,35.3685,36385.6443,57.0611,226.6995,117.9998,276.7312,112.2484,275.2903,156.1571,208.9326,537.5141,3240.5244,158.5508,366.9154,0,213511.4286,0.0,0.0,0.0,1286.5234,0.0
JPN_C13T15,113.1788,249.2826,0.7815,3.6384,0.868,249.9298,5080.1684,19.871,406.2379,2.9834,51.7227,17.7918,460.2356,193.4984,56.3164,42.4444,121.7043,176.9268,214.4169,322.5105,68.7437,949.3738,19.9108,30.724,695.3337,950.1066,133.6621,249.3745,10.9003,126.0338,22.0643,176.1767,47.4811,152.1023,135.0059,171.5336,19.0908,291.7469,205.7016,288.4924,66.9223,529.4004,341.5546,288.0191,0,14786.6564,0.0,0.0,611.7068,213.5261,0.0
JPN_C16,109.1377,13.7849,0.2659,0.2346,0.711,90.4121,6.4626,2373.4671,1467.2034,0.0969,29.1756,4.4042,8.8384,113.7545,54.2268,28.5477,41.9973,25.4591,67.6481,54.2743,54.7945,2290.4102,158.5364,1.0517,11050.0876,429.0149,3.5982,3.8816,0.2061,401.1326,1.2981,149.5977,9.5249,6.1854,3.8477,23.7987,2.4006,41.1225,29.76,10.6599,5.7316,13.3379,41.8018,36.4036,0,539.7874,0.0,0.0,87.4686,96.5808,0.0
JPN_C17_18,2677.8918,36.5553,1.1752,11.1212,1.31,7035.3313,230.4095,249.729,24087.4081,16.3941,2008.3532,926.7338,608.4878,742.6194,258.5345,470.5406,1680.5633,1467.9915,1199.2974,533.142,216.9597,1608.3178,286.9065,266.9917,1928.8998,10598.0639,753.7396,281.2824,51.0588,2045.4716,339.7901,1301.1831,6183.7074,2038.8316,2878.3399,6206.9708,252.4177,4581.9493,1803.5436,3261.4808,2464.6421,4643.5499,616.5264,807.5499,0,3112.8164,0.0,50.7628,96.3295,627.7374,0.0
JPN_C19,1839.187,499.0886,12.3516,322.5454,54.2844,1245.0076,204.202,121.9987,397.6218,4069.3828,9684.7887,912.724,116.3548,804.4224,3035.5507,368.855,208.0369,148.4856,454.0699,13.963,188.3002,508.8602,4992.1872,540.4585,8026.1434,10028.0836,8062.5253,5353.4102,4493.1617,460.3139,212.7499,1423.4115,300.0233,365.4983,648.0923,835.6549,617.1434,2667.1854,3205.9613,4024.9781,669.5857,1737.89,1255.2593,1008.3366,0,50853.3494,0.0,0.0,0.0,676.399,0.0
