V1,NZL_A01_02,NZL_A03,NZL_B05_06,NZL_B07_08,NZL_B09,NZL_C10T12,NZL_C13T15,NZL_C16,NZL_C17_18,NZL_C19,NZL_C20,NZL_C21,NZL_C22,NZL_C23,NZL_C24,NZL_C25,NZL_C26,NZL_C27,NZL_C28,NZL_C29,NZL_C30,NZL_C31T33,NZL_D,NZL_E,NZL_F,NZL_G,NZL_H49,NZL_H50,NZL_H51,NZL_H52,NZL_H53,NZL_I,NZL_J58T60,NZL_J61,NZL_J62_63,NZL_K,NZL_L,NZL_M,NZL_N,NZL_O,NZL_P,NZL_Q,NZL_R,NZL_S,NZL_T,NZL_HFCE,NZL_NPISH,NZL_GGFC,NZL_GFCF,NZL_INVNT,NZL_DPABR
NZL_A01_02,3877.2495,31.1479,0.5302,0.3613,0.2154,11183.8231,162.5779,760.5613,364.1676,0.4023,1.1547,3.32,14.2901,1.5515,0.3176,1.4302,0.7646,0.3213,9.5935,0.1888,0.2597,2.2858,2.1066,0.9633,79.7398,119.5498,6.4364,3.9592,2.755,8.152,0.4623,189.9992,3.704,0.8235,2.2165,18.4504,19.5844,67.5546,96.4656,191.6016,5.5014,88.1325,96.9155,17.2469,0.0,1234.6668,4.4958,24.6428,92.7116,167.1452,0.0
NZL_A03,196.6128,378.7533,1.8106,0.2933,0.7214,383.6359,1.0935,0.7982,4.2007,1.3167,1.4878,2.0916,0.8695,0.8327,0.3846,2.5141,0.0133,1.1274,0.9803,0.1132,0.1862,1.8784,1.4902,1.039,8.4262,98.9466,5.8336,0.6685,4.999,5.2237,0.9884,118.8081,15.5281,2.1385,3.1703,76.4238,36.8483,17.361,18.8414,14.1467,2.7259,16.4576,4.0349,4.5811,0.0,853.6407,3.0282,109.9866,6.3589,46.6017,0.0
NZL_B05_06,10.0951,5.8856,180.5497,2.2908,6.3983,36.89,3.1786,1.9912,3.5408,612.7183,72.6903,0.8228,1.5076,6.7281,26.5202,8.5597,0.1068,0.2185,2.3968,0.2054,0.1422,1.392,127.428,4.0268,190.5237,197.2731,9.2733,1.2305,7.9234,2.2158,0.204,5.8909,1.356,1.5517,0.4237,3.3667,30.227,12.6056,8.0689,13.1554,9.9813,15.3401,1.4684,2.7149,0.0,124.5462,0.278,5.4382,295.9856,13.6074,0.0
NZL_B07_08,35.7395,0.5379,9.9142,2.3292,0.7212,26.702,5.4302,1.4161,1.2964,1.4469,22.4229,0.5526,3.3256,33.5556,14.3735,1.6246,2.6928,1.6175,1.1016,0.0547,0.2124,4.4873,0.2241,6.4899,134.5447,4.922,4.5803,0.327,0.057,0.3705,0.0524,4.2748,0.2876,0.1315,0.103,2.3991,4.1942,2.0939,2.4428,1.438,1.3605,1.597,0.3347,1.061,0.0,122.8712,0.0815,3.3707,25.282,3.8242,0.0
NZL_B09,0.8801,0.2547,94.6768,1.5095,4.3345,9.1723,1.6693,0.315,0.2739,6.0606,1.6587,0.251,0.4342,0.5527,8.6849,4.333,0.0659,0.0566,1.1502,0.1653,0.0313,0.5954,0.7629,0.2283,8.2972,17.8667,0.3882,0.0311,0.2859,0.2734,0.0464,0.7547,0.6971,0.149,0.1954,0.9027,2.2069,5.0402,3.3174,3.9664,2.3945,1.0301,0.4218,0.5075,0.0,4.8543,0.1643,0.7183,27.1822,0.0809,0.0
NZL_C10T12,437.2829,308.6502,23.2961,3.1431,1.8599,2137.4171,25.7614,20.4703,66.5153,15.7868,67.1639,34.4766,50.0242,18.9458,19.0913,19.5442,18.3227,16.606,10.1319,3.0941,10.1038,6.3063,9.5096,20.521,90.0807,352.1514,10.0717,6.679,17.1229,18.1493,5.3845,1219.0174,43.5478,4.405,6.2482,22.0764,83.6484,62.6229,60.3151,38.3774,17.0687,195.5977,46.8459,12.654,0.0,10639.0238,1.3101,72.2855,127.2287,282.8232,0.0
NZL_C13T15,11.0372,4.3393,0.9109,0.1618,0.348,8.2228,54.0255,1.0493,2.5104,0.543,0.4248,1.9349,1.7735,0.7228,1.4137,1.2395,7.1366,0.4797,0.6991,0.1217,0.4782,6.9874,1.5902,0.4462,54.0322,58.7672,1.8682,0.177,1.1239,1.0228,0.0833,2.6342,1.7744,0.3951,0.2986,0.9976,30.3237,4.5826,5.1097,9.575,5.7349,6.5372,1.7249,11.3054,0.0,812.4672,0.3238,0.8457,5.926,11.6544,0.0
NZL_C16,144.4044,1.1005,1.5863,0.2504,0.1019,35.2928,0.4213,558.3316,103.6799,1.5108,1.3463,0.6656,8.4753,28.7409,2.9852,10.0158,0.4842,2.0781,6.3634,0.3112,4.1039,75.2395,1.5941,0.2453,1139.0832,296.66,1.4134,0.6325,1.188,4.4675,0.1057,1.6293,1.3662,0.4465,0.1722,0.7515,68.3854,23.7976,10.3757,5.2123,12.4848,6.199,4.1471,20.8416,0.0,114.7098,0.0948,1.26,43.2116,23.2729,0.0
NZL_C17_18,161.8288,29.5173,1.1156,2.8839,0.2193,171.0563,12.0718,47.663,198.0065,6.1151,76.9733,21.9732,70.2329,22.7493,5.2778,8.1899,27.5536,7.5839,2.9964,1.4456,6.4125,12.1445,2.3167,5.4386,112.8255,95.051,6.8114,0.965,12.7467,11.5693,6.8248,39.4162,37.3658,2.8183,5.8571,23.3716,104.4026,217.3704,41.8843,31.3313,37.3772,47.403,21.012,15.5986,0.0,304.0101,6.9449,2.2716,366.7053,17.4613,0.0
NZL_C19,184.1287,154.0371,102.2343,7.0186,4.3548,111.9673,6.6552,14.5712,14.2599,45.8067,10.5369,2.3914,6.6684,27.6864,31.0873,20.6941,4.7294,2.5939,8.1496,0.9748,7.4736,12.4818,34.4805,17.9484,644.4275,118.8916,495.7062,67.0663,463.4081,59.9433,0.6996,17.9297,7.1396,2.7726,1.8107,3.551,51.9825,23.759,48.5607,41.7471,18.5491,35.6677,16.2023,18.0214,0.0,1397.0097,0.7976,7.6332,63.1846,33.4097,0.0
NZL_C20,297.7131,6.1027,24.3296,4.2347,1.4066,78.8874,20.7836,47.4794,90.2883,5.1536,183.9702,26.2239,154.1643,46.8822,13.5168,8.3085,39.2295,18.0465,4.4766,3.0078,10.7489,6.8116,3.0794,9.7822,148.4194,80.0977,16.7323,1.2877,9.6733,7.8291,3.0572,24.2875,13.5751,1.0414,1.6672,2.5413,48.4858,26.1146,35.3287,30.2933,14.5619,52.7725,8.7148,10.6727,0.0,562.7347,0.3936,4.5581,31.7886,19.917,0.0
NZL_C21,75.364,0.5648,2.8197,0.5774,0.1723,20.4604,3.0738,7.1219,13.3447,0.6698,27.5136,13.4486,23.9553,6.7055,1.9063,1.6009,15.7858,2.6527,0.677,0.4453,1.8354,0.9177,0.7027,1.3962,21.9816,23.8352,1.1391,0.0941,0.6511,1.0301,0.3832,3.5387,1.8828,0.2207,0.3342,1.0629,7.2607,5.4282,5.4253,4.7417,2.448,63.7525,1.3865,1.7163,0.0,109.9321,0.0549,80.7653,11.8816,5.3605,0.0
NZL_C22,182.4434,8.82,21.0441,2.7586,1.191,288.394,10.4688,27.8465,36.8483,36.3294,55.6307,19.9779,93.043,16.844,8.9065,8.3217,14.8531,16.949,29.2445,6.5765,7.3452,23.2646,2.1573,9.4036,280.4129,130.466,80.0388,0.337,7.0756,14.7978,19.6608,23.2239,5.7699,0.9487,0.8488,2.6012,36.9384,24.9198,23.619,11.7965,8.7228,28.4225,5.9878,11.4966,0.0,385.0015,0.1014,10.4293,56.7025,17.4632,0.0
