V1,SAU_A01_02,SAU_A03,SAU_B05_06,SAU_B07_08,SAU_B09,SAU_C10T12,SAU_C13T15,SAU_C16,SAU_C17_18,SAU_C19,SAU_C20,SAU_C21,SAU_C22,SAU_C23,SAU_C24,SAU_C25,SAU_C26,SAU_C27,SAU_C28,SAU_C29,SAU_C30,SAU_C31T33,SAU_D,SAU_E,SAU_F,SAU_G,SAU_H49,SAU_H50,SAU_H51,SAU_H52,SAU_H53,SAU_I,SAU_J58T60,SAU_J61,SAU_J62_63,SAU_K,SAU_L,SAU_M,SAU_N,SAU_O,SAU_P,SAU_Q,SAU_R,SAU_S,SAU_T,SAU_HFCE,SAU_NPISH,SAU_GGFC,SAU_GFCF,SAU_INVNT,SAU_DPABR
SAU_I,32.9043,4.7131,65.8831,0.1103,5.6721,51.39,67.3161,4.4144,24.3922,127.5141,170.4445,11.1871,32.9099,21.6362,33.3137,41.8993,1.2918,18.5606,18.3114,8.5046,6.2375,11.4929,68.7538,40.1266,306.0973,734.3536,1.1093,0.0439,17.2256,69.6942,0.3029,36.7378,31.2156,280.0144,5.2735,35.3137,12.2932,56.7346,25.7498,667.365,113.4631,212.5068,23.5134,38.9431,0.0,11953.2698,0.0,0.0,0.0,0.0,0.0
SAU_J58T60,3.8034,1.6075,152.6599,0.2551,7.9898,74.1978,19.4266,15.0177,137.1558,21.4376,163.6806,6.2486,88.2947,61.254,47.0731,4.3899,3.7933,135.182,26.2909,22.0508,9.1836,34.4309,11.9729,12.7115,407.434,373.3368,79.8741,1.0273,120.4554,571.224,6.588,53.9844,202.4764,27.7431,7.0513,86.1581,17.6235,57.0582,47.2774,404.378,1387.1294,155.5814,50.5163,12.3156,0.0,1467.454,0.0,691.759,25.1056,0.3099,0.0
SAU_J61,38.3873,26.466,48.2022,12.3878,5.2316,112.6573,70.0269,5.3722,30.9425,70.4727,116.6864,7.0905,21.0377,53.8102,20.785,22.4657,2.8113,27.8437,20.213,4.0661,1.0584,21.7879,39.2678,8.7729,261.2655,1960.3833,1.4871,0.0288,22.0142,4.3534,1.0934,40.0969,24.3875,2265.985,15.3475,79.5161,94.839,36.9254,28.0175,579.4195,99.0976,110.4575,15.2048,38.7702,0.0,16308.0322,0.0,0.0,1419.9807,0.4207,0.0
SAU_J62_63,33.9123,10.2823,33.9728,1.1818,6.255,154.2983,110.2932,8.2595,47.1121,272.4182,110.4401,7.9181,3.0381,77.6195,37.5648,20.7602,5.3983,35.298,35.4045,10.2231,2.8654,15.7577,45.0953,10.4992,65.9756,775.067,19.7756,0.0746,21.8597,5.509,2.2506,49.4015,53.2504,1923.8962,545.9881,66.5799,51.7641,49.9359,18.1924,589.4177,83.5468,137.019,15.6038,43.5912,0.0,0.0,0.0,0.0,859.3147,0.0188,0.0
SAU_K,34.5949,27.0072,47.6406,4.9052,4.2212,189.746,196.1818,15.8559,100.2349,207.7893,147.0952,6.4336,88.0758,105.1799,87.9062,104.6563,5.1113,87.3843,58.3344,22.7422,9.6932,63.7843,147.6071,55.0396,2109.0766,2603.7803,76.023,0.9954,188.3466,36.1154,2.2996,133.3951,34.1616,196.6926,10.3035,717.4471,0.0488,133.5933,72.2007,1313.4775,203.0815,324.4995,23.9473,55.5796,0.0,16087.508,0.0,208.5846,59.8175,2.0858,0.0
SAU_L,17.1761,26.9385,19.8673,0.0844,0.8054,39.2206,29.0463,2.4538,11.2757,2.0176,19.0679,0.6616,15.2283,26.0949,6.8359,26.348,1.4971,16.4658,11.2298,4.3556,2.266,23.2217,30.1793,2.6629,303.7289,1529.9149,14.4021,0.0603,3.4378,44.1313,5.0087,15.5085,34.1633,462.5262,17.8297,65.2484,290.0976,82.1329,58.3713,26.6899,76.3555,50.7168,23.7528,39.9913,0.0,24220.7721,176.2827,21.5822,0.0,0.0235,0.0
SAU_M,14.5748,12.6206,31.559,0.8632,1.6409,80.2615,53.011,2.6011,25.9843,21.6286,43.9428,3.0832,22.6382,25.3382,22.8414,67.3901,1.6091,45.1927,18.7404,9.548,4.067,16.3038,16.389,15.0675,146.6834,711.5373,6.955,0.2083,23.4743,10.1028,1.9639,65.5934,26.0002,140.7465,4.5058,65.6896,5.8169,175.198,23.4264,1253.147,69.284,144.4956,27.8342,20.8484,0.0,3691.8303,4.281,133.3833,1306.6298,0.1655,0.0
SAU_N,8.6496,26.4806,110.4458,9.4707,7.1204,98.4433,46.8056,3.3872,26.5323,41.642,70.5098,4.6404,37.363,123.3451,15.1968,38.1932,1.6761,32.4657,25.4492,6.6758,5.0444,21.0888,70.5989,37.6136,1819.7002,1001.9977,49.7028,1.9348,306.0786,73.9663,22.4647,99.0585,2.4481,29.5425,1.4378,34.1743,7.7632,21.9875,155.598,1174.8786,171.9975,331.9372,93.298,48.943,0.0,9914.2537,0.5445,55.7569,981.6094,0.0456,0.0
SAU_O,11.6091,3.0149,8.0349,0.9289,1.6324,53.7984,49.1504,3.8485,17.6677,49.2465,53.3065,2.5563,23.4901,24.3604,71.3201,26.8583,0.6004,11.4276,6.8377,5.6937,2.7256,11.3941,11.6393,11.8854,188.5186,157.6546,117.7099,0.8039,180.9535,62.1842,58.166,35.7592,14.8565,58.3207,0.9484,15.3263,867.2682,19.8545,19.4747,494.7694,86.847,80.2021,10.9014,15.6781,0.0,4154.4653,0.0,85973.3896,0.0,0.0,0.0
SAU_P,11.9826,4.0938,190.8743,5.5079,6.4226,75.1877,76.4773,5.7809,26.532,16.7826,62.2019,4.2737,32.8343,36.9818,111.803,45.3103,0.8083,17.8999,10.8221,9.2431,4.2255,11.6245,24.5451,18.3805,77.995,374.4015,8.8661,0.0642,14.1215,4.7027,3.3188,9.4448,25.3654,91.8296,1.3736,24.7227,8.4615,21.3213,10.4939,163.8509,38.2052,56.8461,2.4289,5.9956,0.0,8228.5821,322.1557,42322.0712,2.6625,0.0,0.0
SAU_Q,33.3978,10.0427,98.1673,5.4703,14.2681,565.5322,26.7972,47.0542,17.0189,185.7711,251.45,15.4525,182.8361,147.7384,49.156,0.0,7.1852,135.7445,67.153,60.0519,21.2191,189.8013,33.7898,10.2803,134.9754,96.0374,39.9859,0.2937,0.0,6.4712,37.8761,52.1829,4.8741,81.5595,1.8881,19.5008,5.9488,56.1959,67.6534,143.306,78.2508,144.7355,16.3372,25.0843,0.0,3655.704,53.9425,25513.8488,0.0,0.0,0.0
SAU_R,0.0,0.0,3.7569,0.1538,0.9346,7.436,0.0,0.0,3.0948,6.2829,2.1784,0.18,2.9136,0.0,0.0,0.0,0.0,0.0,0.4938,1.5223,0.6306,0.0,0.0,3.9937,0.0,3.9678,0.8067,0.1514,63.7187,39.7265,6.1864,3.0172,35.1746,16.6531,0.0,0.0568,2.8664,5.3617,3.7562,161.5961,50.4706,11.0655,33.643,71.7802,0.0,1197.9862,13.7976,1209.2332,97.2288,0.0408,0.0
SAU_S,9.4561,4.6428,3.9625,1.1344,1.1789,36.1597,2.5139,1.9657,13.9156,34.6195,48.8161,3.3486,7.1752,19.2787,12.2437,15.0754,0.3686,4.9084,4.1896,3.1834,0.6514,20.6793,55.0781,9.3816,73.9923,74.4525,14.3869,0.224,0.0,5.8795,0.8317,6.3091,1.436,2.7241,0.8703,5.8883,0.0037,3.2359,2.068,6.7435,6.6658,3.6762,1.8311,26.0912,0.0,1800.759,807.8304,3514.1351,0.0,-0.001,0.0
SAU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4382.7787,0.0,0.0,0.0,0.0,0.0
