V1,ROW_A01_02,ROW_A03,ROW_B05_06,ROW_B07_08,ROW_B09,ROW_C10T12,ROW_C13T15,ROW_C16,ROW_C17_18,ROW_C19,ROW_C20,ROW_C21,ROW_C22,ROW_C23,ROW_C24,ROW_C25,ROW_C26,ROW_C27,ROW_C28,ROW_C29,ROW_C30,ROW_C31T33,ROW_D,ROW_E,ROW_F,ROW_G,ROW_H49,ROW_H50,ROW_H51,ROW_H52,ROW_H53,ROW_I,ROW_J58T60,ROW_J61,ROW_J62_63,ROW_K,ROW_L,ROW_M,ROW_N,ROW_O,ROW_P,ROW_Q,ROW_R,ROW_S,ROW_T,ROW_HFCE,ROW_NPISH,ROW_GGFC,ROW_GFCF,ROW_INVNT,ROW_DPABR
ROW_A01_02,202873.4628,1551.9835,3697.9349,668.6571,1419.3723,144452.1442,7445.4628,6160.2217,2627.1323,735.2004,3036.0994,1907.5514,3210.5062,441.5341,424.0744,270.2427,101.3464,88.4458,159.9259,196.0708,39.3818,1202.7756,1636.1896,351.2759,7459.4076,10251.8584,886.0298,361.0951,200.3156,404.564,36.3551,16029.5477,295.7888,314.9409,138.1147,674.0582,1061.041,833.0316,1150.194,7051.2804,4292.6472,4176.3579,685.2216,1340.8963,0.0,287748.5757,140.8411,3085.446,16936.9143,25140.1296,132.0598
ROW_A03,586.4104,8399.2629,142.8445,23.3892,7.2353,10510.9271,38.2597,13.1323,15.1875,32.8253,44.2222,13.5322,9.5492,23.4077,26.1045,13.347,6.6615,7.5775,11.4241,9.9116,2.9859,26.501,33.6875,13.5336,151.5786,239.963,81.6289,67.3016,93.0495,25.1495,2.4096,2696.8921,22.8749,28.2724,9.4132,26.9944,28.0907,39.147,23.4932,564.44,126.8283,418.577,43.385,58.495,0.0,31996.3439,25.9333,163.1496,417.5423,2209.1092,12.3372
ROW_B05_06,3639.6535,447.717,230096.2836,8210.9777,7943.1375,8343.5918,970.3996,167.587,945.5116,102983.3709,16394.1619,466.7121,622.5208,2730.4642,4940.01,476.1571,325.8444,235.2233,699.5681,303.1815,180.1259,421.9853,34613.7075,1487.1117,9687.79,7882.5444,16891.3208,1959.2293,2610.6052,2295.956,520.9624,2871.804,381.6269,1539.4567,222.2415,875.2968,2103.0093,1103.3077,904.4516,5180.4479,4014.2715,1716.3367,510.2513,1040.8512,0.0,10622.9536,4.07,233.871,14300.9285,46207.0392,45.4647
ROW_B07_08,1995.4934,191.7002,10195.2041,38449.0517,5281.3947,1615.186,204.1772,31.1263,297.9543,1294.8746,6003.488,204.2386,152.5464,10024.8992,29246.4679,386.9997,139.6094,212.3897,209.466,102.896,51.3734,436.2205,1219.7215,309.2498,33328.7114,701.0326,277.2771,20.3414,32.5042,184.5419,10.3352,279.8319,39.9314,67.5833,20.4303,67.5265,1115.8209,151.1744,163.2382,1859.2025,307.7934,185.0507,85.7297,253.6064,0.0,4443.2515,2.9697,116.1899,3030.6955,5643.1736,9.2896
ROW_B09,448.6956,171.1495,54675.0036,5086.9299,8187.3565,185.4338,20.1084,4.4059,80.0895,3219.6014,247.2834,11.5107,18.4255,2282.4085,4085.0437,242.8995,6.4835,6.4861,24.9902,6.984,4.9001,99.6405,610.3584,42.9182,3290.56,157.7835,172.4152,27.2097,36.6456,107.1412,3.3133,33.7125,10.9231,13.425,6.2918,23.7587,146.0045,64.5338,35.0967,264.8577,107.942,57.6543,15.9633,36.2904,0.0,232.6768,0.7333,30.5118,6304.5093,28.7183,4.6507
ROW_C10T12,40479.6843,3844.1924,5276.737,422.89,126.9662,60728.5842,1160.3266,209.6301,422.1584,1070.3793,2570.4478,914.9924,358.0843,497.4318,494.327,345.4494,89.5963,105.6022,201.0086,202.9692,40.0747,352.4755,1274.0626,302.8778,4214.0705,7141.3794,1405.2019,648.1394,615.8472,517.374,23.1893,36738.8102,332.791,265.4075,123.8777,1406.6626,1104.8073,610.1989,477.2044,8059.2055,6065.1915,5430.3712,957.1261,1795.0747,0.0,224981.2764,91.7045,982.6893,1613.8649,8385.6151,477.6604
ROW_C13T15,895.9325,254.8794,1370.8779,187.9032,81.9552,781.4976,47318.6556,147.8164,952.8792,374.6198,429.6267,340.9211,1021.9602,950.2585,793.2963,913.6188,136.3216,430.3602,309.8082,1018.1173,108.4651,2500.6611,609.2378,296.5084,2051.1169,4790.7065,824.9193,159.2396,290.4308,242.453,66.4608,1199.583,204.7448,373.5593,201.6444,379.2182,358.1524,572.9297,569.5696,4055.8075,914.9471,1588.3878,802.29,2085.114,0.0,77135.0115,52.4467,364.6054,1314.5717,3680.2485,291.1697
ROW_C16,442.0095,36.1931,226.4155,117.5437,21.3298,451.7145,114.7246,5618.0077,1073.4801,30.5948,192.4536,31.5138,97.5298,196.7845,102.7871,132.0601,36.1439,66.228,110.9438,147.3794,60.9577,5018.1499,236.326,37.7706,9907.0842,564.111,100.9674,14.0417,14.1383,71.7927,7.2656,86.6051,47.1545,36.6985,14.3751,48.7726,736.521,99.6626,73.4109,257.0201,151.631,88.6966,49.836,360.5103,0.0,2781.8584,7.0886,20.2126,975.7123,238.6731,14.7605
ROW_C17_18,560.7895,66.8644,376.4297,97.389,34.9931,4507.1647,675.2202,282.2176,10986.4245,132.2538,961.3955,868.3428,367.8775,940.9983,203.1636,135.5702,187.3451,216.0742,168.5123,105.1624,20.4342,518.3701,244.8328,158.2557,793.6974,5161.7788,307.3691,50.4263,86.0229,227.1916,124.031,589.9799,3538.0704,382.8211,219.125,1892.532,595.8708,1809.5844,746.6269,2314.7636,2339.8379,868.0305,394.2651,1057.5811,0.0,11178.6914,16.743,332.6374,750.1659,243.2705,48.7335
ROW_C19,6890.2805,1992.8956,10324.8869,3496.5165,1502.0192,2250.2702,657.015,256.8897,451.6101,16968.6464,12533.2317,379.1305,602.6425,2231.0017,2825.4489,359.6767,198.8694,246.7392,316.5239,245.8983,85.1621,488.8842,3960.8656,725.7961,7988.9727,7762.2183,28555.3225,4915.9044,10006.2132,1733.1102,461.4234,999.7463,357.5848,667.1737,198.5128,926.9378,778.2075,1110.9535,1311.6401,6201.5935,2059.7276,1549.152,383.3251,1206.8982,0.0,44906.8154,3.9213,177.9371,2842.518,4181.2922,221.229
