V1,GRC_A01_02,GRC_A03,GRC_B05_06,GRC_B07_08,GRC_B09,GRC_C10T12,GRC_C13T15,GRC_C16,GRC_C17_18,GRC_C19,GRC_C20,GRC_C21,GRC_C22,GRC_C23,GRC_C24,GRC_C25,GRC_C26,GRC_C27,GRC_C28,GRC_C29,GRC_C30,GRC_C31T33,GRC_D,GRC_E,GRC_F,GRC_G,GRC_H49,GRC_H50,GRC_H51,GRC_H52,GRC_H53,GRC_I,GRC_J58T60,GRC_J61,GRC_J62_63,GRC_K,GRC_L,GRC_M,GRC_N,GRC_O,GRC_P,GRC_Q,GRC_R,GRC_S,GRC_T,GRC_HFCE,GRC_NPISH,GRC_GGFC,GRC_GFCF,GRC_INVNT,GRC_DPABR
GRC_H53,13.0894,0.046,1.076,1.9563,0.0415,11.0273,2.0631,0.0384,0.2337,1.2976,0.2225,3.4451,0.1666,0.4667,1.4036,0.255,0.0482,0.0815,0.0764,0.0082,0.3376,0.112,1.6126,1.6836,0.5996,281.4312,13.2141,0.8462,0.7078,0.5712,46.884,70.6342,30.9824,47.5179,83.1842,60.2111,0.2194,25.9442,98.2419,28.217,0.1383,2.0578,3.8757,21.0095,0.0,48.9383,0.002,2.6651,2.6113,0.2221,0.0
GRC_I,0.0007,0.0,0.4534,0.3095,0.4724,17.4014,3.9052,0.2097,1.4354,0.9145,5.5789,7.7954,1.419,2.858,3.3752,5.0149,3.2133,1.9268,4.0237,0.193,1.6909,6.0715,18.1129,0.758,0.5216,20.1673,12.2106,13.4353,1.3677,9.5105,0.0001,0.0,26.2308,7.9278,33.4948,41.1637,18.7838,18.0786,402.9439,134.3559,0.2481,4.553,4.5308,595.8819,0.0,15335.9164,1.672,0.0,0.0,0.0,0.0
GRC_J58T60,0.2136,0.0025,1.3588,1.9812,0.0309,9.8965,2.0593,0.0745,0.5899,0.4215,0.8508,4.2676,0.8121,1.7086,1.1597,1.4814,0.9205,0.7666,1.0352,0.0908,0.7201,1.7656,24.9083,4.6874,4.2478,62.7234,10.7161,2.8289,6.0931,6.5051,0.9732,81.4399,119.6485,21.3477,9.0968,17.8496,3.7846,92.1542,29.8102,71.4589,51.4661,5.8902,33.0135,3.7546,0.0,593.3669,1.6284,88.002,350.5147,0.5737,0.0
GRC_J61,24.0807,2.0293,0.121,0.8067,0.2205,46.5559,11.6594,0.6399,4.0572,3.7388,5.4556,10.7887,3.6167,7.6607,6.106,13.1589,3.9888,1.8758,5.2244,1.0487,1.6307,10.744,34.1429,10.4717,19.5373,524.2768,46.9796,10.7153,16.2049,32.1723,2.9393,116.2853,34.0284,172.7037,17.7398,161.1758,21.3099,152.9144,137.5773,139.1024,25.4363,34.1704,23.9823,34.67,0.0,4211.1578,0.0142,10.211,131.1022,2.1166,0.0
GRC_J62_63,0.047,0.0079,0.334,2.648,0.0866,10.1881,2.2995,0.2511,0.9992,0.1016,1.0032,22.1758,0.5452,1.1705,1.9799,2.9498,0.5638,1.384,1.4383,0.4867,1.1719,1.8038,10.0815,2.2911,3.5593,7.2753,55.1117,1.2885,27.9121,2.3414,4.6791,26.3008,179.8483,16.8365,66.736,78.8589,2.0773,97.4193,63.0945,11.1148,9.0512,21.3708,41.3292,7.2715,0.0,7.5283,0.0063,10.6211,1193.8045,0.0345,0.0
GRC_K,311.2164,25.5584,5.2533,9.606,1.1939,281.325,31.8679,3.6276,40.0999,167.5729,44.7178,72.4037,37.0218,48.8791,69.4099,53.4333,14.2587,18.6287,18.5103,2.4439,4.9682,27.5796,203.9673,42.3272,263.8212,1036.1912,265.6552,334.6745,113.898,179.7131,28.1229,296.8287,83.5573,179.0823,81.8805,1187.8596,1010.784,227.0787,278.4122,773.2636,50.684,131.8048,257.4365,214.2833,0.0,3835.7885,190.5953,8.045,179.5159,1.2372,0.0
GRC_L,21.4947,0.2989,0.8832,9.4406,0.2553,125.8292,46.5901,1.986,8.8569,17.0599,10.7074,56.9453,9.4083,21.5103,19.9529,34.8935,7.7366,4.864,12.3895,0.9792,3.4171,35.8307,641.1753,13.8131,170.9074,4568.5353,68.277,117.2628,18.7968,269.5736,3.437,220.7444,41.7449,1510.0089,151.5017,307.7721,28.2491,1236.6104,348.7756,168.9113,45.0695,20.5586,80.886,181.6721,0.0,21492.0599,4.0698,6.7414,31.7082,0.1182,0.0
GRC_M,34.4851,2.2719,7.1155,104.5618,2.7292,605.4894,69.7686,5.8815,34.6861,49.771,88.8875,193.4062,29.096,66.3567,149.9833,96.8918,40.377,23.8664,41.6564,5.7316,22.359,64.0408,54.4482,61.0409,751.5222,987.9412,361.3524,318.6516,199.407,216.9152,34.2907,182.8445,93.0542,325.9775,108.3639,542.927,177.2032,441.8454,333.408,467.7101,37.3545,64.6855,128.8161,83.6287,0.0,202.5351,0.034,180.2022,1218.4986,3.4539,0.0
GRC_N,5.0586,0.3706,2.7151,27.3204,1.7215,7.5062,3.6367,0.8211,6.9481,13.7455,1.0379,66.5736,4.7004,4.4198,5.0425,5.3568,3.9952,1.9513,3.102,0.5037,3.3415,2.147,32.2685,35.2297,31.8962,172.3797,335.2916,99.6471,162.3644,26.5284,26.9963,287.2883,38.016,45.1813,12.9442,89.8592,12.9507,280.193,380.8319,183.0705,68.624,190.5271,106.7766,53.9814,0.0,1720.6923,0.0246,0.4371,150.2296,3.0268,0.0
GRC_O,0.2052,0.0346,0.7805,1.2386,0.0804,100.2341,9.9083,1.1259,12.2107,68.0167,14.1573,11.1953,11.6935,14.025,21.6883,15.4139,3.754,6.2489,4.3649,1.1079,0.8424,7.0406,96.6085,6.319,76.7018,190.1848,56.7677,10.2649,13.9955,26.9766,4.0428,55.838,17.8083,46.7831,13.2713,139.0666,17.7307,50.9299,38.3745,41.6208,6.2238,22.3594,28.7028,7.7508,0.0,742.2895,3.0216,21783.3873,174.0512,0.0202,0.0
GRC_P,0.0053,0.041,1.8216,2.6154,0.0354,0.1368,0.0351,0.0031,0.0126,0.0046,0.0129,1.2516,0.0078,0.0172,0.0255,0.1392,0.0078,0.0159,0.0182,0.0054,0.0133,0.0274,8.3396,6.4102,0.0719,2.9904,0.5983,0.4134,0.302,0.1006,0.0507,1.6768,4.5376,1.3681,14.2295,17.7125,0.0827,28.1341,5.3171,61.7324,125.6074,42.8005,8.1135,8.2646,0.0,2266.5842,13.804,7254.5312,462.5813,0.0158,0.0
GRC_Q,2.3286,0.0176,0.0036,0.0328,0.0321,0.2871,0.0976,0.0051,1.2368,0.0311,0.0251,1.5084,0.0201,0.0456,0.0476,0.0804,0.0173,0.017,0.0309,0.0047,0.0131,0.0753,1.2947,0.2606,0.3261,8.2757,5.9581,0.7751,1.3654,0.5004,0.2086,0.5542,2.0767,2.8258,3.2858,25.9894,0.0642,11.5877,2.427,960.0814,0.6768,82.4427,0.9584,25.0591,0.0,3409.5739,421.3953,5616.2403,193.8057,0.0068,0.0
GRC_R,0.0128,0.0003,0.001,0.0097,0.0036,0.0902,0.0311,0.0016,0.0125,0.0102,0.0079,1.2713,0.0318,0.0145,0.1855,0.0252,0.0055,0.005,0.0298,0.0013,0.0038,0.024,0.4046,0.4164,0.1083,3.2972,1.04,0.1875,0.0566,0.1879,0.0094,25.3914,96.1529,1.1383,0.2453,123.6976,0.3939,119.8352,64.3908,10.5424,31.6063,0.8158,553.5696,27.3942,0.0,2365.0419,327.5835,416.4266,2.6591,0.1269,0.0
GRC_S,15.1547,0.0029,0.4184,3.275,0.1293,39.0042,6.2145,0.3599,4.097,6.8778,3.3958,12.9739,2.413,10.3272,9.2173,9.0559,2.5581,2.4121,3.3459,0.4377,1.9003,6.0155,48.6304,7.2489,20.7207,190.3604,6.3707,5.4345,1.4613,15.4941,0.25,87.2899,6.5135,34.1924,43.6011,10.2942,0.8634,84.1074,21.6462,30.0033,0.7853,25.8222,2.0541,52.9071,0.0,1788.3891,1923.7801,0.8933,20.7,0.0014,0.0
GRC_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.5817,0.0,0.0,0.0,0.0,0.0
