V1,THA_A01_02,THA_A03,THA_B05_06,THA_B07_08,THA_B09,THA_C10T12,THA_C13T15,THA_C16,THA_C17_18,THA_C19,THA_C20,THA_C21,THA_C22,THA_C23,THA_C24,THA_C25,THA_C26,THA_C27,THA_C28,THA_C29,THA_C30,THA_C31T33,THA_D,THA_E,THA_F,THA_G,THA_H49,THA_H50,THA_H51,THA_H52,THA_H53,THA_I,THA_J58T60,THA_J61,THA_J62_63,THA_K,THA_L,THA_M,THA_N,THA_O,THA_P,THA_Q,THA_R,THA_S,THA_T,THA_HFCE,THA_NPISH,THA_GGFC,THA_GFCF,THA_INVNT,THA_DPABR
THA_A01_02,4275.2535,12.4108,0.0008,0.6113,0.0626,22944.6561,166.6784,149.2643,21.688,0.0002,206.291,111.9474,3900.3494,0.374,0.345,0.1266,0.0,0.0,0.0219,0.0,0.4825,17.0949,7.3308,0.0047,63.5346,0.2743,0.0295,0.0009,64.3648,0.0808,0.0078,2388.2272,0.0341,0.0132,1.0287,24.1823,12.8214,4.1315,2.6633,56.3685,238.2026,298.9902,25.9408,47.9476,0.0,14974.9415,12.6138,108.162,68.4103,-8.6219,0.0
THA_A03,99.6724,327.4564,0.0,0.0,0.0002,2537.0792,0.0,0.0,0.0,0.0,0.0309,127.1383,0.0,0.2632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2521,0.0,1210.7964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9819,21.8447,46.4959,1.3099,0.0,0.0,2374.6581,3.3469,1.9196,0.0,0.8974,0.0
THA_B05_06,0.0,0.0,187.5423,0.0,3.5841,2.5235,0.8502,0.0,6.8849,9039.0724,102.6877,0.0,0.0,88.1239,172.7592,0.0418,0.0,0.0,0.3188,0.7226,0.0,0.0453,3957.7917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0
THA_B07_08,7.7268,0.3878,1.9538,1.6183,3.3147,53.2749,0.7673,0.0,6.8606,0.0687,121.8648,8.2196,1.9959,1099.9298,104.2931,3.6763,0.7533,6.8453,9.3946,17.4104,1.6053,106.6851,0.264,0.2893,1180.7029,0.0,0.4531,0.0,0.0,0.0,0.0,0.0927,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0492,0.2572,0.6652,0.0348,0.0,3.8997,0.0,0.0,0.0,-0.0956,0.0
THA_B09,7.104,3.4076,281.6143,53.3024,40.6335,7.402,0.5174,0.1786,3.7579,347.3125,24.6549,0.1792,2.5393,54.4983,49.9257,3.8178,0.3765,0.2572,1.6958,0.2034,0.2201,0.4465,79.6092,1.4793,73.092,2.6713,5.3643,0.5518,0.7272,0.0964,0.0027,0.3516,0.006,0.0,0.0018,0.0017,0.7004,0.5287,0.147,1.5244,0.0869,0.2149,0.0415,0.0732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THA_C10T12,2979.8161,698.9866,0.0,0.0,0.3526,12122.919,370.515,19.3121,52.7924,2.9871,415.817,145.0762,28.4214,22.5177,0.0018,0.0,0.0,1.8467,0.0,0.0,0.1838,56.4118,36.6649,0.0,0.0,133.4892,20.1493,0.1964,337.457,0.0,0.0384,10410.5669,8.459,0.0574,7.0888,28.7174,1.6078,11.6216,22.8778,139.0347,239.2172,216.4489,60.2453,189.5858,0.0,25764.4506,45.653,7.5369,0.0,-66.987,0.0
THA_C13T15,15.5866,16.503,0.0119,1.233,1.8648,24.45,9617.5351,0.118,7.9693,0.4077,247.2919,11.9636,248.5716,26.9435,2.5403,0.5058,70.7508,92.4376,9.0292,64.0976,85.7704,319.2784,6.8914,1.9658,10.647,684.2742,21.5677,46.0034,25.8898,5.3823,0.3183,482.5908,38.3323,0.4525,29.0568,169.236,2.9344,27.7303,56.6348,236.8912,13.7288,103.5528,9.5185,106.4448,0.0,13765.6621,30.1794,63.2731,251.9829,-11.6255,0.0
THA_C16,83.1059,2.6688,0.0,3.9294,0.2337,2.357,3.5773,567.6276,1.7194,0.2794,12.044,0.2146,5.9581,11.4414,0.5365,15.8964,15.3055,10.6314,24.2828,29.3765,41.0707,265.8022,0.9776,2.1953,285.1446,53.3171,0.1835,0.0141,0.1256,1.1361,0.0,5.1815,1.1023,0.0,1.2667,5.8045,0.1435,1.8859,11.6708,0.3476,0.0382,0.8099,0.0123,3.5889,0.0,276.6883,1.6732,0.0,35.9759,-6.3868,0.0
THA_C17_18,10.5032,0.2288,1.6055,1.062,0.3624,137.8272,74.4546,3.2406,1744.4912,3.3522,73.8781,43.6935,37.7738,60.9186,8.9957,22.6041,53.1751,38.5643,5.665,139.4456,6.1424,67.1942,9.3881,2.3903,17.8988,234.6255,14.7981,4.811,4.1873,0.8543,4.3991,56.5868,273.3859,6.8297,166.2312,286.4766,7.1406,225.3151,161.1395,147.8353,468.4942,25.2433,10.6766,26.2213,0.0,1059.1897,3.4283,35.0126,0.0,-0.025,0.0
THA_C19,916.4484,767.137,1123.1078,242.6126,27.3201,503.295,335.034,57.5536,61.6703,637.5817,1861.9627,10.5021,305.0596,497.6131,483.0868,127.3836,190.0307,118.2603,325.7344,699.9755,91.9695,115.567,1396.428,67.3602,710.1619,689.1532,3772.0958,1722.2083,1940.9779,3.5978,47.2719,427.7251,42.8744,49.2774,79.6486,137.7259,27.274,126.5348,353.1357,754.3959,296.9253,69.5541,16.687,278.4583,0.0,3560.9348,0.0,0.0,0.0,15.3986,0.0
THA_C20,1531.2259,14.0009,4.495,41.7819,4.0124,209.275,738.9693,77.5996,258.9511,219.4889,3427.5151,233.1673,2261.9936,426.5003,61.8742,145.316,353.2951,183.0467,105.8557,422.7236,103.4164,237.5522,13.357,40.4045,218.6877,245.2478,6.2026,2.1807,9.5994,0.6294,0.2881,92.4737,68.4938,0.4794,5.7775,26.7773,0.8232,11.4895,17.4216,12.6838,58.0467,172.3678,0.7619,515.2725,0.0,1091.0006,3.0332,8.1469,0.0,-30.6818,0.0
THA_C21,150.5178,2.5711,0.0,0.0117,0.059,69.7918,0.3488,0.0,0.5767,0.0,24.6169,248.1699,0.0,0.5941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0221,0.0,3.7134,0.0,0.2747,1.9213,0.0177,0.7674,0.0,1.5986,0.0,0.0,0.0,1.0538,0.0,0.0,0.3665,0.9169,9.6662,1379.3938,0.6134,7.3652,0.0,1099.1286,5.2336,305.7971,0.0,-0.6065,0.0
THA_C22,233.6813,58.7909,5.6558,16.1715,3.0335,583.9805,593.2746,16.2886,80.9812,11.9138,246.4738,73.6815,1669.9853,45.6875,19.6356,107.9446,628.1171,299.9171,196.0328,1288.6165,436.3223,287.5467,5.7717,10.3924,384.7545,1017.7056,283.0354,3.9155,3.3818,3.071,2.2273,42.6465,23.1537,3.0816,6.547,15.5558,2.5204,8.4386,24.5061,0.0,9.0981,27.4682,0.634,44.0698,0.0,945.3457,0.0,0.0,151.0051,-48.9218,0.0
THA_C23,24.3561,5.0218,0.0026,0.793,3.5168,323.1102,1.6333,5.2337,1.1235,0.0011,29.3626,69.0978,1.1657,1888.4467,11.2198,64.1471,263.8056,392.7629,113.7299,399.3506,62.6009,34.1827,0.0,10.3762,7275.7573,41.4301,0.053,0.0,0.1475,0.0109,0.0,43.2983,0.1198,0.0,0.0087,1.9414,1.6573,4.5559,0.0373,26.1529,2.5888,1.6357,0.4583,1.6793,0.0,948.5296,0.0,0.0831,672.7092,-50.6809,0.0
THA_C24,0.3008,0.0037,0.0004,0.0332,0.9552,7.6056,0.1218,0.1453,3.1053,0.0747,1.0248,0.0001,2.8971,20.5603,1188.4373,909.6239,1046.4592,994.2694,397.3105,620.6464,140.9446,1849.6135,0.0,0.0576,287.7036,56.0017,0.2451,0.4669,0.0,0.0405,0.0,0.1881,2.2159,0.0,0.3128,0.0,0.0137,0.549,0.4727,0.0,0.012,1.1235,0.0008,8.4985,0.0,0.0,0.0,0.0,22.6763,-11.2331,0.0
THA_C25,191.1223,0.6626,0.2112,33.4186,6.8457,646.7472,84.824,52.1383,17.1288,1.1642,46.874,21.023,56.3118,18.4013,7.9596,258.385,197.957,221.1148,435.0606,350.615,102.191,130.1827,36.9807,1.4672,1129.9639,96.7606,14.5203,2.3991,12.4622,1.7007,0.0257,30.0049,13.0337,0.0872,7.4814,2.9648,2.6771,10.5567,44.7547,47.5079,1.1145,22.7657,0.6944,24.0457,0.0,690.5516,1.7106,2.3198,938.6951,-113.8585,0.0
THA_C26,16.6104,0.2713,32.1891,0.9899,2.3942,30.7756,57.5025,3.1207,13.6569,0.9755,29.5603,13.1818,10.8451,10.2665,2.9961,67.2931,30642.3205,232.2239,225.8857,1457.6451,54.0805,1043.6627,34.4858,11.0663,210.3237,211.0529,30.2067,5.9779,21.3336,1.3553,10.6112,124.358,180.8339,160.0965,253.0832,204.3892,33.3122,200.6011,102.2937,345.8045,773.024,938.8679,12.6466,532.3247,0.0,1963.8567,8.2788,863.7012,10955.4866,-610.3472,0.0
THA_C27,4.4875,0.3838,2.6545,1.5161,0.6263,0.3771,0.2106,0.7845,0.0037,0.0,0.0049,0.0036,0.2116,1.6915,0.4247,2.2865,308.723,978.5811,118.7003,700.5081,65.3428,73.8645,130.9213,0.6338,641.3975,285.2461,13.4388,2.1873,0.0234,0.1743,0.0477,79.2328,9.2942,0.5964,4.0083,14.3026,3.2856,4.504,4.4526,0.0,2.3514,3.7462,0.3283,27.403,0.0,638.1117,0.779,0.0,1066.8574,-285.1752,0.0
THA_C28,76.5584,7.2723,38.4299,25.4812,4.6255,92.0415,60.6801,13.7411,20.8102,17.8982,73.0784,4.2333,45.5451,37.8981,16.3462,19.5036,88.7427,14.3881,1213.7334,895.4686,107.5634,17.5819,46.1909,0.6488,52.7294,103.1612,6.9342,5.0882,4.6944,1.5524,1.0325,5.6901,4.7507,1.9842,2.8535,0.0352,0.2935,3.3179,9.6285,34.5732,0.8165,9.8344,0.9232,4.7354,0.0,291.1524,0.9024,0.8409,2424.6731,-715.0239,0.0
