V1,SWE_A01_02,SWE_A03,SWE_B05_06,SWE_B07_08,SWE_B09,SWE_C10T12,SWE_C13T15,SWE_C16,SWE_C17_18,SWE_C19,SWE_C20,SWE_C21,SWE_C22,SWE_C23,SWE_C24,SWE_C25,SWE_C26,SWE_C27,SWE_C28,SWE_C29,SWE_C30,SWE_C31T33,SWE_D,SWE_E,SWE_F,SWE_G,SWE_H49,SWE_H50,SWE_H51,SWE_H52,SWE_H53,SWE_I,SWE_J58T60,SWE_J61,SWE_J62_63,SWE_K,SWE_L,SWE_M,SWE_N,SWE_O,SWE_P,SWE_Q,SWE_R,SWE_S,SWE_T,SWE_HFCE,SWE_NPISH,SWE_GGFC,SWE_GFCF,SWE_INVNT,SWE_DPABR
SWE_A01_02,4939.195,2.8266,1.4663,7.9744,0.3179,2304.1557,9.5728,3458.9487,2391.2099,2.0983,74.3445,14.2233,11.6201,14.1638,22.3975,13.4272,2.4781,5.4565,15.5686,16.7204,3.79,20.2259,429.373,13.9408,245.7579,120.1124,29.3746,3.5858,2.237,94.7436,3.8754,209.247,120.7367,8.2361,25.7883,21.4528,302.0903,91.4055,77.5923,65.7365,61.8294,200.5044,112.3308,40.4507,0.0,3283.3973,4.5957,27.7664,832.4376,142.9186,0.0
SWE_A03,0.8303,11.3742,0.0055,0.0386,0.0018,22.8199,0.0302,0.1039,0.1741,0.0331,3.3362,2.4187,0.0527,0.0938,0.0931,0.1159,0.0417,0.0614,0.1638,0.2627,0.0306,0.1649,0.0929,0.0885,1.1858,3.4317,0.157,1.0888,0.0564,0.6414,0.0255,55.0487,0.1492,0.0707,0.2864,0.1415,0.6536,0.8417,0.6451,0.7064,0.5628,1.9164,0.7412,0.0663,0.0,84.172,0.1771,1.6954,3.7425,5.7992,0.0
SWE_B05_06,91.5526,0.0013,7.7662,1.3532,0.0436,0.2765,0.0086,0.4599,7.3456,57.2141,4.0489,0.0728,0.2044,49.3298,68.7619,0.0756,0.0059,0.0102,0.0617,4.3987,0.0222,6.0435,4.5881,2.4342,20.6228,0.6764,1.5312,0.0119,0.0172,9.3101,0.647,0.0787,0.0447,0.0307,0.0578,0.0319,2.63,0.1737,0.1022,0.1229,0.1229,0.1782,0.2854,0.0487,0.0,2.9254,0.0029,0.0041,1.7101,5.528,0.0
SWE_B07_08,2.4116,0.0696,9.4637,469.4785,7.4189,7.2447,0.0627,0.2191,15.9483,0.0072,122.1224,0.8198,1.2478,41.4066,2400.3615,1.3749,2.3104,1.5736,0.0738,0.3712,0.0652,0.4536,7.7549,48.2985,274.503,0.0735,48.6671,0.0296,0.0,35.3383,1.0942,0.1446,0.0,0.0,0.143,0.0,13.5792,3.7272,1.3746,0.5431,0.0323,0.1935,6.8071,0.7091,0.0,33.346,0.0,0.0,2.766,60.3501,0.0
SWE_B09,0.0093,0.0005,0.0047,0.1235,0.0063,0.0021,0.0,0.0014,0.1015,0.0,0.0367,0.0003,0.007,0.1288,0.6815,0.0029,0.0003,0.0004,0.0003,0.0008,0.0001,0.0,0.0442,0.0241,0.7446,0.0003,0.0129,0.0001,0.0,0.027,0.0,0.0007,0.0,0.0,0.0006,0.0,0.0038,0.0175,0.0032,0.0032,0.0001,0.0012,0.0018,0.0017,0.0,0.0,0.0,0.0,0.1131,0.0,0.0
SWE_C10T12,424.8044,6.1002,0.0,0.0,0.0,2063.2548,8.4672,0.0,53.9394,0.0187,209.3557,42.3602,1.9635,0.1957,0.0993,0.0559,0.0558,0.9972,0.055,1.3248,0.0979,4.0117,8.1367,2.514,0.6131,81.7809,5.7644,15.3728,9.0244,1.266,0.1499,2218.4961,3.6755,0.0,1.2029,6.2484,1.7172,46.6753,24.5015,98.6736,181.4044,606.7534,153.3497,1.8685,0.0,10653.9107,0.0,18.5569,0.0,225.729,0.0
SWE_C13T15,2.9311,0.7596,0.5412,4.939,0.1966,12.8923,49.1129,9.1797,35.2173,1.251,4.0159,4.1496,8.4508,5.0643,6.8827,22.2547,2.9234,5.0266,13.1773,58.6173,2.2545,27.8117,2.176,1.3149,19.218,18.5843,4.6603,0.5527,0.3845,5.4375,0.8751,10.0631,1.6314,2.2722,11.6125,0.5888,2.8978,37.6844,21.9464,11.5743,3.5279,36.3257,6.4673,3.9803,0.0,748.0519,0.003,0.764,6.5006,14.915,0.0
SWE_C16,131.6428,5.531,1.485,2.5436,0.0952,23.8762,2.2564,1449.4763,430.3826,3.1264,20.9007,5.0298,33.7877,179.8498,53.126,70.6558,4.438,25.4434,38.5159,24.2513,7.6739,303.8509,430.3065,10.2067,3271.756,97.3787,20.366,0.8909,1.2702,29.5438,3.1308,7.9037,5.7272,2.7591,11.2585,4.2971,361.9786,26.4466,51.5824,19.9494,16.6038,19.8017,25.3159,24.1496,0.0,521.6377,0.2536,6.8333,310.8048,66.0283,0.0
SWE_C17_18,189.1816,1.2387,0.8433,7.4383,0.2396,279.2929,8.115,177.1235,1801.4368,5.7576,53.4961,88.4718,86.2584,26.9559,28.5585,39.2027,15.3976,25.531,70.8764,55.5299,6.8175,71.0604,38.3438,48.8605,103.8055,450.43,29.8052,5.6496,7.2187,48.3654,13.8783,32.1904,553.378,103.3508,148.2574,69.7534,135.7092,485.5574,108.3118,123.4827,155.5131,264.9967,145.1755,89.9788,0.0,730.1569,0.6989,140.9879,192.8673,108.5343,0.0
SWE_C19,247.8654,9.4839,7.5694,48.1568,1.3921,59.8211,6.7423,44.2959,77.4489,3.3142,73.2865,15.1562,17.4154,168.5755,103.81,35.5295,3.2069,13.9139,40.216,48.4587,3.9305,36.6732,68.0861,128.9969,695.9981,285.2601,1362.7677,202.4416,319.2261,132.1704,25.1243,15.6778,10.7644,21.3067,9.7451,14.3063,117.0799,58.7927,63.8153,65.7645,21.4059,48.9883,53.1839,34.5915,0.0,1690.3478,0.1219,8.2703,13.9032,80.9746,0.0
