V1,BGR_A01_02,BGR_A03,BGR_B05_06,BGR_B07_08,BGR_B09,BGR_C10T12,BGR_C13T15,BGR_C16,BGR_C17_18,BGR_C19,BGR_C20,BGR_C21,BGR_C22,BGR_C23,BGR_C24,BGR_C25,BGR_C26,BGR_C27,BGR_C28,BGR_C29,BGR_C30,BGR_C31T33,BGR_D,BGR_E,BGR_F,BGR_G,BGR_H49,BGR_H50,BGR_H51,BGR_H52,BGR_H53,BGR_I,BGR_J58T60,BGR_J61,BGR_J62_63,BGR_K,BGR_L,BGR_M,BGR_N,BGR_O,BGR_P,BGR_Q,BGR_R,BGR_S,BGR_T,BGR_HFCE,BGR_NPISH,BGR_GGFC,BGR_GFCF,BGR_INVNT,BGR_DPABR
BGR_C27,3.4782,0.0106,0.4027,1.2466,0.098,5.2398,1.1843,0.4282,0.6305,4.473,0.9441,1.2412,2.7007,0.8516,13.8501,6.4454,1.5818,137.7119,8.2858,41.12,0.4117,12.0275,10.0899,0.6631,51.847,14.7997,2.8158,0.0261,0.6398,3.4394,0.1823,1.2215,0.3486,0.6932,2.0643,0.5827,11.1575,6.6025,2.247,3.5385,0.2258,1.857,1.2669,1.3332,0.0,140.9067,0.003,2.2933,113.3113,9.5968,0.0
BGR_C28,3.6506,0.0139,0.1665,2.2826,0.3008,5.6732,1.2685,0.2534,0.8237,3.8589,1.0495,1.6803,1.5401,9.3544,14.1704,8.9096,2.6422,14.8489,26.3935,3.5577,0.7001,7.154,4.3051,1.7643,49.6958,21.8451,5.8515,0.0906,1.5386,3.7069,0.6025,2.2489,0.6196,1.832,3.3989,1.7714,5.2239,6.5816,3.7971,1.6488,0.608,2.7928,1.5472,1.0983,0.0,43.5129,0.0075,14.2547,394.0083,8.5775,0.0
BGR_C29,0.7838,0.0144,0.0317,0.2466,0.0302,0.8831,0.3423,0.1696,0.1011,0.3368,0.1457,0.6546,0.2101,0.1426,1.3601,1.5349,6.5869,3.073,0.9858,38.6566,3.2179,12.2438,0.4765,0.6381,3.4704,41.5878,46.8768,0.016,0.9708,0.9886,0.379,1.173,0.3362,1.0131,5.0687,1.5569,2.0467,2.139,2.7573,2.0179,0.6544,0.4921,0.9919,0.5817,0.0,209.9078,0.0019,4.3029,218.8815,6.868,0.0
BGR_C30,1.0573,0.0024,0.0882,0.9233,0.0042,0.3456,0.03,0.0246,0.0074,0.0222,0.0177,0.0084,0.0147,0.4442,0.0452,0.0907,0.2423,0.9313,1.3405,0.2323,17.3296,0.1556,0.0311,0.6959,1.4423,9.422,46.7527,1.1852,5.4166,0.7525,1.1687,0.3302,0.0335,0.0184,0.1486,0.0924,0.4819,0.388,2.7904,21.3332,0.0859,0.0262,0.0968,1.16,0.0,40.196,0.0,11.6976,12.943,0.4468,0.0
BGR_C31T33,10.98,0.0635,0.2764,1.3997,0.8735,31.9586,7.4527,3.1305,3.2359,44.5057,4.7287,6.2825,9.1816,4.5931,156.6572,11.0858,12.3565,15.5088,11.0912,9.0846,5.3793,136.1377,20.0565,4.0375,75.2073,56.8691,12.5925,0.0924,1.4712,7.591,1.0976,18.2995,1.8405,4.8695,12.0079,16.9466,16.1378,16.8887,10.1753,3.255,2.0387,12.8421,7.7803,3.8761,0.0,323.4556,0.006,10.9252,99.0261,2.6912,0.0
BGR_D,25.7448,0.0331,119.9159,93.0522,0.7938,208.4788,48.1682,27.9812,38.2369,43.725,136.0142,76.0714,42.5545,83.906,322.7477,79.7988,21.5638,27.9307,56.2338,10.975,3.3757,24.8985,212.6964,107.309,34.7692,222.0034,91.3656,1.6509,1.027,71.9525,1.5151,92.5129,3.6293,73.0372,13.9214,25.8004,165.6254,11.3289,13.208,89.3211,2.0797,70.973,17.6481,10.7918,0.0,1238.9745,0.0038,5.3837,20.4548,1.3292,0.0
BGR_E,22.5543,0.0791,0.5098,7.2913,0.1303,48.9344,7.3487,19.0202,63.3785,2.6779,10.2207,2.9684,3.4782,13.0248,50.127,6.2228,1.2673,7.5101,4.0954,1.4007,0.8874,4.3053,15.7,53.177,13.6151,43.3941,7.9562,0.2898,0.5027,4.6386,0.5808,35.1981,0.2944,2.1676,1.1969,2.0968,15.0932,5.6087,7.2251,16.7458,0.8009,9.8176,3.8922,23.4837,0.0,411.6585,0.0004,44.5072,5.3176,0.344,0.0
BGR_F,56.7051,0.8482,3.2463,22.9914,0.56,55.595,11.1023,6.0092,5.5847,15.5175,9.4543,17.3853,9.8899,35.4176,140.9932,41.1351,12.8188,26.3276,40.5105,12.9063,11.3406,25.2087,47.0024,43.2945,915.1001,237.8237,33.5525,0.3086,3.6893,82.149,3.7327,65.2162,14.3548,22.0138,15.4793,57.5957,442.2075,58.1418,95.5847,48.0875,44.4207,151.2718,45.8557,6.2103,0.0,180.9519,0.0613,29.1302,4741.53,3.7965,0.0
BGR_G,312.7487,0.7897,11.6289,45.7935,1.7117,714.9742,176.4178,38.6702,71.9543,186.7878,88.4284,31.1245,129.079,74.4847,274.0255,175.7982,40.5989,87.4458,139.8359,147.1523,26.4039,107.8783,139.2531,35.0279,300.2615,743.0057,431.8704,3.3411,30.4202,61.8128,10.1308,102.8931,16.3618,29.2606,48.4827,72.5339,82.6617,128.2561,119.3409,48.0079,13.0229,47.0389,39.5225,49.5093,0.0,2164.3694,0.8445,73.9694,369.1929,69.8257,0.0
BGR_H49,68.5521,0.5214,3.2762,35.8034,0.8728,148.0784,16.6707,17.0276,10.6609,59.0372,16.7342,24.524,13.2379,21.99,146.0881,43.9778,14.0088,37.0347,58.9116,34.3386,7.1214,22.3713,160.4204,15.9315,505.0761,375.1199,218.1093,1.5411,7.2949,236.506,6.4621,22.1693,7.5683,13.5413,13.4035,13.9424,17.7833,33.2708,87.3331,31.8916,9.8245,31.771,20.2992,8.1625,0.0,1145.8451,0.0159,124.404,40.1482,28.0112,0.0
BGR_H50,0.5683,0.003,0.0409,0.0274,0.0012,0.1113,0.135,0.0122,0.1259,0.1776,0.1036,0.0127,0.228,0.2641,0.0529,0.0262,0.011,0.0336,0.0272,0.0207,0.0048,0.0968,0.2129,0.0272,0.106,0.5105,0.3449,0.0153,0.0563,0.1471,0.0507,0.0255,0.038,0.0363,0.1457,0.0841,0.137,0.4633,0.1424,0.0248,0.0656,0.0841,0.202,0.0402,0.0,0.7099,0.0015,0.2731,0.7597,26.9547,0.0
BGR_H51,0.8947,0.0056,0.0926,0.2506,0.0214,1.8115,0.5624,0.1442,0.3191,3.1431,0.8025,0.1285,0.5771,0.6737,2.0864,0.6523,0.1035,0.4287,0.5088,0.2749,0.1402,0.3652,2.0767,0.0985,2.0749,1.6412,1.2645,0.0104,0.2467,0.3515,0.0329,0.6829,0.0672,0.0887,0.1439,0.1406,0.1659,0.176,1.1189,0.5613,0.0397,0.186,0.1111,0.1179,0.0,57.4508,0.0002,1.1197,1.6996,11.1998,0.0
BGR_H52,31.9045,0.8301,8.1447,19.2867,0.4248,39.5543,4.0335,2.5344,2.3898,13.0113,4.0758,2.5172,2.8696,6.9635,36.9696,7.6387,1.4171,4.8808,7.0734,3.2801,1.0215,4.1683,34.5852,6.2359,89.7381,230.2276,344.2556,13.4118,18.3958,146.1214,50.4557,9.2495,4.2703,15.3568,3.0818,4.2358,2.2096,7.4238,11.1586,5.0455,1.5819,5.0986,8.5635,3.2696,0.0,220.2283,0.0214,136.108,8.0496,14.286,0.0
BGR_H53,1.896,0.0302,0.1785,0.7608,0.0441,2.5693,0.5524,0.3515,0.6244,3.1134,0.2404,0.506,0.2356,0.4358,2.9154,1.5317,0.3914,0.7136,1.4311,0.5712,0.4362,1.1791,4.01,0.6972,25.3846,46.341,15.0999,0.3291,2.9559,17.9703,29.2616,5.7439,4.8265,14.6287,2.5224,19.8712,1.2969,8.1363,9.1351,16.4254,3.377,1.8886,12.1452,1.4739,0.0,169.2154,0.0129,10.2342,0.3552,0.2322,0.0
