V1,DNK_A01_02,DNK_A03,DNK_B05_06,DNK_B07_08,DNK_B09,DNK_C10T12,DNK_C13T15,DNK_C16,DNK_C17_18,DNK_C19,DNK_C20,DNK_C21,DNK_C22,DNK_C23,DNK_C24,DNK_C25,DNK_C26,DNK_C27,DNK_C28,DNK_C29,DNK_C30,DNK_C31T33,DNK_D,DNK_E,DNK_F,DNK_G,DNK_H49,DNK_H50,DNK_H51,DNK_H52,DNK_H53,DNK_I,DNK_J58T60,DNK_J61,DNK_J62_63,DNK_K,DNK_L,DNK_M,DNK_N,DNK_O,DNK_P,DNK_Q,DNK_R,DNK_S,DNK_T,DNK_HFCE,DNK_NPISH,DNK_GGFC,DNK_GFCF,DNK_INVNT,DNK_DPABR
DNK_A01_02,1157.0575,0.1954,0.7408,0.2031,1.8788,2924.6765,2.8247,86.1014,3.8768,1.337,12.3042,62.5167,4.091,3.9444,0.3025,8.7514,4.5003,1.8597,119.5097,0.8452,0.5541,55.9431,55.1158,27.0503,178.3674,192.257,12.8973,7.543,5.2163,37.0477,4.6599,196.6102,29.6636,16.084,42.9062,25.6723,28.0163,129.9146,154.1864,79.2618,68.1935,134.2816,35.2268,21.1867,0.0,2329.7979,0.0,101.6815,662.9979,107.5799,0.0
DNK_A03,3.755,1.2631,0.2516,0.0716,0.4287,191.896,0.1036,0.0395,0.1625,0.0308,1.8206,1.5753,0.0979,0.3997,0.0267,0.3517,0.3773,0.1794,2.5175,0.0738,0.0751,4.2258,0.3752,2.9708,24.6489,17.1608,2.8081,0.7935,1.1817,9.0812,0.3134,15.9025,1.7815,0.5896,4.6774,1.3206,1.755,10.6619,8.1665,2.2045,2.7305,4.7175,2.3991,1.5126,0.0,85.0403,0.0,0.0001,1.873,6.4166,0.0
DNK_B05_06,7.9419,0.0008,68.3987,15.1203,3.523,82.3838,0.9896,0.3864,6.297,1130.8232,29.8077,8.0545,4.1867,24.4841,12.7481,6.1491,0.639,0.6553,4.6705,0.5225,0.1523,1.5446,426.2307,2.0247,107.8527,9.1433,0.3877,0.0506,0.0323,0.9908,0.4338,7.4181,2.5653,0.2337,0.8351,1.084,1.4886,3.9449,29.2369,2.7135,5.6197,18.252,5.7893,0.6416,0.0,153.1426,0.0,0.0,5.8954,38.948,0.0
DNK_B07_08,6.8101,0.0004,2.9447,2.913,0.6496,5.0366,0.4015,0.1462,3.6732,0.1097,2.9921,0.8191,2.9136,103.5972,0.2728,3.9547,0.3065,0.3503,1.9591,0.2479,0.0057,0.6263,33.0079,0.2204,80.3899,2.7384,0.1831,0.013,0.0146,0.1344,0.0433,0.1826,0.2378,0.009,0.2932,0.461,0.1531,0.452,2.9856,1.9696,2.3462,1.8423,0.5889,0.2505,0.0,10.6236,0.0,0.0,0.0892,0.294,0.0
DNK_B09,3.899,1.3314,126.6569,9.0637,69.185,5.711,0.037,0.0941,1.9113,93.7845,11.8174,2.101,0.7406,24.3246,12.7683,4.3495,0.1125,0.1102,4.4225,0.0107,0.0255,0.5404,37.3523,2.0839,161.7331,2.7725,5.6729,4.0956,0.373,2.0936,0.0056,0.2943,0.0159,0.0,0.0123,0.0031,7.2703,6.4586,1.5656,2.4726,0.2423,1.487,0.3577,0.2316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK_C10T12,1033.1343,80.3775,0.6428,0.1893,0.2002,3205.5579,11.1345,0.6978,4.6362,0.4053,173.5755,137.5076,4.4182,2.4396,0.014,1.8448,2.799,0.9119,17.383,0.5513,0.2101,21.2083,12.2148,8.6855,8.2842,127.1222,5.3993,5.9285,0.3357,14.6019,1.1386,1027.2255,7.3032,2.3802,20.6447,7.8551,4.5533,79.3806,24.5278,38.0387,25.6199,159.8344,19.8875,32.1017,0.0,6735.8521,0.0,11.9275,1.041,221.5833,0.0
DNK_C13T15,1.3722,0.6019,0.1223,0.0377,0.1915,4.7297,130.6322,1.5281,13.2258,0.0641,3.1528,4.012,7.3114,6.4306,0.9247,9.111,3.7658,1.0923,16.187,2.2457,3.6829,39.6598,1.8999,7.3669,33.5439,18.6447,2.6026,2.8928,0.2142,3.6948,9.3846,5.8302,3.0378,0.9921,2.5661,0.8974,0.5212,9.0333,17.7139,17.1356,5.9868,53.3688,10.2541,13.5688,0.0,811.5439,0.0,8.654,26.1644,23.8883,0.0
DNK_C16,3.3227,0.0515,1.0348,0.3961,0.1828,9.7685,0.7067,99.7175,5.1154,0.0711,5.3526,1.5865,8.6677,7.0591,2.7317,13.7265,6.5333,1.555,18.6261,3.3691,3.0482,126.7583,24.9839,9.185,756.3463,15.2221,1.4165,0.428,0.0702,2.153,0.2641,1.1159,1.0816,0.484,1.1627,0.6627,2.5005,3.1158,10.6979,2.0348,2.1046,4.5731,8.646,2.8434,0.0,146.5238,0.0,1.2317,23.9909,14.9601,0.0
DNK_C17_18,5.7415,0.1086,0.7332,0.289,0.3748,115.0746,2.1579,2.7953,321.6053,0.1126,21.2072,27.6795,16.9592,7.4963,3.441,11.2951,11.3472,4.2735,19.6469,1.0942,0.6055,19.3242,1.8823,11.6186,10.2886,232.2516,3.3113,1.6107,0.3293,2.6419,7.8995,10.9156,107.386,12.2904,32.0802,17.2971,22.3334,101.8129,25.5785,41.4346,32.1956,33.2217,19.7164,12.951,0.0,374.3797,0.8118,14.1093,194.6496,17.6713,0.0
DNK_C19,126.357,34.9238,2.3071,0.9409,8.41,30.8739,1.2315,3.0321,3.0761,23.9761,7.7064,1.864,4.0252,45.228,1.5023,15.6931,1.2167,1.2578,13.1609,1.0961,0.3808,13.4661,16.3231,23.6802,216.5593,134.6894,304.0775,1212.3209,191.2772,28.9132,13.5765,9.1137,3.0899,2.6508,4.0956,7.2958,19.9416,20.9928,41.4876,67.7968,14.4017,14.1376,7.867,8.5539,0.0,702.6918,0.0,0.0,0.3384,33.8449,0.0
