V1,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T,DEU_HFCE,DEU_NPISH,DEU_GGFC,DEU_GFCF,DEU_INVNT,DEU_DPABR
DEU_C31T33,118.2975,1.536,188.9762,427.9642,6.3326,859.552,298.7153,358.1525,610.651,174.283,1488.5743,126.0167,461.2297,625.0725,1996.0262,2077.5602,1181.3818,1090.283,3694.4364,4495.7877,499.514,3291.777,1794.0736,95.0216,587.0108,499.6362,1007.9503,712.6421,1247.5399,195.9847,28.3302,175.3378,89.8371,583.3615,155.0852,137.7449,277.2855,471.5952,305.4729,660.3418,114.6168,6582.062,102.9021,136.4612,0.0,26477.2643,18.8429,850.1616,20926.9114,164.7679,0.0002
DEU_D,1217.2638,12.5612,155.8101,220.184,9.2981,2640.1103,467.7659,479.8294,2261.9196,1183.5207,4271.3314,579.0502,2207.2571,1933.36,3998.353,2261.3685,837.1625,1116.1721,2461.7189,3043.1474,239.7122,798.9206,30894.8541,1708.3727,2475.5939,9231.0299,3255.7091,39.0173,46.7018,1229.6114,532.0406,2485.1367,575.687,1097.7211,501.0508,1726.0103,2906.9702,3283.9705,1907.8377,2782.8977,1185.7526,4090.8121,909.4611,1442.3071,0.0,44804.3484,42.8105,807.1282,9706.278,29.5517,0.0009
DEU_E,1045.8495,5.9009,91.0185,180.3981,1.7306,2482.1616,452.4009,355.8386,3789.4031,114.5997,2409.5663,260.6391,4550.5661,1343.1434,4300.2856,4275.9168,200.8143,293.0261,593.7768,845.6218,31.0746,349.8384,451.8783,12640.6678,635.5086,2137.0111,178.5334,6.1781,7.8395,288.9458,93.4134,1503.6592,148.8926,172.2364,182.9147,555.7686,487.1765,866.8445,1058.3284,3428.6116,406.6611,1704.238,592.3631,705.2722,0.0,18562.3978,6.5603,1282.484,1543.3023,5.1491,0.0
DEU_F,951.2414,8.1458,91.0007,138.7724,5.195,1334.3713,291.2628,245.7269,708.7902,330.2401,1500.9116,913.2234,588.6801,733.442,1293.3236,971.639,544.3497,646.596,1409.5144,1939.7353,123.3987,501.2483,5457.4293,4247.4402,26419.5319,4529.7845,1280.4137,45.3425,77.2046,4270.2846,726.9792,1735.5613,921.0211,1563.7989,670.2524,2267.6744,38606.7506,4385.4169,3529.1933,8715.8828,2303.6342,5012.9021,860.1051,1236.2411,0.0,5423.7464,0.8422,1473.514,209746.0013,31.459,0.0
DEU_G,3451.33,44.7131,157.8216,269.9212,10.9671,24299.0634,2982.0339,1789.1966,3298.3552,5366.8751,8336.7141,2656.1312,4463.2642,2413.7626,4350.9015,5047.3963,3871.8618,4639.7387,10557.6837,18441.306,1908.7873,6119.5689,4924.4014,1127.0343,11898.85,14433.6819,3353.4336,670.3064,1096.7326,4904.4264,3937.3985,7141.8415,1563.3244,1252.2042,889.7744,1250.1508,539.0683,3950.977,3507.299,5174.0707,1248.9104,11913.9863,958.2551,1196.4412,0.0,170343.2885,182.6309,5374.2014,31001.7071,3795.2668,0.0
DEU_H49,502.7525,5.731,57.3909,141.1264,4.3084,3849.6265,280.7758,450.174,781.7945,2849.1435,1826.3274,328.7381,868.5356,1164.6477,2099.2399,1075.1531,659.7291,822.3176,2058.017,3452.6187,317.5792,1022.9337,1651.8679,129.8025,2442.4737,7673.0236,2886.6461,515.1672,328.4929,8113.2742,712.1344,709.9553,261.894,83.297,76.3418,143.8787,122.6899,411.5998,2579.9359,1223.6172,1467.204,1123.9687,89.2389,420.4157,0.0,22266.9267,10.5272,627.8203,3188.1397,2539.6889,0.1856
DEU_H50,42.506,0.324,4.2439,3.8473,0.1953,235.8601,22.248,23.3207,40.266,172.0732,114.8813,26.6013,56.8686,45.1223,126.8338,85.0665,51.5299,65.1579,171.0314,182.0397,41.721,62.4712,83.8972,11.8484,214.0244,334.9389,129.1762,72.6556,71.332,288.243,61.2922,56.4049,11.8946,16.7484,10.3905,23.9801,27.5842,58.324,43.94,58.0073,12.5732,92.8178,8.3073,16.7621,0.0,949.6927,0.822,70.87,325.3062,2220.724,0.0003
DEU_H51,27.1753,0.2633,2.8336,4.2144,0.0667,188.4169,17.0092,14.1662,30.9848,140.6348,84.9103,19.8978,43.4658,34.5512,116.3604,48.2778,9.6606,31.4167,54.8339,154.2891,17.1871,32.0118,89.4203,9.5741,129.8302,107.6052,38.6572,21.2838,10.2205,76.3482,17.8048,41.8351,14.4676,16.5112,108.5709,32.1858,10.1117,46.4342,25.2751,23.2048,11.1191,73.7874,2.6954,6.871,0.0,207.6612,0.8439,24.5266,337.2445,2090.1699,0.0
DEU_H52,249.8395,6.4504,16.3487,68.8634,3.6455,5881.5083,185.0345,248.4289,320.9954,1054.1421,1175.327,214.0179,818.3409,744.9562,733.6653,790.6589,942.8737,806.7906,2941.5277,4164.9227,129.3267,760.6295,573.5211,98.2843,1365.5846,32431.3818,14279.5191,9087.7413,4134.0068,36938.5622,7740.921,413.882,106.2615,154.2267,103.8864,202.3791,105.0862,524.9617,580.3327,446.0854,140.1988,386.3002,39.5154,93.004,0.0,7945.2218,2.5623,2208.2492,956.517,315.1784,0.012
DEU_H53,9.2547,0.2992,13.195,19.6266,0.2388,329.0931,151.3754,8.3207,229.5712,112.7964,1318.8052,977.0317,260.9587,63.9435,81.3212,497.3513,1078.354,1171.996,2294.924,1107.3361,26.9817,725.6399,415.1157,38.1889,144.3941,15916.5397,1808.9141,15.611,133.2318,666.1102,1962.7973,866.3724,471.2755,2210.2829,140.2893,1834.4939,74.7623,1620.7312,1462.8592,1581.4825,9.8624,674.2822,438.5039,200.5076,0.0,2402.3834,0.0958,126.1484,14.5395,6.5287,0.0
DEU_I,1.4004,0.781,3.6359,1.0572,1.7507,53.9593,15.5775,3.8618,20.8131,37.1993,354.6379,35.0235,65.1438,19.4098,30.8276,302.9278,145.0238,146.8952,601.0878,235.4342,16.5966,96.2471,61.8171,22.1389,814.8104,1590.5565,943.7329,70.9286,737.4876,1179.6003,17.8073,55.0715,523.9317,172.371,156.5033,760.6372,56.6019,373.2359,13958.6267,819.751,38.0686,173.3394,663.519,464.1702,0.0,69675.0048,0.0,559.4537,0.0,0.0,0.0
DEU_J58T60,21.6417,0.107,1.3909,8.8193,0.2101,363.0296,33.5097,6.138,110.7641,67.3211,272.6043,223.2946,72.4319,63.6783,84.0933,130.7848,227.6686,153.6927,243.5336,448.0718,85.5366,105.1219,142.6008,287.6621,153.8597,1315.6516,227.0983,36.2548,35.2218,195.5646,95.3814,658.619,9625.9583,272.6774,1152.7514,925.8849,186.688,7656.71,1426.7345,2170.0804,1334.3161,1551.9321,1183.0086,595.8934,0.0,16966.5155,3314.63,5903.5572,2600.411,34.5902,0.0
DEU_J61,97.0426,0.5897,41.2178,61.5625,1.328,234.9886,25.5445,47.1332,147.8678,56.1487,340.1633,151.6915,216.8631,202.2878,145.1049,365.9144,499.7934,397.8994,722.2702,782.7396,115.7881,257.0255,260.3298,243.9933,523.6188,2615.2475,326.0168,45.7332,62.9002,442.314,1741.3511,930.9392,2556.2513,17274.2636,1304.6209,2031.7045,520.4193,3098.5077,3778.6259,1790.1923,133.6026,726.9803,757.9263,421.4855,0.0,23819.2585,2.1436,213.7327,203.216,19.8066,0.0
