V1,BLR_A01_02,BLR_A03,BLR_B05_06,BLR_B07_08,BLR_B09,BLR_C10T12,BLR_C13T15,BLR_C16,BLR_C17_18,BLR_C19,BLR_C20,BLR_C21,BLR_C22,BLR_C23,BLR_C24,BLR_C25,BLR_C26,BLR_C27,BLR_C28,BLR_C29,BLR_C30,BLR_C31T33,BLR_D,BLR_E,BLR_F,BLR_G,BLR_H49,BLR_H50,BLR_H51,BLR_H52,BLR_H53,BLR_I,BLR_J58T60,BLR_J61,BLR_J62_63,BLR_K,BLR_L,BLR_M,BLR_N,BLR_O,BLR_P,BLR_Q,BLR_R,BLR_S,BLR_T,BLR_HFCE,BLR_NPISH,BLR_GGFC,BLR_GFCF,BLR_INVNT,BLR_DPABR
BLR_C21,19.7015,0.0638,0.0837,0.0663,0.0339,8.4958,1.5388,0.4721,0.6352,0.2601,12.8701,56.5001,2.0207,0.5959,0.5598,0.2827,0.4939,0.4683,0.9615,0.3318,0.1228,1.0861,0.2481,0.1765,1.0791,2.4906,0.3911,0.4862,0.4326,0.1477,0.0313,0.4256,0.277,0.36,0.225,0.3015,0.1013,2.1025,0.2818,2.9719,0.8419,86.6785,0.4013,0.9033,0,175.9145,0.4468,131.1848,15.6022,9.4719,0.0
BLR_C22,19.5383,0.3376,0.5765,0.6859,0.3112,73.2083,17.881,8.7247,14.5659,1.1123,37.3722,6.5458,99.0579,11.636,4.6013,7.2518,12.7944,18.5037,28.889,33.2845,4.2357,24.5987,1.4395,2.1811,66.1956,21.0199,12.8405,1.4507,1.7204,1.6295,0.3078,3.0528,2.1159,1.5128,1.0889,1.1563,1.4717,3.219,1.9669,3.5,1.3405,4.3096,1.0579,5.3774,0,72.2928,0.0502,2.1311,26.891,16.8938,0.0
BLR_C23,12.0219,0.0941,0.5546,1.312,0.4659,33.282,3.8608,9.3413,1.7363,0.7636,16.2446,4.0015,9.733,178.673,14.9788,7.2278,6.8667,9.1086,10.0899,10.7087,2.7396,9.2967,2.7202,1.6923,398.8638,8.4877,2.1761,1.3824,0.9339,0.8698,0.0761,3.1364,0.5904,1.0983,0.5161,0.6511,4.8318,2.8503,1.1709,3.3371,1.5606,2.5925,0.7746,2.307,0,84.1067,0.0894,2.3495,43.6356,23.9498,0.0
BLR_C24,2.9123,0.0313,1.4798,0.362,0.5994,8.494,2.271,5.169,3.5935,0.6433,20.22,1.132,11.8392,15.6396,529.783,178.8626,32.4111,139.0897,171.5615,70.3639,19.1556,56.5009,2.823,4.4235,102.6166,4.9512,1.8073,1.0056,0.5599,0.7412,0.0149,0.2888,0.3561,0.4892,0.2231,0.2597,0.6875,2.1485,0.4413,0.8529,0.2886,0.6342,0.2145,2.3578,0,2.802,0.0233,0.6806,55.7094,35.6794,0.0
BLR_C25,12.9104,0.2203,1.5737,0.7533,0.6339,27.733,5.3771,10.0991,3.3096,1.0551,12.7976,1.3305,8.7877,8.815,22.2253,58.4029,10.3412,18.2191,67.979,31.8448,9.7801,22.5775,2.7983,1.6494,100.2721,7.5347,2.6306,1.9639,1.48,1.3582,0.0957,1.5833,0.7222,1.4605,0.7383,0.6496,1.2584,3.2949,1.5884,5.4354,1.1599,1.7444,0.8767,4.4863,0,51.4121,0.1811,3.4179,127.0121,11.8241,0.0
BLR_C26,2.8577,0.0692,0.2262,0.1212,0.104,3.9526,1.508,0.81,1.3697,0.3748,2.4397,0.6362,1.52,1.1227,1.3489,1.6891,97.5695,13.6438,13.7797,6.8988,2.3299,6.7101,1.7313,0.5598,9.1873,6.479,1.3219,1.1085,1.3823,0.6686,0.1721,0.7729,2.1669,14.9574,7.5714,1.5296,0.3478,4.8094,1.3791,4.4674,1.9694,7.235,1.0923,12.1907,0,113.2148,0.2994,6.4769,306.4569,10.4798,0.0
BLR_C27,3.2132,0.0862,0.2415,0.1526,0.1096,3.9187,1.4938,0.9994,1.0244,0.3472,2.5033,0.4422,1.6196,1.5687,3.3309,2.8985,16.0954,46.739,20.5861,11.11,2.5848,7.188,5.1917,0.5505,34.3125,5.8117,1.8115,1.184,1.0182,0.5951,0.0729,0.8143,0.7408,4.239,1.1704,0.592,0.5546,2.0437,0.9029,1.8156,0.6267,1.2497,0.654,4.8145,0,56.3039,0.0935,0.9743,108.905,8.4986,0.0
BLR_C28,16.2571,0.2631,1.4972,0.9691,0.6318,12.6334,4.0459,3.7457,3.6879,1.3254,7.6816,1.2444,4.023,5.3132,6.3841,6.674,6.6133,7.9985,70.4678,15.8217,4.4088,11.7383,4.1185,1.3186,25.236,9.2971,3.8559,3.848,4.1855,1.2604,0.1432,1.2346,1.0685,2.5259,1.1341,0.9385,0.6548,2.6338,1.6507,3.2857,0.9401,2.2316,0.7801,2.9824,0,37.0172,0.1933,2.0531,311.0044,13.2277,0.0
BLR_C29,6.4927,0.0912,0.4379,0.3497,0.1498,5.7655,2.0637,1.4297,0.974,0.3774,2.7908,0.4687,2.8351,2.6771,9.9792,4.4365,2.8775,5.9376,19.3932,291.6977,4.0855,9.3757,0.8594,1.4162,8.1234,39.3498,21.5165,1.5293,2.0445,1.7515,0.3171,0.6157,0.4747,1.114,0.5518,0.5681,0.3488,1.7276,2.3159,3.2479,0.6793,1.1746,0.573,3.2167,0,335.2272,0.2619,2.7451,613.6018,39.3621,0.0
BLR_C30,0.2225,0.2887,0.045,0.0152,0.0052,0.2603,0.0695,0.0626,0.0459,0.0216,0.1159,0.0259,0.0994,0.065,0.1,0.146,0.1485,0.1569,0.6465,1.4799,25.6787,3.0116,0.0632,0.0277,0.41,0.4762,1.391,12.8247,5.4357,0.2541,0.0096,0.0394,0.0317,0.0458,0.027,0.0305,0.0162,0.1003,0.1467,3.086,0.0418,0.0659,0.0713,0.3957,0,19.4208,0.0051,0.8181,175.7347,3.8522,0.0
