V1,PHL_A01_02,PHL_A03,PHL_B05_06,PHL_B07_08,PHL_B09,PHL_C10T12,PHL_C13T15,PHL_C16,PHL_C17_18,PHL_C19,PHL_C20,PHL_C21,PHL_C22,PHL_C23,PHL_C24,PHL_C25,PHL_C26,PHL_C27,PHL_C28,PHL_C29,PHL_C30,PHL_C31T33,PHL_D,PHL_E,PHL_F,PHL_G,PHL_H49,PHL_H50,PHL_H51,PHL_H52,PHL_H53,PHL_I,PHL_J58T60,PHL_J61,PHL_J62_63,PHL_K,PHL_L,PHL_M,PHL_N,PHL_O,PHL_P,PHL_Q,PHL_R,PHL_S,PHL_T,PHL_HFCE,PHL_NPISH,PHL_GGFC,PHL_GFCF,PHL_INVNT,PHL_DPABR
PHL_A01_02,11107.234,468.6459,1.7263,5.9518,1.1807,17435.4472,274.285,154.0027,65.8254,32.1209,139.4449,21.3231,62.5208,124.9027,41.9154,24.7302,90.4955,13.8534,5.4576,29.9796,6.1694,61.6511,14.2617,10.4317,214.3693,460.473,32.7032,38.0187,13.7474,15.1305,2.0126,353.9942,4.9428,25.7218,17.1918,104.7441,125.9585,30.048,55.1394,72.7846,31.9038,18.6183,17.2822,16.3864,0,8237.5577,10.4613,200.9195,4612.4452,72.766,0.0
PHL_A03,89.1967,278.4314,0.4659,5.4125,0.2965,1692.7404,43.0506,293.9905,62.6051,23.6811,157.0582,1.8937,16.0531,255.4035,8.0008,7.9891,44.4495,5.1478,3.7941,74.9753,3.1475,13.3618,9.2986,11.4027,45.8334,365.0572,5.7839,3.8489,1.8803,2.3668,1.4599,52.153,3.5912,4.9128,4.1513,23.0254,19.8032,19.9477,31.36,44.9867,12.6505,13.0997,10.9959,15.4955,0,5788.0601,4.5518,38.7953,50.7959,17.5071,0.0
PHL_B05_06,0.595,0.2069,0.4204,1.9118,0.5157,3.6272,0.5225,0.0994,0.2393,642.8409,4.3918,0.0392,0.0767,40.4999,194.3605,0.307,0.8438,0.1583,0.0771,0.1769,0.0632,0.2165,57.729,0.2662,20.9318,7.0222,1.4178,0.5962,0.7358,0.2796,0.0494,0.4756,0.0617,0.25,0.137,0.6805,0.5658,0.2416,0.4906,0.2398,0.2156,0.1976,0.2163,0.2591,0,6.851,0.0538,0.5101,15.8116,2.2841,0.0
PHL_B07_08,2.0027,0.3751,47.0123,183.6975,4.4574,35.1749,1.9292,0.4317,1.0282,3.6982,54.8302,0.362,1.6838,235.0898,667.5015,222.9975,9.6855,1.8447,2.6542,3.1045,0.9065,4.9939,20.4678,4.7545,349.8294,43.1339,2.3905,0.9618,0.9048,0.7192,0.2009,6.2961,0.3562,1.6197,0.8427,3.9333,24.8624,1.3143,4.0319,3.7121,2.2403,1.6242,0.9749,1.4701,0,28.6316,0.3904,1.8663,51.1962,5.9834,0.0
PHL_B09,2.0016,1.5421,3.0158,7.3975,3.6652,2.7831,0.0634,0.026,0.3679,74.682,2.5755,0.0245,0.0755,4.2093,4.7438,0.3409,0.1739,0.0681,0.0677,0.0286,0.023,0.0397,8.4673,0.4055,19.7649,1.1835,0.9882,0.1577,0.1641,0.1755,0.007,0.1276,0.0109,0.0438,0.0237,0.094,0.554,0.1713,0.2823,0.3865,0.029,0.0509,0.0429,0.0255,0,0.9368,0.02,0.1489,1.531,0.01,0.0
PHL_C10T12,2177.225,2060.696,0.6772,4.593,0.8123,15291.9874,103.3078,41.4249,36.5833,93.4288,336.462,41.7065,63.0469,48.2491,29.1397,45.5313,499.9867,125.0232,48.8595,209.8863,20.6161,87.0195,13.524,5.2212,191.9095,2276.9023,44.2435,24.8234,17.8531,37.9133,8.4524,2636.1396,5.1834,15.2832,78.7347,242.4233,99.334,311.6582,278.301,247.0704,33.3713,45.5964,107.2978,38.0175,0,51442.836,11.5372,2207.944,456.5143,164.5194,0.0
PHL_C13T15,38.1189,25.2121,0.3766,0.8523,0.6052,203.7449,1850.4733,11.8732,114.6577,20.709,90.1599,10.3575,22.0009,24.855,5.5169,8.9726,168.1716,34.2705,19.9495,56.687,10.7273,163.1664,6.347,1.296,89.5971,291.1487,13.0237,7.6657,7.5001,5.933,1.5781,71.8751,9.6197,13.0066,4.788,35.1079,19.7388,11.749,37.9506,31.8626,10.7999,11.9493,27.829,13.5371,0,5577.8814,4.1717,59.4395,109.3666,30.5401,0.0
PHL_C16,3.1925,0.3079,0.1195,0.1925,0.1676,49.18,4.0371,155.9286,137.3189,35.2746,5.3839,1.4176,5.7188,9.4704,1.1052,1.2542,31.4774,2.2084,1.8986,0.9929,1.1825,143.2551,0.4384,0.2489,125.7169,9.7875,1.8369,0.6947,1.1234,0.5957,0.0715,4.3667,2.9838,1.112,0.3502,2.2236,34.0323,0.8077,56.3018,58.1558,16.8653,0.6956,0.5347,38.5171,0,188.4121,0.7636,3.1257,18.0006,-15.3224,0.0
PHL_C17_18,2.6911,0.5051,0.0443,0.188,0.1898,28.498,4.0259,1.4552,336.5876,6.2249,43.326,1.5381,4.5029,1.288,1.122,6.4556,225.1157,61.276,3.0356,3.5385,1.7904,15.0065,1.0529,0.3748,15.7857,45.6079,42.4052,3.0957,2.8463,4.4431,5.3758,53.2737,170.9064,52.4498,39.4581,211.4777,10.4422,20.5088,59.6683,121.8429,199.2308,16.9308,12.0633,18.8799,0,319.5603,1.2089,638.0627,51.5119,3.8387,0.0
PHL_C19,118.0365,95.244,8.8204,45.047,4.8012,620.6021,104.1853,15.9191,84.5033,1980.4072,172.5944,12.126,33.4411,375.6673,474.9588,92.8863,213.3226,9.2704,10.4844,50.3281,9.5526,48.2804,845.0081,17.9324,414.9813,1214.5195,1213.1958,520.2179,667.6647,200.8987,38.2597,114.8453,3.3684,67.9168,50.1128,284.3456,100.6061,60.2563,76.1764,101.9694,42.5053,57.0096,8.0294,59.8465,0,2568.6893,1.1576,20.7308,66.4425,19.7967,0.0
PHL_C20,504.7877,13.1269,0.7703,35.3735,3.2361,255.4828,133.9543,10.9261,42.7256,95.3982,2593.7065,197.6999,484.1486,18.3751,22.7351,18.3305,1185.8127,34.9771,38.694,30.167,38.2062,39.7672,24.1417,23.2722,627.8917,508.2303,29.0505,14.9702,88.1148,16.5972,2.0308,498.253,2.4678,15.5029,7.8063,48.6835,56.6925,34.6055,81.6318,50.8129,52.8525,128.4926,52.3249,380.4807,0,2742.1555,3.7679,240.4707,161.66,18.7036,0.0
PHL_C21,11.1037,0.7511,0.037,0.3013,0.1164,9.4593,3.9503,0.6614,1.033,1.4081,19.9308,39.9807,4.3001,1.0332,0.9947,0.7433,8.6854,0.6123,0.4649,0.635,0.4581,1.8385,0.3538,0.2564,16.7876,18.4623,1.0008,0.547,0.7766,0.4672,0.11,3.0137,0.2243,0.842,0.4673,3.1885,1.7314,1.0854,2.4496,2.213,0.9157,77.3154,0.9723,2.096,0,1158.608,1.1737,15.39,13.1869,2.7584,0.0
PHL_C22,5.1153,0.5752,0.1242,0.8149,0.7406,19.4654,24.2069,2.7835,4.8681,4.062,12.1005,1.0308,25.2562,1.3847,2.1337,4.971,255.2394,14.6273,12.1199,0.9612,4.1957,17.1831,2.6969,5.4804,263.9924,23.116,6.7759,1.3655,1.7343,1.5348,0.1256,4.2002,1.2439,3.0935,1.3157,7.6853,5.5064,1.8451,4.686,8.1526,1.5902,1.214,1.2939,2.6953,0,700.5908,0.2932,248.9003,90.4976,-3.1688,0.0
PHL_C23,29.8846,0.9752,0.5359,1.9715,0.9065,72.128,9.62,5.5371,8.552,50.6546,61.6119,11.1737,14.8667,26.8187,11.671,19.9717,290.1913,119.7828,57.6613,44.6867,72.9011,58.3816,57.7363,4.3592,1760.6571,45.2987,36.4897,18.0292,29.4214,11.9815,0.6319,32.432,2.1656,23.2632,3.651,10.6075,69.6036,9.8963,11.3991,32.4594,2.5038,5.036,24.9592,12.6699,0,264.6748,0.8883,101.4187,171.7346,3.1413,0.0
PHL_C24,8.3409,1.6651,0.5346,3.7028,2.4444,69.2709,12.4933,8.9537,14.0843,26.4431,27.4007,2.5911,16.7892,4.8053,135.7177,266.6263,664.3192,209.3614,149.7496,41.9127,85.4376,122.2299,13.5428,21.8089,2566.774,160.3591,41.527,20.8631,33.5647,17.7739,1.0985,37.8236,2.7665,28.9722,5.912,25.4582,138.6652,12.1837,26.9678,41.2073,9.4668,8.9353,8.8511,15.4837,0,109.4007,0.1675,2.551,599.6404,22.2007,0.0
PHL_C25,4.3324,0.9097,0.0904,1.8157,4.3085,51.7521,5.7401,9.6152,4.9515,50.8728,30.6171,3.9648,15.6092,3.0698,6.9973,26.0338,513.1758,276.0476,104.2292,34.6366,27.1513,18.8845,1.9808,5.151,352.8064,36.7639,74.9156,40.3109,74.6589,29.8581,1.0198,54.5756,4.4428,55.7663,7.7941,14.8689,55.5332,20.0112,10.4717,11.2324,1.3869,10.3732,9.7308,27.1424,0,97.3128,1.0105,58.1599,318.5552,6.5442,0.0
PHL_C26,34.5929,8.558,0.6916,3.2527,4.4207,156.886,24.9297,6.4379,9.4764,25.5892,245.0809,8.7605,19.4476,4.8824,17.3936,14.2816,2928.6926,474.5007,55.1046,285.659,257.1054,55.9563,97.3673,32.7963,613.6424,785.3337,190.8212,99.6052,186.8351,81.0769,12.2291,259.1232,130.8442,447.6553,52.0605,196.6257,223.7396,147.707,284.1073,21.3926,16.2654,65.3004,60.1489,207.6211,0,1798.497,3.5289,99.9843,3205.492,38.6316,0.0
PHL_C27,11.8085,2.7648,0.5083,2.0645,1.2787,68.8389,16.7546,2.905,6.9476,10.3219,13.8386,2.0714,6.5786,4.4278,13.0151,7.3525,425.0085,288.0924,14.6148,142.1999,67.9596,13.6994,62.228,13.8277,175.9649,153.9048,108.9685,60.5484,114.1877,46.112,2.8281,94.3833,11.9725,135.7765,16.3041,100.5864,68.2492,36.9418,41.2516,10.381,7.8102,11.2813,9.327,21.1016,0,403.5433,1.0563,39.417,836.9822,9.0183,0.0
PHL_C28,3.3435,0.6063,0.4288,5.7824,1.8142,17.5531,2.7661,0.8013,1.5945,3.5401,3.6956,0.7754,4.3093,0.8557,3.7148,2.0685,62.1246,11.4871,8.9186,4.7519,2.3088,4.5538,3.1894,2.0745,31.054,44.9151,5.7346,7.0996,3.8354,2.6053,0.3695,5.5324,1.1239,5.6907,1.4229,7.608,9.0626,2.6653,6.909,1.9348,1.4161,2.2374,2.6792,3.8489,0,66.8525,0.3491,8.1384,834.9467,1.6904,0.0
PHL_C29,6.213,1.5056,0.2885,0.6694,0.4895,39.8385,7.1584,1.6229,4.0087,5.6289,6.158,1.1269,1.8928,3.0993,8.4208,5.0308,81.0913,9.9858,5.3429,9.2172,11.0107,7.714,8.8192,2.6522,33.7691,217.5276,8.8378,7.5556,4.2702,10.7298,0.7594,11.4821,1.8299,8.7947,3.5508,19.6547,16.3262,6.7489,18.3635,6.203,6.5128,5.8527,3.7732,6.543,0,727.0071,0.9701,160.9441,2027.2881,13.2105,0.0
