V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T,LAO_HFCE,LAO_NPISH,LAO_GGFC,LAO_GFCF,LAO_INVNT,LAO_DPABR
LAO_A01_02,122.6169,0.4771,0.2269,0.3614,0.0469,524.63,1.3497,81.5997,1.4218,0.3211,0.7924,0.2208,0.4483,0.0014,0.001,0.0038,0.0028,0.0019,0.0001,0.0016,0.0001,13.1413,0.0282,1.2879,3.1393,2.1813,0.0001,0.0,0.0001,0.0,0.0011,27.0459,0.457,0.0047,0.0065,0.0001,0.0003,0.0309,0.0135,0.0004,1.5089,0.0,0.0466,0.1618,0.0,1634.5321,0.0493,0.0002,0.0019,-0.9243,0.0
LAO_A03,57.5788,24.3482,0.045,0.0911,0.0154,36.2729,0.2232,3.8029,0.3002,0.0839,0.1359,0.0644,0.0222,0.0002,0.0003,0.0009,0.0009,0.0006,0.0,0.0005,0.0001,2.7665,0.0067,0.4252,0.7298,0.585,0.0,0.0,0.0001,0.0,0.0006,16.4361,0.3508,0.0024,0.0033,0.0001,0.0001,0.0132,0.0042,0.0001,0.5666,0.0,0.0234,0.0596,0.0,319.175,0.0104,0.0,0.0,0.0085,0.0
LAO_B05_06,0.34,0.0125,122.8485,99.5927,19.8028,13.9641,1.853,0.6144,0.0088,52.0839,9.9053,0.1318,3.5054,44.1485,0.3553,0.4925,0.6831,0.6475,0.0381,0.5858,0.0666,23.8848,161.1934,11.0866,117.1404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1602,0.0,0.0667,0.0,0.0,0.2862,0.082,0.0,0.0,0.0,2.2216,2.2205,0.0,244.1002,0.0,0.0,0.0,421.6949,0.0
LAO_B07_08,0.2256,0.0068,33.5673,132.883,11.184,5.2682,0.6673,0.2456,0.0037,1.8252,4.271,0.2574,1.6307,51.1174,0.2674,0.3227,0.3352,0.4069,0.0199,0.2592,0.0243,0.3197,30.4192,4.6718,178.5966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6595,0.0,0.0211,0.0,0.0,0.112,0.0494,0.0,0.0,0.0,0.7673,0.8872,0.0,374.9646,0.0,0.0,0.0,0.7168,0.0
LAO_B09,0.1854,0.0104,99.1835,68.0961,28.7529,3.2066,0.089,0.321,0.0018,2.2029,1.3265,0.0368,0.8734,3.8557,0.1019,0.1669,0.0327,0.0448,0.0117,0.1346,0.0153,0.0,15.0895,1.8763,29.4086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5887,0.0,0.0028,0.0,0.0,0.1019,0.0142,0.0,0.0,0.0,0.3859,0.3052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAO_C10T12,40.2369,1.2016,0.3193,0.6953,0.0378,127.0275,0.0891,0.0781,0.0018,0.0842,0.1785,0.0355,0.1012,0.0251,0.0009,0.0029,0.0,0.0,0.0,0.0009,0.0001,0.1314,0.0203,0.0401,0.0393,0.6732,0.0474,0.0023,0.0015,0.0003,0.0007,80.8587,0.0027,0.003,0.0168,0.0089,0.005,0.0777,0.016,0.0314,0.3838,0.0728,0.0028,0.0443,0.0,992.974,0.0977,0.0019,0.0139,-1.1735,0.0
LAO_C13T15,6.7272,0.4374,0.1326,0.2131,0.0329,0.3621,74.2083,1.0025,0.0323,0.0148,0.0355,0.0092,0.0153,0.0271,0.001,0.0044,0.0035,0.0023,0.0,0.0045,0.0003,1.2072,0.3082,0.5929,1.6244,2.4959,0.1084,0.0046,0.0017,0.0014,0.0113,4.7594,0.4793,0.0302,0.2164,0.0003,0.0007,0.7417,0.3396,3.7799,0.1706,0.0973,0.3669,0.7105,0.0,158.8401,0.075,0.0001,0.0031,-0.1772,0.0
LAO_C16,3.7862,0.065,0.0332,0.0635,0.0086,16.9329,2.8826,37.0832,1.1624,0.6564,2.1318,0.2229,0.798,0.4889,0.0106,0.0599,0.017,0.0198,0.0003,0.0292,0.0021,12.7494,0.6433,2.6138,28.9624,22.6367,0.5894,0.0205,0.0071,0.0131,3.9685,6.569,0.9326,15.1834,0.4135,8.2607,0.0015,2.3565,0.8564,45.6182,2.69,0.5349,0.9738,2.7063,0.0,60.3476,0.0167,0.0,0.0048,0.0462,0.0
LAO_C17_18,0.0552,0.0018,0.0005,0.0013,0.0001,0.2846,0.044,0.6013,0.0239,0.0066,0.0268,0.0081,0.0145,0.0088,0.0001,0.0004,0.002,0.0016,0.0,0.0002,0.0,0.1768,0.0058,0.0399,0.3563,0.2306,0.0068,0.0004,0.0002,0.0004,0.0367,0.0905,0.0163,0.1221,0.0076,0.0646,0.0011,0.0311,0.0073,0.3425,0.0216,0.0064,0.0086,0.0153,0.0,0.6761,0.0142,0.0,0.0006,0.0009,0.0
LAO_C19,7.5897,0.3019,2.425,5.8229,0.5068,2.8163,0.6352,0.4369,0.0126,0.4524,1.1616,0.0753,0.4493,0.4021,0.1633,0.3173,0.1004,0.1301,0.001,0.1902,0.0123,0.2193,2.6675,0.571,11.9051,7.3021,3.0781,7.5678,1.9597,2.7271,0.063,1.8816,0.1449,0.1493,0.0369,0.8484,0.0886,0.3402,0.7152,6.0086,0.3157,0.7098,0.141,0.3823,0.0,45.7715,0.0,0.0,0.0197,0.0011,0.0
LAO_C20,5.0642,0.0206,1.193,2.8582,0.3284,0.9812,0.3508,0.2599,0.0242,0.1175,0.4061,0.034,0.2545,0.0698,0.0149,0.0521,0.0937,0.0994,0.0008,0.026,0.0014,0.1044,0.4263,0.2663,3.7878,3.5276,4.2091,0.0016,0.0127,0.0104,0.0219,1.1319,0.0602,0.0853,0.0214,0.5362,0.0259,0.1646,0.0625,1.8138,0.1616,0.1366,0.0449,0.2722,0.0,4.5737,0.0206,0.0,0.0011,-0.1267,0.0
LAO_C21,2.2476,0.0367,0.2347,0.444,0.0281,0.4648,0.0542,0.0528,0.002,0.0277,0.065,0.2621,0.0236,0.009,0.0034,0.0095,0.0225,0.0103,0.0002,0.0033,0.0003,0.0185,0.0957,0.0473,0.6571,1.1926,1.0851,0.0008,0.0068,0.0032,0.0142,0.3864,0.0106,0.0489,0.0105,0.273,0.0043,0.3249,0.0131,2.4859,0.1351,0.8157,0.0316,0.1083,0.0,6.6021,0.0266,0.0,0.0009,-0.0005,0.0
LAO_C22,2.9387,0.0657,0.7537,1.6703,0.2563,0.7306,0.2052,0.1652,0.0052,0.0774,0.2096,0.0496,0.1125,0.0385,0.0087,0.0603,0.0452,0.046,0.0005,0.0351,0.0014,0.0767,0.2596,0.2025,2.3573,2.568,2.8414,0.0023,0.0103,0.0118,0.0201,0.814,0.0551,0.0709,0.0171,0.4333,0.015,0.1911,0.0345,2.3067,0.1567,0.4079,0.0366,0.1515,0.0,5.6949,0.0,0.0,0.0045,0.0026,0.0
LAO_C23,0.11,0.002,0.3332,0.8695,0.1397,2.2532,0.0,0.0001,0.0,0.0823,0.2152,0.0592,0.1025,3.4305,0.1412,0.4241,0.169,0.1591,0.0028,0.2472,0.0116,0.4457,0.1126,0.852,147.4808,0.4462,0.1271,0.0043,0.0017,0.0015,0.2172,0.3019,0.202,1.6089,0.0818,0.0,1.796,0.3438,0.145,2.1359,0.0,0.0001,0.2594,0.4609,0.0,20.9953,0.0,0.0,0.0002,-0.1206,0.0
LAO_C24,0.253,0.0092,0.5156,0.9477,0.1608,1.9788,0.0338,0.0544,0.0021,0.0062,0.0222,0.0018,0.0084,0.0558,0.3301,1.0598,0.2984,0.4853,0.0031,0.1447,0.0055,0.1546,0.6131,0.1856,7.9998,2.4485,0.8118,0.0726,0.0284,0.0225,0.0261,0.0694,0.0129,0.1981,0.0141,0.0958,0.0597,0.0646,0.0216,0.7802,0.0354,0.0215,0.0114,0.4208,0.0,5.5454,0.0,0.0,0.1486,-0.0026,0.0
LAO_C25,0.4622,0.0111,0.3543,0.6876,0.1381,2.0654,0.0462,0.0737,0.0014,0.0063,0.0149,0.0024,0.005,0.0267,0.0203,0.2143,0.1361,0.1505,0.0013,0.113,0.0067,0.0539,0.5065,0.1041,6.1396,3.2985,0.8673,0.0564,0.0275,0.0249,0.0329,0.1238,0.018,0.3018,0.0184,0.1231,0.09,0.0648,0.0396,1.645,0.0547,0.0299,0.021,0.2376,0.0,87.439,0.001,0.0001,0.7452,-0.0035,0.0
LAO_C26,0.0282,0.0009,0.0401,0.0614,0.0181,0.1704,0.0041,0.0055,0.0002,0.0006,0.0028,0.0007,0.001,0.0041,0.0038,0.0367,0.1096,0.016,0.0002,0.0157,0.0012,0.0129,0.0714,0.0101,0.3285,0.3371,0.0711,0.0077,0.0026,0.0032,0.0012,0.0072,0.0063,0.0377,0.0081,0.0134,0.0056,0.0102,0.0034,0.1356,0.0036,0.0066,0.0027,0.0518,0.0,2.094,0.0011,0.0,22.9891,-0.0239,0.0
LAO_C27,0.0415,0.0019,0.0754,0.1111,0.016,0.194,0.0046,0.0082,0.0002,0.0006,0.0024,0.0004,0.0012,0.0065,0.0104,0.0522,0.0451,0.0764,0.0004,0.0304,0.0016,0.0146,0.1268,0.0102,1.4064,0.297,0.1243,0.0094,0.0019,0.0026,0.0006,0.0088,0.004,0.0178,0.0024,0.006,0.0089,0.007,0.0029,0.0704,0.0017,0.0028,0.0018,0.0249,0.0,2.1551,0.0004,0.0,19.9527,-0.0375,0.0
