V1,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T,USA_HFCE,USA_NPISH,USA_GGFC,USA_GFCF,USA_INVNT,USA_DPABR
USA_C20,20082.2902,2.4991,4286.7378,1243.295,940.6095,6367.8889,5979.8291,1524.8033,12466.1286,8904.7395,93953.288,5992.3876,39542.9982,3580.8643,1103.2501,5472.411,1587.5146,1676.5543,2771.5753,5793.9032,1438.0188,4930.6308,1922.5444,934.6496,11304.176,2914.7101,894.4761,57.3509,312.4594,1668.8707,233.9308,1356.3136,697.0117,561.635,742.1193,621.4617,7593.6782,7976.4671,5467.6412,21801.7719,5045.5118,8337.0898,369.4301,3213.0382,0.0,81329.1805,410.5351,57.1072,6791.8777,19773.2844,0.0002
USA_C21,1163.5339,0.0694,20.9639,6.0265,5.2512,503.9258,23.4472,46.0176,58.199,32.9796,310.6024,21463.549,136.9769,20.8335,22.3098,42.7566,33.5114,16.7784,42.8008,67.9543,31.4283,47.319,60.4597,10.344,345.161,475.31,10.0686,1.4074,3.4543,11.4931,2.9769,55.8064,16.7886,38.7778,40.6421,53.028,42.4763,2418.1872,52.5345,1091.6249,47.4693,13823.7357,339.218,55.0832,0.0,130398.8069,259.3929,6922.0689,38929.0915,6657.655,0.0001
USA_C22,1324.1827,0.1664,357.6135,626.4163,470.1214,13407.6406,334.5494,488.4524,2912.9538,348.1429,7100.6079,966.8706,12007.5806,856.7651,973.841,2908.2529,812.5245,1079.5367,4294.7347,15437.8854,2346.5589,6209.7647,45.73,213.5124,28867.5788,22378.4453,375.1654,2.9642,13.9676,539.0724,2044.5445,4785.7855,1594.0443,2488.6899,833.13,355.7494,694.7211,4010.3602,2536.3899,7618.4387,1610.2509,9377.4637,222.5123,1024.6982,0.0,34621.2553,5.7229,2.3631,3090.6156,8901.0233,0.0
USA_C23,106.518,3.2995,862.6338,236.4201,695.4528,3582.723,108.1338,559.3743,337.3956,36.7318,1258.6904,215.8888,1243.3316,12090.6926,2145.5006,1048.5199,248.0267,1175.1233,1892.1841,5155.3311,315.1431,861.9859,96.8661,202.4924,70042.6141,1668.213,96.3891,0.8909,1.8668,165.2444,25.5569,1904.3506,274.4749,1957.9388,800.2462,150.2124,215.7011,2602.8377,1178.5895,5019.731,308.2204,4193.6251,108.5108,717.0583,0.0,10546.7901,1.4465,1.3567,1445.2577,5882.0826,0.0
USA_C24,47.0916,0.0,5141.7683,366.3724,305.1828,2715.1235,83.209,304.706,574.0657,0.0,681.8501,0.0,971.3007,608.2072,50608.4611,47460.3319,2103.2779,7688.7964,20570.6971,21139.0892,7199.3464,5022.7558,244.3705,329.7356,7279.1353,1001.1635,427.15,0.0,0.3153,234.0015,4.0934,106.6155,2130.5821,572.7918,341.3263,0.7056,1202.3963,979.3217,409.0007,972.1316,79.2463,223.1016,168.2451,192.2373,0.0,767.7116,0.0,0.0,1914.6956,7520.0944,0.0
USA_C25,1743.8378,27.6568,1749.9989,525.4271,718.7273,10198.9222,468.0595,1884.5948,4751.6129,450.1694,5875.2948,240.9635,4540.1431,2046.6951,6237.9502,28577.2585,3664.147,5396.1726,14210.9072,49721.2828,7598.1771,5874.5822,246.1003,1529.3224,64267.0225,6818.9225,1600.69,1321.2962,110.8714,956.5649,725.8202,3264.984,1446.2629,4111.9099,2184.4386,821.3409,2026.4796,4840.73,2916.8152,8858.2491,845.752,2663.0432,440.0945,1569.7701,0.0,24562.3944,186.0351,4.5492,30208.4578,13129.1448,0.0
USA_C26,66.6471,0.0702,42.8711,10.2498,115.2636,926.1976,243.3089,340.7176,1154.6518,85.647,2217.5216,37.5771,894.3358,503.2569,1012.7714,1974.4317,13277.4006,1801.8513,3152.4391,7457.1325,7474.7451,1280.3242,136.2676,254.7431,3055.4597,7300.3981,126.049,2.1353,7.5646,197.8252,4.3655,216.1418,1732.474,8110.1194,4122.2388,1123.1748,361.3611,8328.9895,1840.9642,11349.3972,914.0332,4388.6581,86.0963,1388.8431,0.0,48425.2775,223.8486,2.8504,148359.505,11281.7859,0.099
USA_C27,1092.0631,0.3189,83.5807,27.0987,194.6972,415.0303,27.7819,816.6853,271.4201,18.7442,532.7549,26.8887,434.7496,115.7437,882.9331,932.3,803.8486,3962.5931,5933.4028,2981.433,1005.0682,778.5049,24.1621,350.4365,19269.5901,1227.0676,151.179,9.1354,3.367,114.3365,7.1311,559.6364,24.8408,2092.4324,709.8715,129.087,600.8624,1945.7756,1048.13,3268.0809,434.1013,900.2891,201.5894,1752.9505,0.0,28417.3358,64.4092,2.5899,15140.1081,4352.1392,0.0002
USA_C28,2156.8296,0.3031,5753.6666,1801.111,2709.4204,2307.6475,29.7484,349.4415,1391.4616,30.2635,1922.1178,30.088,1159.4617,216.0555,884.2601,2445.5461,355.4565,774.2423,17107.2071,14549.1386,2559.4574,3060.5639,816.7532,1788.6562,27297.1954,3100.5582,347.7732,21.5987,9.1475,1843.4855,46.6432,605.6489,772.6,1502.7921,1178.6869,533.751,170.4575,1759.2791,2111.6509,3276.8983,2557.0338,811.9119,125.1124,1062.3305,0.0,11333.976,115.7219,5.2263,146268.2193,12390.619,0.0001
USA_C29,659.3124,18.7411,681.7917,439.8675,265.1374,1810.9472,45.8026,453.7413,926.3326,34.9792,836.388,48.7798,352.1188,534.519,546.8277,762.1965,244.6447,220.344,8597.144,102714.3141,2673.764,747.3091,60.4808,736.5438,1985.805,24798.6048,3262.7806,25.9711,5.5295,2408.9068,833.2703,543.53,951.5251,222.6824,162.9876,105.6619,57.5368,2778.1691,5742.155,5287.5981,1458.6875,1757.8465,414.4974,806.0136,0.0,189991.5116,97.8984,0.0,161141.7766,24635.2178,0.0
USA_C30,0.0,21.2644,10.6162,0.0,0.0,0.0,0.0,13.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.2944,0.0,0.0,50.0955,199.5062,61552.1298,0.0,0.0,37.9603,38.8475,94.4758,1247.8237,2132.258,1353.3569,677.8452,1109.0278,0.0,0.0,6.9595,0.0,0.0,0.0,361.9279,42.5607,30835.1908,0.0,0.1187,23.1294,585.7831,0.0,23985.8796,0.0,0.0,99298.475,1965.1869,0.0
USA_C31T33,353.9487,0.5464,56.108,29.7418,41.8826,1017.1524,160.6313,469.6326,757.2838,377.1235,1263.0894,193.1716,643.538,402.3111,716.9008,855.784,421.877,366.1834,1488.2859,1459.1836,388.2057,4561.0966,105.5935,776.4196,11654.7663,12459.0794,832.1451,25.8654,40.7397,643.1817,85.5531,3280.9364,434.1012,880.6058,1131.4567,3208.7989,3477.4581,3977.0384,4735.5084,5228.187,1186.3423,20783.5359,822.8963,1241.209,0.0,106347.5915,116.4135,10.7761,42758.5857,4511.1637,0.0
USA_D,2561.279,18.3903,2614.5321,1899.8804,89.895,6527.6423,922.5381,1331.8832,5517.0574,5752.8721,11055.2594,831.3427,3775.9035,3125.6634,7437.7759,3824.1598,1002.3287,578.9516,1677.8277,1968.2587,901.3554,1208.5003,15934.5601,583.2163,3793.6749,39706.9402,2219.5265,103.6129,120.6431,10997.2465,504.1683,20026.7822,1178.3943,2787.6478,1554.3902,4561.4763,77659.785,11096.8317,3558.8177,7778.6312,10112.6875,13364.1082,2660.9413,2793.5971,0.0,164768.9957,475.9173,1.5689,2502.29,53.4483,0.0034
