V1,SEN_A01_02,SEN_A03,SEN_B05_06,SEN_B07_08,SEN_B09,SEN_C10T12,SEN_C13T15,SEN_C16,SEN_C17_18,SEN_C19,SEN_C20,SEN_C21,SEN_C22,SEN_C23,SEN_C24,SEN_C25,SEN_C26,SEN_C27,SEN_C28,SEN_C29,SEN_C30,SEN_C31T33,SEN_D,SEN_E,SEN_F,SEN_G,SEN_H49,SEN_H50,SEN_H51,SEN_H52,SEN_H53,SEN_I,SEN_J58T60,SEN_J61,SEN_J62_63,SEN_K,SEN_L,SEN_M,SEN_N,SEN_O,SEN_P,SEN_Q,SEN_R,SEN_S,SEN_T,SEN_HFCE,SEN_NPISH,SEN_GGFC,SEN_GFCF,SEN_INVNT,SEN_DPABR
SEN_A01_02,232.8397,0.037,0.002,0.0357,0.0008,796.1143,9.8699,7.646,0.0293,0.0105,0.0645,0.0133,0.0114,0.2903,0.015,0.0335,0.0009,0.0229,0.0032,0.0002,0.1092,2.1438,0.1367,0.0306,1.5317,17.8485,5.5521,0.0038,0.0126,0.0375,0.0001,81.7541,0.006,0.0942,0.0067,0.0282,0.009,0.1009,0.0323,2.9704,0.9714,2.5949,0.0762,0.1204,0.0,1930.6256,0.0,0.0041,107.0872,105.7329,0.0
SEN_A03,0.7997,11.956,0.0058,0.1083,0.0024,153.7308,0.3468,0.0976,0.0904,0.0322,0.1995,0.0107,0.0353,0.308,0.0465,0.1038,0.0028,0.0709,0.01,0.0006,0.0448,0.1197,0.4229,0.0785,1.5885,0.1771,0.2754,0.0116,0.0391,0.1106,0.0004,5.0479,0.0185,0.2893,0.0207,0.0856,0.0145,0.3081,0.0985,1.2023,0.2582,0.1139,0.0111,0.017,0.0,150.487,0.0,0.0127,3.7045,13.3186,0.0
SEN_B05_06,0.0,0.0,1.4004,3.1139,0.0114,2.0234,0.0,0.0002,0.0,4.1584,25.1524,0.0,0.0,8.5927,0.0203,0.0192,0.0,0.0,0.0,0.0,0.0,0.0042,0.6699,0.1287,16.0506,0.0345,0.0,0.0,0.0,0.0,0.0,0.0171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4804,0.0,0.0,0.2021,1.5982,0.0
SEN_B07_08,0.0386,0.006,4.2519,49.825,0.6465,0.6971,0.0181,0.0051,0.0048,0.0017,15.2951,0.0005,0.0019,6.1246,60.333,0.0168,0.0001,0.0037,0.0005,0.0,0.0024,1.1149,0.0223,0.0334,31.0776,0.023,0.0144,0.0006,0.0021,0.0057,0.0,0.0311,0.001,0.0152,0.0011,0.0045,0.0006,0.0162,0.0052,0.0155,0.0088,0.005,0.0024,0.0171,0.0,2.0913,0.0,0.0007,65.725,71.4537,0.0
SEN_B09,0.095,0.0148,0.9771,11.3202,0.1499,0.3622,0.0447,0.0124,0.0116,0.004,0.0257,0.0013,0.0045,0.0392,0.0058,0.013,0.0004,0.009,0.0013,0.0001,0.0056,0.0152,0.0547,0.0101,3.093,0.0215,0.0354,0.0015,0.005,0.0138,0.0,0.0661,0.0025,0.0369,0.0027,0.0111,0.0016,0.0399,0.0126,0.0383,0.0218,0.0124,0.0014,0.0021,0.0,2.0447,0.0,0.0016,15.5562,0.1329,0.0
SEN_C10T12,92.783,5.41,0.0481,0.7243,0.0155,316.3075,6.5052,0.5807,0.5196,0.2091,1.5715,0.7187,0.3353,3.5029,0.3073,0.6504,0.0155,0.4009,0.0622,0.005,0.2878,0.7324,2.2922,0.8821,9.8513,19.9535,3.7102,0.0626,0.2123,2.5534,0.0032,117.5102,0.111,1.9268,0.129,0.9882,0.1593,1.872,0.6069,11.1092,2.0237,3.3548,0.2226,0.3141,0.0,2963.7609,0.0,0.2201,28.1954,124.5807,0.0
SEN_C13T15,1.4051,0.0369,0.0016,0.0269,0.0007,0.892,56.7305,1.7889,0.0262,0.0026,0.0604,0.0043,0.0295,0.085,0.0044,0.0127,0.0007,0.0163,0.3662,0.0001,0.053,0.8143,0.1346,0.1068,0.3197,0.0766,0.0882,0.0032,0.0103,0.0267,0.0001,1.3179,0.0089,0.0715,0.0063,0.029,0.0048,0.1056,0.3422,5.1049,3.3212,1.1481,0.1472,0.3409,0.0,512.3922,0.0,0.0036,1.4995,27.0904,0.0
SEN_C16,0.0071,0.0342,0.0016,0.0176,0.0006,7.1455,0.4735,10.3044,0.0685,0.0002,0.0548,0.0017,2.6766,0.0073,1.5364,5.4829,0.0,0.0008,0.0001,0.0082,9.4117,16.7353,0.0068,0.0654,21.7095,0.0273,0.0707,0.0016,0.0179,8.5995,0.0003,0.0171,0.0005,0.0282,0.0292,0.1312,0.0032,0.9657,0.0297,0.8058,0.7046,0.1799,0.0343,0.0538,0.0,55.7151,0.0,0.0001,4.8673,4.8806,0.0
SEN_C17_18,0.3467,0.3212,0.026,0.7402,0.0871,16.3456,0.3282,0.1775,15.4797,0.2353,2.8879,0.3171,0.3356,11.7839,0.0163,0.0471,0.0073,0.035,0.0908,0.0265,0.0293,0.3539,0.4416,2.6173,4.0485,8.1036,2.0267,0.1062,1.5164,2.8328,0.0321,1.7894,7.4901,5.4667,2.2166,10.5908,0.5506,11.5249,3.9911,13.7821,13.696,3.0955,0.6676,0.7964,0.0,18.2682,0.0,0.0009,0.2131,5.8068,0.0
SEN_C19,5.4607,14.5234,0.5568,10.2915,0.3637,19.6468,0.8108,0.4529,0.3158,0.3254,23.521,0.24,0.6678,15.9452,0.2003,0.2982,0.0048,0.2101,0.0562,0.0172,0.0686,0.5583,88.6969,4.5026,59.4437,13.5805,50.6112,1.3788,2.826,6.0349,0.0138,1.6539,0.2277,3.9075,0.3975,2.7976,1.2981,12.9661,3.6374,14.8005,1.7809,3.3424,0.2837,0.4715,0.0,73.6862,0.0,0.0064,1.5139,14.0411,0.0
SEN_C20,70.0162,0.6001,0.359,3.3126,0.0732,9.7187,0.8782,0.0681,0.7469,1.2072,47.5348,0.8503,20.4161,16.5302,0.1282,0.2505,0.0006,0.0279,0.032,0.0063,0.0214,0.3238,0.1524,2.4907,35.2366,1.4289,1.1168,0.0183,0.2049,1.8799,0.0034,1.3615,0.0406,0.5006,0.0704,0.5098,0.1785,2.059,2.5422,1.2729,0.3836,1.8663,0.0393,0.1269,0.0,70.856,0.0,0.0019,0.4543,9.0999,0.0
SEN_C21,0.1047,0.0,0.0,0.0,0.0,0.142,0.0,0.0,0.0,0.0,0.0,0.4195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2228,0.0,0.0045,0.048,1.3119,0.0027,0.0043,0.0,24.6585,0.0,3.2306,0.0,0.4666,0.0
SEN_C22,2.9619,2.4181,0.0159,0.4041,0.0306,69.0204,2.4593,1.3314,0.3802,0.096,7.0974,0.3469,12.5832,1.9165,0.3245,1.3094,0.0001,0.0153,0.6521,0.0735,0.0965,2.5189,0.7122,2.3382,4.0136,5.4605,0.3896,0.0811,0.0762,1.0341,0.0045,0.3678,0.0283,4.046,0.5261,0.6387,0.1437,3.0657,1.2727,0.2951,0.3835,0.9885,0.0237,0.0591,0.0,66.7869,0.0,0.0003,1.8386,6.9455,0.0
SEN_C23,2.6896,1.1059,0.0098,0.2112,0.0094,10.2031,3.5613,0.8005,0.3798,0.0085,7.12,0.9157,0.8562,49.3574,0.5156,0.8424,0.003,0.114,0.0371,0.0118,0.1505,0.4373,0.9256,4.3994,337.6331,4.7484,0.1815,0.0035,0.0169,0.8122,0.0092,2.044,0.269,3.078,0.1775,3.0387,1.645,2.6266,0.6676,3.2055,0.8498,1.5793,0.144,0.1594,0.0,47.4616,0.0,0.0,0.3526,10.6761,0.0
SEN_C24,0.0,0.0,0.0055,0.1512,0.0,0.5739,0.0002,0.0617,0.0,0.0,0.0,0.112,0.0024,0.5056,3.9723,8.3809,0.0,0.8743,0.005,0.0067,0.1134,0.061,0.0,0.0027,10.8702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0069,0.0,0.0,0.0033,0.0039,0.014,0.0,0.2153,0.0,0.0,4.2312,1.9111,0.0
SEN_C25,0.0,0.0,0.063,1.7293,0.0,8.3838,0.0016,0.8531,0.0,0.0,0.0,0.6256,0.0151,2.9933,2.3995,16.4024,0.0,0.0,0.0239,0.0341,1.9142,0.3666,0.0,0.0176,92.7598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184,0.0,0.1073,0.0,0.0,0.0658,0.105,0.2144,0.0,5.5537,0.0,0.0,148.5867,10.81,0.0
SEN_C26,0.0166,0.0057,0.0008,0.0096,0.0002,0.0689,0.0081,0.0026,0.0281,0.0007,0.0169,0.0008,0.0015,0.0139,0.0012,0.0034,0.0039,0.0964,0.0049,0.0001,0.001,0.0039,0.0191,0.0167,0.0805,0.0106,0.0144,0.0019,0.0061,0.0104,0.0001,0.0159,0.0008,0.2524,0.0081,0.0218,0.0022,0.0381,0.0591,0.0432,0.0094,0.0171,0.0005,0.001,0.0,0.5688,0.0,0.0003,1.0548,0.0799,0.0
SEN_C27,0.0165,0.2051,0.0349,0.6928,0.0049,0.6707,0.0526,0.0207,0.0487,0.0007,0.7297,0.0098,0.0617,0.3487,0.027,0.0821,0.0026,0.0291,0.0216,0.0046,0.0039,0.0802,0.5372,0.244,7.0027,0.3691,0.6377,0.13,0.4912,0.3719,0.0026,0.3089,0.0174,2.4421,0.0319,0.0171,0.0827,1.3284,0.6137,0.0288,0.0784,0.2492,0.0334,0.0795,0.0,3.0333,0.0,0.0003,37.24,1.7561,0.0
SEN_C28,0.1653,0.0522,0.0233,0.5251,0.0045,0.2291,0.0158,0.0118,0.0166,0.0662,0.1717,0.0031,0.015,0.3179,0.0058,0.0204,0.0,0.008,0.0451,0.0013,0.001,0.0266,0.1868,0.0617,1.4294,0.0916,0.1591,0.0316,0.119,0.0942,0.0007,0.077,0.0045,0.5917,0.0123,0.0168,0.0227,0.3823,0.13,0.0377,0.0443,0.0785,0.003,0.0061,0.0,0.1389,0.0,0.0001,5.5437,0.2849,0.0
SEN_C29,0.014,0.0083,0.002,0.0469,0.0004,0.0262,0.0018,0.0007,0.0019,0.0205,0.0238,0.0004,0.0024,0.0293,0.0009,0.0035,0.0,0.0013,0.0001,0.0007,0.0002,0.0053,0.0225,0.0095,0.2612,0.0143,0.0325,0.0053,0.02,0.0151,0.0001,0.0116,0.0007,0.0123,0.0012,0.0005,0.0038,0.0559,0.0196,0.0009,0.0065,0.02,0.0006,0.0009,0.0,0.6159,0.0,0.0,1.8873,0.0945,0.0
SEN_C30,0.0,0.6057,0.0,0.0,0.0,1.7339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6025,0.0,0.0,98.1372,-1.4465,0.0
SEN_C31T33,0.1466,2.0989,0.0462,1.4972,0.0458,4.9972,0.9253,2.828,0.4534,0.001,1.0654,0.0898,0.2801,0.894,0.1715,0.5552,0.0003,0.0123,0.0021,0.003,0.8081,5.3574,2.6472,4.2796,2.9761,1.4534,1.1419,0.1357,0.3275,4.9495,0.0147,0.955,0.2707,0.7323,0.5767,2.923,0.1933,16.483,1.4463,12.4687,10.8955,3.0933,0.529,0.7759,0.0,26.7406,0.0,0.0016,78.3896,5.9059,0.0
SEN_D,18.1656,7.4979,0.0662,1.4461,0.0643,62.8773,24.0357,2.0833,2.567,0.0572,31.4455,0.4767,5.7846,109.2101,1.5173,1.708,0.0205,0.7698,0.2503,0.0798,1.0178,1.497,6.2943,29.779,5.6843,32.0939,1.2248,0.0255,0.1149,5.5334,0.0625,13.8152,1.8216,20.7962,1.2008,20.543,3.7826,17.7674,4.5259,21.6542,5.739,10.6727,0.9736,1.0771,0.0,255.3542,0.0,0.0,0.2425,0.0,0.0
SEN_E,21.4815,0.1487,0.0399,0.3969,0.0073,4.994,0.7042,0.1906,0.1222,0.3834,1.4908,0.0431,0.3217,2.6402,8.5166,8.1302,0.0,0.0998,0.0044,0.0043,0.1249,0.1998,1.5703,6.9987,8.2915,7.0198,1.2206,0.142,0.047,0.6434,0.0097,2.7846,0.1177,0.3764,0.0633,1.4937,1.0506,4.75,0.5797,29.0212,3.9936,3.4985,0.336,0.452,0.0,188.0499,0.0,69.0579,0.0035,0.0012,0.0
SEN_F,0.8275,0.041,0.1943,1.3071,0.0542,4.4438,0.22,0.3947,0.2011,0.1721,0.2153,0.0026,0.0975,7.0979,0.0174,0.0403,0.0007,0.0182,0.0073,0.0049,0.0133,0.2408,0.4061,0.0934,273.7696,2.5389,0.276,0.003,0.01,3.651,0.0001,2.0186,0.0631,1.3143,0.1034,0.9266,7.0249,2.5164,0.8439,0.1302,0.8059,1.6569,0.1138,0.1276,0.0,8.9766,0.0,0.0033,2213.7283,67.0149,0.0
