V1,TUR_A01_02,TUR_A03,TUR_B05_06,TUR_B07_08,TUR_B09,TUR_C10T12,TUR_C13T15,TUR_C16,TUR_C17_18,TUR_C19,TUR_C20,TUR_C21,TUR_C22,TUR_C23,TUR_C24,TUR_C25,TUR_C26,TUR_C27,TUR_C28,TUR_C29,TUR_C30,TUR_C31T33,TUR_D,TUR_E,TUR_F,TUR_G,TUR_H49,TUR_H50,TUR_H51,TUR_H52,TUR_H53,TUR_I,TUR_J58T60,TUR_J61,TUR_J62_63,TUR_K,TUR_L,TUR_M,TUR_N,TUR_O,TUR_P,TUR_Q,TUR_R,TUR_S,TUR_T,TUR_HFCE,TUR_NPISH,TUR_GGFC,TUR_GFCF,TUR_INVNT,TUR_DPABR
TUR_D,377.5677,2.6849,69.7086,32.6073,9.1422,805.4319,1064.6883,195.9599,260.6668,14.2648,307.6447,57.7051,502.2212,1490.2068,1893.2083,375.1458,19.3522,149.2463,238.4434,265.2718,28.9872,176.953,32268.0778,694.6931,385.8297,1874.8968,165.4209,7.0894,8.7684,160.0314,23.5714,1014.4028,74.7813,245.4727,36.3285,266.9095,1072.8703,325.2184,110.3231,1133.1992,769.075,589.1505,204.4633,149.9033,0.0,12090.4874,0.0,9.6833,204.5967,0.5627,0.0
TUR_E,209.9048,0.3466,1.2751,0.955,1.646,85.2666,96.3672,7.6772,309.7519,9.5117,63.994,3.9594,76.9517,60.6379,7216.2844,67.5358,11.6375,58.7419,33.4713,54.2427,2.215,30.7612,32.2743,1584.082,124.5042,225.5394,35.31,1.4014,4.4979,18.4607,3.4345,171.4848,4.1021,13.3031,2.6713,30.8178,365.1308,74.1368,16.5081,235.0594,157.7175,180.4145,62.7225,45.0603,0.0,2842.1691,0.0002,2190.0747,34.264,0.9289,0.0
TUR_F,339.2804,9.1821,87.9004,78.1623,15.3954,495.524,332.0007,116.4341,83.7507,25.4635,149.749,26.59,175.3353,486.7817,292.141,295.8582,64.2913,140.8962,191.6071,198.6973,62.6914,375.4695,493.6973,2039.3281,52743.4098,2796.3291,515.9103,21.0553,69.7676,68.1304,51.6148,471.7701,94.8636,404.8751,34.6776,212.7828,2518.3193,1035.7548,362.4253,4203.032,381.2768,446.7237,823.3161,171.6183,0.0,3128.1732,0.0005,62.0283,136251.1612,43.6948,0.0
TUR_G,3556.9197,55.0894,333.3795,521.9811,18.8612,7483.0569,8133.024,449.3542,1095.4218,555.0818,1522.2747,401.6646,1825.7729,1712.8953,1781.355,1442.1517,557.5312,1591.2522,1363.5144,3456.8579,201.2347,2132.7114,1775.0267,420.9616,9285.425,4414.9134,4929.1599,177.5291,1363.3847,411.8406,166.8479,2869.7838,180.9707,204.1691,115.4592,336.2253,929.2821,824.3952,953.7425,1678.3131,361.1297,1409.4788,185.8225,648.5598,0.0,44330.6562,0.0459,3307.0232,13125.545,949.2561,0.0
TUR_H49,1246.9433,13.5986,148.0758,191.7529,14.9962,2484.3534,1277.0295,182.145,390.0285,284.0347,567.9157,91.813,504.1049,897.8078,1176.604,641.8596,85.1909,489.0473,520.8791,691.8801,59.9273,598.4775,496.657,263.9559,2654.228,5105.4259,14349.5017,106.0583,363.1505,540.4133,350.0239,533.3704,110.6012,118.9213,37.3165,93.0744,245.0548,639.1687,553.6574,1287.9216,1012.9754,258.9941,114.9349,220.1393,0.0,36290.2838,0.0029,333.3545,4036.3189,226.9195,0.0
TUR_H50,48.4074,1.1273,5.4967,7.8949,0.5043,93.7418,73.827,6.6916,19.6195,65.6548,49.1668,7.9769,47.3036,35.6472,110.8735,47.6586,11.6449,37.1195,32.0788,63.2754,8.9701,35.9721,63.988,5.6957,125.4342,306.6909,210.3731,171.6571,73.6525,237.0677,2.5109,20.9838,2.2427,3.204,2.0002,4.9629,13.5044,51.326,13.7893,30.0931,3.5038,14.0158,42.94,8.6377,0.0,503.053,0.0,25.3343,194.2063,319.9158,0.0
TUR_H51,53.0762,1.9266,5.0104,7.867,0.936,84.0062,73.6097,7.8283,19.5731,62.3126,39.5622,8.2008,40.1159,25.1775,58.1553,38.8621,12.7042,42.9608,31.5987,64.3719,6.2584,34.0597,69.923,5.1413,137.8399,100.6275,96.0602,7.7475,441.2779,16.3172,35.7307,23.3024,4.459,3.8433,5.0469,40.5662,16.2357,40.236,340.9149,95.3871,11.772,21.9191,12.7218,26.001,0.0,3208.4352,0.0001,26.4947,198.5964,358.3069,0.0
TUR_H52,153.516,22.8108,30.4281,129.1838,4.7153,556.4806,276.049,43.0497,94.5659,96.6082,264.3565,22.4744,138.0916,142.9582,211.981,126.0528,20.4879,116.7804,79.6301,151.487,23.2314,100.941,101.854,64.6901,570.9626,1757.6883,2293.3474,875.175,1012.2735,1787.8886,122.5426,94.5481,9.295,14.7283,8.0988,58.0841,77.2193,57.4482,294.0925,168.366,20.307,36.5591,37.0337,72.4517,0.0,1667.8783,0.0,53.098,371.6793,136.4837,0.0
TUR_H53,3.3059,0.1863,1.4025,3.9071,0.4225,41.5233,82.0487,4.9938,18.4559,2.2026,19.8393,5.1042,21.2997,21.2442,14.5338,25.2098,4.9933,18.4659,25.7225,8.2982,2.8434,45.2946,11.3683,7.5708,57.9997,1140.5982,129.6299,8.5381,16.2556,72.9076,147.9936,15.3215,36.0247,133.8743,12.2984,136.2063,5.091,118.9227,153.9072,75.826,30.354,9.5316,10.7984,61.0053,0.0,1076.8235,0.0,0.639,7.4623,3.8558,0.0
TUR_I,6.4108,2.23,3.6197,0.9906,2.4175,100.7034,91.8854,12.1046,31.5947,9.3828,32.2874,19.8415,34.3327,49.1365,49.5365,72.0915,5.1218,54.9439,71.0734,42.7092,15.4598,63.8166,19.2123,38.7557,231.03,1012.7455,135.0057,1.7943,54.1104,66.9305,18.2051,298.5779,37.3587,44.5856,54.5305,229.3372,30.1119,281.7076,2644.868,279.0036,183.5271,341.584,87.3106,133.1511,0.0,30782.2465,0.0,0.0,0.0,0.0,0.0
