V1,ARG_A01_02,ARG_A03,ARG_B05_06,ARG_B07_08,ARG_B09,ARG_C10T12,ARG_C13T15,ARG_C16,ARG_C17_18,ARG_C19,ARG_C20,ARG_C21,ARG_C22,ARG_C23,ARG_C24,ARG_C25,ARG_C26,ARG_C27,ARG_C28,ARG_C29,ARG_C30,ARG_C31T33,ARG_D,ARG_E,ARG_F,ARG_G,ARG_H49,ARG_H50,ARG_H51,ARG_H52,ARG_H53,ARG_I,ARG_J58T60,ARG_J61,ARG_J62_63,ARG_K,ARG_L,ARG_M,ARG_N,ARG_O,ARG_P,ARG_Q,ARG_R,ARG_S,ARG_T,ARG_HFCE,ARG_NPISH,ARG_GGFC,ARG_GFCF,ARG_INVNT,ARG_DPABR
ARG_H49,4490.1724,16.7727,136.3777,256.1551,18.4132,2381.263,141.5822,122.7183,282.7279,1100.1183,390.9232,310.2472,240.2499,342.2194,160.1704,132.2597,156.3915,114.9345,207.4912,254.6611,8.81,78.6581,845.2887,47.843,211.8521,1066.0437,168.2321,0.458,39.8455,30.7935,201.1173,193.2581,81.0477,18.4542,40.1344,167.2844,603.8478,139.7019,98.7955,42.6879,369.2062,118.8977,60.7839,105.5622,0.0,16413.2433,0.0,2.9264,392.0662,164.3601,0.0
ARG_H50,0.2809,0.0,0.0,0.0258,0.0104,0.5827,0.1511,0.0208,0.1094,0.0084,0.2685,0.2153,0.2495,0.0571,0.1564,0.1068,0.2828,0.1518,0.3035,0.6449,0.0179,0.0489,0.0,0.0382,0.4329,0.0954,0.3428,0.0,0.0387,0.0,0.0,0.1382,0.0488,0.0109,0.0002,0.0372,0.0038,0.0187,0.0486,0.0919,0.0294,0.1791,0.0,0.0,0.0,0.0,0.0,0.3818,2.0201,93.1414,0.0
ARG_H51,35.792,2.815,15.9754,9.8765,12.1953,120.2328,26.9915,4.9183,23.9561,50.8879,47.7664,100.1791,47.8957,16.1999,23.7472,26.0532,69.2842,29.2582,63.5804,85.9899,3.3095,13.1851,27.963,7.2306,54.4161,63.0998,40.0316,0.1324,199.4841,14.9143,9.7143,25.6751,40.7045,24.8326,38.795,38.7765,45.1546,96.7076,52.044,312.9721,50.1036,22.9815,30.6107,31.0009,0.0,3467.7052,0.0,0.8769,231.4087,229.1047,0.0
ARG_H52,118.4614,5.8954,22.1026,43.6099,46.3767,135.0792,10.9613,3.2913,7.9477,26.7416,18.3306,14.9021,14.7357,7.3976,16.4909,49.6289,7.7791,9.4443,21.8503,28.7007,0.6897,3.6539,41.0198,6.3097,33.4474,526.0488,4655.7146,30.0316,1196.081,675.8371,65.4357,78.0863,16.4935,36.3093,34.4284,216.9036,53.9503,26.4467,25.9134,16.5638,50.2783,16.7762,9.9851,45.1624,0.0,2728.1522,0.0,0.5401,69.421,29.6351,0.0
ARG_H53,0.4811,0.6464,13.4673,1.9011,32.0032,19.6145,2.9515,0.6859,4.8215,1.4979,5.3568,11.1308,5.9874,1.9624,1.6694,4.0557,4.9361,2.7159,7.6963,12.2131,0.3142,2.1163,11.6529,11.4289,11.3723,147.8289,45.5521,0.0509,14.4004,73.447,8.8184,8.0656,22.0723,41.5262,27.6772,450.2375,11.2808,103.9785,35.5444,143.3218,67.2564,20.8429,8.4358,151.4147,0.0,118.0539,0.0,0.0,0.0,0.1637,0.0
ARG_I,193.6551,33.7351,151.9048,9.729,176.2038,867.1057,124.499,31.9485,151.1822,58.6807,119.0952,715.047,140.5188,108.5426,45.6507,165.2193,160.5371,111.6288,269.9361,240.247,25.1316,55.6367,13.6072,11.1445,27.4163,351.1943,135.1608,5.8651,115.027,16.8641,6.1381,597.5525,160.7671,72.0559,91.368,341.6928,11.0158,194.4216,96.8494,1018.176,375.2822,490.5693,123.0948,199.3525,0.0,27304.281,0.0,3.4827,30.2711,11.8559,0.0
ARG_J58T60,21.8148,0.5359,6.0144,17.7654,10.0388,399.6371,24.9429,2.4329,41.7629,10.5077,106.7598,219.6517,32.91,23.0437,15.1903,21.2422,81.1255,18.7474,34.9656,55.7565,1.7837,9.9688,22.1306,9.2418,6.39,709.6639,67.6723,0.2024,31.6151,29.7539,6.8501,137.1454,1611.3006,259.4676,319.2761,579.2428,22.3796,515.7097,81.1899,190.0751,117.412,82.6766,211.8452,160.4545,0.0,2330.339,0.0,148.4315,334.456,33.6194,0.0
ARG_J61,15.041,21.8009,6.5697,41.132,4.7352,332.9847,54.8692,17.0896,85.5776,22.2086,43.1354,93.5034,71.17,37.2438,20.8671,61.178,81.6372,32.5162,47.2644,66.1534,0.9459,8.6744,12.1013,53.8851,14.9891,3405.5774,1151.8392,5.9363,190.8382,90.4165,53.6029,685.1875,202.6067,6557.0331,472.2073,818.1286,44.2873,466.5065,172.4807,1536.8892,749.2621,482.2038,214.1623,39.5344,0.0,5469.3431,0.0,0.0,0.0,1.9681,0.0
ARG_J62_63,0.3346,0.1707,28.7529,0.0803,18.358,17.7216,1.6741,0.0584,2.0766,5.609,5.1192,6.3622,4.089,0.5752,0.4476,0.9128,1.0217,1.3438,2.3219,10.2098,4.102,31.8788,29.6291,3.1282,5.5346,408.977,0.4856,0.0001,0.0005,343.1514,0.3352,10.832,48.6507,49.9807,2560.0024,1819.3705,255.6138,2611.9548,743.0144,51.884,5.8727,24.402,1345.7385,81.3074,0.0,0.0,0.0,56.9397,2113.3493,3.4761,0.0
ARG_K,411.6198,37.6186,159.9359,93.5391,39.2272,669.1894,126.0779,41.8915,112.3629,84.7318,121.8134,207.1804,136.1474,86.2188,66.4699,114.9865,82.8928,73.4156,152.826,110.0701,11.3152,70.7286,225.7538,200.1068,528.9459,2289.0223,1658.4473,8.163,151.7569,535.326,24.2165,435.8757,123.7451,279.7096,181.9868,3960.3733,516.2147,631.7456,328.4471,3633.7615,392.4248,503.4352,182.3819,356.4112,0.0,19189.7164,0.0,1049.03,26.1113,1.2124,0.0
ARG_L,1.7599,5.169,52.2135,0.3478,0.0,19.1404,28.0789,6.3972,22.8401,36.7425,24.519,20.9359,24.4198,9.3241,2.9317,18.6861,20.6191,6.6381,25.1454,25.5467,1.2295,9.847,5.3069,49.5724,0.0,175.5158,290.4515,0.3385,21.4104,5.8016,2.9346,679.7246,45.1592,136.7084,0.1334,143.0334,276.4485,210.411,123.9913,177.692,298.0182,237.332,0.3685,329.839,0.0,29369.3839,0.0,0.0,4515.4151,0.0399,0.0
ARG_M,258.8591,27.9223,101.4916,62.4325,106.2158,1096.4788,115.5809,28.7056,100.3387,98.402,284.4082,608.4884,144.5195,70.965,62.4806,108.7821,178.6978,76.2061,177.1653,149.0958,14.0762,61.9588,461.0774,207.1696,169.9671,3081.123,604.3002,2.1641,55.2888,218.2705,41.7119,1107.6024,617.6669,709.7548,1048.7571,1685.7168,388.4978,1381.0554,391.7992,596.774,491.4439,871.1072,676.0471,544.194,0.0,6018.5055,0.0,265.3582,1221.436,10.3639,0.0
ARG_N,45.4774,21.938,129.3751,171.7918,137.8056,296.0623,102.9929,12.0632,80.953,154.9818,72.5457,167.8452,55.1304,53.1607,12.2614,46.8878,35.9634,21.2775,80.6042,93.8472,7.8638,28.6297,147.9443,166.5584,518.0195,3775.182,1055.8062,7.7227,510.9279,539.7565,63.561,676.7946,152.7715,814.0471,402.4498,1090.2044,299.0176,570.0669,361.1671,592.3247,388.1016,538.4979,229.3145,260.5596,0.0,4663.2227,0.0,0.0,0.0,2.4634,0.0
ARG_O,56.4373,6.1218,0.7116,15.1204,0.5693,2.152,0.3277,0.2055,0.494,3.2184,0.5677,0.8057,0.4686,0.364,0.3195,0.3849,0.3717,0.2176,0.5608,0.3437,0.0346,0.2139,3.4446,0.8238,14.7353,242.5879,8.4296,0.0388,3.1043,3.4176,0.1384,1.3315,2.2341,5.3037,2.8391,12.5355,6.9169,16.1372,4.7304,90.5737,1.9857,1.633,10.7068,48.6623,0.0,6533.5993,0.0,60416.8493,0.0,0.0,0.0
ARG_P,2.9534,0.0579,86.2273,0.1892,0.0,36.6482,2.0066,0.0859,5.4183,46.5805,12.6457,24.7699,0.2416,8.4682,8.6735,2.8157,1.3823,0.5571,0.3432,3.2344,0.1418,0.0356,40.3288,0.1886,0.0,5.5579,0.2168,0.0532,1.5391,27.8628,0.0239,8.0626,5.5972,0.5012,14.9715,0.0074,1.2554,48.0542,12.915,44.0061,49.5179,9.6617,13.9379,135.5317,0.0,11744.4488,125.8841,29622.5451,0.0,0.0,0.0
ARG_Q,33.4321,1.125,31.5432,0.2486,0.141,25.0428,4.7471,0.8231,4.5127,1.2167,4.5155,30.5394,5.3156,6.3944,0.9324,8.9331,12.1253,2.8191,7.0866,9.2048,0.1611,2.4604,0.8592,5.7514,0.0,304.4501,18.7979,1.7232,63.0009,227.2118,0.7845,9.8119,11.0051,26.4284,65.3824,67.579,225.8856,820.7089,242.8978,197.6943,265.6305,5745.2845,10.3089,2170.9538,0.0,23667.195,61.6884,17894.0564,0.0,0.0,0.0
ARG_R,5.5653,0.0002,0.0,0.0011,0.0,71.2031,3.9012,0.1652,10.4496,0.0,24.1458,48.1987,0.4654,16.3523,16.7304,5.4341,2.6912,1.0809,0.6651,6.2569,0.2711,0.0685,0.0013,0.0006,0.0,10.6972,29.3547,0.0315,23.094,24.8344,0.14,2.5071,33.237,2.5857,0.0,33.2082,0.0,8.6732,17.4063,45.3207,559.2232,28.9219,815.0382,893.0888,0.0,7206.4433,0.0,1.47,502.1373,0.2603,0.0
ARG_S,18.6418,0.0137,0.044,0.0951,3.1146,4.1014,0.805,0.0176,1.9122,3.3415,1.0621,4.6918,0.1924,0.4391,1.5191,0.3658,1.0263,1.0578,1.2292,1.6275,0.0062,0.8421,0.3089,0.066,3.0846,220.9973,73.1099,0.0044,68.0337,0.5874,0.1613,40.762,4.261,0.9233,22.7504,31.7287,64.6979,122.1067,18.3556,14.3988,23.6433,158.328,69.7874,95.8469,0.0,17124.2449,1952.0403,25.2247,2.1523,0.338,0.0
ARG_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4159.8115,0.0,0.0,0.0,0.0,0.0
