V1,CMR_A01_02,CMR_A03,CMR_B05_06,CMR_B07_08,CMR_B09,CMR_C10T12,CMR_C13T15,CMR_C16,CMR_C17_18,CMR_C19,CMR_C20,CMR_C21,CMR_C22,CMR_C23,CMR_C24,CMR_C25,CMR_C26,CMR_C27,CMR_C28,CMR_C29,CMR_C30,CMR_C31T33,CMR_D,CMR_E,CMR_F,CMR_G,CMR_H49,CMR_H50,CMR_H51,CMR_H52,CMR_H53,CMR_I,CMR_J58T60,CMR_J61,CMR_J62_63,CMR_K,CMR_L,CMR_M,CMR_N,CMR_O,CMR_P,CMR_Q,CMR_R,CMR_S,CMR_T,CMR_HFCE,CMR_NPISH,CMR_GGFC,CMR_GFCF,CMR_INVNT,CMR_DPABR
CMR_A01_02,217.6492,1.5943,4.3606,0.0005,1.0826,750.2565,23.1707,64.9016,0.0143,0.0001,2.5243,0.5703,0.0118,0.1984,0.4862,0.0501,0.0116,0.2047,0.4127,0.7427,0.5398,45.3009,0.0004,3.1092,345.4104,4.7087,0.0707,0.0436,0.0238,0.1053,0.0139,133.4875,3.3054,2.467,3.1369,0.0127,6.3827,6.1258,5.6852,2.9594,0.5148,12.2554,5.427,42.9539,0.0,3330.3703,0.004,0.0054,348.0358,61.0005,0.0
CMR_A03,3.5256,2.3851,0.0226,0.0,0.0056,90.9304,0.1398,1.2232,0.0001,0.0,0.0119,0.0028,0.0001,0.0049,0.0114,0.0012,0.0,0.0,0.0,0.0,0.0,1.0991,0.0,0.016,8.1422,11.6377,0.0005,0.0004,0.0003,0.0006,0.0001,26.9956,0.0316,0.0226,0.0323,0.0001,0.1556,0.0214,0.0046,0.0569,0.0037,0.075,0.0485,0.2514,0.0,456.2785,0.0,0.0,1.9059,5.0016,0.0
CMR_B05_06,58.9064,0.0,161.8422,2.8157,2.5062,4.0535,7.8938,0.186,1.497,333.1636,3.6385,0.0004,0.0,33.6734,8.8948,0.0013,0.0447,0.0035,0.008,0.0,0.0,0.0986,153.9193,1.2797,1.4984,35.4599,6.1064,1.5329,1.5217,2.7077,2.1494,0.7606,1.1512,1.2163,1.4174,0.08,0.0818,1.1983,0.0,0.0,0.2588,0.0154,0.0565,0.002,0.0,0.0,0.0,0.0,0.0,56.8927,0.0
CMR_B07_08,0.5538,0.0441,12.0835,12.0949,2.9374,1.3696,0.0215,0.137,0.0,0.0,0.1147,0.0063,0.0035,4.8957,8.8831,0.3775,0.5642,0.0,0.0,0.0,0.0,0.0148,0.0,0.0036,47.001,0.1096,0.158,0.0222,0.0628,0.1573,0.0381,0.2833,0.0003,0.0005,0.0004,0.0,0.0023,0.1217,2.3656,0.0035,0.8317,0.0012,0.0017,0.0074,0.0,36.7702,0.0,0.0,4.5625,1.3302,0.0
CMR_B09,0.4928,0.0,65.4182,0.0363,11.5613,1.9122,0.0418,0.345,0.1306,3.2666,0.0328,0.0006,0.0,1.4127,0.0213,0.0014,0.049,0.003,0.0067,0.0,0.0,0.0294,9.2467,0.1055,6.6979,46.6014,8.8739,1.0866,0.9305,4.2905,4.9947,0.7288,0.0897,0.0,0.2374,0.12,0.1338,0.9531,0.0,0.0,0.3248,0.0194,0.0243,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMR_C10T12,81.4151,0.8116,0.4757,0.0201,0.1133,366.3053,3.0557,1.2091,0.14,0.0014,24.6111,3.7947,0.1389,0.0028,0.0701,0.0074,0.0032,0.0055,0.0159,0.0018,0.0009,0.0605,0.0041,0.7951,2.05,18.5268,0.251,0.1392,0.244,0.2842,0.0595,594.0967,2.9278,1.9455,1.7232,0.0292,0.0052,0.7738,15.3624,12.001,1.7103,1.4375,0.9291,2.3156,0.0,3010.6704,0.5285,0.7196,31.012,41.029,0.0
CMR_C13T15,0.3255,0.6072,5.2176,0.0363,1.0273,1.0081,187.866,0.5085,0.1918,0.0013,0.2585,0.0608,0.104,0.3053,0.0046,0.0008,0.0788,0.0037,0.0049,0.0043,0.0004,3.3132,0.0116,0.0156,2.5622,1.1632,0.4398,0.0455,0.0771,0.1682,0.0572,0.361,0.0362,0.0321,0.0331,0.0173,0.0024,1.6449,0.6545,10.37,0.8693,0.2176,5.5512,51.3076,0.0,1218.7084,0.0,0.0,2.565,25.1984,0.0
CMR_C16,61.3306,0.0956,0.0758,0.0071,0.0191,43.929,4.334,64.7999,0.0885,0.0002,0.5041,0.0418,0.0022,0.2769,0.0684,0.0101,0.0895,1.5763,3.1766,5.7278,4.1631,9.7873,0.0011,0.1055,161.357,0.2567,0.194,0.066,0.0511,0.3779,0.0373,3.3827,0.0276,0.0228,0.0197,0.0009,1.3837,15.7421,41.9044,5.909,0.653,1.954,22.79,3.1402,0.0,104.934,0.0,0.0,14.2346,8.2137,0.0
CMR_C17_18,3.304,0.0285,0.3454,0.0125,0.0723,2.6992,1.6004,0.3614,12.9404,0.0177,0.5609,0.1385,0.2782,0.2531,0.0137,0.0028,0.0004,0.0111,0.0155,0.0091,0.0046,0.2777,0.6416,0.0239,0.5957,2.5572,0.6325,0.1345,0.271,1.1581,0.4234,0.2559,4.9016,1.4961,1.5849,1.0578,0.1662,4.8659,0.3299,26.3655,5.1848,5.7079,0.4454,0.8822,0.0,90.5985,0.0,0.0,0.0,2.0613,0.0
CMR_C19,18.2105,27.8258,29.1223,0.6479,4.8452,18.1931,7.0937,11.8363,1.6988,14.0729,2.0821,0.1066,0.1871,0.5993,1.8016,0.149,0.0002,0.0364,0.0681,0.0014,0.0007,7.4087,5.1057,0.3941,25.614,29.2601,96.458,29.9086,55.4941,20.6899,7.7581,5.2811,1.3066,2.4673,1.7076,2.8829,0.2312,16.3111,0.9485,17.0725,5.6902,3.1378,1.2617,6.4045,0.0,153.3614,0.0,0.0,0.0145,6.4168,0.0
