V1,TWN_A01_02,TWN_A03,TWN_B05_06,TWN_B07_08,TWN_B09,TWN_C10T12,TWN_C13T15,TWN_C16,TWN_C17_18,TWN_C19,TWN_C20,TWN_C21,TWN_C22,TWN_C23,TWN_C24,TWN_C25,TWN_C26,TWN_C27,TWN_C28,TWN_C29,TWN_C30,TWN_C31T33,TWN_D,TWN_E,TWN_F,TWN_G,TWN_H49,TWN_H50,TWN_H51,TWN_H52,TWN_H53,TWN_I,TWN_J58T60,TWN_J61,TWN_J62_63,TWN_K,TWN_L,TWN_M,TWN_N,TWN_O,TWN_P,TWN_Q,TWN_R,TWN_S,TWN_T,TWN_HFCE,TWN_NPISH,TWN_GGFC,TWN_GFCF,TWN_INVNT,TWN_DPABR
TWN_J58T60,3.225,0.9069,1.4024,4.3753,2.3031,59.2905,19.9153,2.8099,11.4436,3.5383,44.7582,16.8084,21.9239,7.411,11.4388,20.6464,172.497,15.3622,31.0188,7.8692,15.9101,11.229,2.4203,2.3627,51.751,424.4388,18.2615,0.4518,14.3871,10.2426,1.7095,36.9668,1239.6186,284.1978,129.0861,94.1678,107.2622,746.0296,88.9836,115.0939,180.7164,43.5072,137.4942,191.949,0.0,1818.1163,3.8734,65.8321,1079.9276,0.2231,0.0
TWN_J61,11.3203,5.6211,0.7773,2.3708,2.1778,39.8399,36.59,6.758,34.867,4.465,55.5986,6.0597,40.0136,23.8292,24.0442,60.7294,372.0076,35.5651,64.3835,8.8999,10.7425,20.5737,7.9157,12.1306,130.3712,696.0452,60.9677,6.1629,34.1968,31.8573,8.3962,107.2969,64.6849,1627.7227,380.9276,309.8973,105.225,195.4599,123.948,574.6318,88.8818,233.4872,41.9558,187.1747,0.0,6114.7749,0.9254,12.5134,427.6326,0.784,0.0
TWN_J62_63,3.9678,0.7278,0.3858,0.3025,0.1669,25.4174,15.9541,3.2129,10.7975,10.2749,42.6252,4.8516,18.385,10.7472,26.3399,15.7349,238.6831,15.4398,20.4707,9.0246,6.418,8.7514,4.2069,6.605,35.6885,526.6195,16.7648,4.2767,68.1126,13.011,5.5575,92.6537,42.5543,53.2737,408.5524,234.4301,183.6236,122.6291,48.1492,133.1262,32.351,52.2962,18.2124,18.0792,0.0,245.8862,0.5861,9.2746,4623.6831,0.0076,0.0
TWN_K,70.7227,20.951,6.2247,17.7835,9.4843,196.6154,259.7008,25.8526,186.8732,158.2226,565.6344,36.0456,299.5973,192.3069,578.5266,438.2726,3147.6634,226.1651,401.095,156.5787,106.6879,76.7547,155.0124,69.1511,394.4406,2178.7497,161.5382,61.5243,174.0013,104.3705,20.0628,249.3136,89.1867,147.4235,117.0045,7956.8251,3467.4404,235.8187,170.2719,772.527,121.6327,232.3266,86.5207,111.3989,0.0,23324.521,12.3574,256.9352,618.3982,9.1308,0.0
TWN_L,1.0388,8.2694,0.493,2.0633,1.5827,67.0672,80.2999,4.8026,72.6236,10.198,85.2919,10.6216,38.0199,36.4002,47.0408,134.6838,469.5189,81.6878,130.2008,30.3266,16.3881,35.4632,6.1765,14.8943,264.1273,3445.4007,166.3448,15.1101,33.6414,152.9498,23.0412,929.7396,109.0684,97.527,102.6345,653.6227,539.7898,384.8501,132.29,39.0197,55.9611,288.9797,260.3726,169.4975,0.0,42208.453,10.9009,127.8272,5840.2025,0.0894,0.0
TWN_M,27.537,1.3205,15.6495,44.181,32.5812,283.505,95.806,10.927,77.3106,78.7149,307.424,97.0341,157.2319,76.0744,88.9904,112.9502,1512.6183,114.8639,163.3409,62.5201,113.1682,61.8633,88.6205,51.1511,929.1608,2203.6181,64.9019,3.3924,40.8085,78.6336,7.3204,147.2347,276.4233,511.5985,112.093,691.9164,1250.6108,726.8066,165.075,325.0663,81.3695,159.5634,59.5404,173.6001,0.0,399.5906,7.3618,196.1474,4008.4008,2.0278,0.0
TWN_N,3.1488,1.033,16.0763,8.4758,8.5063,81.2087,82.407,5.2946,49.9685,48.2307,261.1855,11.2684,70.758,187.4055,207.18,229.949,1776.4767,126.8069,184.18,84.4357,74.5707,67.0725,70.4509,56.8259,244.7082,1375.8371,241.8864,76.0136,189.4682,183.6228,65.1533,121.2823,58.5639,188.4826,75.0706,346.3387,241.5732,209.8153,250.9934,393.0284,247.285,164.9646,67.6803,42.4546,0.0,2106.4586,4.184,10.5476,63.3733,0.0691,0.0
TWN_O,30.5686,0.024,0.831,3.5399,2.1251,61.221,28.1111,7.1604,25.1364,29.3915,66.2852,12.6363,48.4297,28.3414,44.0133,102.9667,316.9697,43.748,104.5782,29.6422,13.0636,19.3772,95.6558,37.0458,189.053,593.4242,164.4562,8.778,6.4472,39.5348,1.2823,15.7575,29.6079,91.4749,19.5912,318.0762,278.3721,54.6836,35.5633,1.5328,56.2024,63.7432,49.0468,17.058,0.0,1431.9757,15.6475,42100.1599,37.0578,0.0,0.0
TWN_P,8.2848,0.8965,0.5273,0.1962,0.1065,16.5698,9.1714,1.5068,5.2368,4.3115,21.3323,2.9117,6.4166,9.641,30.8547,22.7531,138.0521,20.9087,12.8323,4.8698,5.655,7.1385,3.2835,11.2578,38.8778,97.9275,7.0054,4.8827,19.1955,5.3351,1.4852,17.5585,14.9939,41.6394,61.3398,60.8211,34.7502,76.6675,11.4894,223.4836,32.957,24.1756,4.1311,6.0304,0.0,10300.8926,93.1731,15416.1787,610.4539,0.0,0.0
TWN_Q,86.889,14.4022,0.2469,1.0777,0.4319,201.8198,76.382,1.4238,24.199,13.7063,104.4064,16.2403,23.3016,9.0128,18.1435,13.5282,179.7621,37.3063,21.4449,5.4883,11.2442,12.7965,9.298,2.3625,45.0619,84.5469,8.8089,1.9074,8.3833,2.4257,0.5009,128.2783,29.2731,6.5284,9.0188,19.9632,8.0689,28.7887,6.435,21.2493,11.4062,70.0584,13.4552,9.7821,0.0,6877.923,149.8226,16752.4407,148.0702,0.0,0.0
TWN_R,0.0437,0.0,0.0134,0.0677,0.0841,5.631,4.6815,0.2849,3.9212,0.1496,5.1635,0.4292,3.0544,2.04,4.9429,10.5115,22.056,3.7758,12.5491,2.4044,1.7304,16.8716,0.6422,1.8512,13.2478,235.1497,2.7434,0.2547,0.523,4.1304,0.0827,2.8469,176.1999,0.0301,1.6662,15.5812,91.6811,218.4498,9.1611,75.3997,9.6462,2.0455,234.9494,417.1908,0.0,3970.3277,79.4537,707.1281,0.0,0.4224,0.0
TWN_S,10.4284,4.0643,0.9345,2.8679,1.561,19.594,17.7549,2.164,6.5731,2.5046,38.1163,0.9705,23.8519,12.9516,33.3121,70.902,533.2003,10.5575,41.6846,13.7939,10.2558,67.3529,8.9001,9.3157,34.5717,86.1217,8.113,0.9951,15.0112,28.666,1.4368,23.6805,16.8982,25.4602,7.5092,447.871,151.0372,98.7737,7.4322,314.4412,31.036,88.5439,12.9228,304.099,0.0,11413.3095,1096.9709,2.7702,14.6132,0.0,0.0
TWN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3633.108,0.0,0.0,0.0,0.0,0.0
