V1,HRV_A01_02,HRV_A03,HRV_B05_06,HRV_B07_08,HRV_B09,HRV_C10T12,HRV_C13T15,HRV_C16,HRV_C17_18,HRV_C19,HRV_C20,HRV_C21,HRV_C22,HRV_C23,HRV_C24,HRV_C25,HRV_C26,HRV_C27,HRV_C28,HRV_C29,HRV_C30,HRV_C31T33,HRV_D,HRV_E,HRV_F,HRV_G,HRV_H49,HRV_H50,HRV_H51,HRV_H52,HRV_H53,HRV_I,HRV_J58T60,HRV_J61,HRV_J62_63,HRV_K,HRV_L,HRV_M,HRV_N,HRV_O,HRV_P,HRV_Q,HRV_R,HRV_S,HRV_T,HRV_HFCE,HRV_NPISH,HRV_GGFC,HRV_GFCF,HRV_INVNT,HRV_DPABR
HRV_A01_02,302.0195,9.1128,0.077,0.1207,0.0974,731.1383,5.7644,90.9615,43.3876,1.1441,6.8676,2.7988,2.8189,1.6945,0.2301,1.8166,1.0332,1.6426,2.9351,0.2214,1.3877,129.1775,9.3747,1.6734,13.7494,200.7657,8.2283,0.7863,1.5315,2.6998,0.2077,18.5694,1.9535,1.2718,5.2699,4.851,3.9431,11.2711,10.6885,8.8595,9.6457,9.3464,9.7773,9.9898,0.0,701.0361,1.7781,94.9148,54.9668,44.1736,0.0
HRV_A03,4.2794,8.4023,0.0278,0.0916,0.0657,52.8558,1.2268,0.6122,0.8803,1.0096,0.6132,0.6184,1.1254,1.2697,0.2225,1.5015,0.6485,1.0023,0.7311,0.1216,0.9574,1.0593,2.4787,0.4659,5.2072,6.0846,1.0412,0.4021,0.0732,0.5617,0.0651,7.873,0.4336,0.2091,0.6923,1.1327,0.5997,1.4296,0.7968,2.1537,0.7947,2.0093,0.6761,0.4983,0.0,109.5625,8.9153,3.9002,9.6398,7.031,0.0
HRV_B05_06,0.0015,0.0394,0.382,0.5268,2.1309,2.632,0.0009,0.002,0.0001,39.23,0.0778,0.0015,0.0058,0.0,0.1148,0.003,0.0,0.0068,0.0,0.0001,0.0,0.0004,8.2395,0.025,0.086,0.0585,0.0533,0.0743,0.0,0.7162,0.0,0.0613,0.0005,0.0021,0.0,0.0,0.3448,2.2767,0.0588,0.0144,0.0,0.0126,0.0,0.0209,0.0,0.0265,0.0986,0.0,0.0037,0.5407,0.0
HRV_B07_08,2.13,0.9307,2.1647,15.1111,4.7734,21.9274,0.1084,0.2482,2.0198,0.0,0.9648,0.3724,0.2373,14.0905,0.6439,0.3984,0.0308,0.4175,0.1108,0.0271,0.2027,0.1371,0.0428,4.6036,51.1178,3.414,0.5986,0.6579,0.0,7.307,0.0,0.8534,0.0059,0.018,0.0032,0.0026,4.0556,19.0852,0.6538,0.463,0.0195,0.3333,0.1679,1.1969,0.0,5.4786,0.0,0.0,0.0,3.829,0.0
HRV_B09,0.0,0.2419,0.6802,0.0046,7.4973,10.973,0.0032,0.0107,0.0008,104.6265,0.4779,0.0078,0.021,0.0,0.3453,0.0096,0.0002,0.0233,0.0,0.0005,0.0,0.0016,17.4907,0.1184,2.9315,2.1436,2.0526,0.3544,0.0,3.8479,0.0,0.2487,0.0,0.0,0.0,0.0,2.1169,10.164,0.334,0.0,0.0,0.0771,0.0002,0.1281,0.0,0.0,0.0,0.0,0.3973,0.0,0.0
HRV_C10T12,190.6241,3.4372,0.0015,0.0055,0.0009,253.1119,62.8859,0.1403,4.0209,0.0596,32.5979,18.6102,0.7072,0.4765,0.0503,0.1463,0.0079,0.0991,0.1226,0.0107,0.0635,0.0613,0.9651,0.0953,2.9176,157.4539,0.8601,5.2095,0.2254,7.6524,0.0112,730.4513,0.2519,0.0063,0.0948,1.3984,1.0429,28.4124,42.404,0.3337,37.5519,60.5805,31.3814,4.3559,0.0,2587.3651,4.441,0.0018,0.0,69.5025,0.0
HRV_C13T15,3.9544,0.0468,0.0115,0.0194,0.007,2.2562,91.9527,0.0843,1.1116,0.0671,0.1683,0.3457,1.9136,5.7149,0.2475,0.6091,0.1346,1.0345,0.79,0.3223,1.1055,4.8206,0.4803,14.7741,2.065,19.8579,8.4147,1.4683,1.8496,10.4396,0.9891,8.0884,0.0763,18.6063,0.4511,7.6815,14.063,21.9307,14.0299,119.2356,7.399,35.5529,18.4055,5.3868,0.0,351.7421,9.582,0.28,8.1027,27.9469,0.0
HRV_C16,9.565,0.6441,0.4714,0.567,0.3287,27.5962,3.2925,203.3766,6.9763,1.1923,2.5335,1.3989,5.2245,8.0638,0.7131,12.9777,1.0133,4.8882,5.0269,0.3704,4.6362,14.8464,12.6832,0.7509,52.8593,20.3329,1.7243,0.5526,0.1402,14.9156,0.0682,5.4416,0.5678,0.5369,1.0919,2.6239,36.2421,4.3289,1.5967,3.7196,2.4052,5.5265,12.2233,5.8075,0.0,51.5672,6.2454,5.1915,21.9915,14.43,0.0
HRV_C17_18,14.4644,1.6506,0.1695,0.5222,0.2337,69.2276,9.3895,7.7535,166.77,3.5748,17.1191,12.2294,6.8164,9.0853,0.7925,7.9492,2.2416,5.4129,5.15,0.4692,6.5565,5.0634,11.6923,2.0633,16.1173,36.3099,5.102,1.892,0.352,5.4114,2.8592,64.2316,28.0584,4.8949,4.7074,13.0812,4.0109,22.234,8.4243,16.4786,8.7725,16.845,21.468,36.7505,0.0,127.5872,4.1696,10.2022,30.3682,14.403,0.0
HRV_C19,32.9297,4.0684,0.4041,1.8288,0.7715,56.3427,14.6044,6.9035,9.6983,23.6342,10.1648,7.8838,8.8213,13.2352,3.0704,16.7779,6.6333,10.5757,7.9414,1.7128,9.9029,11.1044,247.7557,9.8125,105.7829,69.2342,50.0771,26.6484,6.2001,10.134,2.2372,48.735,10.1216,6.7808,8.5482,15.48,13.1199,37.6166,17.0391,32.3167,5.0071,23.5834,10.1553,10.9428,0.0,410.5157,6.3196,47.0702,92.0443,26.5843,0.0
HRV_C20,64.5961,0.4879,0.0883,1.0961,0.1076,45.9381,26.6953,5.8554,13.8737,30.6542,67.6959,23.232,24.8407,12.5118,0.9543,7.0456,1.837,6.0606,1.9214,0.3874,1.3424,2.0914,1.5198,1.5848,25.6014,11.5174,2.3284,1.541,0.0651,1.8525,0.1034,8.4838,0.6185,0.2874,0.9393,1.6379,24.8778,5.4137,6.0266,2.42,3.4734,6.174,2.4414,4.2291,0.0,137.212,1.8461,4.5671,9.1214,10.8361,0.0
HRV_C21,0.6937,0.0661,0.0114,0.3662,0.034,2.5906,2.2688,0.0635,0.1999,0.3338,0.9253,28.9738,0.3148,0.1445,0.099,0.0814,0.0424,0.5086,0.06,0.0234,3.8136,0.0559,0.0518,0.0274,0.556,21.2775,0.4818,0.0342,0.0003,0.0298,0.0012,0.0834,0.0044,0.0121,0.6335,0.0061,0.6855,1.661,0.2827,0.3387,0.2104,107.7145,0.0664,0.2649,0.0,176.1521,1.2444,311.1479,7.5017,17.7582,0.0
