V1,CIV_A01_02,CIV_A03,CIV_B05_06,CIV_B07_08,CIV_B09,CIV_C10T12,CIV_C13T15,CIV_C16,CIV_C17_18,CIV_C19,CIV_C20,CIV_C21,CIV_C22,CIV_C23,CIV_C24,CIV_C25,CIV_C26,CIV_C27,CIV_C28,CIV_C29,CIV_C30,CIV_C31T33,CIV_D,CIV_E,CIV_F,CIV_G,CIV_H49,CIV_H50,CIV_H51,CIV_H52,CIV_H53,CIV_I,CIV_J58T60,CIV_J61,CIV_J62_63,CIV_K,CIV_L,CIV_M,CIV_N,CIV_O,CIV_P,CIV_Q,CIV_R,CIV_S,CIV_T,CIV_HFCE,CIV_NPISH,CIV_GGFC,CIV_GFCF,CIV_INVNT,CIV_DPABR
CIV_A01_02,480.2802,0.161,0.0,0.0,0.0,1293.6577,0.5102,4.0705,0.843,0.0,9.058,3.238,21.2485,0.0007,0.4935,1.9602,0.0,0.0,0.0,0.0,0.0,0.9214,0.0,0.0,0.3832,0.0,0.0,0.0,0.0,0.0,0.0,279.5653,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0504,0.0,1.0721,0.0,0.0793,0.0,5405.8214,0.0,0.0,263.1475,33.3711,0.0
CIV_A03,0.1306,6.0877,0.0,0.0,0.0,30.8154,0.0,0.0,0.0,0.0,0.0733,0.0398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0679,0.0,0.0,0.0,1.7765,0.0
CIV_B05_06,0.007,0.0,0.1481,0.9603,0.0523,1.3045,0.0,0.0,0.0,293.6414,0.1332,0.0032,0.0,1.4746,1.1978,1.9936,0.0,0.0844,0.0,0.0,0.0,0.5345,0.1859,0.0,0.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2704,0.0,0.0,0.0,5.7215,0.0,0.0,0.0,1.7608,0.0
CIV_B07_08,0.4499,0.0,3.5064,72.9194,2.4804,34.7121,0.0,0.0,0.0,0.0,6.4476,0.8401,0.0,56.0048,308.1838,338.9836,0.0,10.1314,0.0,0.0,0.0,65.265,0.7075,0.0,54.1497,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2517,0.0,0.0,0.0,29.8775,0.0,0.0,0.0,8.8372,0.0
CIV_B09,0.036,0.0,2.2488,8.4204,1.1102,3.0762,0.0,0.0,0.0,60.2802,0.3249,0.0104,0.0,1.7455,7.1955,14.36,0.0,0.0931,0.0,0.0,0.0,0.0,0.0804,0.0,1.7478,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV_C10T12,44.1898,2.3415,0.0055,0.0209,0.0073,622.1175,0.599,0.0706,3.266,0.0269,39.1276,9.0411,1.1335,0.2102,0.0599,0.2441,0.0371,0.0031,0.0056,0.0001,0.0001,0.0831,0.1699,0.0047,0.6891,1.8004,0.9602,0.077,0.12,0.6562,0.1862,979.2923,0.0121,0.0086,0.0096,0.0189,0.0024,0.0096,0.0035,11.1134,3.0862,0.7056,0.0004,0.0599,0.0,4515.4639,0.0,0.0,2.3139,23.8935,0.0
CIV_C13T15,5.4073,0.5505,0.0,0.0004,0.0,0.7445,28.9382,0.0064,2.6329,0.0042,0.1226,0.0337,0.5443,17.1842,0.0007,0.0053,0.0,0.0005,0.0,0.0,0.0,8.9596,0.0064,0.0,0.1078,0.3796,0.1516,0.012,0.0187,0.1026,0.0292,0.0009,0.0004,0.0003,0.0003,0.0,0.0,0.0006,0.0002,0.5586,0.0,0.0458,0.0,31.7217,0.0,360.3765,0.0,0.0,0.0,2.5437,0.0
CIV_C16,0.9908,0.0001,0.0393,0.136,0.0522,21.1922,0.1975,20.1106,0.1665,0.0032,0.4916,0.0705,0.1709,0.0137,0.0679,0.3788,0.2731,0.0004,0.0413,0.0009,0.0008,29.5366,0.9544,0.0038,0.6053,0.4001,0.0289,0.0079,0.015,0.0646,0.0128,0.9383,0.0682,0.0472,0.0551,0.1388,0.0157,0.0366,0.0174,0.108,0.0571,0.0434,0.002,0.2665,0.0,48.4224,0.0,0.0,4.3927,0.7703,0.0
CIV_C17_18,6.5064,0.0352,0.0685,0.6128,0.0394,19.4013,0.3318,0.1277,35.9252,2.2651,5.9362,2.1719,0.6734,1.0629,0.0432,0.2917,0.203,0.0407,1.1045,0.6181,1.7268,0.1907,0.6588,0.0948,2.2771,97.1194,0.3407,0.0805,0.1671,0.7711,0.3614,29.7786,0.9213,0.2474,0.2263,3.4403,0.3827,0.9537,0.6892,7.6529,10.6721,6.1765,0.0526,0.0976,0.0,139.8544,0.0,0.0,0.0,1.7593,0.0
CIV_C19,89.8798,10.209,1.3001,12.0403,0.5801,100.2785,0.3908,7.5399,1.378,97.5237,11.5828,0.8396,5.0127,1.708,3.8929,9.5165,1.2039,0.0234,1.1079,0.6013,1.6902,4.7546,2.7595,7.9627,46.6062,63.8016,261.2832,83.2549,167.989,75.6467,32.9614,54.5755,0.129,0.2013,0.1439,2.5931,3.1301,0.3952,7.6647,17.3031,1.6114,1.3424,0.026,1.0951,0.0,518.8564,0.0,0.0,0.0,7.8514,0.0
