V1,CHE_A01_02,CHE_A03,CHE_B05_06,CHE_B07_08,CHE_B09,CHE_C10T12,CHE_C13T15,CHE_C16,CHE_C17_18,CHE_C19,CHE_C20,CHE_C21,CHE_C22,CHE_C23,CHE_C24,CHE_C25,CHE_C26,CHE_C27,CHE_C28,CHE_C29,CHE_C30,CHE_C31T33,CHE_D,CHE_E,CHE_F,CHE_G,CHE_H49,CHE_H50,CHE_H51,CHE_H52,CHE_H53,CHE_I,CHE_J58T60,CHE_J61,CHE_J62_63,CHE_K,CHE_L,CHE_M,CHE_N,CHE_O,CHE_P,CHE_Q,CHE_R,CHE_S,CHE_T,CHE_HFCE,CHE_NPISH,CHE_GGFC,CHE_GFCF,CHE_INVNT,CHE_DPABR
CHE_C23,21.6803,0.0025,37.4564,15.9165,0.1277,65.5215,1.0532,27.5806,3.1496,18.1678,161.0929,145.2797,3.6636,443.3735,15.6062,25.4073,186.0547,84.5889,56.4579,10.985,4.9399,48.4208,28.0063,30.4103,2821.0822,172.6821,40.1468,45.2323,11.5149,28.342,2.0068,5.4667,0.6382,17.1156,1.1659,1.6014,4.301,67.5243,31.3589,116.9803,3.2537,19.6477,16.7102,22.8371,0.0,192.837,0.0,0.3374,68.339,-1.4242,0.0
CHE_C24,0.3262,0.0,6.1222,1.4237,0.022,1.9168,0.6416,2.9469,1.2488,2.1408,15.6289,5.8865,1.8945,8.451,398.1403,490.0014,110.8331,263.3862,406.831,14.8798,29.7119,138.1571,19.1177,36.8525,215.3977,63.47,8.0228,12.9496,1.4699,12.736,0.0377,0.0334,0.023,1.7112,0.5036,0.0105,0.1018,31.9197,5.5826,17.5306,0.2071,0.4796,0.0321,2.9021,0.0,14.8321,0.0,0.0,0.0,-6.7771,0.0
CHE_C25,39.9515,0.0003,42.3534,12.6886,0.145,148.0972,8.7889,102.2324,23.644,6.3906,57.0319,53.5849,53.9284,43.0116,38.05,1612.3435,1490.1933,935.5984,1772.1845,135.6011,312.1314,537.7243,67.8129,54.2644,1939.7314,569.8663,73.0185,76.6257,15.1082,198.5123,9.2962,63.3831,11.9741,14.3763,7.7185,16.9427,50.6941,176.3937,54.4744,174.8743,16.8094,31.0883,6.3295,50.0476,0.0,550.2358,0.0,3.326,27.2013,-11.0859,0.0
CHE_C26,12.6478,0.0085,6.7525,2.0355,0.0222,54.5301,5.9343,21.8001,9.1092,7.7677,58.2216,149.0747,13.7989,7.5947,8.2267,129.1953,7190.5857,1457.2229,615.6914,16.3849,87.211,320.0855,170.2723,19.0864,246.9481,2590.4902,92.6173,120.3931,34.8803,59.6638,29.3321,17.1616,33.1003,585.0112,323.8822,130.0106,6.9245,867.7262,173.5471,494.6904,42.5569,87.9286,117.786,172.5381,0.0,1514.7819,0.5082,91.7489,6097.5881,-314.1654,0.0
CHE_C27,29.8829,0.002,10.0049,2.2492,0.0174,25.1534,0.9479,4.2966,3.269,3.8388,27.4766,34.0733,3.1514,2.0047,10.8215,31.5138,1559.4928,1139.6177,495.7972,28.7619,30.8925,187.8783,544.6435,6.5553,972.4922,433.9629,113.6775,80.3253,19.1406,65.0508,7.4111,4.5285,0.6636,27.8305,9.3747,7.2268,10.7743,71.8206,14.67,52.9727,2.7513,14.0753,7.586,58.4582,0.0,672.6025,0.0,0.2939,3184.5211,-104.211,0.0
CHE_C28,32.5853,0.004,20.151,6.2092,0.0585,42.238,2.2793,12.8773,11.1131,2.6172,18.9075,57.2863,7.0739,9.1802,4.0766,23.3768,580.5395,123.999,1103.3552,12.3299,23.8515,77.6416,15.4465,12.2403,198.1565,286.4769,17.0763,23.2428,5.6409,9.9929,1.8131,10.3636,1.4508,5.1134,3.6433,6.6018,23.2157,33.4141,8.8545,32.6534,2.2116,21.7766,5.4914,9.3945,0.0,115.1912,0.1399,1.4012,4401.4906,-267.3571,0.0
CHE_C29,0.0081,0.0,0.1604,0.0637,0.0004,1.4239,0.1806,1.2515,0.374,0.0968,0.6358,2.1267,0.082,0.0953,0.0465,3.4042,1.3785,11.0905,48.5533,9.0994,1.0917,5.046,0.2449,8.2192,0.0916,59.9556,24.4554,3.4119,2.2119,12.6675,0.0924,0.0552,0.0065,0.0152,0.0045,0.0061,0.0009,18.7035,0.9743,2.0745,0.0767,0.0252,0.7119,0.0172,0.0,774.2654,0.0,0.0,693.7679,-66.2165,0.0
CHE_C30,0.0198,0.0,1.8912,0.2374,0.0036,0.409,0.0846,0.3308,0.1274,0.1064,0.7729,2.6935,0.0029,0.0797,0.0551,0.2407,63.1248,1.0438,0.0833,3.4061,299.4153,73.4773,0.5508,7.2126,0.5659,17.7404,107.5405,51.4843,121.7511,0.8679,0.0123,0.0337,0.0008,0.0,0.0171,0.0,0.0071,27.6745,18.2785,284.7468,0.3333,0.9415,10.471,1.6668,0.0,198.7153,0.0,0.0,966.7232,-26.8099,0.0
CHE_C31T33,86.5961,0.0032,67.0858,14.8146,0.1688,69.3364,6.7728,49.2459,62.7357,3.5369,28.425,167.5202,25.0715,23.7744,74.8901,97.923,1253.5806,409.2437,287.08,5.315,334.3706,324.8819,705.8419,30.4394,148.9536,356.3051,212.5904,227.0263,89.8542,17.429,1.7103,16.078,12.7085,103.6868,1.4478,14.8632,74.1294,241.608,27.6676,243.3766,4.797,298.4134,35.659,16.8712,0.0,2589.6968,0.0105,0.3515,2696.5588,-35.1398,0.0
CHE_D,267.1947,0.0001,151.1886,61.7177,0.2223,822.8914,56.3117,223.1616,359.7036,123.0993,1055.0799,640.675,116.5669,437.5813,463.4062,669.8007,569.8884,670.5506,413.7957,23.8033,145.7538,245.9673,12354.3972,159.8753,349.8458,2128.3955,548.9133,223.4665,82.0414,248.6649,82.8634,488.8069,88.0123,352.9396,193.2722,1029.56,398.5677,1799.1588,461.557,1668.1778,304.4009,984.8609,751.9881,611.8973,0.0,7375.4733,0.0,41.7141,268.6094,2.7087,0.0
