V1,TUR_A01_02,TUR_A03,TUR_B05_06,TUR_B07_08,TUR_B09,TUR_C10T12,TUR_C13T15,TUR_C16,TUR_C17_18,TUR_C19,TUR_C20,TUR_C21,TUR_C22,TUR_C23,TUR_C24,TUR_C25,TUR_C26,TUR_C27,TUR_C28,TUR_C29,TUR_C30,TUR_C31T33,TUR_D,TUR_E,TUR_F,TUR_G,TUR_H49,TUR_H50,TUR_H51,TUR_H52,TUR_H53,TUR_I,TUR_J58T60,TUR_J61,TUR_J62_63,TUR_K,TUR_L,TUR_M,TUR_N,TUR_O,TUR_P,TUR_Q,TUR_R,TUR_S,TUR_T,TUR_HFCE,TUR_NPISH,TUR_GGFC,TUR_GFCF,TUR_INVNT,TUR_DPABR
TUR_A01_02,9885.5915,3.3592,129.6162,50.3976,0.0623,20818.3564,3692.7656,532.1488,187.4527,0.6534,86.3674,23.9735,187.9668,15.3358,4.1985,3.7886,0.1439,3.6469,6.5673,24.4265,2.0519,104.96,0.5937,5.076,87.5173,450.6302,11.4527,0.7423,7.1172,1.311,2.8072,1447.5263,0.9281,1.2819,3.0199,4.9192,29.4407,92.9075,82.5865,492.7001,44.9619,36.173,36.7839,38.8288,0.0,25596.4758,0.0,187.6446,2860.6305,-8.2625,0.0
TUR_A03,2.8423,35.3466,0.0655,0.0541,0.0,122.5022,0.0429,0.0,0.0,0.0394,0.0266,0.0,0.222,0.5832,0.0,0.0,0.0,0.0,0.0,0.0,0.0123,0.0205,0.0,0.0,2.3104,17.0706,0.0,0.2509,0.1149,0.2857,0.0,276.9063,0.0,0.0,0.0,0.0,0.0212,1.3808,1.5502,2.3285,0.0491,0.6747,0.7563,0.1167,0.0,1063.9172,0.0,0.0,0.0,0.8075,0.0
TUR_B05_06,5.4355,0.0494,54.1791,10.8751,0.2899,14.9341,6.7772,5.8047,1.6724,750.962,2.6694,0.2595,3.0154,22.2588,817.5881,0.3465,0.1892,0.5021,1.0998,1.8008,0.1721,1.3435,1303.5624,1.9166,4.6437,101.1437,21.8149,0.2027,0.1233,0.2585,0.0192,25.1222,0.1711,0.1289,0.3803,10.6798,297.728,2.519,1.7814,0.6928,1.2236,2.4046,0.104,13.2081,0.0,228.7289,0.0,0.4515,26.1656,-86.3987,0.0
TUR_B07_08,37.1037,0.2206,35.4547,361.3985,4.0508,94.5815,86.1325,4.1829,36.2007,215.8306,258.9375,0.506,21.1126,915.023,4334.7257,34.9229,0.9509,23.5381,8.7573,28.4854,1.1901,14.488,22.0327,9.2985,706.5356,62.5351,26.0564,0.5551,1.3889,0.5917,0.1511,3.4683,0.185,0.6898,0.1401,0.96,8.3048,19.8662,5.5535,3.0335,1.0767,18.5955,0.7692,1.5585,0.0,484.3786,0.0,11.3259,164.4121,-5.0714,0.0
TUR_B09,3.4635,0.767,41.3736,66.186,12.1615,1.0809,0.2374,0.0415,2.0868,175.9415,7.0719,0.0882,0.7029,28.0434,57.8521,2.4405,0.0046,0.0885,0.3174,0.0328,0.0221,0.2381,25.6061,1.3828,105.7078,0.6512,7.8254,0.1593,1.1789,1.2873,0.0196,0.1981,0.0127,0.0,0.0006,0.0203,2.122,1.1529,0.6362,0.8823,0.0859,0.0738,0.1195,0.0844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUR_C10T12,1527.5302,50.4525,2.5403,20.3706,0.1844,9236.1437,136.7023,3.9012,72.0476,2.8786,44.0612,28.1557,12.022,15.1942,8.2432,15.9931,0.519,10.6305,11.4942,6.1415,5.5231,45.726,11.9773,15.5825,65.2362,796.1589,45.7272,5.6864,2.0397,12.318,14.5133,8032.0544,7.3597,10.2214,4.7913,24.0157,6.0488,80.9884,154.3956,532.3724,86.2053,131.9768,75.5331,85.9742,0.0,45216.0637,0.0,975.5947,1.0609,-1.2596,0.0
TUR_C13T15,53.8804,3.3435,71.6169,128.0079,1.9459,240.1532,20979.6738,8.1069,249.3282,14.0394,170.0702,46.4518,157.962,230.8529,48.1472,86.8995,11.4203,132.7035,167.7702,244.0196,20.6183,630.3314,37.9127,19.3153,330.3462,1138.757,67.9543,1.3716,21.1622,44.3745,21.7422,207.246,9.8894,3.294,2.9877,23.2307,44.0007,60.6932,171.1018,606.0433,68.2899,55.4898,51.2466,582.3594,0.0,22843.249,0.0,2534.0533,1086.3213,-33.571,0.0
TUR_C16,32.9516,0.5587,3.3785,0.8771,0.3487,32.3911,38.9195,805.824,27.9428,1.593,27.05,2.399,47.2876,79.0161,38.8307,82.0249,1.5589,50.979,44.2019,10.2957,17.3723,1308.9545,2.4415,7.0108,1673.4086,138.2344,13.2102,0.3241,2.4088,1.7198,0.83,4.5122,1.4309,1.5658,13.1438,3.6864,11.7847,36.1221,21.8255,12.149,1.7644,15.548,2.2076,72.2923,0.0,206.3468,0.0,1.9394,81.4451,-16.5087,0.0
TUR_C17_18,125.8035,6.2306,2.7849,15.6003,0.7333,989.896,573.9306,94.3034,3506.0504,33.9691,310.4292,81.5238,324.0735,265.6597,158.8176,141.5907,29.2754,174.7052,91.227,95.5144,13.2037,181.8738,61.7317,15.9405,170.7521,1499.9824,120.2877,2.85,10.1138,109.2483,50.3123,266.6601,616.5389,52.7336,56.3484,247.5291,32.8398,562.7185,477.1082,291.0356,193.1184,163.22,91.516,129.5418,0.0,2359.2803,0.0184,22.1677,84.1259,-8.6486,0.0
TUR_C19,780.3513,32.6612,293.0272,561.4418,6.4199,204.5923,147.0356,30.3489,50.4581,379.8936,248.4837,16.5517,140.5022,468.6405,147.2753,96.8901,4.8071,117.982,56.0984,59.902,9.7141,95.7366,122.0024,105.0665,1445.6771,1463.6508,3697.9463,233.2251,2227.8194,339.5675,94.5304,146.1608,7.2846,18.5397,9.4111,31.4675,182.1,141.2871,269.4672,682.9407,114.2025,54.8215,14.3558,137.8067,0.0,2603.3004,0.0,4.6675,38.0655,3.0443,0.0
TUR_C20,1223.1941,4.078,27.2664,46.5588,4.4244,490.0101,1815.7174,216.5468,665.6622,121.474,3162.3699,187.1395,2594.6903,445.1152,564.1805,286.3175,47.2464,349.4648,99.8976,243.8687,38.765,438.0054,83.1337,137.4324,804.4989,461.8556,153.6191,7.9108,71.4911,25.609,5.0544,122.5993,21.1765,4.6881,3.262,20.6675,352.8835,97.7828,136.8171,120.8828,30.4847,98.1057,28.111,95.7449,0.0,2216.9185,0.0,30.3766,286.216,-12.4393,0.0
