V1,SGP_A01_02,SGP_A03,SGP_B05_06,SGP_B07_08,SGP_B09,SGP_C10T12,SGP_C13T15,SGP_C16,SGP_C17_18,SGP_C19,SGP_C20,SGP_C21,SGP_C22,SGP_C23,SGP_C24,SGP_C25,SGP_C26,SGP_C27,SGP_C28,SGP_C29,SGP_C30,SGP_C31T33,SGP_D,SGP_E,SGP_F,SGP_G,SGP_H49,SGP_H50,SGP_H51,SGP_H52,SGP_H53,SGP_I,SGP_J58T60,SGP_J61,SGP_J62_63,SGP_K,SGP_L,SGP_M,SGP_N,SGP_O,SGP_P,SGP_Q,SGP_R,SGP_S,SGP_T,SGP_HFCE,SGP_NPISH,SGP_GGFC,SGP_GFCF,SGP_INVNT,SGP_DPABR
SGP_A01_02,2.3815,0.0581,0,0,0,37.6557,3.5445,0.0024,0.0276,0.0,0.1824,0.2847,0.0285,0.0,0.0,0.0185,0.0608,0.0133,0.0997,0.0039,0.012,0.1742,0.9304,0.0,0.7806,0.0054,0.0007,0.6355,0.0,0.0023,0.0002,36.2764,0.1855,0.0,0.0173,0.1664,0.1657,0.3256,1.1614,0.0382,0.0243,0.1338,0.1385,0.2353,0.0,100.7645,0.0676,0.0,0.6017,-7.7909,0.0
SGP_A03,0.0034,9.8415,0,0,0,7.6392,1.722,0.0003,0.0033,0.0197,0.2674,0.5683,0.0034,0.0027,0.0186,0.0103,1.2263,0.0121,0.3786,0.042,0.0441,0.3726,0.4176,0.0647,0.2863,1.5331,0.1026,1.2891,0.0235,0.1487,0.0018,36.2927,0.3063,0.1335,0.3336,0.8301,0.1975,0.7341,0.3601,0.3417,0.077,0.123,0.2925,0.1474,0.0,96.1126,0.0903,0.0068,0.0106,1.8836,0.0
SGP_B05_06,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_B07_08,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_B09,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_C10T12,5.7757,2.5253,0,0,0,1037.8516,6.2309,0.158,1.5519,9.4621,322.1888,38.9797,0.9279,0.5275,2.5912,2.0436,121.8535,2.1585,29.5888,2.9441,3.6493,39.7553,1.6087,2.5462,20.8629,94.4125,6.4099,50.8819,3.6732,6.2284,0.3915,1006.4947,19.3248,5.677,18.7816,26.2182,7.3841,17.8214,21.1999,17.2744,3.092,12.8046,6.3035,13.8613,0.0,3183.6496,1.8904,0.8452,77.0239,174.8117,0.0
SGP_C13T15,0.0105,0.0473,0,0,0,0.8216,155.6818,0.2203,2.3115,0.291,1.0335,0.7624,0.6877,0.0224,10.1655,0.1819,2.927,0.389,1.6118,0.3503,1.0709,5.1413,0.3606,0.4811,8.5659,22.3551,1.0134,0.6791,0.1376,2.8153,0.0961,6.591,1.1048,1.1567,0.403,0.3983,0.3398,1.893,1.0357,1.0112,2.8846,4.3078,1.3115,6.0862,0.0,678.8655,0.2698,0.0037,2.3169,20.1799,0.0
SGP_C16,0.0554,0.0141,0,0,0,6.8172,0.2528,11.0153,0.7202,0.7533,5.5888,0.3708,0.4565,0.4148,0.4965,5.9474,5.6036,3.1591,3.2178,0.3325,0.7527,35.4492,0.1534,0.2334,61.1902,1.5508,0.0556,0.2921,0.073,1.8754,0.0205,0.4735,3.6628,0.0893,0.3649,0.4275,1.1921,4.8172,0.4877,0.1092,2.0903,1.1638,0.0492,0.7523,0.0,7.2238,0.0755,0.0051,1.7325,3.004,0.0
SGP_C17_18,0.2473,0.137,0,0,0,15.8792,3.08,0.2238,155.7521,1.5944,10.5088,4.8462,3.7193,1.1779,6.4677,5.7326,73.0708,18.283,8.5754,1.3448,1.4386,32.5944,2.7109,3.1018,7.7702,98.6995,16.6237,1.0516,0.9162,5.7118,1.6429,18.8997,25.151,6.3528,61.7723,39.6538,12.62,59.0196,25.3579,11.1784,43.2919,10.034,12.8855,7.4433,0.0,181.3871,0.1889,0.0124,7.8576,22.1166,0.0
SGP_C19,0.1387,0.1206,0,0,0,42.8408,1.3125,0.0628,4.2088,1884.2766,2142.462,14.0774,4.1548,7.9227,129.237,8.7509,451.5076,113.4608,40.4881,2.3176,13.1814,15.0967,20.3118,25.5911,306.2358,384.9447,357.1586,4744.7769,1163.1228,156.3321,3.4668,53.0702,21.0877,13.0505,70.1809,50.9556,38.3757,190.4917,61.9909,28.6596,8.7134,18.6255,6.0669,8.2161,0.0,681.1108,0.0502,0.0785,35.5105,1014.2833,0.0
SGP_C20,3.2274,1.3275,0,0,0,167.142,24.6801,3.9274,113.2705,176.0586,5134.4355,117.2279,299.0157,43.0425,264.7895,94.4813,3034.297,107.2998,242.5759,5.365,15.4994,323.1465,11.5079,36.2043,126.7248,258.342,8.4596,58.2027,11.5884,33.1928,1.5434,43.6404,117.9227,28.6966,59.9602,44.5414,39.3678,366.0255,101.0492,21.7205,54.0679,152.5414,11.9136,87.1218,0.0,1117.6753,0.7981,3.6623,238.533,542.3203,0.0
SGP_C21,0.1931,0.1335,0,0,0,10.0826,0.0672,0.0054,0.2139,0.4843,7.682,1041.2676,0.125,0.0363,6.5585,0.2261,16.7165,0.1559,2.0262,0.1528,0.5957,19.5163,0.2269,0.5399,1.3549,8.8153,0.2406,1.295,0.2675,1.6434,0.0332,1.4921,1.1677,0.8381,7.2208,6.6323,2.8318,15.8598,3.7219,6.7055,0.652,280.4927,1.1632,2.5392,0.0,398.4138,0.4872,208.1503,24.9733,75.3073,0.0
SGP_C22,0.9583,0.3643,0,0,0,30.4217,2.7135,2.2206,27.5328,5.326,34.8637,20.7984,72.7378,0.5913,8.4786,5.2666,188.6441,36.2401,60.8771,5.5324,5.6001,106.0235,0.871,3.9571,48.2958,44.9356,1.4306,3.2544,0.8409,5.4779,0.3764,13.9137,13.8652,7.0056,4.7456,7.2191,1.4836,40.8312,4.0511,3.0384,16.3473,2.2015,4.4801,7.2985,0.0,97.5371,0.0193,0.2027,34.7953,25.2477,0.0
SGP_C23,0.0286,0.0094,0,0,0,4.3767,0.221,0.0245,0.5179,1.3476,20.2613,9.6861,1.5864,74.2575,45.6527,1.9189,133.0846,5.0628,22.6107,3.3965,0.9531,9.2584,0.6497,4.3583,456.9813,26.3565,1.564,5.8786,0.5226,0.9837,0.2946,4.6418,3.9537,2.894,4.9505,5.233,2.031,24.1229,7.0216,1.6549,3.1618,1.6835,1.0165,3.5581,0.0,87.2092,0.0463,0.1725,30.4584,17.5684,0.0
SGP_C24,0.0016,0.0,0,0,0,0.3268,0.0863,0.7307,1.2491,0.0057,0.6918,0.0056,0.1914,0.1302,307.3318,227.7293,9.0243,30.9756,150.5988,0.4541,20.6836,13.4848,0.1522,1.7379,128.0868,2.0034,0.0173,0.0235,0.0194,0.0865,0.0,0.0886,0.0015,0.0,0.0,0.0429,0.4049,1.8364,0.8985,0.0222,0.0842,0.0,0.0,0.0177,0.0,4.7332,0.0,0.0,0.004,14.0832,0.0
SGP_C25,0.145,0.1348,0,0,0,31.0694,2.7699,0.5516,6.5527,6.1881,57.7225,1.9125,6.8738,2.0587,33.6199,247.865,215.0684,109.164,264.6846,13.434,62.0605,65.2082,3.8533,17.0004,527.9181,36.7719,1.3417,5.2909,0.7797,7.2842,0.1232,5.3264,9.6004,4.6048,15.5853,6.8418,10.7322,144.1935,22.4607,177.2779,2.5956,3.1611,1.9224,4.09,0.0,102.2613,0.2348,2.6608,124.001,34.782,0.0
SGP_C26,0.7685,0.6048,0,0,0,44.1509,7.6778,1.1552,14.5359,81.1262,139.0659,39.4003,13.1141,5.8261,27.1156,42.6074,19259.9353,118.1225,890.3577,50.3488,55.2233,864.0551,18.1118,34.6301,182.6592,593.673,9.7617,87.1262,17.8028,20.5217,1.065,61.2202,183.0374,256.7009,812.2093,81.0533,30.5801,604.143,79.6238,159.0216,95.5573,150.1449,28.795,61.8167,0.0,1429.5878,1.2307,16.0642,3986.7252,1739.8574,0.0
