V1,JOR_A01_02,JOR_A03,JOR_B05_06,JOR_B07_08,JOR_B09,JOR_C10T12,JOR_C13T15,JOR_C16,JOR_C17_18,JOR_C19,JOR_C20,JOR_C21,JOR_C22,JOR_C23,JOR_C24,JOR_C25,JOR_C26,JOR_C27,JOR_C28,JOR_C29,JOR_C30,JOR_C31T33,JOR_D,JOR_E,JOR_F,JOR_G,JOR_H49,JOR_H50,JOR_H51,JOR_H52,JOR_H53,JOR_I,JOR_J58T60,JOR_J61,JOR_J62_63,JOR_K,JOR_L,JOR_M,JOR_N,JOR_O,JOR_P,JOR_Q,JOR_R,JOR_S,JOR_T,JOR_HFCE,JOR_NPISH,JOR_GGFC,JOR_GFCF,JOR_INVNT,JOR_DPABR
JOR_D,45.4332,0.5205,3.0915,1.2394,0.2383,54.707,19.5198,1.3628,14.6597,8.2288,78.6501,9.5315,54.5228,34.0378,17.3505,24.1457,2.8208,11.3021,2.7707,2.598,0.4855,4.2,2.1969,188.0285,7.5145,185.6339,0.9398,0.0259,3.6529,5.1227,0.6249,41.414,2.9183,15.439,1.4786,47.6702,22.4573,3.6489,1.8851,109.6339,63.0829,93.5594,30.7827,17.0581,0.0,584.5711,4.6145,41.0131,1.0892,0.2629,0.0
JOR_E,46.5969,0.0084,1.012,0.2657,0.0553,25.7738,6.0366,0.1287,2.4845,2.8597,13.7984,3.012,8.1372,16.6791,31.309,33.1667,0.7111,2.564,0.6853,0.5276,0.1551,0.9929,1.1518,0.8722,21.0984,64.9608,0.2021,0.0052,0.7013,1.648,0.1162,17.4096,1.0561,2.5005,0.5456,2.9998,30.0431,0.9753,0.4895,27.7513,30.0959,28.3205,8.7184,8.9054,0.0,206.4688,4.1497,152.5114,11.5734,0.0,0.0
JOR_F,74.9745,0.0002,0.0205,0.0008,0.0002,8.4906,4.5237,0.1212,1.2977,1.3388,3.0508,5.2466,3.9779,0.9792,1.0448,2.9464,0.3984,1.3803,0.4669,0.3441,0.1111,0.7579,0.1881,2.0697,841.6275,60.3768,9.5962,0.5447,41.4224,2.2949,0.2107,11.7231,0.6106,2.9077,0.3648,20.0032,364.2151,1.5686,0.7772,36.7603,56.8029,38.5846,8.5682,5.5798,0.0,157.3435,7.6979,11.2249,4026.4222,0.0214,0.0
JOR_G,166.2766,0.4165,135.8442,156.0392,39.6623,440.5965,234.1369,9.9084,66.0531,40.2133,54.1663,100.6333,37.3538,55.6397,39.3047,80.1915,6.1996,24.1938,8.3073,9.4313,1.6018,16.589,40.9505,18.0436,295.1516,94.6164,73.9673,0.9513,41.9184,6.2781,0.6286,130.802,45.9986,99.3966,16.6161,13.3837,28.067,5.6242,11.5167,119.4601,24.6207,104.1708,6.8617,16.0145,0.0,1459.7363,3.4536,26.9553,330.2628,120.6319,0.0
JOR_H49,38.3353,0.0907,5.0271,1.0034,0.1693,118.7322,53.7481,3.5504,12.5192,41.3782,39.6677,9.4262,18.6808,32.3857,7.0519,14.2473,1.9047,8.8833,3.1395,2.8186,0.544,5.3141,8.0974,13.5992,76.0385,35.2842,15.1945,0.1265,60.6648,35.7042,5.5318,12.8388,19.2133,28.6444,7.6562,17.0889,14.0,3.4303,36.254,11.3308,9.8744,15.2016,3.187,0.9776,0.0,981.1674,14.9165,47.1105,237.3649,17.6856,0.0
JOR_H50,0.6582,0.0027,0.0181,0.02,0.0106,8.0682,3.0798,0.0269,0.3969,11.92,1.7935,1.0589,0.5984,1.9922,0.8304,1.6098,0.0227,0.1794,0.1288,0.0782,0.019,0.1805,2.636,0.0189,7.8436,0.2962,0.0081,0.007,1.0935,0.0209,0.0119,0.3881,0.0159,0.0095,0.009,0.2692,0.014,0.0445,0.0278,1.6283,0.5625,0.0307,0.0166,0.0526,0.0,14.1661,0.1308,0.603,11.7748,29.8455,0.0
JOR_H51,11.3147,0.0334,0.0605,0.1181,0.0554,38.8975,13.2819,1.1738,4.2662,30.6271,3.2033,0.4396,1.2933,9.3768,4.0206,7.1838,0.4833,3.1203,1.5527,1.1844,0.2702,2.0482,8.5557,0.2833,31.2649,1.8966,8.5586,0.0199,0.0547,0.0566,0.0551,5.2581,0.1126,0.0621,0.0579,0.1632,0.1058,0.2418,0.211,0.0628,0.0603,0.8124,0.1211,0.5356,0.0,101.9185,0.3176,0.0613,49.011,64.8378,0.0
JOR_H52,9.4687,0.0042,7.3697,2.3966,0.3555,6.7389,5.0405,0.3283,1.4733,2.7965,1.6296,0.5272,1.9914,1.7082,0.4588,0.867,0.5952,2.4094,0.6366,0.6904,0.0939,0.9336,0.7066,6.1364,3.7553,13.5242,4.365,19.3363,83.7128,61.2518,10.3546,0.7942,15.7722,32.4221,5.3301,17.7587,28.5507,4.5302,49.5893,77.555,83.0791,17.2963,4.1119,0.5931,0.0,25.2916,0.0484,0.1024,5.3515,1.4357,0.0
JOR_H53,0.2785,0.0,0.1355,0.0019,0.0004,0.0415,0.0256,0.0036,0.0234,0.0438,0.221,0.1471,0.0951,0.0032,0.0002,0.0006,0.0093,0.0224,0.0084,0.0059,0.0015,0.0116,0.1104,0.7244,0.0549,0.3925,0.0245,0.1074,19.7222,1.3299,1.1766,0.2212,1.8152,4.8265,0.5519,9.326,5.1725,0.6271,0.2276,0.0,7.6596,2.4665,0.7483,0.0551,0.0,0.0006,0.0,0.0,0.0004,0.0675,0.0
JOR_I,0.2008,0.0002,0.0442,0.0035,0.0008,5.2068,2.3598,0.3219,0.9297,0.3668,4.1477,2.5027,2.3691,2.8215,1.0591,2.0586,0.9206,1.8194,0.6695,0.5575,0.109,1.2887,0.5341,0.4096,5.6715,39.3707,0.7956,0.0316,2.689,1.3407,0.0709,8.8098,0.466,0.9412,0.2275,8.981,2.6283,3.2495,10.1707,8.472,7.9926,5.389,3.9064,8.6604,0.0,647.8864,0.0809,20.1591,0.224,0.0352,0.0
