V1,AUS_A01_02,AUS_A03,AUS_B05_06,AUS_B07_08,AUS_B09,AUS_C10T12,AUS_C13T15,AUS_C16,AUS_C17_18,AUS_C19,AUS_C20,AUS_C21,AUS_C22,AUS_C23,AUS_C24,AUS_C25,AUS_C26,AUS_C27,AUS_C28,AUS_C29,AUS_C30,AUS_C31T33,AUS_D,AUS_E,AUS_F,AUS_G,AUS_H49,AUS_H50,AUS_H51,AUS_H52,AUS_H53,AUS_I,AUS_J58T60,AUS_J61,AUS_J62_63,AUS_K,AUS_L,AUS_M,AUS_N,AUS_O,AUS_P,AUS_Q,AUS_R,AUS_S,AUS_T,AUS_HFCE,AUS_NPISH,AUS_GGFC,AUS_GFCF,AUS_INVNT,AUS_DPABR
AUS_K,4215.3934,307.8308,5178.6732,3004.9793,344.3471,1382.6071,46.387,150.5809,156.0629,91.958,174.1967,181.8914,134.8413,194.6244,142.2604,270.0251,61.6007,65.9684,151.6917,200.2534,408.7505,244.5778,4569.4257,4174.3017,6258.4966,5666.1002,1121.0303,1244.9207,200.7612,3190.2557,161.4281,1843.1746,276.5148,1417.1705,659.406,21603.8801,24733.2769,6321.5794,3814.3941,5319.1764,2334.5558,3063.0986,443.4819,415.6257,0,51670.6432,55.1697,102.2216,497.91,14.7632,0.0
AUS_L,521.122,30.3132,320.9144,1014.2969,15.9564,254.3306,4.2396,46.0567,101.787,275.8274,22.9486,29.5254,40.3052,91.6479,13.791,249.5049,17.2399,18.4281,50.2255,64.9097,154.0264,46.259,45.362,189.8136,3077.2891,9134.6832,676.4221,58.2334,203.0829,668.4725,343.6149,2754.2876,217.1103,1679.9831,1489.2737,1430.7114,3632.3359,3584.949,5566.7095,1118.0169,1559.5031,937.7897,510.8704,216.3104,0,157033.4761,37.3679,276.6571,8795.1226,0.1961,0.0
AUS_M,2377.5215,248.4536,1446.033,3236.6301,3108.2582,1400.6694,36.4797,232.1673,780.3853,310.2051,289.2185,611.3098,387.4478,498.4429,69.1641,809.2947,324.1863,318.3859,731.7741,255.8561,490.3862,768.3701,697.4226,2707.9456,12343.6089,10023.9338,1576.0235,535.9056,756.3934,1654.158,191.9833,613.4179,851.2435,2837.7685,4834.3356,6732.472,5198.6905,23123.3981,6337.3919,4726.1872,1667.4257,3049.3865,1925.1267,735.362,0,3399.2017,38.1539,3049.5261,15246.0804,4.9717,0.0
AUS_N,1305.6288,323.3583,1741.1859,1492.653,294.6644,2137.1705,103.447,339.268,416.2822,188.7608,176.7665,295.4317,419.1447,606.86,100.6758,488.8746,123.7929,122.6236,278.8674,160.0872,327.276,784.4454,726.752,616.6017,8095.9141,6671.9615,1276.4062,397.6547,1770.2229,4923.7289,612.2698,3752.9313,721.2019,691.9955,4271.0649,8202.3324,3373.0813,10578.4891,10618.2369,3602.8395,3586.477,6034.9877,2577.8583,1716.0559,0,3135.3923,18.5194,3913.2496,7.2917,5.014,0.0
AUS_O,67.2448,17.5886,519.773,894.0822,43.6438,181.8138,2.5815,38.2962,151.8579,102.4706,122.0398,189.2859,133.6859,81.3046,17.0014,155.1763,17.6934,18.4067,54.7916,69.42,205.8307,166.7778,109.2139,129.4619,1963.2711,1013.6673,782.4924,14.0254,6.094,673.2771,124.4621,46.8625,419.4435,225.3062,1074.4692,872.101,267.6045,1980.4351,1086.3876,3093.0047,1237.2032,715.2069,214.9633,292.1571,0,840.295,75.6684,102711.6837,958.6736,0.0706,0.0
AUS_P,8.4472,1.667,54.8396,63.8392,7.831,37.6359,2.4966,6.2288,13.0885,18.4899,9.779,18.0041,10.458,18.2602,6.6585,16.7008,4.5359,4.1877,11.4648,7.9025,18.3203,22.745,90.0174,55.2835,87.8828,129.943,34.6956,5.5592,4.9036,45.2235,8.3527,13.0963,25.9922,38.0099,123.8206,707.3239,38.2384,311.5254,258.1101,207.9373,794.8933,148.6321,187.8017,78.4792,0,35355.9258,474.846,45364.0393,144.3261,0.1434,0.0
AUS_Q,0.8938,3.4998,2.3473,0.0,1.5416,21.9223,6.5374,11.9218,10.3788,2.5155,68.0429,144.5265,7.325,1.3307,1.2881,1.26,0.7071,0.7381,1.8496,0.4424,1.2426,6.1771,1.8493,0.7191,7.775,23.3481,0.0,2.8609,0.0,8.0078,17.9551,7.3773,11.0987,0.0,0.0,1567.5573,5.5957,22.8195,66.9664,220.056,157.4161,1836.6086,10.6655,12.6519,0,37100.4407,698.848,99168.9397,0.0,0.0,0.0
AUS_R,8.0123,2.6215,93.0935,101.4226,7.9783,6.2365,0.5275,1.1545,1.5818,1.373,0.9634,1.4226,1.1659,1.2988,0.4331,2.2692,0.3622,0.2761,0.7957,1.9938,4.4986,2.7315,33.4182,3.0695,290.1229,434.5915,18.1691,8.4156,12.9202,4.0677,2.1119,48.5456,228.0832,21.694,28.9668,202.1463,61.4203,553.0693,398.2493,297.2842,1020.4337,500.527,2112.903,113.4555,0,12574.2017,340.3188,5011.326,180.8765,0.7842,0.0
AUS_S,76.9295,28.7017,237.6693,460.3102,45.0759,42.3977,8.9109,20.9486,20.9682,54.9561,8.8951,12.378,20.9362,27.0289,4.1482,15.9332,2.5,2.1935,6.3044,4.9614,10.9254,19.8944,45.8185,97.6821,460.9034,559.0369,166.5389,38.2587,15.4329,80.0357,46.7992,67.4377,117.9742,179.8673,114.4274,278.7866,111.8333,596.7411,324.9429,351.7504,248.269,1551.5637,152.3326,278.3605,0,14016.3017,1597.2339,840.8207,0.0,0.0,0.0
AUS_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
