V1,BRA_A01_02,BRA_A03,BRA_B05_06,BRA_B07_08,BRA_B09,BRA_C10T12,BRA_C13T15,BRA_C16,BRA_C17_18,BRA_C19,BRA_C20,BRA_C21,BRA_C22,BRA_C23,BRA_C24,BRA_C25,BRA_C26,BRA_C27,BRA_C28,BRA_C29,BRA_C30,BRA_C31T33,BRA_D,BRA_E,BRA_F,BRA_G,BRA_H49,BRA_H50,BRA_H51,BRA_H52,BRA_H53,BRA_I,BRA_J58T60,BRA_J61,BRA_J62_63,BRA_K,BRA_L,BRA_M,BRA_N,BRA_O,BRA_P,BRA_Q,BRA_R,BRA_S,BRA_T,BRA_HFCE,BRA_NPISH,BRA_GGFC,BRA_GFCF,BRA_INVNT,BRA_DPABR
BRA_C22,284.5768,4.9352,59.5479,336.6918,13.0301,4031.2169,390.5862,61.8912,388.7355,37.7561,956.8972,111.9181,3608.1725,457.042,167.6785,232.8814,257.7136,505.031,582.6867,3920.5342,103.4253,856.0869,67.239,112.413,2952.6148,1957.2734,1625.409,103.6662,170.0304,31.5036,9.8891,143.4397,170.5016,7.0638,9.1728,25.6583,43.5093,250.2762,243.2976,45.8353,67.9334,275.4843,37.5223,37.8059,0.0,3701.0321,0.0,0.2461,404.9443,137.9367,0.0
BRA_C23,1523.9727,8.3861,28.396,44.6291,16.1759,1182.0358,41.4514,91.1876,77.7391,22.6295,373.4426,22.8757,154.12,1849.3324,114.7255,60.4769,5.2695,104.9527,80.5804,800.4686,14.3476,190.8757,375.0138,186.3768,10777.0207,163.6894,11.4921,0.7451,1.019,7.1764,2.0172,253.9951,3.027,3.832,4.3413,9.4628,750.7717,19.2719,37.4894,91.1089,46.5211,78.2431,8.0973,59.0938,0.0,959.0518,0.0,2.0728,215.6421,141.8237,0.0
BRA_C24,359.3801,2.8834,2613.5536,139.1813,28.5309,525.127,31.6569,43.0836,188.7966,112.4128,346.6419,17.82,314.7235,209.7221,6900.8324,5886.1853,71.2724,2471.2519,2742.6631,5791.4102,180.5386,1324.5856,101.4177,54.0616,3851.406,777.7035,32.9793,1.2362,1.6464,20.3931,5.637,77.576,10.6385,22.5662,21.3822,35.2748,39.5366,65.0902,114.3225,64.22,51.8732,43.1008,30.4952,30.3415,0.0,1227.7334,0.0,0.0,414.6841,235.7528,0.0
BRA_C25,334.2885,6.0779,554.8683,427.8117,45.3225,2972.9847,67.8966,139.8911,55.074,89.9623,660.0679,43.6144,76.2013,59.7993,791.6921,2387.3069,276.9485,677.8017,1458.5001,2088.3441,179.7629,1072.4195,641.3265,128.2774,5204.1588,553.6984,45.8543,3.3812,2.7668,10.4973,2.2784,603.8479,5.6789,8.5278,6.9892,9.2495,122.5124,25.2488,95.5221,238.3811,32.2626,63.6574,8.2632,25.9769,0.0,2969.5356,0.0,0.0,1812.5041,147.8138,0.0
BRA_C26,5.6968,0.0965,125.9469,66.2978,4.4565,49.2716,12.0084,1.7785,108.9196,27.6378,52.865,5.5436,17.7372,16.9139,55.5715,6.0975,6108.4697,256.2983,283.5601,230.3121,7.8052,271.4154,106.335,5.4126,184.5383,110.8883,20.219,1.8086,1.8413,62.8957,28.3401,639.9754,58.6677,57.4501,636.7073,81.3849,9.9048,392.1731,407.7526,82.9332,196.2309,153.7194,19.5037,244.7551,0.0,8812.3668,0.0,0.0443,6537.4367,186.9903,0.0
BRA_C27,42.3723,0.8758,84.6436,51.7873,7.1702,104.0828,21.2854,8.7511,28.0501,9.1354,62.6326,5.1491,30.6698,36.3106,74.9801,35.0869,602.0113,2420.7176,749.2684,672.0271,29.5842,593.6131,1454.8459,51.568,2025.1947,445.3405,320.3214,5.9999,1.6549,24.2558,6.9301,35.1013,14.3877,145.8644,15.7536,20.1292,119.238,200.6451,184.2098,29.2954,25.2508,18.4752,22.4258,257.2985,0.0,5798.7925,0.0,0.0,3509.9134,153.2584,0.0
BRA_C28,26.4665,0.806,911.9693,1249.1501,42.2712,945.0406,183.7928,23.844,292.5816,382.7338,788.6807,44.8008,43.2464,18.1795,697.5631,76.8888,66.6447,196.4643,3578.1624,440.1623,38.9391,1644.654,69.2257,23.9519,841.9198,239.0445,40.6934,33.8175,5.0989,49.1312,11.0419,21.0645,10.9339,13.5202,66.2805,4.2722,106.7112,29.9205,309.7109,25.7513,6.902,48.54,4.5908,14.1118,0.0,1479.0834,0.0,0.0004,15157.3424,242.5394,0.0
BRA_C29,93.11,1.4917,54.3702,97.8021,6.221,153.5893,32.7817,8.0398,24.8847,30.6716,60.9661,8.236,89.2346,32.5995,75.5597,64.3401,56.3514,197.4661,747.3078,16654.1849,9.7375,1976.6547,110.8353,14.5516,327.8603,5022.8641,2830.4276,113.7635,273.4997,446.6703,3.7032,60.0895,126.9798,21.4532,18.7149,10.4469,124.9905,193.7021,401.8141,207.0101,70.5503,65.0436,37.0896,19.7533,0.0,21088.2034,0.0,0.0,18706.0816,582.706,0.0
BRA_C30,5.3083,0.0732,0.2015,7.4203,0.2579,1.5727,0.0,0.1725,1.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.3937,0.2033,0.0,2.5003,73.2199,1470.4231,488.8018,10.902,0.947,60.421,53.1771,293.8076,0.0,0.0,0.0,0.1384,87.5607,20.1831,3.3003,2.9877,0.3845,25.5812,7.6792,8.1841,51.5604,0.3586,0.161,4.6283,28.3422,0.0,2546.8656,0.0,0.0,3543.3393,-4631.4719,0.0
BRA_C31T33,83.2492,12.5449,799.2519,1198.7283,52.6352,989.0503,702.6301,183.1985,1181.7113,179.2544,825.7096,196.2739,183.9561,690.9789,3015.3862,273.8586,63.2679,162.7135,607.118,603.4248,56.144,1195.4588,461.9855,327.1643,793.254,1607.4206,438.2022,464.5163,194.1248,846.4663,149.1772,101.5908,159.8187,92.2817,389.6611,131.4303,88.8006,630.977,738.9593,594.3885,338.7636,4469.5745,189.0602,186.9151,0.0,14865.6487,0.0,1.3491,4693.7461,-5807.6788,0.0
