V1,THA_A01_02,THA_A03,THA_B05_06,THA_B07_08,THA_B09,THA_C10T12,THA_C13T15,THA_C16,THA_C17_18,THA_C19,THA_C20,THA_C21,THA_C22,THA_C23,THA_C24,THA_C25,THA_C26,THA_C27,THA_C28,THA_C29,THA_C30,THA_C31T33,THA_D,THA_E,THA_F,THA_G,THA_H49,THA_H50,THA_H51,THA_H52,THA_H53,THA_I,THA_J58T60,THA_J61,THA_J62_63,THA_K,THA_L,THA_M,THA_N,THA_O,THA_P,THA_Q,THA_R,THA_S,THA_T,THA_HFCE,THA_NPISH,THA_GGFC,THA_GFCF,THA_INVNT,THA_DPABR
THA_A01_02,4783.0269,13.9077,0.0011,0.7394,0.0598,26626.9552,188.258,181.1701,25.9227,0.0003,234.3806,128.8005,4422.3123,0.4711,0.4811,0.1686,0.0,0.0,0.0288,0.0,0.574,19.2669,9.3789,0.0054,76.5589,0.3115,0.0338,0.001,71.4429,0.0983,0.0088,2764.2801,0.0399,0.0149,1.1599,27.3537,13.5604,4.7033,3.0104,60.4065,257.6512,342.9772,28.1852,52.5849,0.0,18061.7224,14.6803,133.7508,77.9985,722.739,0.0
THA_A03,110.3625,363.1244,0.0,0.0,0.0,2914.3051,0.0,0.0,0.0,0.0,0.0347,144.5513,0.0,0.3033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4381,0.0,1388.0468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1623,23.3819,52.7758,1.4089,0.0,0.0,2840.9269,3.8575,2.3568,0.0,93.7359,0.0
THA_B05_06,0.0,0.0,179.3452,0.0,2.309,2.7349,0.8949,0.0,7.355,10885.9839,101.9175,0.0,0.0,94.9764,206.4136,0.0475,0.0,0.0,0.3591,0.7863,0.0,0.0473,4311.5305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.1928,0.0
THA_B07_08,8.8162,0.4431,2.2206,1.831,2.8273,63.0609,0.8876,0.0,7.9328,0.0983,140.7609,9.6318,2.3077,1296.2058,126.0554,4.5433,0.8817,7.6908,11.5009,20.6654,1.8968,122.0426,0.3416,0.3269,1415.5707,0.0,0.5251,0.0,0.0,0.0,0.0,0.1104,0.0,0.0,0.0,0.0,0.0039,0.0,0.0,0.0,0.0542,0.3087,0.7395,0.0397,0.0,4.586,0.0,0.0,0.0,22.8193,0.0
THA_B09,7.4309,6.8072,382.8227,68.1799,46.4221,3.54,0.3575,0.1175,3.3839,458.1851,30.4132,0.245,2.5056,52.7706,42.1647,3.6069,0.1206,0.1754,0.8175,0.1142,0.1216,0.2491,40.4193,1.6042,71.6996,0.8835,6.3569,0.5219,1.9123,0.1496,0.0241,0.3357,0.0333,0.0,0.0007,0.0458,0.6388,0.7003,0.1959,1.2356,0.1242,0.1123,0.0426,0.0804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THA_C10T12,3451.7812,810.9219,0.0,0.0,0.4132,14411.4117,435.3604,22.2307,61.99,4.3404,488.0047,172.3849,33.3635,26.9412,0.0023,0.0,0.0,2.0648,0.0,0.0,0.2205,65.5636,48.1438,0.0,0.0,142.7552,22.9883,0.2082,377.207,0.0,0.0432,12211.3806,9.9391,0.0647,7.9582,30.7202,1.721,13.1744,25.4323,154.2222,267.8719,257.865,66.3431,212.8827,0.0,31908.8935,54.3084,9.658,0.0,1108.6744,0.0
THA_C13T15,18.4777,19.8288,0.0148,1.4653,2.7048,30.1317,11452.9329,0.1356,9.4268,0.609,294.8302,14.3643,301.6204,32.1793,2.656,0.6282,82.9696,107.4644,11.0648,76.8995,100.538,377.8483,8.848,2.2355,13.362,722.5867,24.7142,49.191,30.5853,6.0845,0.3438,563.8956,44.462,0.4939,33.0139,185.84,3.295,31.839,64.693,252.513,14.974,120.5973,10.4821,120.1988,0.0,16504.0496,34.6819,76.7559,285.1157,904.333,0.0
THA_C16,103.2245,3.3234,0.0,4.8408,0.2482,3.0359,4.4951,700.6838,2.1864,0.4371,15.173,0.2738,7.5074,14.69,0.6758,21.3759,19.4842,12.9949,32.3477,37.9311,52.9103,331.4206,1.3761,2.6503,372.55,61.7841,0.2317,0.0167,0.155,1.4268,0.0,6.6456,1.4199,0.0,1.5859,7.3001,0.181,2.39,14.2982,0.414,0.0459,1.0537,0.0149,4.5339,0.0,366.3083,2.133,0.0,45.066,31.7217,0.0
THA_C17_18,12.3658,0.2702,1.8777,1.2268,0.492,167.1567,87.8781,3.7847,2084.283,4.958,88.2487,52.8892,45.1031,74.1878,11.7524,28.84,64.2141,44.7365,7.1615,170.8507,7.532,79.478,12.4977,2.744,22.1537,256.8224,17.6459,5.3388,4.8789,1.0167,5.0223,68.4106,323.4652,7.8691,195.6402,327.6882,7.966,267.7717,189.9117,166.5689,532.6669,30.5292,12.1787,30.3467,0.0,1323.2053,4.1205,45.1308,0.0,72.2103,0.0
THA_C19,1062.8003,891.3379,1296.7117,278.3067,28.2866,604.91,388.9483,66.2992,72.5646,926.7472,2188.6454,12.5048,358.649,596.1897,612.1776,159.9365,225.5374,134.9566,405.4874,843.4335,110.8639,135.1881,1830.2569,75.9723,865.726,768.9334,4444.6846,1896.9877,2233.9334,4.216,53.2288,509.6157,51.1714,56.0848,92.9948,153.8172,30.0155,148.2858,410.1023,838.2728,333.0039,83.0053,18.8566,316.6444,0.0,4451.5272,0.0,0.0,0.0,431.4024,0.0
