V1,TWN_A01_02,TWN_A03,TWN_B05_06,TWN_B07_08,TWN_B09,TWN_C10T12,TWN_C13T15,TWN_C16,TWN_C17_18,TWN_C19,TWN_C20,TWN_C21,TWN_C22,TWN_C23,TWN_C24,TWN_C25,TWN_C26,TWN_C27,TWN_C28,TWN_C29,TWN_C30,TWN_C31T33,TWN_D,TWN_E,TWN_F,TWN_G,TWN_H49,TWN_H50,TWN_H51,TWN_H52,TWN_H53,TWN_I,TWN_J58T60,TWN_J61,TWN_J62_63,TWN_K,TWN_L,TWN_M,TWN_N,TWN_O,TWN_P,TWN_Q,TWN_R,TWN_S,TWN_T,TWN_HFCE,TWN_NPISH,TWN_GGFC,TWN_GFCF,TWN_INVNT,TWN_DPABR
TWN_A01_02,1754.062,33.1179,0.0331,0.123,0.059,5153.8837,181.7656,13.9283,3.3831,0.7757,9.0526,16.8716,20.5463,1.1113,1.0585,0.6236,4.2416,0.7384,1.3107,0.2163,0.2174,2.6395,0.6256,0.4614,100.2502,231.6266,0.4415,0.8428,0.3869,0.6969,0.3158,792.329,2.052,0.1122,0.2279,1.0771,13.5154,1.8495,16.9905,72.3439,10.9738,1.1527,16.5697,37.0181,0.0,7882.9248,0.8204,0.9583,92.0049,-1.8648,0.0
TWN_A03,4.8905,162.5703,0.0025,0.0095,0.0045,166.0657,0.0235,0.1093,0.0144,0.0635,0.8705,1.1213,0.0146,0.0456,0.0812,0.0349,0.1148,0.0195,0.0378,0.0126,0.01,10.2624,0.0348,0.0153,0.1122,4.6478,0.0188,0.041,0.0057,0.0423,0.0262,169.7185,0.0411,0.0033,0.0118,0.0398,1.2278,0.3127,0.1291,7.4719,0.0205,0.0368,1.7928,0.2036,0.0,2160.2169,0.2582,0.0805,0.0897,-5.174,0.0
TWN_B05_06,0.001,0.0016,0.7292,0.1794,0.0892,0.1426,0.7469,0.0025,0.4606,376.7084,8.493,0.0339,0.2296,17.0311,51.2574,0.0146,0.2893,0.283,0.0233,0.0057,0.0032,0.0147,165.8561,0.1133,6.8183,0.2511,0.0878,0.0149,0.029,0.0066,0.0024,0.3875,0.0163,0.0104,0.1778,0.1055,0.0665,0.0605,0.0234,0.0598,0.0135,0.017,0.0102,0.0137,0.0,0.5694,0.0002,0.0018,2.2726,-0.1227,0.0
TWN_B07_08,0.0082,0.0186,0.0618,1.004,0.2293,1.0263,4.1735,0.0056,3.6405,57.9128,139.2648,0.0828,1.4857,342.9288,402.5646,0.1586,2.059,1.0383,0.2433,0.0223,0.0376,0.0722,134.3379,0.6142,213.8322,0.1561,0.3087,0.0489,0.0,0.004,0.0,0.5947,0.0,0.0035,0.0,0.0,0.0,0.0662,0.0113,0.0118,0.0,0.0,0.0085,0.0179,0.0,1.6152,0.0,0.0,1.0188,0.446,0.0
TWN_B09,0.0127,0.0409,9.6643,0.2582,0.3978,0.7664,0.017,0.0034,5.1577,100.7844,18.1437,0.051,1.7885,117.4025,33.5072,0.169,0.3748,0.5791,0.2948,0.0214,0.0017,0.0708,363.1357,0.459,87.3222,0.2026,0.1845,0.0304,0.0,0.0028,0.0,0.4276,0.0,0.0,0.0,0.0,0.0,0.0847,0.0056,0.024,0.0,0.0,0.0046,0.0106,0.0,0.0,0.0,0.0,0.6056,0.0,0.0
TWN_C10T12,1552.4703,243.2276,0.5974,1.0084,0.4965,3587.8959,102.4475,5.9427,46.0823,12.9041,87.3982,47.4747,28.5957,12.1669,54.4772,27.2724,111.1172,19.6421,26.1291,5.6587,9.6196,64.8778,13.1636,2.4638,46.3978,402.8622,6.6839,5.2503,10.1542,5.364,1.0837,2844.0069,11.3574,2.899,3.5309,14.4528,28.4093,19.378,4.6674,131.0486,37.1623,64.1043,229.815,35.4478,0.0,17883.9851,2.6759,23.4823,154.4929,-7.2486,0.0
TWN_C13T15,22.0971,74.7249,1.39,1.9636,0.9633,46.1753,6168.3947,2.7623,119.0312,14.1183,528.104,26.1635,375.7172,63.2055,62.6269,77.2379,507.6765,41.1147,50.2248,44.9918,28.7537,215.8173,13.1899,8.8675,86.2784,277.9376,11.2855,8.1649,10.3727,8.4386,3.2017,192.6437,16.4741,6.334,5.106,12.4344,6.8506,84.5038,6.2055,39.4898,17.9351,32.4508,11.2715,80.6043,0.0,4357.173,1.0751,17.4497,109.5406,3.2747,0.0
TWN_C16,7.041,2.8476,1.6441,3.8954,2.0085,1.7912,4.0347,257.1275,55.4261,0.4878,4.0821,0.2269,4.1556,7.3303,5.5412,27.1847,15.3828,6.7491,15.9078,4.4572,18.1781,58.2267,2.7212,0.4975,779.0874,53.4411,0.3951,0.342,0.145,1.5265,0.1402,19.7242,5.0951,0.1901,0.6204,0.492,0.4453,17.9067,2.9025,4.3517,5.4653,0.7121,2.225,3.4967,0.0,49.5641,0.131,0.5585,3.7854,-0.1434,0.0
TWN_C17_18,11.0783,5.1552,0.9475,0.3141,0.1465,313.4566,116.051,22.5909,2607.238,8.2008,256.9856,44.2651,211.9929,96.5368,53.5712,118.7869,443.5947,68.9695,63.1346,28.1558,12.7384,65.9431,17.1726,5.6544,83.474,1150.6151,14.1135,1.1376,13.0843,17.4763,18.3861,346.3976,810.1874,68.1788,41.6198,392.2508,47.8175,939.6955,213.6577,424.6696,163.6833,115.4631,64.4563,285.3216,0.0,725.9085,0.5042,3.4653,37.4401,-0.0992,0.0
TWN_C19,100.9642,350.4547,53.521,311.7593,111.6654,133.2588,137.9963,16.788,104.0414,2575.0331,6454.3929,10.1647,200.5666,361.3643,2308.3,331.4587,497.7149,90.5017,174.3421,45.0905,36.4592,41.1811,1308.3291,79.2835,586.3218,1315.8044,2208.6408,623.4606,2478.8738,236.2037,36.2911,110.2604,39.423,33.8632,10.8539,44.3686,58.719,91.5821,137.9362,231.6538,59.2904,142.9627,21.0251,94.8837,0.0,3924.3483,0.1446,4.6771,54.1805,11.0564,0.0
TWN_C20,247.583,12.4545,6.4656,20.5745,10.3966,190.1434,1860.9577,34.4362,628.7244,475.8081,23002.368,175.9587,4112.3474,454.1733,768.6889,906.6201,8076.8819,294.6648,221.0574,178.0365,130.8036,197.335,152.163,117.2472,829.8069,1203.4894,29.7374,8.2953,14.6025,18.5616,2.426,195.9722,115.6668,23.3557,9.8356,22.2137,18.1651,353.8318,298.101,96.8847,142.2357,263.6113,30.7904,101.0355,0.0,2809.4091,0.7899,24.6022,187.7655,-45.1651,0.0
TWN_C21,33.4402,4.4015,0.1025,0.1749,0.0843,57.9129,7.0791,0.7271,3.3251,3.9614,36.1912,255.8668,7.0161,2.5621,14.0109,7.3512,54.4661,5.4461,6.993,1.5167,2.632,3.2233,1.5027,1.125,11.9181,15.4616,0.9446,0.4777,1.0805,0.4527,0.0792,27.7847,1.253,0.5056,0.8957,1.2223,0.9566,56.6935,0.9556,24.8179,10.5658,965.4664,2.2775,1.2525,0.0,692.1244,0.2954,1037.9133,22.3993,-0.5716,0.0
TWN_C22,52.5054,3.8181,1.3131,4.0061,2.3715,346.5339,269.8924,19.9424,279.6274,21.3637,354.3855,78.5186,1432.9926,76.0416,88.8581,335.0966,3020.3222,509.3102,586.1703,415.9542,261.881,231.3402,12.2803,47.5378,924.1246,1347.363,139.7299,4.4366,6.4638,8.1436,1.2075,197.2974,31.5823,4.9116,5.8792,9.6482,6.225,110.8085,44.3305,104.6226,44.7158,51.7012,20.0165,45.9922,0.0,1312.3111,0.1174,15.1272,130.2783,-16.6995,0.0
TWN_C23,9.7222,3.2603,1.7761,1.3599,0.6908,69.579,161.8737,2.2917,46.4353,16.673,226.3154,22.7713,33.0302,1465.9165,416.6242,105.2387,2718.8277,57.804,92.3899,42.4606,37.4156,37.6206,35.626,96.4312,4560.26,99.5806,13.3945,4.4266,2.8817,5.8959,2.4127,57.9721,5.9263,2.4622,3.1266,15.0855,7.6867,38.6297,7.7724,98.734,52.3255,41.8781,7.7864,14.7957,0.0,423.4562,0.5245,43.6565,97.6819,-0.1691,0.0
TWN_C24,19.8951,20.3788,9.84,14.3457,5.3375,63.68,50.5254,5.3252,77.009,175.1801,1054.5124,8.1913,193.9342,177.3461,19186.3676,7726.5325,1821.2382,1984.9701,4724.7233,925.2599,908.7832,412.6458,168.9019,258.995,4538.3951,205.727,101.0005,27.7979,106.54,26.7765,2.9347,39.6124,8.6195,7.4245,7.3461,14.3121,14.4958,44.0473,18.0638,48.0246,28.4745,35.2434,7.1493,50.0463,0.0,424.0459,0.1502,18.1641,244.2267,-0.2793,0.0
TWN_C25,53.0601,4.7893,3.5028,10.7958,7.1196,317.7238,103.5872,27.9798,60.9456,51.534,241.3091,18.5679,353.2963,141.9954,857.4769,3455.1944,1903.5216,619.8521,2215.7217,451.1674,499.8035,311.7072,42.1264,26.6027,3491.1633,260.888,21.8103,22.0879,13.0463,26.657,2.3579,133.3163,18.3333,6.312,20.7743,19.359,30.7588,83.9766,40.7538,826.6912,74.1888,96.6908,15.9892,63.1958,0.0,1539.5742,0.5,31.3321,2754.6311,-33.4207,0.0
TWN_C26,377.9245,69.5333,7.8862,10.9351,4.9907,1057.0485,457.4977,59.5756,245.1424,275.8031,1146.4573,142.2775,320.8781,202.2077,1341.3012,683.0454,44301.348,1398.267,1234.3083,225.4949,335.5754,232.3843,155.6871,103.792,1404.4672,683.7049,77.242,27.9893,91.1972,28.5008,4.7996,514.172,212.9027,101.0818,430.0801,120.8479,76.5001,659.3239,110.0699,251.7406,259.5874,730.8079,91.1311,69.1079,0.0,9210.8287,1.7962,451.282,9010.3927,-297.7516,0.0
TWN_C27,20.8308,4.9242,3.0721,3.4858,2.1122,60.957,33.0314,3.8902,17.9488,28.6194,95.8696,8.6879,33.6275,44.7527,112.2806,100.0121,1361.3001,3438.7985,979.4562,165.8768,166.2066,104.4706,49.6508,13.6304,1787.8618,160.3886,23.1752,19.9021,28.8242,21.5585,1.3804,33.8696,18.4806,89.0391,48.2171,18.6486,35.0279,97.605,48.4479,92.7407,140.241,64.7531,9.3516,45.9386,0.0,2753.911,0.3678,70.0633,1636.4546,-18.1183,0.0
TWN_C28,32.345,7.9199,8.7196,27.1114,16.3944,71.2308,36.1658,5.9571,30.4801,70.0628,142.1191,7.3499,66.3979,105.1529,196.0585,226.3101,959.13,286.3376,2173.174,93.7798,138.9999,391.9667,33.6884,52.0129,763.6689,104.8266,10.6025,6.3813,10.0676,13.2714,1.8511,35.2495,10.453,6.7637,7.5163,14.5129,37.5707,31.1499,29.9822,65.1057,35.479,32.9001,8.7487,19.8236,0.0,336.4623,0.2712,23.8302,10831.8849,-67.5541,0.0
TWN_C29,11.8995,2.1971,0.3994,0.5624,0.2943,35.8914,16.7629,2.1198,8.7392,11.1018,35.7685,4.1655,12.2335,9.494,47.9866,48.3144,149.9198,51.6766,60.6475,2742.6023,120.0647,10.4134,5.8654,2.2903,75.539,965.1611,88.6869,2.7675,5.2473,4.4828,0.3305,19.4397,3.5436,2.0906,2.7081,4.3823,3.1337,13.731,23.0351,30.5471,6.822,18.1659,2.6426,143.6527,0.0,3652.5595,0.1653,73.1211,2521.8729,-15.8156,0.0
TWN_C30,2.6084,48.4077,0.2361,0.2902,0.158,7.5141,4.2956,0.5534,3.1795,5.6969,18.2745,0.8826,4.27,3.3023,29.2132,9.1604,76.4402,8.6877,14.2217,144.6686,2274.1158,622.5992,15.3269,3.64,17.776,275.1482,15.4644,2.5886,186.5892,4.0778,0.511,5.851,1.3536,0.9041,1.8817,3.454,2.9022,8.7881,3.422,9.4411,3.321,29.3624,3.2397,35.8977,0.0,1189.6741,0.0448,80.63,2232.5137,-7.2128,0.0
TWN_C31T33,10.135,29.1363,2.4891,1.8043,1.2999,31.1344,33.8488,5.4786,36.6086,77.9171,251.6537,7.4465,54.9201,21.3883,446.3862,79.9929,1084.9711,33.972,91.7616,38.7578,30.4775,343.4427,284.9774,68.7797,139.5845,92.4243,170.0764,33.8876,342.5475,63.464,6.7972,21.3902,11.8743,1.5444,15.4823,40.2481,14.0739,28.7078,25.8459,102.6969,56.546,261.6025,61.7439,33.8582,0.0,1393.7356,0.1204,17.4359,843.8503,-4.3325,0.0
