V1,PAK_A01_02,PAK_A03,PAK_B05_06,PAK_B07_08,PAK_B09,PAK_C10T12,PAK_C13T15,PAK_C16,PAK_C17_18,PAK_C19,PAK_C20,PAK_C21,PAK_C22,PAK_C23,PAK_C24,PAK_C25,PAK_C26,PAK_C27,PAK_C28,PAK_C29,PAK_C30,PAK_C31T33,PAK_D,PAK_E,PAK_F,PAK_G,PAK_H49,PAK_H50,PAK_H51,PAK_H52,PAK_H53,PAK_I,PAK_J58T60,PAK_J61,PAK_J62_63,PAK_K,PAK_L,PAK_M,PAK_N,PAK_O,PAK_P,PAK_Q,PAK_R,PAK_S,PAK_T,PAK_HFCE,PAK_NPISH,PAK_GGFC,PAK_GFCF,PAK_INVNT,PAK_DPABR
PAK_C29,18.2711,1.9748,5.8967,1.0174,0.4665,6.5388,11.4788,0.9226,2.2038,0.7179,3.0311,1.2089,4.5985,4.7949,20.3504,11.3096,9.0111,11.7782,18.0912,557.7421,5.4184,18.824,4.1726,6.6168,18.1173,241.2333,73.3202,1.989,1.9605,7.2338,1.1145,2.277,1.4636,4.5973,0.9925,2.6525,1.9104,7.2325,9.0931,15.154,3.3734,5.1349,1.8107,11.1117,0.0,2383.8613,0.9583,3.0654,1810.7402,34.5323,0.0
PAK_C30,1.3764,8.4224,0.5788,0.108,0.0364,0.47,0.6817,0.0744,0.1535,0.0588,0.1881,0.0889,0.2384,0.219,0.2638,0.6755,1.1649,0.6697,1.3516,6.6423,94.1653,13.619,0.5117,0.28,1.7673,6.7442,18.7203,25.679,24.4428,2.5587,0.0956,0.2209,0.1187,0.3233,0.0752,0.2165,0.171,0.868,1.3376,38.3849,0.427,0.734,0.3675,3.5041,0.0,290.2585,0.0194,3.7864,757.554,14.2361,0.0
PAK_C31T33,159.7772,29.811,51.1959,7.3389,4.0992,43.654,181.7317,18.8678,28.3679,6.8233,26.3144,14.277,15.7175,29.1739,25.1291,22.5765,32.0163,15.851,29.7217,28.3444,11.1148,249.8701,74.777,28.3622,110.558,133.1544,76.3876,31.2876,49.2551,25.2112,3.7459,29.5347,16.502,47.3894,10.8071,40.8725,22.0083,55.4006,37.9885,118.1939,68.0876,285.7784,38.1402,60.3511,0.0,2625.4922,2.2609,43.5859,1050.3243,14.6753,0.0
PAK_D,867.6314,65.371,221.7657,47.7521,12.4629,266.564,688.9439,48.1449,220.0526,95.1453,280.925,53.4071,110.8142,279.6633,273.9946,78.6886,70.2472,45.0637,60.4299,83.2099,17.9371,93.9048,3513.7783,212.3842,99.9648,783.2338,248.5225,20.7713,14.2823,100.8117,14.6142,338.1747,64.72,275.2054,26.6898,142.8331,255.0271,147.092,84.5588,685.2389,371.1894,426.3491,149.7065,235.9754,0.0,5611.2174,6.3019,116.3211,200.4014,2.7198,0.0
PAK_E,70.1528,6.9423,17.5558,2.6557,1.4455,34.1834,63.6277,3.8744,45.4761,3.9138,20.7343,6.1257,12.1468,22.6727,150.9222,17.7675,5.5837,4.0287,6.5241,6.0872,1.881,9.8577,55.4706,330.4321,26.9338,105.6707,19.3656,4.6706,2.4015,11.971,1.878,52.6034,5.864,12.1506,2.9595,18.1432,46.5689,22.9129,18.6927,204.441,60.0768,83.8921,17.8556,35.6713,0.0,1425.8035,28.8515,304.4755,62.5997,0.5994,0.0
PAK_F,91.3231,7.154,25.3799,4.0979,2.6315,16.3294,30.5824,3.8318,7.402,3.9603,10.0976,4.076,5.1528,18.6583,6.8538,8.6131,5.8794,4.5704,7.0168,6.5881,2.2653,16.457,92.6126,39.7965,838.5269,124.2697,48.529,6.9869,6.3927,36.7512,3.0774,31.0571,8.7375,48.6324,4.7247,32.6818,328.3532,50.4446,19.7834,347.2888,77.3971,60.6164,20.818,31.6112,0.0,634.6096,4.6807,38.4711,12753.6811,1.6326,0.0
PAK_G,3165.0912,192.0799,136.9931,26.2054,13.885,1802.2907,2656.1712,117.0976,280.8372,242.4117,402.9755,183.6506,210.2364,260.441,210.5303,160.4158,251.9861,141.2678,193.4671,350.1136,48.5777,346.433,382.2957,119.6488,583.9242,2919.096,975.0948,142.8052,160.7331,125.6068,32.3661,577.1898,192.531,288.4419,60.781,145.7163,89.5832,247.0646,244.7632,468.8616,170.2522,402.2937,99.0457,230.3501,0.0,18538.6814,19.3237,107.0184,3006.2365,439.0904,0.0
PAK_H49,832.9192,46.3247,117.1536,25.7964,9.1784,469.1205,387.0081,44.5066,98.8555,124.2356,133.0446,30.8408,59.0714,154.4053,91.8532,58.1755,48.0538,38.0488,46.2412,78.1673,12.8575,89.2817,198.4397,48.3266,215.9795,998.3306,785.0972,60.5329,46.1503,183.3427,41.6228,110.3427,47.6764,41.9729,12.322,59.1664,23.3491,81.0875,63.546,190.8269,106.6972,94.5996,27.7777,91.5055,0.0,7363.7244,5.3467,138.0112,392.5606,82.2102,0.0
PAK_H50,89.6764,22.1819,108.4795,4.8578,2.2284,48.4878,70.9152,9.7241,20.3181,64.9131,38.9253,4.9873,11.9802,33.2861,29.0186,13.5744,14.0169,10.4974,14.3716,16.2797,4.5071,16.0733,44.1251,6.2651,26.3282,396.8154,103.7312,1008.8777,14.3911,164.7872,5.1826,11.1279,7.5675,10.5378,3.2558,8.5325,3.6642,19.3224,22.2532,51.7401,9.4076,14.151,5.4268,12.1708,0.0,2211.6925,1.1369,22.5227,106.4917,26.2471,0.0
PAK_H51,62.3704,4.9711,20.9044,1.4419,1.2462,27.7903,45.5795,2.586,8.7897,39.0336,19.0846,6.5953,9.3285,10.5645,10.9528,8.0748,12.742,7.6285,8.9412,9.4741,3.0711,13.2686,43.096,4.4886,22.7982,90.2482,23.2794,9.6125,82.8126,33.6319,11.4674,12.1825,10.0176,13.136,8.9837,30.0589,5.7426,38.6182,50.5902,84.1166,24.2236,18.8769,9.2948,21.1218,0.0,2267.4022,1.5532,7.9698,72.4401,27.0611,0.0
