V1,MLT_A01_02,MLT_A03,MLT_B05_06,MLT_B07_08,MLT_B09,MLT_C10T12,MLT_C13T15,MLT_C16,MLT_C17_18,MLT_C19,MLT_C20,MLT_C21,MLT_C22,MLT_C23,MLT_C24,MLT_C25,MLT_C26,MLT_C27,MLT_C28,MLT_C29,MLT_C30,MLT_C31T33,MLT_D,MLT_E,MLT_F,MLT_G,MLT_H49,MLT_H50,MLT_H51,MLT_H52,MLT_H53,MLT_I,MLT_J58T60,MLT_J61,MLT_J62_63,MLT_K,MLT_L,MLT_M,MLT_N,MLT_O,MLT_P,MLT_Q,MLT_R,MLT_S,MLT_T,MLT_HFCE,MLT_NPISH,MLT_GGFC,MLT_GFCF,MLT_INVNT,MLT_DPABR
MLT_A01_02,2.171,0.7972,0.003,0.0133,0.0042,49.9249,0.2842,0.0002,0.0265,0.0001,0.0218,0.1102,0.0077,0.028,0.0,0.0637,0.0204,0.0041,0.0057,0.0007,0.0169,0.2928,0.1421,0.1852,5.4616,1.1602,0.4032,0.0294,0.3324,2.0758,0.0557,14.7742,0.098,0.0541,0.1,2.4099,1.3583,1.3575,2.3211,0.865,0.7172,0.3098,0.4855,0.1832,0.0,42.7602,0.0,22.0733,21.1037,1.0594,0.0
MLT_A03,0.019,50.8339,0.0001,0.0006,0.0002,0.0185,0.0044,0.0,0.001,0.0,0.0281,0.2738,0.0004,0.0013,0.0,0.0014,0.0001,0.0001,0.0003,0.0,0.0004,0.0199,0.0047,0.0069,0.2752,0.0161,0.0133,0.0007,0.0057,0.0376,0.0009,10.6154,0.0011,0.0013,0.0061,0.0684,0.0485,0.0118,0.0311,0.0111,0.0136,0.0063,0.0135,0.0044,0.0,10.349,0.0,1.6308,0.9337,1.6739,0.0
MLT_B05_06,0.0,0.0174,0.0,0.0013,0.0093,0.0095,0.0,0.0,0.0011,0.0,0.0011,0.0002,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0155,13.2301,0.0,0.0,0.0005,0.0,0.0186,0.0037,0.0009,0.0,0.001,0.001,0.0506,0.0,0.0819,0.0002,0.0072,0.0068,0.0095,0.0016,0.0105,0.0208,0.0,0.0,0.0665,0.0,0.0,0.0,-0.0532,0.0
MLT_B07_08,0.0214,0.4785,0.0094,1.6675,1.0724,0.4117,0.0672,0.0001,0.0374,0.0,0.0328,0.0215,0.0146,14.4825,0.2911,0.0556,0.8818,0.0033,0.0127,0.0008,0.2625,0.1506,0.0793,0.2279,28.9508,0.1089,0.2463,0.0164,0.1432,0.2591,0.0063,0.2203,0.034,0.0386,0.0214,2.492,0.4881,0.3042,0.1168,0.1047,0.1273,0.3317,0.2033,0.0511,0.0,0.9478,0.0,0.1306,4.7911,0.833,0.0
MLT_B09,0.0404,0.39,0.4038,1.0481,1.3293,0.0843,0.0056,0.0001,0.0302,0.0333,0.0434,0.0395,0.0269,0.9229,0.0014,0.0963,0.0035,0.0016,0.0073,0.0,0.0016,0.025,3.5604,0.1855,6.153,0.0291,0.3079,0.0543,0.3958,0.3201,0.0057,0.0262,0.0016,0.0,0.0009,0.1068,0.1347,0.2775,0.1043,0.0837,0.0126,0.0213,0.6638,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLT_C10T12,13.0071,16.6811,0.3499,0.6274,0.0025,119.7,0.0363,0.0013,0.0105,0.0,0.3886,1.3365,0.0,0.7187,0.0,0.0091,0.0002,0.0031,0.0,0.0,0.0,0.0592,0.0,0.0,2.5358,0.5689,0.1726,4.1766,7.591,1.345,0.0,176.9199,0.0889,0.0342,0.0,3.2407,0.0113,0.2653,0.5922,0.4171,0.0341,0.144,0.0532,0.4038,0.0,358.4476,0.0,0.0,0.0,8.6796,0.0
MLT_C13T15,0.0221,0.3769,0.0,0.0034,0.0301,0.8181,44.8914,0.1893,1.2443,0.0026,0.0184,0.0552,0.2952,0.0203,0.0,0.1511,0.0212,0.0256,0.116,0.0329,0.1256,2.4358,2.371,0.2863,8.8486,0.3365,2.9133,0.6635,0.7812,0.6017,0.4056,6.1043,0.2832,0.172,0.2393,27.3947,0.1197,1.742,0.928,3.6803,0.7762,2.2328,1.0834,2.8496,0.0,220.7979,0.0,0.0004,3.058,12.4803,0.0
MLT_C16,0.0093,0.0025,0.0024,0.0098,0.0004,0.1206,0.1598,0.059,0.0641,0.0052,0.0035,0.0049,0.0031,0.0069,0.0,0.0175,0.0205,0.0045,0.0389,0.0101,0.0588,0.7045,0.0023,0.0195,0.7842,0.0471,0.0215,0.1317,0.0065,0.0965,0.0036,0.0896,0.014,0.013,0.0365,0.1783,0.1056,0.0744,0.1056,0.0738,0.0146,0.1043,0.0315,0.0379,0.0,0.3201,0.0,0.0041,0.1283,0.0274,0.0
MLT_C17_18,0.0326,0.0393,0.0108,0.0445,0.0065,1.6022,0.2525,0.0074,6.4596,0.0016,0.0479,0.6181,0.4819,0.0406,0.0001,0.104,0.3512,0.0647,0.2008,0.0184,0.695,0.8437,0.5222,0.1258,1.5184,2.0961,0.2548,0.619,2.9178,1.276,3.2331,2.1226,3.3844,2.5214,5.3532,66.5111,0.2564,21.3915,1.5797,3.3536,2.0029,1.1974,3.5295,0.2176,0.0,6.6185,0.0009,1.9932,2.7184,2.9831,0.0
MLT_C19,0.0032,0.0017,0.0001,0.0005,0.0002,0.0034,0.0001,0.0,0.0008,0.0,0.0002,0.0013,0.0001,0.002,0.0,0.0011,0.0043,0.0001,0.0,0.0,0.0004,0.0008,0.2908,0.0014,0.0088,0.0166,0.0241,0.0152,0.0687,0.0073,0.0079,0.0034,0.0003,0.0007,0.0012,0.0085,0.0007,0.0046,0.0051,0.003,0.0004,0.0075,0.0031,0.0007,0.0,0.124,0.0,0.0,0.0,0.0067,0.0
MLT_C20,0.0114,0.0122,0.0061,0.0242,0.0099,1.508,1.854,0.0014,1.043,0.0177,0.2975,4.0375,1.7532,0.1254,0.0001,0.1377,1.1744,0.0039,0.0117,0.0063,0.0789,1.0647,0.0414,0.0983,1.7236,0.4726,0.0357,0.0232,0.0911,0.4254,0.0516,0.5842,0.1252,0.0569,0.118,0.1855,0.2092,0.4321,0.0875,0.046,0.0495,0.3529,0.3154,1.4119,0.0,6.1367,0.0105,0.0488,1.7562,0.2127,0.0
MLT_C21,0.0142,0.013,0.0027,0.0278,0.0048,1.5135,0.7366,0.0014,0.3997,0.006,0.1427,15.4135,0.6219,0.0417,0.0,0.0593,0.4093,0.0067,0.0339,0.0032,0.0822,0.4549,0.013,0.0607,0.6615,0.2041,0.0767,0.0328,0.0403,0.2301,0.1,0.2518,0.0637,0.0445,0.0755,0.3277,0.0364,0.9844,1.0482,0.086,0.0364,22.3698,0.259,0.4861,0.0,32.0847,0.0036,7.8412,1.211,1.3866,0.0
MLT_C22,0.1425,1.0374,0.0069,0.0536,0.0241,11.7941,0.3553,0.1576,0.8404,0.0005,0.2754,2.6526,5.4626,0.081,0.0004,1.7045,0.373,0.5774,0.9495,0.1781,0.4903,11.3731,0.0658,0.1097,22.6612,5.9982,0.2003,0.6378,0.1625,1.2085,0.5904,0.8144,0.1161,0.042,1.5073,1.0682,0.0248,0.8901,0.3873,0.4816,0.0279,0.2199,0.0786,0.6872,0.0,7.1726,0.0,0.0,0.2412,1.2548,0.0
