V1,PRT_A01_02,PRT_A03,PRT_B05_06,PRT_B07_08,PRT_B09,PRT_C10T12,PRT_C13T15,PRT_C16,PRT_C17_18,PRT_C19,PRT_C20,PRT_C21,PRT_C22,PRT_C23,PRT_C24,PRT_C25,PRT_C26,PRT_C27,PRT_C28,PRT_C29,PRT_C30,PRT_C31T33,PRT_D,PRT_E,PRT_F,PRT_G,PRT_H49,PRT_H50,PRT_H51,PRT_H52,PRT_H53,PRT_I,PRT_J58T60,PRT_J61,PRT_J62_63,PRT_K,PRT_L,PRT_M,PRT_N,PRT_O,PRT_P,PRT_Q,PRT_R,PRT_S,PRT_T,PRT_HFCE,PRT_NPISH,PRT_GGFC,PRT_GFCF,PRT_INVNT,PRT_DPABR
PRT_A01_02,774.2718,0.7002,0,1.4293,0.0763,3207.678,51.1778,470.5676,509.9363,8.0407,135.615,6.0259,48.4012,4.1343,1.9964,6.3148,2.2412,2.765,2.7337,14.2904,0.8647,14.8764,8.4207,6.9578,31.5782,97.3671,7.0537,1.0268,5.4216,4.824,0.4343,229.943,4.6654,6.5937,7.5029,4.9349,7.9596,37.6418,41.0544,22.8464,4.4163,57.3226,5.7244,24.4274,0.0,2304.9659,1.4371,7.1842,404.705,41.2885,0.0
PRT_A03,0.468,19.4964,0,0.0773,0.0058,29.1171,0.7471,0.2749,0.4189,0.3329,0.4229,0.3201,0.3143,0.3069,0.135,0.3837,0.1421,0.175,0.141,0.4129,0.0439,0.5954,1.6559,0.6751,0.7329,2.3334,0.5616,0.1213,0.3311,0.1949,0.0308,48.2474,0.1326,0.3863,0.3503,0.2054,0.2576,1.1584,0.7475,0.8259,0.2254,1.6032,0.2382,0.1697,0.0,483.1315,0.0912,0.2772,3.2974,2.7848,0.0
PRT_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT_B07_08,1.6434,0.0227,0,99.7128,5.296,12.4573,0.4148,0.3663,2.2352,2.3009,21.2029,0.2098,0.2125,262.9229,8.124,4.3642,0.1097,1.5751,0.735,0.7561,0.0557,0.8287,2.0269,5.9601,142.8458,6.9194,0.8606,0.0845,0.2847,1.7796,0.0228,1.2956,0.1804,0.1701,0.3401,0.18,1.1491,1.8155,1.5879,5.1483,0.7321,0.6732,0.3861,0.1677,0.0,9.3305,0.0027,0.1976,13.6606,9.7613,0.0
PRT_B09,0.1453,0.1001,0,3.1237,0.4361,0.1351,0.0144,0.0086,0.2931,12.4903,0.5431,0.0113,0.0523,1.6568,1.3585,0.2205,0.0012,0.0047,0.0159,0.0038,0.0015,0.0189,1.8839,0.2088,4.7835,0.0579,0.2843,0.0066,0.1084,0.1894,0.0013,0.0246,0.0026,0.0,0.0002,0.0031,0.1829,0.1621,0.1383,0.0961,0.0104,0.022,0.0147,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT_C10T12,854.1631,12.0778,0,1.8339,0.2292,2327.3024,45.159,2.1963,15.8823,0.5725,99.3249,21.4523,2.7212,2.9175,1.4536,6.6546,2.7859,1.7736,2.2443,3.6988,0.3955,7.3111,1.2411,3.0578,18.7169,140.8306,4.4888,0.855,1.9401,2.8242,0.2206,2263.4164,9.0457,1.0306,4.5676,2.1172,9.0598,27.637,14.4067,15.7356,6.2026,301.5923,6.8726,2.0572,0.0,10897.403,0.0,13.7944,0.0,100.0838,0.0
PRT_C13T15,27.9777,4.4892,0,2.45,0.2655,9.372,3050.4436,1.4228,8.1147,1.0052,9.1036,13.2687,42.1243,8.394,0.6496,11.7212,1.0725,1.7212,17.3406,188.6612,5.1496,154.3112,2.4173,1.3218,25.8723,47.3467,2.2067,0.3202,1.9201,2.122,0.1228,41.4736,3.3344,0.6433,2.1054,0.7223,4.3506,9.545,9.4964,3.881,3.9451,46.5881,41.1271,4.0206,0.0,4616.2973,0.0165,0.6917,16.152,63.5214,0.0
PRT_C16,37.7152,0.1165,0,1.0445,0.0943,83.7177,3.921,836.7305,44.1211,1.7175,8.2131,0.8098,10.604,37.1064,61.8892,20.0683,0.8484,17.5519,6.8278,5.3554,2.0691,281.9123,1.3232,77.5851,513.1205,58.2749,3.2167,0.1779,0.8774,7.4587,0.0717,20.1227,0.6365,0.8813,1.2629,0.8486,15.1497,10.8622,17.3113,15.7912,1.9227,6.1009,3.5377,3.4725,0.0,81.6419,1.1294,6.5292,40.7634,15.4846,0.0
PRT_C17_18,27.5279,1.9727,0,3.4131,0.3006,364.6369,30.5818,22.8149,1315.9834,3.3738,31.9155,16.4147,24.0913,38.7024,10.6914,17.7821,8.6191,9.1411,6.3859,14.6147,3.5322,26.9649,118.6067,13.5531,16.9187,203.7274,12.4369,3.7184,3.3265,9.1168,2.3842,42.2396,125.8735,9.651,23.5029,26.288,171.2165,110.5075,140.8157,30.9365,56.9752,61.7789,17.6476,33.3804,0.0,504.88,1.5998,3.2996,34.7072,25.7499,0.0
PRT_C19,145.7061,27.1715,0,36.4314,2.2557,105.6671,38.6325,21.3432,39.5532,528.4148,157.5538,7.4528,32.0488,79.4976,9.2147,40.6748,4.682,9.7786,9.8351,14.766,1.5161,36.3643,112.2599,43.6139,219.7159,345.9994,654.4538,17.8365,716.6215,33.1551,4.9372,26.382,6.1233,5.8743,9.6033,18.6109,5.0647,58.7003,74.1532,96.3531,21.7107,138.7421,20.5889,20.621,0.0,2126.1367,0.8287,9.7306,6.8662,38.0233,0.0
