V1,ARG_A01_02,ARG_A03,ARG_B05_06,ARG_B07_08,ARG_B09,ARG_C10T12,ARG_C13T15,ARG_C16,ARG_C17_18,ARG_C19,ARG_C20,ARG_C21,ARG_C22,ARG_C23,ARG_C24,ARG_C25,ARG_C26,ARG_C27,ARG_C28,ARG_C29,ARG_C30,ARG_C31T33,ARG_D,ARG_E,ARG_F,ARG_G,ARG_H49,ARG_H50,ARG_H51,ARG_H52,ARG_H53,ARG_I,ARG_J58T60,ARG_J61,ARG_J62_63,ARG_K,ARG_L,ARG_M,ARG_N,ARG_O,ARG_P,ARG_Q,ARG_R,ARG_S,ARG_T,ARG_HFCE,ARG_NPISH,ARG_GGFC,ARG_GFCF,ARG_INVNT,ARG_DPABR
ARG_A01_02,6234.7876,18.2657,2.1934,2.3803,0.0,21303.4122,871.8234,139.6861,66.2188,11.139,41.6957,17.5403,10.6962,2.3041,0.5444,1.9287,0.1209,0.0121,0.9879,3.2426,0.1864,4.1591,14.4492,2.514,65.8758,43.2711,6.1185,0.0906,0.293,5.0103,0.199,1387.8499,1.7251,6.4132,0.8099,1.6405,19.4915,41.6199,53.7452,45.5163,13.4029,15.0168,2.0629,18.0813,0.0,4206.5837,0.0,0.0,798.3382,1639.5595,0.0
ARG_A03,0.0,87.2519,0.047,0.0,0.0,560.9215,0.0,0.0,0.0174,0.6226,1.5864,0.5877,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.1571,0.0181,0.0,0.0,0.0113,0.0,651.5118,0.0759,0.0,0.0,0.0,0.0014,0.1477,0.6041,0.0,0.0,0.5897,0.0815,1.0583,0.0,472.2862,0.0,0.0,0.0,74.6711,0.0
ARG_B05_06,13.8937,0.1432,529.7196,17.4046,35.7723,27.0502,2.8197,1.0747,3.1486,8052.8723,136.6624,160.4802,4.0161,21.0289,31.4423,2.3337,1.4895,0.5292,3.5419,5.7074,0.4377,1.3129,2770.4132,18.4247,458.1443,75.5471,45.1331,0.7114,3.049,35.6894,1.5295,49.8823,3.7871,53.7895,7.1038,47.6573,139.7714,38.7512,68.0147,77.2358,26.1022,59.0628,1.1993,12.5796,0.0,559.6372,0.0,0.4329,4658.317,480.2291,0.0
ARG_B07_08,1.0002,0.0005,88.7151,157.4825,0.0,180.1414,6.3752,0.037,15.0347,365.5665,55.8154,103.9521,0.8639,492.5955,299.901,6.1284,0.0982,0.1139,0.7084,3.9129,0.2293,0.7727,0.0014,1.2399,487.2138,0.0066,0.0429,0.0011,0.0,0.0263,0.0,10.0836,0.0012,6.0842,0.0,0.0,40.0265,0.7973,22.9145,14.5784,0.131,0.2884,0.0383,0.9838,0.0,144.0232,0.0,0.0,0.0,129.409,0.0
ARG_B09,0.0,0.0,4177.6435,60.5732,85.0213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0519,0.0,10.8361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.3797,39.2913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0553,0.0,0.0
ARG_C10T12,2487.3364,21.9538,22.3188,11.3291,6.97,7851.8859,64.3485,6.5729,72.0873,39.5433,170.821,195.0345,34.5038,62.1845,60.982,26.2824,11.452,10.194,14.5519,42.6242,2.7564,22.8033,12.3378,45.0057,100.6234,177.9839,32.8136,0.4195,62.8067,18.6042,1.2612,4089.5527,22.5932,122.0859,25.9534,31.021,11.7668,57.7354,46.9284,313.631,133.5146,402.9246,26.7566,71.3206,0.0,37093.3517,0.0,168.6412,85.5075,2897.5179,0.0
ARG_C13T15,171.4077,5.4204,11.878,0.7923,15.6385,211.9961,1267.7511,4.3894,43.4192,11.0491,16.9754,52.8348,231.8468,13.851,9.4093,8.0045,3.1975,3.8222,10.2595,26.1473,1.7463,58.0605,6.9906,24.1243,15.2206,206.2996,26.3031,0.4301,9.0007,51.4194,1.3168,166.1885,7.3143,23.7208,8.1356,15.6853,23.6701,53.1502,42.0161,97.66,53.728,179.0293,4.5892,77.0102,0.0,3539.9891,0.0,8.0946,16.8991,278.2022,0.0
ARG_C16,27.0847,0.5386,1.1569,0.2552,0.2387,92.267,4.1839,296.5851,17.6026,2.1127,9.3469,7.6217,5.7318,13.4331,2.3517,25.4493,2.8499,6.8629,4.7747,7.3415,0.7522,213.0639,0.5878,58.5435,278.6924,617.6368,1.3508,0.0127,0.5272,11.3833,0.0863,36.6219,9.4099,5.9774,0.8213,0.6995,18.7795,1.5645,15.9312,7.349,1.6563,2.2042,0.9458,0.9833,0.0,84.8706,0.0,1.4198,111.7908,76.9727,0.0
ARG_C17_18,15.8724,12.1039,7.4101,35.5612,15.5193,704.0283,23.8465,33.3896,1320.732,4.5966,82.8993,196.9857,16.89,88.2524,7.6849,28.7131,24.6263,19.4294,7.7766,13.848,3.3238,25.8952,6.6078,7.7432,3.9174,447.7035,19.5666,0.7318,17.9091,11.5191,20.6926,61.3272,371.5402,21.9518,97.3788,319.3116,24.7865,300.4151,79.1772,82.7353,113.7187,84.514,13.5443,84.5389,0.0,1604.9624,0.0,2.8305,4.1617,194.7293,0.0
ARG_C19,1078.8333,80.7271,17.1523,68.9146,46.8196,198.0598,20.5894,21.0329,25.5286,850.2554,507.6647,97.9661,91.5292,99.649,87.7646,30.7145,3.6718,14.9839,8.2947,13.8036,3.6587,17.3547,441.9958,96.9198,74.496,800.721,2670.9392,11.2109,575.1348,331.8505,11.8487,8.6818,8.3458,17.4236,12.1647,54.1457,4.5704,79.2059,68.3227,237.7463,9.2697,46.6202,7.9384,11.7733,0.0,5462.5492,0.0,0.3207,0.0047,569.2735,0.0
ARG_C20,1104.902,4.6798,39.4735,42.9281,24.2383,253.3677,109.0824,31.5394,174.3425,190.0243,907.0644,370.481,1007.4444,58.9782,53.2269,65.2039,42.2871,57.6309,22.0586,66.2116,6.4681,49.3107,14.6511,37.0192,101.6404,85.275,54.936,1.2297,11.0832,9.2317,0.3436,42.1644,24.2643,37.6827,10.2808,9.491,69.3565,42.7067,45.8382,28.7549,11.1726,201.8839,5.5872,39.9152,0.0,1480.6457,0.0,3.9595,63.1296,229.3637,0.0
ARG_C21,296.0581,2.1875,16.0901,3.9501,3.4519,381.034,25.4632,9.6297,26.3656,50.3621,66.9985,1393.602,57.37,16.9926,15.6821,15.4804,16.61,10.9171,17.7895,45.1297,2.0654,10.6807,14.6581,6.9585,70.4205,97.2831,22.6408,0.2712,5.6689,7.7685,1.244,44.3165,20.0617,144.7762,33.4759,28.8692,14.8632,62.3719,19.5129,13.5082,17.3929,1349.8403,19.4796,103.9172,0.0,5424.0456,0.0,1443.1404,93.2228,566.785,0.0
ARG_C22,569.6413,3.7175,30.2347,5.0109,68.5587,1053.7247,228.7005,10.0723,175.9222,23.7268,413.8088,280.8709,270.6712,42.1008,9.1232,50.7647,28.7241,66.5908,140.99,329.4729,15.728,100.1711,2.8919,48.3251,175.0727,641.6359,348.1618,0.4509,49.6297,143.1469,0.5105,575.1985,13.2551,43.5934,7.153,18.8292,17.4744,50.3859,32.377,71.2071,12.4844,59.7978,6.833,13.4448,0.0,679.636,0.0,4.8996,148.3353,254.5583,0.0
ARG_C23,37.1675,0.2054,148.1626,4.6306,17.154,381.0218,3.667,6.4938,5.9402,3.5679,54.4148,83.8013,24.3926,637.9953,29.1606,26.167,13.2632,23.4884,17.1579,75.3354,0.5248,8.046,27.2729,50.0548,2831.5462,129.6886,14.9321,1.1553,54.5561,2.8415,0.1308,8.6262,6.1487,10.1807,1.7326,1.3051,220.7303,23.016,184.8452,17.9649,6.7163,51.8215,2.1175,11.3999,0.0,399.8804,0.0,1.2761,128.7593,244.743,0.0
ARG_C24,70.3461,1.8988,116.0303,11.5996,0.9543,221.4829,8.2885,16.4122,76.3328,19.9724,103.3111,28.9418,136.5231,86.6882,3755.0594,1322.5943,61.6388,1158.5488,334.8893,507.039,20.0887,126.9149,4.544,5.5495,443.7998,16.8938,8.5766,0.0793,3.2379,8.1128,2.0982,4.1253,10.651,13.0319,3.1332,1.1351,52.496,7.8582,35.0363,15.1773,3.1291,12.52,2.7773,4.0536,0.0,92.2649,0.0,5.67,43.7738,587.8392,0.0
ARG_C25,84.4446,15.46,535.1065,2.8882,7.3111,363.6365,21.8927,23.5203,14.4381,20.1227,99.0569,94.9253,40.5025,17.5119,79.2458,211.2939,26.2167,110.3796,298.5705,753.3401,25.6104,61.8771,27.5683,12.8493,582.5918,99.7057,105.6654,0.8377,19.8195,70.626,17.3695,20.5519,16.34,85.8294,25.6351,6.5523,81.2393,26.4079,76.4955,18.6643,5.6295,9.1035,17.4926,12.3298,0.0,422.1228,0.0,2.9166,908.6799,211.1271,0.0
ARG_C26,8.334,0.4603,2.2718,1.5887,3.7698,17.7231,2.2778,0.7123,15.5956,5.1622,8.2649,8.7039,3.3383,2.0883,1.7106,6.7497,299.7006,9.2626,11.8295,18.7795,0.5501,3.4486,6.8042,2.1492,50.6547,47.4346,6.8094,0.1476,4.9675,7.2575,0.5053,8.1633,242.7773,198.5096,32.9658,10.4188,5.7505,27.4139,15.4858,15.8812,17.8445,85.8366,7.7409,22.5774,0.0,703.4677,0.0,1.2786,1095.3545,127.9447,0.0
ARG_C27,43.0192,3.1451,19.0553,1.9468,2.1465,156.738,9.7021,6.4031,12.1173,53.2515,18.0891,26.1117,8.5985,19.2309,34.2333,29.4599,152.5184,155.0684,66.7847,105.2174,3.1952,13.2643,53.8507,2.3956,201.7869,171.0713,14.1986,0.133,1.4248,17.246,0.3597,28.5381,88.2204,366.7156,42.6945,3.9103,8.4757,52.6324,29.1592,16.1883,10.0408,5.6247,30.8526,17.6287,0.0,1150.5454,0.0,1.5321,471.8745,125.5944,0.0
ARG_C28,156.8711,9.6989,79.6866,4.0803,18.7748,132.8911,19.6626,6.0503,20.4039,40.1494,43.7528,98.8004,8.4662,22.0933,17.2857,48.6447,21.9647,68.3753,255.2654,674.0729,11.3136,13.2497,48.8971,24.9619,315.3398,80.2497,179.0147,2.0964,2.1769,13.391,0.7207,10.4267,9.7945,29.4241,8.4578,2.8612,17.0689,17.6722,21.9973,15.5907,4.2015,11.378,5.7759,3.489,0.0,219.2927,0.0,2.4334,1878.152,209.4653,0.0
ARG_C29,167.0502,10.3685,32.3989,3.3538,8.4767,175.435,18.4903,7.2776,22.9874,36.2695,29.6242,54.7257,15.5739,17.741,22.6609,30.4666,13.7237,25.9269,107.8853,1164.9608,4.3172,12.3502,40.3355,36.2947,141.5624,230.6616,334.0672,1.2598,11.8438,66.1847,1.7382,28.0261,12.8087,87.6666,11.5932,24.8423,16.532,24.9003,22.2083,35.6673,8.9554,19.7549,11.5061,14.6807,0.0,2317.4755,0.0,23.8951,1649.3216,354.4103,0.0
ARG_C30,13.4091,0.3958,3.6079,0.4064,0.9341,14.6025,1.6992,0.5535,1.7809,2.9313,3.0222,4.854,1.5407,1.2891,1.1162,2.1183,4.1716,2.31,7.9764,24.3843,41.7333,1.061,1.9849,1.165,12.7261,10.1703,14.8104,0.6767,2.5348,17.4052,0.1258,3.0706,4.0541,9.7026,2.4794,0.8983,1.0525,2.2923,1.5963,1.8953,1.054,2.4482,1.5415,0.8179,0.0,259.1519,0.0,1.3421,163.6648,11.6971,0.0
ARG_C31T33,23.7092,1.1446,29.5748,3.8751,2.1821,70.7981,18.9219,5.6907,43.835,5.9794,21.0426,21.8621,13.4477,4.5787,28.3237,16.6203,8.3381,10.328,21.1396,235.9869,1.7904,33.426,11.9111,29.2348,134.5864,89.1958,20.022,0.1849,11.1002,13.8753,1.7758,21.6774,20.428,25.8537,6.1532,15.8146,12.053,27.4183,24.9915,72.4753,51.0482,30.3164,4.6855,50.0086,0.0,1261.6566,0.0,43.2792,454.4331,32.7367,0.0
ARG_D,130.3553,7.4867,252.6473,336.9298,263.4089,1079.3319,119.4876,28.4348,119.9457,135.0147,207.655,172.3085,141.7613,297.7188,353.4167,75.4728,54.4209,25.3742,27.7936,71.1765,7.1103,25.9134,5397.1922,191.723,301.8313,1655.8679,390.5961,1.4053,213.9107,370.9918,8.616,510.1363,46.5499,377.0656,65.3156,199.4732,12.0329,146.921,61.5135,383.4102,266.4162,256.6559,69.6007,112.778,0.0,5838.5881,0.0,0.0,0.0,57.4146,0.0
ARG_E,15.2652,0.0644,4.6442,22.95,0.9606,243.189,9.3966,0.5306,178.1036,12.0212,50.276,175.6037,9.2882,7.7572,281.9898,75.2873,0.6165,17.8032,1.8909,23.2894,0.3544,91.3211,1.3572,231.9715,16.8876,279.0113,38.2019,1.0304,83.039,54.1473,0.2168,103.6382,7.4741,3.7992,2.0511,51.4136,0.0436,149.4134,150.9772,678.8589,178.5109,79.4951,11.9314,49.1469,0.0,1374.3496,0.0,483.2147,0.0,3.3806,0.0
ARG_F,30.5115,0.0005,49.0578,90.5276,0.0,91.6762,9.8511,3.8145,12.1512,49.329,16.1099,42.2181,16.3059,2.8913,19.02,4.3014,4.4961,0.4602,12.3422,18.0948,1.5938,3.672,537.3534,95.6139,2418.9214,344.749,221.3635,3.446,11.1429,183.2717,7.5685,219.5773,14.5264,243.9085,30.8012,53.9424,740.4146,198.8527,357.7694,397.1475,125.8743,306.3847,0.1248,37.9697,0.0,0.0,0.0,0.0,24740.8668,0.0,0.0
ARG_G,5317.1902,127.6379,408.9634,183.5756,152.2089,8708.4528,825.5279,184.7128,607.3502,905.0412,882.981,1288.99,688.6332,404.4404,253.13,266.1573,405.8778,221.1859,347.76,1261.3222,44.8324,206.6848,737.3468,218.6344,1694.5497,3070.09,1489.9407,8.6211,337.7456,339.67,41.4605,2507.7703,647.3017,2980.5576,671.9738,652.1822,270.9932,846.4884,492.4868,546.3609,325.3982,1196.7282,360.1986,590.7792,0.0,26929.5757,0.0,439.6072,2637.1234,2542.3104,0.0
ARG_H49,4244.7561,5.0372,74.9903,66.505,142.9609,1665.7815,87.6973,77.7261,182.3375,548.4849,245.0182,255.7458,165.5076,224.2096,151.0699,110.1244,56.5252,66.723,75.8108,176.6914,10.2169,46.2255,873.9479,24.3597,401.888,686.4054,73.6744,1.2387,27.4397,13.5916,109.624,126.8199,55.0852,23.3404,10.5614,101.5388,149.9947,67.2113,47.185,16.8513,167.3752,76.7047,26.5885,62.8894,0.0,9591.3631,0.0,12.2698,268.0709,182.5978,0.0
ARG_H50,0.4999,0.0002,0.0001,0.0174,0.0233,0.6081,0.1385,0.027,0.1366,0.0062,0.3032,0.251,0.2842,0.0689,0.1695,0.135,0.1894,0.1306,0.1657,0.5191,0.0248,0.0481,0.0,0.0326,0.391,0.1162,0.2585,0.0,0.0385,0.0003,0.0,0.1315,0.1047,0.0676,0.0012,0.0432,0.0055,0.0459,0.0474,0.0482,0.026,0.1877,0.0,0.0003,0.0,0.0,0.0,3.7269,1.4706,90.2085,0.0
ARG_H51,44.9283,9.496,19.5938,4.7662,12.7463,86.5845,16.5647,3.8541,18.5472,33.7008,34.2217,77.9004,34.7095,11.8133,18.7822,20.8376,27.3114,15.959,21.5313,50.2622,3.248,7.8127,21.1868,3.8437,35.2434,39.2827,22.544,0.1666,80.2338,8.3793,5.3626,15.0351,29.4791,26.4274,33.0022,16.4957,23.9179,76.8172,33.1384,98.1796,23.0051,17.0789,14.2433,14.1969,0.0,2126.5419,0.0,6.8107,123.0532,200.4078,0.0
