V1,ESP_A01_02,ESP_A03,ESP_B05_06,ESP_B07_08,ESP_B09,ESP_C10T12,ESP_C13T15,ESP_C16,ESP_C17_18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31T33,ESP_D,ESP_E,ESP_F,ESP_G,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58T60,ESP_J61,ESP_J62_63,ESP_K,ESP_L,ESP_M,ESP_N,ESP_O,ESP_P,ESP_Q,ESP_R,ESP_S,ESP_T,ESP_HFCE,ESP_NPISH,ESP_GGFC,ESP_GFCF,ESP_INVNT,ESP_DPABR
ESP_A01_02,2171.9763,12.8383,0.4382,4.3212,0.2424,24478.0788,412.1925,415.2867,134.555,22.5564,572.8397,287.814,228.0624,22.3947,34.9437,46.5786,8.077,20.8172,27.3021,75.6331,22.1915,52.196,39.3431,33.5814,116.6522,620.5584,27.3984,6.3262,9.7406,37.7589,2.5093,692.9896,46.548,37.3182,18.5241,28.1008,31.0952,125.9698,178.1031,269.3998,226.1359,212.3017,359.8643,22.7682,0.0,11086.3849,74.318,431.1683,2601.2244,676.4523,0.0
ESP_A03,0.4008,5.7305,0.1806,0.2639,0.0739,28.6867,0.6417,0.3124,1.001,0.5805,1.906,1.5339,0.8843,1.1027,0.9981,1.6364,0.2149,0.6813,0.7548,1.8864,0.2605,1.9238,1.7569,3.2849,7.0237,16.3238,6.3305,1.2262,8.9124,3.0251,0.2178,6.3612,2.1666,3.2667,2.3874,1.0888,2.0201,3.3413,13.386,9.8018,6.0824,15.0644,2.5387,1.7654,0.0,2280.4504,0.0142,0.6542,17.6847,46.5735,0.0
ESP_B05_06,3.2986,1.4423,0.3086,1.4917,0.228,3.5704,0.2776,0.7754,1.0498,368.042,6.5621,0.2857,1.0712,9.4595,22.3702,1.4855,0.0786,1.3257,0.5534,1.7086,0.0999,0.9414,176.4941,5.4102,13.802,11.4429,42.5271,2.9203,17.0272,3.2465,0.4157,1.7198,0.4847,0.2656,0.6119,2.0458,1.4673,1.9161,1.9082,5.9888,3.6559,1.717,1.1537,0.7401,0.0,151.4441,0.0026,1.25,30.8294,9.4925,0.0
ESP_B07_08,2.7534,3.834,0.6159,55.761,3.0319,133.2949,2.6397,1.3202,61.9939,0.5804,118.7161,9.2531,1.4559,759.9405,495.0062,46.3084,1.3103,69.5194,9.5378,32.7856,0.6111,13.3963,1.4259,52.0165,1048.1609,39.8904,1.063,0.0399,0.2791,2.597,0.0164,16.3467,0.6449,9.8243,9.1134,0.495,1.0121,6.2269,1.9147,32.3855,0.7291,3.2157,5.9453,1.5458,0.0,52.4875,0.0146,2.8085,48.4525,50.1572,0.0
ESP_B09,0.202,0.0821,1.0159,4.496,0.9006,0.2024,0.0064,0.0042,0.2354,16.1902,1.2433,0.0305,0.073,2.1141,3.6125,0.3477,0.0005,0.0094,0.0374,0.0063,0.0079,0.0281,2.1931,0.3491,9.7793,0.0918,0.52,0.0063,0.0761,0.3672,0.0021,0.0424,0.0051,0.0,0.0003,0.0042,0.3741,0.3592,0.1842,0.1798,0.024,0.0378,0.0369,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP_C10T12,6791.6524,170.3274,7.4601,43.4636,1.0856,23090.9737,97.9401,23.7173,133.0746,82.0217,441.3878,79.1456,102.4268,82.1094,82.7901,94.1225,14.3153,57.3168,69.8563,195.9596,77.4296,109.8749,336.8125,180.1008,420.5625,2801.3019,181.5008,6.2767,61.6864,215.8616,7.6315,18643.7389,65.3118,185.6963,381.6598,195.8856,238.2044,665.906,638.8419,810.6178,611.5341,1431.7022,184.8192,72.4283,0.0,49612.2254,28.4034,72.3845,513.5218,1689.9761,0.0
ESP_C13T15,12.6703,11.1402,1.2782,1.3905,0.3659,91.3184,2427.3231,8.7447,103.4913,2.173,97.6164,30.812,172.6784,27.2135,30.1155,55.7387,5.3037,24.1095,19.3544,377.9235,4.7467,212.4811,18.4616,38.6959,187.9194,227.2538,21.3601,0.9764,18.9939,44.3973,2.7859,250.0816,38.8724,4.8268,5.8147,10.2236,95.5669,206.4531,108.2251,109.6243,46.8353,145.5805,42.6483,76.0799,0.0,9875.2437,0.1687,22.6129,245.4386,348.4516,0.0
ESP_C16,36.4141,2.7045,1.4165,25.1914,0.239,289.7441,16.5995,1478.074,112.5725,2.6812,57.513,10.9057,81.0451,119.7314,26.5513,174.0028,5.075,68.7733,104.704,75.9685,5.4196,618.5544,26.066,15.3135,1289.6563,175.4984,101.5681,0.7414,3.1084,66.8785,0.5628,134.9961,8.3111,22.5869,16.4002,13.0046,71.2839,52.7356,130.1204,39.1227,53.4334,106.4143,17.6845,30.9179,0.0,562.4254,3.9112,5.3862,97.7699,84.7454,0.0
ESP_C17_18,22.4855,0.5439,1.1579,15.4784,0.4486,2141.7704,134.6244,187.9168,4474.4883,6.9643,374.7195,273.2704,218.308,188.7347,52.2465,288.2679,19.243,165.833,187.4394,164.9406,13.8511,373.7303,237.197,184.1285,72.8975,1047.9382,18.4397,1.6282,11.2875,41.2892,2.6787,295.4673,355.5346,102.532,237.991,450.0523,126.0128,712.2279,327.7098,246.5386,299.2419,189.0113,122.8334,122.1149,0.0,2955.617,7.9217,21.6112,138.9049,234.4467,0.0
ESP_C19,306.1995,122.3273,12.7584,104.3813,13.122,292.0796,27.8586,70.5141,97.4506,1708.1241,661.0515,48.055,126.939,790.8345,341.2177,135.9865,4.8968,119.0972,51.0297,113.2727,8.1343,82.6422,1738.0905,468.1108,762.4056,978.466,3626.3525,247.8782,1442.2111,325.9855,35.3347,132.0281,30.9919,19.1151,42.4794,171.8933,46.0041,178.7824,130.567,467.1799,291.3996,166.2381,78.1889,64.4546,0.0,12847.1563,0.0908,25.6668,124.9206,525.0778,0.0
