V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T,BRN_HFCE,BRN_NPISH,BRN_GGFC,BRN_GFCF,BRN_INVNT,BRN_DPABR
BRN_C30,0.0154,0.0,0.9972,1.449,0.2919,0.0194,0.1114,0.0055,0.0078,0.0287,0.0002,0.0,0.0086,0.0001,0.0,0.0071,0.043,0.0,0.0192,0,0.0672,0.0075,0.0798,0.0134,1.6399,1.1005,0.0015,0.0006,0.0276,0.0883,0.0,0.034,0.0083,0.278,0.0188,0.1077,0.0114,0.0646,0.0376,0.8637,0.0664,0.0981,0.0053,0.0126,0.0,1.4989,0.0,0.0,22.109,-0.0977,0.0
BRN_C31T33,0.0051,0.0001,0.347,0.3301,0.0671,0.0055,0.0239,0.0017,0.0011,0.0106,0.0108,0.0,0.0012,0.0,0.0,0.0016,0.0001,0.0011,0.0053,0,0.0029,0.0035,0.1089,0.0055,0.6843,0.2938,0.0009,0.0005,0.0076,0.0006,0.0004,0.0162,0.0015,0.0584,0.0041,0.0281,0.0125,0.034,0.0276,0.2005,0.0649,0.0359,0.0033,0.0129,0.0,0.4555,0.0,0.0007,10.5603,-0.1948,0.0
BRN_D,0.6113,0.0007,14.2912,8.8391,0.6406,0.713,2.8678,0.0271,0.0371,52.5204,0.5116,0.0027,0.226,0.0035,0.0,0.036,0.0,0.0327,0.1579,0,0.1772,0.1151,0.771,0.55,2.5439,14.9276,0.3737,0.0055,0.2718,0.0012,0.0004,2.4022,0.4235,2.2639,0.6934,2.2547,1.5106,1.8236,1.3363,25.6103,3.1628,2.3745,0.3087,0.206,0.0,84.8556,0.0,0.0011,0.0,0.0,0.0
BRN_E,0.0895,0.0,2.2659,1.0904,0.0994,0.0513,0.1666,0.0053,0.0072,0.6916,0.0132,0.0001,0.0117,0.0002,0.0,0.0084,0.0,0.0035,0.0212,0,0.0185,0.009,0.2215,0.1896,1.2342,1.1715,0.0518,0.0017,0.0576,0.0002,0.0148,0.1543,0.0203,0.2214,0.0977,0.2982,0.1094,0.2933,0.1753,14.0725,0.6133,0.1238,0.0184,0.0255,0.0,14.3833,0.0,0.0002,19.7438,0.0,0.0
BRN_F,0.4836,0.0038,11.3579,5.9218,1.135,0.3488,0.3283,0.0185,0.0354,2.5673,0.0573,0.0002,1.0431,0.0162,0.0,0.1528,0.1768,0.03,0.1575,0,0.269,0.1216,0.3959,0.4164,17.7031,6.544,0.1213,0.3325,0.3988,0.0954,0.0117,0.7934,0.0868,3.6391,0.7627,4.0433,3.2964,2.633,1.2519,12.5016,2.9451,2.4641,0.0616,0.1079,0.0,13.0358,0.0,0.0528,1374.5353,0.5813,0.0
BRN_G,5.457,0.1679,98.5423,81.2599,7.83,2.7475,3.191,0.1337,0.1328,43.5897,2.9429,0.0017,0.7832,0.0946,0.0412,0.4591,0.5114,0.1003,0.8392,0,1.2394,0.5896,22.8079,1.5548,84.014,28.2294,3.0029,1.1947,7.2265,2.2704,0.5685,9.8797,0.3365,4.1044,1.5338,4.7806,2.7026,7.6924,4.758,55.8604,14.9321,8.727,0.3491,2.3278,0.0,83.6341,0.0002,3.6506,379.4825,9.1518,0.0
BRN_H49,0.0336,0.0116,0.0314,0.0251,0.022,0.029,0.0266,0.0092,0.0143,0.6046,0.0418,0.0,0.01,0.0006,0.0008,0.0082,0.028,0.0083,0.0093,0,0.0165,0.0161,0.0102,0.0343,0.016,0.0347,0.0025,0.0093,0.0329,0.1332,0.0421,0.0864,0.0097,0.0101,0.0088,0.1481,0.0211,0.0433,0.0417,0.016,0.0119,0.0365,0.018,0.013,0.0,0.1115,0.0,0.5115,7.6093,20.1687,0.0
BRN_H50,3.1301,0.0034,45.5081,18.6572,3.0024,1.5406,1.7344,0.0754,0.0519,9.6978,0.0937,0.0005,0.4505,0.0077,0.0005,0.5993,0.0084,0.0892,0.4112,0,0.9829,0.2751,1.8725,0.4294,21.822,11.4375,0.3031,0.9882,1.0384,0.049,0.0124,3.5485,0.19,3.1507,1.1786,1.3971,0.3855,3.8094,3.928,27.1766,4.9893,2.7433,0.1892,0.1588,0.0,16.7455,0.0,0.1431,4.1739,5.4245,0.0
BRN_H51,1.533,0.0031,35.3341,9.8638,2.5017,1.0462,2.35,0.0385,0.0269,3.1245,0.0487,0.0002,0.1447,0.0062,0.002,0.3108,0.0093,0.0454,0.2169,0,0.5642,0.1645,0.5242,0.3625,9.3209,28.5865,0.5323,0.0601,0.7703,0.0412,0.0099,1.4323,0.5224,2.6237,4.5527,2.4262,0.3345,11.7932,12.3561,37.0575,1.8506,0.8766,0.3199,0.3416,0.0,21.9654,0.0,0.0859,7.439,2.1364,0.0
BRN_H52,0.2323,0.0002,3.4332,1.6506,0.1909,0.1046,0.1135,0.006,0.004,0.7053,0.0071,0.0,0.0345,0.001,0.0002,0.0448,0.0006,0.0065,0.0308,0,0.0749,0.0199,0.1574,0.0603,1.7698,2.2011,0.0274,0.0148,0.1391,0.1119,0.0005,0.271,0.029,0.3147,0.1705,0.1448,0.0386,0.3663,3.2146,1.9985,0.4361,0.2355,0.0124,0.0157,0.0,2.3208,0.0,0.0017,2.8909,0.0783,0.0
