V1,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T,MEX_HFCE,MEX_NPISH,MEX_GGFC,MEX_GFCF,MEX_INVNT,MEX_DPABR
MEX_H50,3.8197,0.0458,1.6052,0.8121,0.5917,12.6063,2.4751,0.3612,2.5957,5.9192,5.5661,1.6779,3.3388,1.9358,5.1766,3.3073,16.1789,3.6225,2.9542,27.4589,1.4003,2.7142,2.4731,0.2744,8.6061,2.8313,7.1329,0.047,1.3293,0.7169,0.1797,1.5546,0.2869,0.9131,0.1039,0.2047,0.588,0.655,1.1205,1.4171,0.4319,1.9038,0.1878,0.3696,0.0,0.0002,0.0997,3.4735,2.2573,1457.8219,0.0
MEX_H51,36.7128,3.3188,117.1378,14.9446,8.7212,134.4417,33.8985,3.7267,32.0185,65.5794,67.1094,38.5774,52.9402,24.3781,53.8293,43.7011,265.0677,47.5919,43.1979,323.3108,25.4546,33.7341,29.455,3.1493,129.7888,107.6071,103.4205,1.1477,28.7136,11.2012,2.8655,16.8838,33.8006,12.8484,2.5364,88.9728,22.4814,68.9893,83.2423,198.146,20.6387,24.8945,4.2247,4.7099,0.0,9104.4892,11.1099,2.5354,254.8527,1239.7762,0.0
MEX_H52,59.9008,9.3467,26.2818,10.2928,7.4708,608.9356,42.1763,8.7322,67.2605,73.4964,116.2431,165.2195,85.8203,114.2767,105.9917,87.7732,81.7043,95.253,93.2336,583.1159,26.5193,144.7483,37.5708,4.1227,130.7688,1702.3122,1456.015,539.8914,2580.9086,313.1059,69.3807,47.446,22.698,4.1921,17.1595,178.1054,10.3517,51.8856,87.4358,100.2881,50.9465,23.0048,3.8538,5.9309,0.0,4188.6274,25.016,2.6349,417.8981,103.401,0.0
MEX_H53,0.3179,0.0765,6.6485,12.6365,0.1116,72.1609,10.3092,3.8207,7.053,2.2886,20.4188,18.0835,8.2873,14.5211,23.6013,27.9228,13.7838,10.7563,41.9075,133.5015,5.5323,9.3447,0.5605,2.3788,22.7791,167.5536,32.5808,0.1833,1.6939,23.4206,55.069,27.5375,15.0606,239.0004,1.6118,323.8587,280.1696,96.7526,75.1151,87.5634,51.5334,29.083,8.5838,14.1531,0.0,1097.101,5.106,0.0026,0.5722,-0.0133,0.0
MEX_I,4.417,5.5887,77.2607,17.3859,10.4884,85.1276,17.0375,29.5185,19.8653,5.7203,43.1077,45.4117,43.4435,16.1128,65.9612,102.158,119.7497,35.4287,96.7335,223.4854,10.1735,49.7686,2.1855,17.961,301.1426,377.5353,651.1353,69.5823,242.3316,278.5351,63.7799,35.7328,99.4764,174.6871,30.1383,158.2643,71.0952,230.2157,313.0452,905.3271,139.3595,173.5071,35.7441,56.1931,0.0,29869.1957,191.7205,3.1114,304.0372,-0.0195,0.0
MEX_J58T60,18.0585,0.0238,23.9443,0.6512,1.4,278.6086,6.8775,0.4405,13.6792,0.178,23.4237,74.3932,2.0489,6.8478,23.6464,14.9167,11.5493,6.6223,64.1382,99.8155,0.1472,9.8152,1.4233,6.0461,85.6897,501.0964,19.8495,1.0821,15.713,24.5107,5.1091,59.968,434.0668,5.969,3.517,90.758,184.4291,151.2655,67.1289,804.0497,106.2122,83.0946,18.7186,6.7493,0.0,5339.5084,209.8588,24.4979,325.0206,12.996,0.0
MEX_J61,14.7923,2.8376,43.2009,20.6857,21.9877,340.638,68.324,14.0699,41.2876,11.5578,51.532,35.784,39.8926,53.2696,143.5911,123.1917,489.772,86.1865,116.0199,598.2235,44.5877,108.9433,30.7103,13.0725,1113.2211,820.3281,290.8115,11.4499,233.0553,99.824,17.5716,112.8197,88.5483,582.4438,31.3284,578.5767,487.835,376.3667,352.2008,1080.1822,226.4648,240.8062,33.1441,97.6326,0.0,13720.7847,28.7395,2.2978,453.279,-0.0733,0.0
MEX_J62_63,0.0686,0.0121,28.599,14.312,0.1064,31.8376,2.9091,0.9091,3.2653,0.3561,6.2042,0.2603,2.0831,3.4976,18.6485,7.0128,16.5437,5.1693,23.2731,71.2038,1.4369,4.6109,0.8159,6.6663,24.0267,66.9397,32.0418,0.1763,7.0922,6.1935,1.1539,18.695,13.5729,61.5513,15.1687,320.0443,38.1202,19.7274,6.4425,183.3422,42.6738,58.2839,7.7754,6.5497,0.0,47.8524,16.7979,9.4353,1682.5893,0.0052,0.0
MEX_K,357.6577,20.995,80.6727,158.2356,57.7906,743.6933,213.55,11.8798,110.8299,114.5097,276.1948,99.2129,146.3064,110.5403,235.0242,304.6902,640.5149,139.8191,209.0152,1040.2957,84.4209,110.4074,187.8291,60.1543,1630.5753,2852.5412,445.9002,19.0382,118.9979,88.5452,11.0418,381.4862,57.3265,511.2137,76.5716,5333.4808,2641.5095,1457.767,392.4915,1694.0405,163.1312,257.6521,139.0855,30.1151,0.0,49689.6035,437.9415,340.3925,410.8775,13.0285,0.0
MEX_L,2.6804,2.0521,160.505,17.1072,21.0143,702.4303,181.0061,14.062,113.0847,5.3205,81.7495,75.6991,139.4813,120.8364,118.8364,184.4367,278.2784,131.1505,130.3309,512.3002,26.8677,553.6031,13.3135,10.9129,491.6411,3404.3712,506.0794,63.8904,140.2119,618.8206,44.8066,347.5223,572.1825,945.8161,173.5775,1720.968,2869.8094,1014.5227,765.6486,1424.0627,324.7149,581.1034,218.5568,643.8836,0.0,109951.5407,631.9635,7.1038,0.0,-0.3953,0.0
MEX_M,25.7635,16.5978,1857.4128,293.9137,298.4095,1505.6822,115.6284,24.9386,138.9884,508.5924,561.0803,140.5597,140.0864,190.1492,435.7676,207.4218,512.9669,215.35,382.7441,1407.9712,32.9757,153.1875,179.6791,49.1196,1451.5614,5854.8103,555.9049,28.0068,158.1723,248.0663,60.9395,685.9387,563.46,549.1041,88.6421,5911.5503,1251.8143,778.6302,1628.9565,3525.9236,431.2878,715.3745,197.0473,143.8029,0.0,3611.3221,239.4657,1577.9291,217.8597,-0.6709,0.0
MEX_N,56.3167,56.3533,378.6415,747.6841,364.5454,3199.2411,610.4184,43.8573,491.4467,149.5505,850.3839,1002.0156,1121.6882,1015.8555,619.3869,884.3838,1200.6848,835.971,474.7174,4541.4975,276.401,346.2606,195.712,95.9259,1526.0435,9424.6009,1917.8772,409.5489,1098.8419,1154.3317,295.2103,1795.5233,1232.1627,629.2408,481.544,6702.3633,574.1997,1662.5892,1618.3288,1641.7531,687.2442,1114.3247,820.4738,216.134,0.0,3221.6443,232.1947,17.3464,707.9782,0.0046,0.0
MEX_O,0.0,0.0051,0.0003,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2988,0.0166,0.0,4.1139,74.7886,0.0032,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,20.7566,0.0064,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,320.7584,568.8298,69138.691,0.0,0.0,0.0
MEX_P,0.1095,0.0084,0.3647,0.1747,0.1999,3.4702,0.2165,0.0149,0.0923,0.262,0.2435,0.1125,3.2746,0.5127,0.4446,0.2413,0.2075,6.4482,3.8201,9.5896,0.5664,0.1978,6.026,0.0749,3.3614,5.968,32.8083,0.0449,1.0066,0.1617,0.155,0.4289,0.2412,0.1776,0.0603,16.1978,0.7561,5.8327,0.7204,179.7728,68.7794,9.5469,1.1672,0.5745,0.0,10310.3162,3128.7886,38835.5613,48.2378,0.0648,0.0
MEX_Q,0.0144,0.0098,0.6778,0.3837,0.442,0.6902,0.0656,0.0481,0.1014,0.0565,0.1686,0.1276,0.1065,0.0706,0.2182,0.1638,0.2265,0.0784,0.1881,0.7538,0.029,7.098,0.2467,0.2238,10.3219,1.1151,0.9372,0.1061,0.2506,0.2136,0.0542,0.5215,0.1273,0.0325,0.0377,0.6166,1.3228,0.3777,0.5392,1.3194,0.4654,227.4575,0.1294,0.1956,0.0,11152.9065,2621.7796,29814.8516,168.0007,-0.0002,0.0
MEX_R,0.7703,0.0397,1.3404,1.7808,8.4268,7.557,0.8922,0.1087,1.1119,0.0824,1.8408,0.8455,1.1212,1.1953,0.7857,1.565,2.3469,1.0832,2.7737,7.8422,0.2483,0.9999,0.2231,0.2986,15.3995,23.8173,3.8978,0.6815,9.4785,1.4305,1.5284,90.9257,80.488,1.7545,1.086,5.2888,1.866,3.9613,2.9105,59.4577,13.9594,4.108,71.2217,18.2319,0.0,4411.2192,1757.3449,438.9551,54.5571,0.0566,0.0
MEX_S,0.2801,0.0038,0.51,0.8253,1.5623,25.6681,2.0182,0.9175,8.225,0.1777,18.2065,1.0381,7.9773,10.7154,2.0983,12.4884,5.0913,11.5661,3.9329,3.983,0.5064,2.3917,7.248,0.4706,17.0362,21.2056,11.6791,0.0236,5.5229,7.3313,1.2944,21.5122,4.5922,9.2518,7.071,39.2038,23.8148,17.51,70.9197,191.5519,23.2457,132.9316,10.2398,15.6503,0.0,9400.0789,3696.1912,16.4168,58.1272,0.0029,0.0
MEX_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5661.6316,0.0,0.0,0.0,0.0,0.0
