V1,CZE_A01_02,CZE_A03,CZE_B05_06,CZE_B07_08,CZE_B09,CZE_C10T12,CZE_C13T15,CZE_C16,CZE_C17_18,CZE_C19,CZE_C20,CZE_C21,CZE_C22,CZE_C23,CZE_C24,CZE_C25,CZE_C26,CZE_C27,CZE_C28,CZE_C29,CZE_C30,CZE_C31T33,CZE_D,CZE_E,CZE_F,CZE_G,CZE_H49,CZE_H50,CZE_H51,CZE_H52,CZE_H53,CZE_I,CZE_J58T60,CZE_J61,CZE_J62_63,CZE_K,CZE_L,CZE_M,CZE_N,CZE_O,CZE_P,CZE_Q,CZE_R,CZE_S,CZE_T,CZE_HFCE,CZE_NPISH,CZE_GGFC,CZE_GFCF,CZE_INVNT,CZE_DPABR
CZE_A01_02,1441.5075,1.4663,3.886,6.4135,2.9629,3595.359,126.36,671.524,95.8828,6.7327,36.491,27.285,17.7689,2.9638,12.3292,4.1935,5.7364,2.5689,6.0091,29.0802,3.0928,24.314,169.975,12.3946,18.7026,392.8992,13.1955,0.102,0.8743,3.4479,0.2173,363.8922,4.2553,1.157,1.2831,4.9716,21.6813,34.0595,53.5841,5.8385,2.2748,21.6965,41.8065,6.7288,0.0,2654.1479,7.0811,22.6031,144.5715,83.3987,0.0
CZE_A03,1.691,0.1017,0.0057,0.0064,0.0005,6.9394,0.1801,0.0265,0.0233,0.0093,0.0896,0.041,0.0556,0.0188,0.019,0.0287,0.0385,0.1046,0.05,0.1184,0.007,0.0535,0.2423,0.057,0.0753,0.6453,0.1011,0.0004,0.0069,0.0749,0.0029,0.5226,0.0344,0.0075,0.0626,0.035,0.0911,0.1632,0.1347,0.0696,0.0575,0.1125,0.1228,0.4163,0.0,17.0421,0.0412,0.183,0.4431,-0.0479,0.0
CZE_B05_06,8.1155,0.0612,5.4951,1.9556,1.699,8.8394,2.4733,1.2493,6.5416,20.9401,71.6366,1.0223,4.5242,19.2565,227.5479,4.4587,4.515,3.0693,8.4944,9.875,0.392,2.3809,573.0184,3.72,9.1388,15.0892,8.127,0.0215,0.5506,5.7984,0.3323,2.475,1.1286,0.6273,1.6707,2.526,17.3379,13.8772,5.5027,15.5605,7.2813,6.6408,2.6869,1.7365,0.0,254.5211,0.0757,2.5294,4.8466,9.5819,0.0
CZE_B07_08,8.8178,0.2387,0.8441,35.8869,0.0946,5.9734,0.8316,0.6597,1.3191,0.1419,34.8397,0.388,3.4498,124.8199,122.258,4.3462,3.0412,4.6634,5.8758,5.2145,0.9134,3.3354,8.3305,17.1919,241.8465,10.8045,5.9322,0.0424,0.1788,7.9739,0.1407,0.8583,0.3494,0.119,0.2221,0.4578,7.3439,6.7242,7.5499,2.6305,0.6665,1.6278,1.1267,0.9276,0.0,42.6592,0.064,2.0533,27.9616,5.5603,0.0
CZE_B09,27.8504,0.2597,11.6527,0.1695,17.7362,0.834,0.1247,0.2791,0.331,0.2358,5.5008,0.3817,1.3809,1.4466,22.1125,0.8937,0.7843,0.3562,0.897,3.4034,0.0763,0.5509,25.2419,0.1528,2.9868,3.351,7.8071,0.0046,0.096,2.881,0.0957,0.4698,0.1329,0.059,0.3456,0.5517,1.705,25.5024,3.61,0.4061,0.3511,0.8573,0.1741,0.1793,0.0,2.9919,0.0106,0.7657,0.9409,0.3062,0.0
CZE_C10T12,772.1012,2.7346,1.9458,1.6506,0.1705,1238.5249,12.8063,7.5686,11.6865,1.006,77.8079,10.1458,65.586,13.7741,15.6599,29.8553,26.9495,17.4857,29.4986,80.9469,2.8735,16.3497,27.0883,11.3199,27.1206,235.8867,21.0885,0.2851,4.525,11.0073,0.9952,611.0351,8.0422,2.3226,8.752,13.385,52.9107,50.0186,56.0308,48.0465,43.4287,84.2216,16.5454,16.5145,0.0,8118.2023,4.6495,13.7893,62.8413,101.5457,0.0
CZE_C13T15,28.2811,0.1402,3.732,0.7982,0.1132,10.4209,269.1166,2.0496,11.6129,0.1847,17.4095,37.5837,77.4707,4.7971,5.3165,19.0072,9.9003,14.9154,27.8899,396.469,5.1465,45.6264,19.3398,10.8755,20.9154,76.7581,13.7872,0.0628,0.4273,2.5978,1.4159,11.3898,17.1005,0.6867,2.2059,2.1484,19.4861,16.12,38.2002,10.3987,3.7212,57.2269,14.8351,9.3104,0.0,750.6626,0.4571,13.5167,22.4685,21.3425,0.0
CZE_C16,53.4132,0.062,4.7496,2.0497,0.0895,14.4564,1.4123,561.0544,137.514,0.156,11.9949,0.9016,34.0798,37.3608,121.8262,33.6276,13.5873,8.856,23.9882,300.9808,4.4889,275.8813,35.1892,13.2621,158.542,62.5139,6.3383,0.0272,0.5613,10.2469,1.2589,18.3047,12.3679,1.2126,7.4613,3.9127,386.1229,36.7783,20.253,2.9681,6.3406,10.0756,3.8823,11.6119,0.0,181.2114,0.1357,3.2156,22.8348,23.6375,0.0
CZE_C17_18,10.238,0.1102,0.6137,1.2342,0.1078,106.9531,14.6311,28.4513,935.2325,0.1633,49.344,26.0544,44.8336,29.6758,14.4945,21.7708,29.0887,28.7622,29.1976,81.1924,1.2027,44.4333,21.9272,7.4166,26.3024,156.7556,9.3367,0.3517,1.085,15.8622,2.5355,37.0224,363.4347,1.7018,6.4776,85.8417,55.5117,498.282,122.1656,30.6146,50.6529,32.3718,25.1518,38.2989,0.0,248.8136,0.5006,11.5708,11.8504,29.307,0.0
CZE_C19,17.0622,0.0224,0.412,0.438,0.1422,3.1095,0.9074,2.1082,0.8641,0.8332,23.6097,0.2065,4.8719,3.3632,3.8535,3.8943,0.7999,1.5438,3.2337,11.1503,0.2897,3.1256,3.9722,5.5622,23.1586,34.8498,68.1,0.2468,9.4339,5.6065,0.9903,1.1648,0.4557,0.4469,0.8118,1.749,8.488,3.7709,6.5728,5.0685,0.6573,1.7557,0.8434,0.8801,0.0,31.9634,0.0007,1.2324,0.4847,1.1244,0.0
CZE_C20,399.1149,0.9414,14.9279,17.9867,2.7687,106.4602,86.0226,87.2079,87.3244,19.4372,1230.6077,42.3108,1084.4403,130.2795,96.886,121.1976,96.1949,162.5397,127.6728,405.1487,10.9444,137.8959,106.8091,93.5951,370.3825,537.0868,955.7248,3.4925,131.7746,94.7303,14.2084,20.0965,9.4654,6.8821,13.4441,27.1768,169.1703,85.5124,114.5387,79.9569,15.3709,61.737,14.9971,23.0526,0.0,1014.3155,0.1005,29.6221,46.0909,50.9861,0.0
CZE_C21,13.1156,0.0462,0.4288,0.288,0.0248,13.1864,3.4063,1.481,5.2451,0.2512,12.8656,83.1272,17.8212,2.6325,2.5381,5.7686,5.2561,4.0286,5.5129,44.2264,0.9315,3.276,2.8334,3.8659,6.3284,60.2363,2.6492,0.0178,0.3569,0.7135,0.1059,3.3905,1.5682,0.3288,1.1148,1.9148,6.8207,39.6336,5.8533,4.8212,0.8603,500.7205,4.2128,8.9943,0.0,377.6864,0.0573,423.5265,46.9599,14.7138,0.0
CZE_C22,29.0233,0.1682,10.3967,9.676,1.0068,74.1178,15.7198,13.7118,24.2413,0.2946,22.2691,9.7948,851.936,36.7402,22.0304,306.0814,220.3903,142.9632,133.4975,2342.7797,69.5744,107.9068,11.5758,14.5672,212.6709,106.1286,31.5096,0.0378,0.7191,5.0276,0.3913,8.1177,2.2067,0.9418,4.287,3.2514,188.8211,37.3075,20.92,4.1955,2.0406,11.2328,3.3889,4.1441,0.0,239.8953,0.1929,7.4903,129.0566,49.0797,0.0
CZE_C23,17.7599,0.2362,3.3279,9.6246,1.2124,60.4735,47.163,30.4701,6.3851,1.3712,44.9384,8.9259,28.4667,853.6912,45.3159,62.1004,155.6169,33.8587,46.2331,146.3577,5.4436,47.4894,13.2178,15.8858,1265.4894,39.7736,8.2136,0.1538,0.7333,10.7922,0.4027,8.9551,3.8859,1.014,5.5488,4.0653,464.7349,36.406,16.8124,4.6997,3.8183,7.2041,3.6097,3.411,0.0,269.0753,0.1396,5.2789,86.8122,38.9416,0.0
CZE_C24,8.997,4.0487,1.7125,1.6167,0.2211,3.5541,0.4487,2.9588,1.6237,0.1697,6.3952,0.0102,24.7975,19.7265,792.5544,984.1645,100.6184,608.7545,989.2584,1001.0556,65.6232,128.6716,33.4901,119.3255,238.1426,30.2474,0.3564,0.4283,0.0745,0.6432,0.032,0.5031,0.7922,0.0138,0.681,0.0615,13.8331,12.3185,3.6817,0.1743,1.3437,0.0464,0.4013,0.7523,0.0,3.2949,0.0,0.0,40.4003,36.721,0.0
CZE_C25,28.5048,0.2157,45.8496,11.4844,0.89,57.4582,26.9752,80.8971,49.3147,1.3686,103.5554,16.7141,141.0718,82.2427,489.9645,2874.7446,211.1354,358.8497,1614.4144,1517.7948,42.6553,342.2733,22.8982,24.7204,531.2196,150.9988,39.7946,0.1155,1.9996,21.0817,1.4051,5.9201,3.7651,1.5667,2.5594,3.2396,190.321,101.7163,29.6257,33.19,3.747,19.4819,6.8637,8.0865,0.0,378.6109,0.7465,12.1597,802.099,89.7113,0.0
CZE_C26,13.377,0.153,7.8406,2.0552,0.1584,6.124,2.2383,4.4708,4.5324,0.4949,14.4869,1.7442,24.1656,8.6516,5.5671,19.1365,379.5473,229.9772,87.6856,263.6878,148.7155,50.2702,92.0892,20.323,344.1345,69.2889,41.2462,0.1249,0.8246,26.3334,12.1887,99.6763,5.487,209.8394,35.2005,68.2577,17.6355,118.7851,17.7467,52.5252,51.2146,43.77,8.3676,14.091,0.0,599.2239,1.8497,36.8924,1348.4404,84.8879,0.0
CZE_C27,26.5318,0.2195,10.8016,2.5586,0.6013,18.721,5.8714,5.8568,9.1705,0.8071,20.3019,5.1785,68.5417,13.8836,21.4899,87.802,157.1839,822.6646,234.7531,1578.0419,40.7338,213.8983,154.6366,14.2278,473.8804,158.314,32.4205,0.1766,4.9762,15.8514,3.5276,17.1834,2.7075,10.0239,19.665,12.4067,206.4871,48.3072,43.4064,45.0762,7.4607,17.8293,9.6172,5.1809,0.0,579.6472,0.2516,17.7428,816.9251,57.4953,0.0
CZE_C28,109.7684,2.8822,54.205,4.775,2.3619,32.4675,10.8423,15.0656,19.7924,4.1256,85.0499,5.7221,49.4924,125.35,35.3559,159.4222,34.7041,93.6681,269.3697,429.4832,53.3937,154.7497,128.0986,35.5545,345.7522,175.3874,24.6548,0.2225,6.4812,18.207,1.2624,10.5753,5.4719,3.5596,6.6059,4.6443,120.3553,52.8021,34.6353,16.0531,7.1215,18.2484,23.6278,25.5049,0.0,142.1892,0.2993,20.5383,3113.4179,56.0131,0.0
CZE_C29,63.2025,0.4332,3.5379,3.1336,0.3876,13.0127,9.3248,5.6273,3.5119,1.1083,12.2623,3.7395,168.9612,53.4124,84.4837,79.9091,19.7709,765.0387,136.3623,8959.2058,31.759,30.1796,32.6214,53.3345,230.9418,1135.4924,419.5629,0.3649,0.7698,9.8156,3.1316,4.2634,2.8781,3.695,24.9688,18.0368,46.9011,76.6259,70.864,13.4265,4.4944,14.4993,9.4758,9.5087,0.0,1572.1919,0.9375,93.743,2390.6966,226.6221,0.0
CZE_C30,0.0682,0.2509,0.9881,0.1393,0.0333,3.0216,0.0372,0.8639,2.2724,0.0,0.2343,0.1259,0.0376,0.2399,0.5119,16.1052,4.9576,0.1842,123.1894,6.6346,110.8986,69.1356,1.2184,0.4629,1.4603,10.9908,14.8654,0.3118,10.7954,0.518,0.4988,0.2816,0.1978,0.0479,0.0,4.5216,0.4858,2.975,4.6032,15.3881,0.2281,1.1421,0.1341,0.176,0.0,308.9266,0.0,61.5466,699.7267,7.4879,0.0
CZE_C31T33,144.1107,1.4678,23.8121,6.2857,2.2142,104.8108,43.7432,31.9283,74.3337,5.988,149.6615,21.4894,76.7746,36.3969,35.3105,138.6524,63.1065,132.1812,550.0321,369.1787,71.2282,520.4943,265.765,23.5265,192.0959,287.9665,92.5894,1.5561,55.1657,101.0269,2.0199,78.9776,6.7411,13.316,11.8518,13.9995,99.4551,90.5903,36.8313,79.0158,33.1642,175.4919,53.2328,20.3356,0.0,967.1987,2.7289,56.333,1841.1143,7.5849,0.0
CZE_D,101.3451,0.5494,49.635,42.6985,1.8366,287.9625,76.9305,61.3752,168.9923,25.419,415.0732,34.5168,145.1184,294.0043,277.3719,199.1431,192.7485,92.7458,222.7718,217.8952,20.2113,97.4598,2742.2404,92.2266,232.7998,291.8834,167.9548,0.3378,6.0377,122.2403,5.3102,113.7449,23.0109,26.9803,17.6802,58.9924,807.3226,100.8843,58.8229,338.8442,228.668,311.7307,79.2581,61.5717,0.0,6121.3083,1.1034,10.8,149.9217,-2.6969,0.0
CZE_E,67.2339,1.5488,8.3608,6.9571,0.1745,74.8183,10.8319,5.3038,25.3525,1.3247,62.6568,10.4755,15.5318,14.0933,936.0946,94.5293,59.0488,18.0743,138.5673,197.6469,7.7551,15.6574,201.5343,1081.629,184.5668,155.7562,31.3382,0.1548,1.2397,28.0195,1.4233,72.9455,3.7656,1.2259,7.3137,19.9434,276.3007,60.6508,159.7319,115.0379,50.3058,110.6207,27.2723,22.4364,0.0,1390.6043,4.6447,130.0618,125.9942,-275.0943,0.0
