V1,LVA_A01_02,LVA_A03,LVA_B05_06,LVA_B07_08,LVA_B09,LVA_C10T12,LVA_C13T15,LVA_C16,LVA_C17_18,LVA_C19,LVA_C20,LVA_C21,LVA_C22,LVA_C23,LVA_C24,LVA_C25,LVA_C26,LVA_C27,LVA_C28,LVA_C29,LVA_C30,LVA_C31T33,LVA_D,LVA_E,LVA_F,LVA_G,LVA_H49,LVA_H50,LVA_H51,LVA_H52,LVA_H53,LVA_I,LVA_J58T60,LVA_J61,LVA_J62_63,LVA_K,LVA_L,LVA_M,LVA_N,LVA_O,LVA_P,LVA_Q,LVA_R,LVA_S,LVA_T,LVA_HFCE,LVA_NPISH,LVA_GGFC,LVA_GFCF,LVA_INVNT,LVA_DPABR
LVA_A01_02,734.0237,0.5301,0.0077,1.0591,0.058,373.2428,0.9349,550.2275,0.4267,0.0049,43.5825,0.6419,0.4476,1.2578,0.1224,0.8812,0.3595,0.42,0.9028,0.4043,0.4343,29.1929,12.1209,1.079,11.6646,18.6252,14.7427,0.189,3.0251,1.0874,0.1456,7.1341,0.2814,0.984,0.8611,0.5262,6.0217,1.2613,4.6605,4.5844,5.4868,2.9383,2.0142,3.1797,0.0,562.5299,0.2875,26.3215,19.7274,2.0048,0.0
LVA_A03,1.2843,8.0225,0.0007,0.1551,0.0013,22.1165,0.0583,0.8939,0.1639,0.0005,0.1495,0.0752,0.0687,0.2122,0.0273,0.3382,0.0892,0.0667,0.0581,0.0979,0.0206,0.158,0.3452,0.0624,1.181,3.7015,0.493,0.0119,0.4483,0.4044,0.0074,0.9202,0.0258,0.0258,0.0718,0.0253,0.1037,0.134,0.3247,0.1757,0.0893,0.258,0.0553,2.6566,0.0,24.2177,0.0339,0.9997,2.7335,0.1158,0.0
LVA_B05_06,0.2053,0.0004,0.0071,0.295,0.0006,0.0039,0.0008,0.0758,0.0106,0.0,0.0045,0.0,0.0001,0.0003,0.0137,0.0003,0.0008,0.0001,0.0015,0.0014,0.0001,0.0003,0.6171,0.005,0.0067,0.0035,0.0083,0.0,0.0016,0.0004,0.0,0.0005,0.0007,0.0026,0.0087,0.0014,0.0025,0.0075,0.0234,0.0961,0.0444,0.0008,0.001,0.0039,0.0,0.0234,0.0,0.0002,0.0158,0.0004,0.0
LVA_B07_08,1.8805,0.0571,0.0708,49.5318,0.3042,1.5308,0.0194,2.305,0.0202,0.0006,2.001,0.0109,0.0412,62.8545,6.4217,0.8377,0.0708,0.031,0.0171,0.0156,0.3012,0.5038,5.2807,0.8355,158.9187,0.442,3.1339,0.0003,0.0005,0.1671,0.0102,0.2165,1.2242,0.0762,0.0574,0.0114,1.1167,2.8532,8.9178,0.2838,0.6058,0.3762,0.4887,0.3856,0.0,3.9888,0.0,0.0021,0.093,0.5295,0.0
LVA_B09,0.0288,0.013,0.0019,0.66,0.0301,0.0174,0.0002,0.004,0.0074,0.0015,0.0325,0.0019,0.0026,0.1627,0.0336,0.0258,0.0002,0.0005,0.0012,0.0001,0.0001,0.0015,0.1652,0.01,0.9254,0.0081,0.0917,0.0006,0.0146,0.0636,0.0002,0.0012,0.0002,0.0,0.0,0.0002,0.0237,0.0168,0.0066,0.0134,0.0014,0.0015,0.0026,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVA_C10T12,35.4219,2.7041,0.0009,0.1316,0.0001,244.5719,0.0266,0.1321,0.0402,0.0001,7.5686,0.6954,0.0298,0.3292,0.0126,0.0782,0.0898,0.0971,0.0114,0.0765,0.0141,0.0577,0.2489,0.0658,0.4415,23.1711,0.651,0.0824,2.4437,0.3865,0.0235,118.9161,0.1877,0.0677,0.6333,0.0872,1.4332,0.2437,0.429,4.2529,24.335,6.7365,6.2407,0.6414,0.0,1516.4296,12.2902,1.0804,0.0875,4.41,0.0
LVA_C13T15,1.5911,0.0572,0.0031,0.3393,0.0014,1.6099,25.5554,0.5746,0.9089,0.0005,0.3234,0.1005,0.2865,0.2831,0.02,0.8182,0.0537,0.2727,3.7533,0.3529,0.1181,3.594,0.3568,0.4195,2.9994,2.5345,1.0536,0.0133,0.3867,0.6768,0.1103,0.5948,0.2594,0.1179,0.1605,0.0273,0.3266,0.4782,2.1586,4.6698,1.2521,2.0413,1.7086,1.952,0.0,178.0284,0.0021,0.1065,1.6453,0.5546,0.0
LVA_C16,72.8744,0.313,0.0555,6.176,0.0727,14.3276,0.2105,496.192,2.3232,0.002,0.9657,0.3661,2.0082,6.5009,0.2008,4.5378,0.2931,0.6817,0.7476,1.1675,0.7824,26.7549,85.5384,2.0041,40.2086,41.5881,7.0361,0.1746,2.5926,2.0389,0.1059,1.2161,0.236,0.6002,0.9737,0.4563,56.6907,1.9116,5.1399,4.678,4.2137,2.39,1.8381,1.6099,0.0,46.926,0.0449,2.0452,27.8249,3.2889,0.0
LVA_C17_18,2.3393,0.1619,0.0007,0.2052,0.0037,11.1749,0.3662,2.4229,38.5136,0.0053,0.8427,0.8412,1.0311,0.3678,0.0673,0.3586,0.1077,0.5987,0.4547,0.0563,0.0722,2.2689,0.3212,0.805,1.4679,10.5627,1.5281,0.0416,0.8619,0.8557,6.6383,0.9649,25.666,1.544,3.2875,43.2901,1.394,10.7993,2.674,10.9118,8.1041,1.9367,10.0134,3.4325,0.0,62.9413,0.1048,1.0654,0.3069,0.5699,0.0
LVA_C19,0.1321,0.0028,0.0001,0.0186,0.0002,0.0369,0.0019,0.0441,0.0034,0.0002,0.0046,0.0015,0.0024,0.0153,0.0011,0.0099,0.0022,0.002,0.0023,0.0018,0.0033,0.0152,0.0156,0.01,0.112,0.1559,0.5036,0.0054,0.0867,0.1677,0.0034,0.0065,0.0019,0.0017,0.0025,0.0019,0.0057,0.0124,0.026,0.0285,0.0099,0.0111,0.0054,0.0042,0.0,0.4622,0.0007,0.0804,0.0239,0.0126,0.0
LVA_C20,41.7543,0.014,0.012,2.2286,0.0403,10.211,1.8962,12.358,2.5378,0.03,23.5883,5.3225,8.4313,5.4373,1.1452,1.3684,0.4669,4.2558,0.5075,1.2612,0.2108,4.7141,0.3066,1.402,8.5902,8.7087,2.8656,0.2419,2.4009,22.8324,0.0104,1.464,0.0448,0.035,0.0972,0.1127,2.0081,0.5696,1.6436,1.0199,0.6189,4.8442,0.4305,1.651,0.0,75.0065,0.0727,7.1356,3.8311,0.3086,0.0
LVA_C21,4.5393,0.0352,0.0014,0.7898,0.025,2.2941,0.4426,2.6599,0.4378,0.0072,1.2066,4.1086,0.5039,0.8523,0.1307,0.8224,0.5441,0.3419,0.1648,0.4722,0.1413,0.5403,0.6092,0.1791,5.4969,1.4634,1.4067,0.039,0.6561,0.162,0.0271,0.6638,0.0862,0.1113,0.1545,0.1014,0.3183,1.1912,0.7957,1.7245,1.1936,26.5809,0.3357,0.2619,0.0,65.0802,0.044,32.5117,6.5708,0.3626,0.0
LVA_C22,4.2611,0.4416,0.0144,1.9707,0.0211,30.9273,0.4283,3.0288,3.6616,0.005,1.47,0.732,15.3164,1.3626,0.8271,0.9876,0.7224,1.9159,2.8415,0.7522,0.895,2.4806,0.3817,9.3253,17.6692,8.9679,4.5937,0.0321,0.5814,0.5977,0.0774,0.7573,0.1046,0.2006,2.4671,0.4859,4.5164,2.4317,1.4206,0.7996,1.8405,0.4428,0.5853,0.5016,0.0,25.239,0.0606,0.7788,2.9819,0.3683,0.0
