V1,HKG_A01_02,HKG_A03,HKG_B05_06,HKG_B07_08,HKG_B09,HKG_C10T12,HKG_C13T15,HKG_C16,HKG_C17_18,HKG_C19,HKG_C20,HKG_C21,HKG_C22,HKG_C23,HKG_C24,HKG_C25,HKG_C26,HKG_C27,HKG_C28,HKG_C29,HKG_C30,HKG_C31T33,HKG_D,HKG_E,HKG_F,HKG_G,HKG_H49,HKG_H50,HKG_H51,HKG_H52,HKG_H53,HKG_I,HKG_J58T60,HKG_J61,HKG_J62_63,HKG_K,HKG_L,HKG_M,HKG_N,HKG_O,HKG_P,HKG_Q,HKG_R,HKG_S,HKG_T,HKG_HFCE,HKG_NPISH,HKG_GGFC,HKG_GFCF,HKG_INVNT,HKG_DPABR
HKG_A01_02,0.0884,0.0057,0,0,0.0995,7.0589,0.3533,0.1496,0.0442,0.0085,0.0803,0.0353,0,0.0174,0.007,0.009,0.025,0.0157,0.0769,0.0213,0.0099,0.0862,4.9683,1.8011,1.2884,5.552,3.0495,9.5357,14.5094,0.0117,0.4115,43.5727,0.1726,1.1121,0.1185,0.4475,0.4707,0.3966,0.2673,0.3645,0.4161,0.3866,0.6807,1.2005,0.0,357.0232,0.0442,0.5587,2.7138,2.5259,0.0
HKG_A03,0.006,0.0115,0,0,0.0176,0.2143,0.032,0.0081,0.0079,0.0016,0.0091,0.0048,0,0.0026,0.0013,0.0015,0.005,0.0028,0.0137,0.0043,0.0022,0.0078,0.3932,0.1906,0.1256,0.5168,0.2537,1.4713,2.6026,0.0016,0.066,7.2396,0.0415,0.1673,0.0193,0.07,0.0505,0.058,0.0262,0.0309,0.0467,0.0646,0.0996,0.1482,0.0,56.2367,0.0084,0.0095,0.3278,0.5212,0.0
HKG_B05_06,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_B07_08,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_B09,16.2422,6.5072,0,0,293.4004,105.3478,31.3438,10.7903,5.6938,5.2171,0.3844,0.0259,0,0.5382,2.9183,2.0811,1.4842,1.9678,46.8837,2.2292,1.0044,1.0294,16.7854,7.9759,2.3979,8.4119,61.2877,0.7079,32.2976,5.3682,11.6284,3.2174,4.2273,0.3416,1.607,13.8553,6.9967,50.4869,9.2066,3.2767,9.8237,3.4798,2.4418,5.5938,0.0,3.2741,0.0081,0.0813,3.7906,2.7587,0.0
HKG_C10T12,3.9522,0.4796,0,0,0.0599,358.32,31.6051,19.0766,20.1557,2.2889,22.3773,8.5759,0,2.9518,0.5681,0.8479,3.2166,2.011,9.1723,1.1921,0.6194,3.3507,92.3134,49.1823,205.2573,359.9622,88.0508,247.5963,255.4635,1.3879,44.9123,778.0216,17.1402,82.0612,12.6335,71.836,52.605,38.101,17.996,13.8323,14.6493,43.3877,29.131,55.938,0.0,5500.9992,0.1021,0.4489,77.4131,40.876,0.0
HKG_C13T15,0.0924,0.0307,0,0,0.0194,5.5569,185.0227,0.5033,0.7957,0.097,0.7918,0.2766,0,0.443,0.1434,0.2511,0.6246,0.4649,1.6965,0.9612,0.3258,1.9647,2.5544,4.1312,3.2193,69.5807,14.3798,15.7512,12.6283,0.238,8.9218,4.5458,2.2027,13.3615,2.0241,13.6424,9.3984,5.4292,3.9714,2.6807,1.6664,1.671,2.7141,9.8121,0.0,1433.4046,0.0323,0.203,17.8467,43.2348,0.0
HKG_C16,1.4973,0.1871,0,0,0.0135,32.0477,0.4103,0.0603,0.0902,0.0346,0.1921,0.0716,0,0.1925,0.0751,0.143,0.2303,0.1802,0.7025,0.2795,0.1004,0.6245,2.1991,2.686,77.3541,12.7052,15.7253,55.8594,9.9761,0.332,2.4427,2.8161,0.6329,5.4087,0.2064,2.1057,1.6517,0.9299,0.524,0.4618,0.4059,8.634,1.2602,2.5318,0.0,663.3216,0.0511,0.1423,50.0703,7.8743,0.0
HKG_C17_18,1.0487,0.2318,0,0,0.005,190.2936,41.4118,0.6652,14.4547,0.1049,1.4637,0.7967,0,2.6995,0.0825,0.1817,1.7425,1.3616,3.4748,0.4615,0.1591,7.7498,2.5835,4.2537,38.9553,78.1389,13.0204,16.7102,9.2691,0.2613,5.856,1.9665,3.6853,11.8742,1.4396,16.0777,7.2546,4.9856,1.8949,1.4954,2.6657,13.8598,2.3821,4.7117,0.0,253.6456,0.0345,0.327,4.7329,2.4056,0.0
HKG_C19,0.044,0.0101,0,0,0.1845,0.7564,0.5137,0.0946,0.0859,5.464,11.0863,1.5181,0,3.6692,2.6941,1.7501,0.4862,0.5402,2.2807,0.6073,0.2661,1.2396,2.7167,2.4147,0.2973,171.4347,7.5386,14.8922,14.1138,0.2492,1.151,1.1764,0.4232,1.77,0.5075,5.1758,2.6879,1.4069,1.3141,4.0551,1.624,0.261,0.6144,1.4304,0.0,206.8883,0.014,0.1759,1.6888,13.3984,0.0
