V1,COL_A01_02,COL_A03,COL_B05_06,COL_B07_08,COL_B09,COL_C10T12,COL_C13T15,COL_C16,COL_C17_18,COL_C19,COL_C20,COL_C21,COL_C22,COL_C23,COL_C24,COL_C25,COL_C26,COL_C27,COL_C28,COL_C29,COL_C30,COL_C31T33,COL_D,COL_E,COL_F,COL_G,COL_H49,COL_H50,COL_H51,COL_H52,COL_H53,COL_I,COL_J58T60,COL_J61,COL_J62_63,COL_K,COL_L,COL_M,COL_N,COL_O,COL_P,COL_Q,COL_R,COL_S,COL_T,COL_HFCE,COL_NPISH,COL_GGFC,COL_GFCF,COL_INVNT,COL_DPABR
COL_A01_02,1445.1845,113.285,382.6252,17.7241,0.4025,11026.9574,130.2488,112.6753,58.3608,7.5611,91.5812,14.8325,49.4416,18.498,19.3731,8.4047,0.038,1.9923,6.6712,1.7853,0.6847,22.2106,162.5358,45.0234,212.9263,162.1793,6.5717,0.755,1.0691,0.9801,1.0243,1657.8699,8.5621,0.1049,3.0278,22.0922,6.623,3.1967,9.9979,143.1012,35.7144,43.1692,15.9142,8.9926,0.0,11222.9821,0.2958,11.6365,1226.6461,329.9082,0.0
COL_A03,9.3169,2.2993,24.816,1.0951,0.0259,53.0084,43.5352,0.1018,1.9992,0.4379,29.994,11.2002,1.4325,1.1714,1.0017,0.3998,0.0019,0.1032,0.4225,0.0355,0.0237,0.4094,10.461,2.804,0.182,5.7776,0.3894,0.048,0.059,0.044,0.0636,34.4328,0.087,0.0,0.1859,1.2755,0.234,0.0747,0.6134,81.815,4.9741,7.3353,4.2494,4.706,0.0,620.988,0.0,0.0,5.2617,10.7369,0.0
COL_B05_06,530.6361,23.2452,1433.7402,66.0957,2.2994,246.151,46.6195,6.5616,119.8023,4303.9118,72.6035,1.3496,81.9817,82.6721,70.0926,25.3246,0.1063,5.9181,24.2657,2.0775,1.3673,24.5162,2089.5796,159.6836,26.5423,331.4174,30.5595,2.7493,5.2115,3.8407,3.741,58.4905,4.9958,0.0097,10.5806,72.6518,13.6961,5.0642,34.9516,211.7652,63.2811,36.123,40.0411,18.7383,0.0,1.6,0.0393,0.0106,330.0488,224.3823,0.0
COL_B07_08,33.5261,0.7957,37.9792,19.6679,0.0285,14.7362,2.0585,0.1109,3.432,12.6985,54.5458,1.9106,2.1966,157.895,1225.5639,279.1018,0.0193,0.9366,0.7179,0.2334,0.104,19.4488,11.5026,3.1283,898.8781,6.3706,0.8612,0.0522,0.0654,0.0588,0.0703,6.4197,0.0996,0.0007,0.2023,1.412,0.5252,0.1121,0.6836,4.7044,1.3963,0.7369,0.8132,0.4108,0.0,23.1894,0.0281,0.0026,15.1753,29.0512,0.0
COL_B09,10.9912,0.48,29.1416,1.333,0.0304,4.7404,0.817,0.1195,2.3487,0.5456,1.4879,0.0289,1.6821,1.7697,1.1841,0.4721,0.0022,0.1215,0.4959,0.0419,0.0279,0.4926,12.2723,3.2895,2.5568,6.778,0.4568,0.0563,0.0692,0.0516,0.0746,0.8243,0.102,0.0,0.2181,1.4963,0.2745,0.0876,0.7196,4.3549,1.2993,0.744,0.8234,0.384,0.0,0.056,0.0,0.0,6.173,0.037,0.0
COL_C10T12,1886.49,57.0784,8.7346,2.6684,0.3028,4550.959,11.6165,6.3393,36.0422,5.2316,233.6434,30.5075,4.4038,21.942,19.5435,6.4685,0.0568,2.3016,2.6688,0.4049,0.1693,9.9495,219.8951,5.7483,90.5468,34.3006,5.517,0.1157,2.5203,0.6311,0.2518,3870.0902,0.2903,1.7528,4.0504,13.0934,0.9146,17.0296,10.9571,34.7512,51.009,84.1512,4.9371,5.9268,0.0,21707.3396,0.0,260.5137,79.6183,431.4703,0.0
COL_C13T15,52.3353,0.497,12.7838,1.6731,0.2873,25.0149,1046.7817,0.7871,103.9066,2.0987,16.3331,2.6746,10.1391,3.398,12.9982,10.5329,0.0796,2.45,1.0909,6.8777,2.238,74.5613,36.8783,6.5014,156.8214,85.2221,23.353,0.1814,4.1356,10.7256,1.4878,107.6481,3.9044,7.1442,3.5308,5.2345,1.7169,10.231,24.2257,41.7608,56.6286,22.872,9.6848,15.154,0.0,5456.7566,0.0,20.0584,32.917,99.2129,0.0
COL_C16,37.4928,0.1913,4.8713,9.8415,0.0005,8.9331,8.0587,105.1273,1.4657,0.7517,1.8557,0.2252,2.7132,3.4521,3.929,4.8783,0.1061,5.0904,0.8518,0.7836,0.2051,108.9294,8.0308,0.1985,340.3228,75.7534,0.6909,0.2215,0.4893,1.6591,0.2026,2.9387,0.3447,0.5909,0.2196,0.9201,0.093,11.1557,0.1342,10.3524,0.8112,3.0177,2.8286,4.4112,0.0,88.4352,0.0,1.1764,29.211,-3.4235,0.0
COL_C17_18,142.2131,1.6265,10.5678,5.9731,0.1356,311.6024,64.8823,36.8938,1028.7971,10.4512,160.3236,31.4736,44.5922,11.585,11.1037,7.4953,0.5182,16.7496,9.8411,1.6048,0.5543,81.6328,208.0623,4.6106,21.1651,206.8957,13.11,0.2708,3.2658,8.5812,4.4775,60.8184,18.662,28.7026,11.5741,41.4694,12.692,56.8564,119.9099,681.268,168.9382,69.4524,26.8366,20.8592,0.0,1437.0157,0.0,37.2613,35.4457,62.0473,0.0
COL_C19,326.3161,7.7416,1274.1219,31.7701,0.9523,98.1354,33.577,4.5088,28.186,7323.2281,113.9861,5.3719,13.3407,506.5693,18.0709,7.731,0.3194,16.721,1.4663,4.2735,1.7765,40.9987,297.537,67.6725,422.1332,448.0297,2755.1418,29.0518,649.3767,88.6315,20.4492,40.9438,7.2195,32.3418,9.4359,26.8438,4.5799,40.3108,23.838,321.3697,5.8176,51.7561,9.3804,11.9082,0.0,2598.1816,0.0,8.1128,24.4335,264.6718,0.0
COL_C20,700.9628,3.1305,50.6081,5.639,1.3019,348.3356,259.8483,18.6462,156.3964,430.2284,1369.6065,76.9842,829.1546,85.7448,18.2257,14.7881,1.5515,70.9788,17.439,8.0794,1.8556,62.1226,5.6181,36.9662,363.9335,44.6524,1.0228,0.2077,3.0208,2.8712,0.273,23.9618,1.4201,1.254,0.8359,3.166,0.4725,53.1676,59.2951,0.3599,31.7454,315.7606,66.3326,73.6884,0.0,2819.9377,0.0,132.3665,0.0,121.7734,0.0
COL_C21,28.4981,0.5303,0.6609,0.1804,0.0345,32.2104,6.2814,0.7015,3.6055,18.2541,60.7807,174.251,13.8136,1.9737,0.6744,0.4635,0.0992,1.7805,0.7479,0.1871,0.0847,2.5367,0.301,0.9108,8.151,0.6356,0.0672,0.0151,0.3514,0.1447,0.0377,2.1721,0.0499,0.1085,0.0515,0.3025,0.0255,0.0,5.3921,0.0911,5.0183,317.1156,4.6474,5.0471,0.0,1291.5682,0.0,287.5413,0.0,24.218,0.0
COL_C22,21.3143,7.6582,26.9999,11.6166,0.0287,534.5894,85.0599,11.3219,101.7467,26.3468,268.6889,42.9422,163.1784,20.2745,11.7548,17.6838,0.7566,29.3462,18.2003,21.4816,6.3651,72.6011,50.9473,49.7347,706.4092,225.2559,273.2714,1.8689,29.9696,37.3953,0.8119,111.9028,0.8347,2.7094,0.9272,5.9875,0.6912,1.8236,101.9043,60.6862,10.4662,13.0035,19.2329,50.2051,0.0,716.6997,0.0,9.6264,65.7131,40.5414,0.0
COL_C23,12.3092,0.8115,5.755,10.1522,0.0184,77.1924,3.4315,1.4879,1.8974,6.7281,80.3522,12.2813,3.4877,953.3882,34.7458,23.7307,0.3608,14.0992,4.9291,12.2959,2.7746,35.6839,23.48,26.6757,5478.9991,33.8507,2.6134,0.1971,1.8619,0.6375,0.1996,41.7555,0.3894,1.2183,0.3186,1.1718,0.2232,23.6067,18.6187,1.5646,8.1102,2.9678,7.5702,17.0493,0.0,161.8376,0.0,4.3629,31.675,85.0157,0.0
COL_C24,2.3008,0.0,158.4867,5.248,0.0,19.7336,1.6382,2.8124,0.6593,0.0,8.3334,0.5344,3.9653,14.2668,368.8518,275.0438,2.9279,193.8855,85.9977,8.2359,1.6236,155.7555,0.0,0.0547,902.1725,5.2149,11.1104,0.0324,2.6509,2.1379,0.0132,17.6673,0.8068,1.7494,0.5065,5.9085,0.0856,0.0,0.0,0.1815,5.9258,0.3383,0.0645,0.6436,0.0,0.0,0.0,0.0,0.0,34.6387,0.0
COL_C25,95.8075,2.6637,74.527,3.2783,0.0,84.1079,7.5168,8.7156,1.9071,6.6028,15.4712,1.4469,2.2545,7.6743,15.853,40.0487,0.5236,23.3268,20.3497,9.1472,2.8316,100.9495,0.7075,0.2468,962.8143,1.8806,0.0,0.0139,1.1541,0.9375,0.0058,10.8596,0.2374,0.9223,0.2295,6.5727,0.031,12.7409,0.0,1.5162,3.3188,0.1928,0.0182,0.3543,0.0,540.5518,0.0,3.1651,52.5952,28.8068,0.0
COL_C26,0.0013,0.0008,0.2597,0.0108,0.0,0.0943,0.0171,0.0022,0.141,0.0551,0.1466,0.026,0.0158,0.0055,0.0025,0.0054,0.054,0.3163,0.2226,0.0398,0.0163,0.5503,0.0,0.0792,0.7812,0.6968,0.2425,0.001,0.0522,0.0788,0.0072,0.3825,0.1573,1.1045,0.3161,0.1298,0.0249,0.1151,0.0,0.0504,0.3751,4.4672,0.205,0.1085,0.0,11.949,0.0,0.0,25.587,0.6618,0.0
COL_C27,1.9288,0.0732,25.0127,0.7427,0.0,6.8374,1.1781,0.1442,0.6383,3.9699,6.2809,0.8321,0.9601,0.0,3.7138,4.4446,0.93,64.8157,31.7329,16.8436,4.7454,39.931,105.8855,14.074,537.3737,102.2582,16.5102,0.0925,3.7621,5.5948,0.5192,36.267,6.3353,40.7793,7.8262,35.3182,2.5955,16.4893,12.0619,1.9008,0.0,122.5447,9.5645,24.1841,0.0,169.5943,0.0,0.0,223.8319,27.2784,0.0
COL_C28,5.8799,1.0652,9.932,2.9046,0.152,49.925,8.7675,1.7297,9.8407,6.194,24.4853,3.911,15.6668,5.9999,1.6578,2.8986,0.3755,9.0992,20.1677,5.9956,1.8151,21.1532,8.2986,5.8032,127.7599,70.0147,33.3586,0.5094,4.0818,6.1314,0.4526,14.4906,1.9116,9.1513,2.7374,3.5297,0.4131,3.8812,9.1747,7.6954,6.2242,22.3994,4.4584,7.5376,0.0,200.231,0.0,1.1724,296.1867,5.1133,0.0
COL_C29,3.1285,0.0135,5.0873,0.9508,0.0,2.8499,0.5359,0.205,0.6518,1.3191,0.949,0.1227,0.529,1.6247,0.3902,0.3497,0.0087,0.3161,0.0568,256.3655,12.3575,19.2372,0.3245,6.5827,18.615,333.0588,17.9599,1.4679,10.7926,4.471,2.7941,3.8225,0.0793,2.3367,0.0,0.8985,0.5012,0.0,1.0876,45.7972,0.7574,0.5287,0.1226,14.776,0.0,671.2753,0.0,0.0,738.5115,35.063,0.0
COL_C30,0.7389,0.0244,5.5133,0.6486,0.0,0.6188,0.2082,0.1341,0.1742,0.4349,0.2672,0.0286,0.094,0.386,0.0372,0.0465,0.0039,0.0957,0.0129,131.1529,186.2683,29.0801,0.0952,1.2686,7.4185,8.42,5.7284,1.1838,24.8571,1.9695,0.7881,2.3814,0.3567,0.7129,0.0,0.3265,0.316,0.0,0.7954,33.1159,0.5405,0.248,0.0,2.8871,0.0,81.7592,0.0,0.0,377.4941,1.9005,0.0
