V1,NLD_A01_02,NLD_A03,NLD_B05_06,NLD_B07_08,NLD_B09,NLD_C10T12,NLD_C13T15,NLD_C16,NLD_C17_18,NLD_C19,NLD_C20,NLD_C21,NLD_C22,NLD_C23,NLD_C24,NLD_C25,NLD_C26,NLD_C27,NLD_C28,NLD_C29,NLD_C30,NLD_C31T33,NLD_D,NLD_E,NLD_F,NLD_G,NLD_H49,NLD_H50,NLD_H51,NLD_H52,NLD_H53,NLD_I,NLD_J58T60,NLD_J61,NLD_J62_63,NLD_K,NLD_L,NLD_M,NLD_N,NLD_O,NLD_P,NLD_Q,NLD_R,NLD_S,NLD_T,NLD_HFCE,NLD_NPISH,NLD_GGFC,NLD_GFCF,NLD_INVNT,NLD_DPABR
NLD_A01_02,3558.0379,0.6626,19.9226,1.8234,2.8223,11564.846,138.1035,75.3279,24.8264,14.2624,55.5014,18.164,68.4831,10.1558,17.3112,23.5529,27.7674,10.812,31.5614,8.4245,15.5152,92.6386,59.3218,11.8571,224.1907,331.0828,48.9127,9.2256,19.5565,48.1227,2.1257,379.8706,13.4574,11.8952,23.9363,23.8543,65.4174,78.6719,228.3784,114.4968,15.864,271.509,24.5442,35.0032,0.0,4756.6698,1.3605,313.8696,379.7066,204.0712,0.0
NLD_A03,10.0895,7.5078,0.0038,0.0005,0.0006,174.7643,0.1266,0.003,0.2366,0.5607,2.4827,1.1529,0.0493,0.0106,0.009,0.0192,0.0134,0.0077,0.0271,0.0101,0.0092,0.5127,0.3563,1.4464,0.1414,2.5459,0.0475,0.2263,0.0115,0.064,0.0038,24.7646,0.0235,0.0136,0.0594,0.109,0.1418,0.1997,0.1353,2.6302,0.1608,14.8344,0.7196,0.5617,0.0,141.7329,0.0001,0.21,0.137,4.588,0.0
NLD_B05_06,54.6693,0.014,124.1088,7.4603,11.7248,41.5634,4.5306,0.5986,12.6706,2099.4577,148.6785,3.1167,6.3871,6.6331,128.7623,11.8038,0.4109,0.5459,1.0363,1.4357,9.9342,3.0881,150.7072,3.898,60.995,45.5945,2.9949,0.1766,0.1651,7.793,0.5196,31.0115,0.6457,1.2312,1.9132,5.7172,7.635,48.4925,6.7197,8.2317,16.1323,31.5762,13.1956,14.5047,0.0,470.0334,0.0,0.1507,48.7698,-30.1855,0.0
NLD_B07_08,29.1812,0.4071,4.5219,81.866,65.1405,3.9283,2.7143,0.0,1.4859,0.0,142.6932,1.1897,5.639,183.9763,82.8746,6.9227,0.0,0.0,2.6809,0.0,9.0551,1.1277,0.0,2.4405,442.2541,12.0965,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.7575,0.0,4.5014,20.6569,2.5439,40.6084,0.8164,0.0,0.0,0.0,0.0,166.4595,0.0,0.0,0.0,8.3198,0.0
NLD_B09,0.0,0.0,274.2986,20.6706,31.8419,0.0,1.1921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.2424,0.0,0.0,0.0,0.0,0.0,1.6686,0.6829,0.0,0.0,153.8106,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.4587,0.0,2.7296,12.5174,1.5426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.3282,0.0,0.0
NLD_C10T12,2884.5893,13.4205,4.5924,22.3436,17.8345,12384.5555,72.2761,3.0788,82.0369,158.3862,494.6742,327.9246,48.8407,57.7413,27.4226,43.8872,47.6599,21.9896,52.9517,12.2911,16.6581,243.6042,103.6539,406.0392,248.267,1023.1804,38.6966,13.3536,14.0566,27.8146,14.0673,3791.0291,60.886,8.9401,101.2033,146.1226,65.6913,365.47,149.3341,190.7004,79.4712,1023.1496,489.1386,81.4981,0.0,24513.1111,0.0,24.1879,256.065,1670.2119,0.0
NLD_C13T15,3.6862,3.2919,0.5457,0.002,0.004,3.0573,238.0085,1.7014,13.1104,0.4688,2.8283,0.5788,18.5287,2.2556,0.986,3.7392,8.6287,14.7938,13.7776,11.2056,1.3398,22.5868,0.5931,2.2173,20.1223,17.4311,1.6347,0.8046,0.7302,1.5343,1.8727,6.7774,0.3392,4.5892,1.1324,1.8769,1.636,20.8846,42.4438,34.6287,1.6568,81.4899,2.6387,12.7518,0.0,2899.5325,0.0,0.0,49.9931,34.5406,0.0
NLD_C16,32.6074,0.0311,1.8945,0.0975,0.1243,74.0193,15.6159,505.6696,18.5987,2.5493,32.1615,24.2958,37.3267,19.9705,25.6195,45.6873,9.6396,5.6293,42.2907,9.6284,46.7491,186.4814,5.8793,12.1911,1177.8574,107.7006,11.2842,1.4211,2.9414,41.4675,0.984,22.8269,9.8144,7.0141,14.1962,8.5604,266.5699,29.4987,173.4763,14.6352,9.967,17.1026,4.1807,42.2504,0.0,405.8234,0.0691,8.8239,123.3212,23.8469,0.0
NLD_C17_18,23.1092,4.6346,5.7933,4.3044,7.1144,736.7917,10.9335,7.064,2014.6942,4.6232,85.6299,68.8737,97.9345,31.6906,39.8822,49.8346,26.1182,19.4643,118.8592,36.0518,13.0379,69.4207,20.6021,42.6089,114.4,481.8068,35.6838,15.9789,10.1583,40.1992,5.7832,73.9438,684.4016,43.9581,126.6077,110.4796,53.6913,266.9859,313.9008,145.363,126.3358,352.8988,42.8911,38.4858,0.0,1414.1577,5.225,43.6775,425.9189,64.3954,0.0
NLD_C19,329.8356,22.8986,13.0969,0.5968,0.7245,55.3405,9.5621,4.8206,14.2044,1383.0535,1434.6041,11.394,29.496,35.3174,20.6905,48.6956,5.5947,104.3124,30.3641,6.8935,14.4113,74.8234,198.4698,48.9663,545.0148,546.7404,1298.6583,471.3297,1684.5098,179.6219,19.7454,31.9099,8.0693,2.0289,60.5102,129.0268,80.9128,182.3134,341.518,102.8602,73.1942,51.7631,81.588,60.8489,0.0,5684.6116,0.0274,0.9179,6.2207,211.3078,0.0
