V1,LUX_A01_02,LUX_A03,LUX_B05_06,LUX_B07_08,LUX_B09,LUX_C10T12,LUX_C13T15,LUX_C16,LUX_C17_18,LUX_C19,LUX_C20,LUX_C21,LUX_C22,LUX_C23,LUX_C24,LUX_C25,LUX_C26,LUX_C27,LUX_C28,LUX_C29,LUX_C30,LUX_C31T33,LUX_D,LUX_E,LUX_F,LUX_G,LUX_H49,LUX_H50,LUX_H51,LUX_H52,LUX_H53,LUX_I,LUX_J58T60,LUX_J61,LUX_J62_63,LUX_K,LUX_L,LUX_M,LUX_N,LUX_O,LUX_P,LUX_Q,LUX_R,LUX_S,LUX_T,LUX_HFCE,LUX_NPISH,LUX_GGFC,LUX_GFCF,LUX_INVNT,LUX_DPABR
LUX_A01_02,48.0417,0,0,0.0073,0,119.6233,0.5201,2.913,0.2034,0,2.1804,0.3606,14.9881,0.343,1.023,0.2882,0.0555,0.0363,0.4255,0.0407,0.0027,0.1529,1.8572,0.0323,2.7961,0.9297,0.5196,0.0283,0.404,0.1175,0.0386,3.8619,0.0348,0.1019,0.687,0.5358,0.8476,1.1535,0.5211,0.505,0.0728,1.262,0.4033,0.3626,0.0,63.2671,0.0214,0.4072,13.3847,5.0418,0.0
LUX_A03,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_B05_06,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_B07_08,0.059,0,0,0.3408,0,0.0605,0.1581,0.0,0.0309,0,1.6631,0.0466,0.9285,37.127,34.4,0.3641,0.0196,0.0253,0.1683,0.0088,0.0006,0.0325,1.0949,0.1734,10.3051,0.0,0.4982,0.0011,0.0038,0.036,0.0011,0.0128,0.0,0.0,0.0,0.0,0.2401,0.0293,0.0203,0.0037,0.0001,0.0,0.0,0.0008,0.0,0.0441,0.0,0.0,0.0,0.4766,0.0
LUX_B09,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_C10T12,13.4459,0,0,0.0343,0,69.5651,0.1165,0.0045,0.5377,0,19.9132,4.1162,8.6859,1.4502,3.6616,1.0762,0.1857,0.0883,1.7681,0.108,0.0062,0.355,0.1117,0.0405,2.0,0.249,0.0275,0.7359,8.7395,1.0889,0.29,196.237,0.0318,0.0843,0.0,0.0031,3.1249,5.9444,6.0734,1.5003,0.227,35.2431,1.5995,0.3905,0.0,958.1837,0.0,0.4965,0.0072,52.7864,0.0
LUX_C13T15,1.0305,0,0,0.0235,0,1.1433,105.0426,0.0432,0.5108,0,0.6978,0.3173,38.2923,2.1888,4.0652,1.6291,0.3386,0.142,2.64,1.1621,0.0353,2.319,0.0739,0.0869,4.6683,5.5808,0.5767,0.0793,1.9466,0.3759,0.4273,0.3718,0.0408,0.0032,0.1896,0.0124,0.6422,2.3926,4.4529,0.7492,0.0229,2.1754,0.3379,0.6979,0.0,382.2701,0.0,0.0846,0.0,16.0613,0.0
LUX_C16,0.1932,0,0,0.0172,0,1.81,0.7676,18.3913,0.9723,0,0.7515,0.0714,15.3402,6.263,12.4367,4.7335,0.215,0.3223,3.3383,0.5819,0.0763,6.3941,0.1068,0.4258,64.4765,3.0281,0.1794,0.0243,0.1917,0.4393,0.0887,0.2658,0.0526,0.2402,1.9367,0.3925,4.6225,4.6973,1.4871,1.6616,2.8848,0.3231,0.0443,0.1598,0.0,5.8411,0.0017,0.0593,0.0345,4.1786,0.0
LUX_C17_18,0.0073,0,0,0.0082,0,5.0729,0.0798,0.1267,18.2147,0,1.6272,1.02,20.6051,3.6297,4.2644,2.0597,0.8662,0.3303,3.1996,0.206,0.0142,0.5409,0.0494,0.0284,0.9286,39.8202,0.46,0.0683,1.7622,0.9068,2.0611,0.1493,1.5588,0.1101,48.5198,2.5789,3.3399,7.0477,12.4681,0.4744,0.0743,0.3961,0.0525,0.2366,0.0,3.8595,0.0,0.011,0.0,-1.7949,0.0
LUX_C19,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_C20,1.708,0,0,0.0087,0,1.0673,11.0047,2.421,0.9284,0,16.7642,1.3485,170.6223,5.1642,12.1402,2.702,0.4866,0.5402,2.5343,0.3559,0.0229,0.4864,0.0565,0.138,2.658,2.0025,0.0609,0.0147,0.3136,0.1159,0.0324,0.1165,0.0783,0.0107,1.0995,0.1973,0.711,1.1177,1.0136,0.1504,0.0201,0.7024,0.0492,0.1756,0.0,30.9837,0.0,0.0,0.0,-27.5217,0.0
LUX_C21,0.4274,0,0,0.0,0,0.561,0.0,0.0047,0.0225,0,0.784,10.326,2.758,0.1013,0.9878,0.0888,0.0308,0.0146,0.3528,0.0065,0.0005,0.0451,0.0018,0.0,0.0033,0.6793,0.0,0.0068,0.1,0.0187,0.0203,0.039,0.0016,0.0012,0.1071,0.0,0.0235,2.0598,0.144,0.0,0.006,31.6018,0.0218,0.1518,0.0,25.9893,0.0,37.5083,0.0,-24.2606,0.0
LUX_C22,0.0162,0,0,0.5191,0,46.7783,210.1176,0.6218,9.9225,0,23.1281,7.735,1996.3976,42.029,63.2809,42.3647,16.5255,12.512,115.4221,21.9307,0.5956,13.2015,0.0184,0.0,137.111,98.8263,10.8686,0.3476,13.6985,5.0023,2.4457,0.8041,11.0652,0.1219,28.6432,0.0949,10.0381,7.3281,17.0484,0.2329,0.0094,2.1645,0.0222,0.1921,0.0,374.2762,0.0,0.0,0.3779,125.4092,0.0
LUX_C23,0.004,0,0,1.669,0,2.9621,0.829,0.0588,0.0648,0,1.6317,0.6064,29.2979,122.7229,37.0445,7.4375,1.2303,0.9818,6.2102,1.2571,0.0631,0.7335,0.0045,0.0,140.6232,4.2368,1.5634,0.033,0.2473,0.2719,0.0223,0.5251,0.0298,0.0022,0.7462,0.0034,6.6363,2.7133,1.0561,2.3442,0.0171,0.3957,0.0015,0.1,0.0,16.1945,0.0,0.0,0.0,-13.18,0.0
LUX_C24,0.0052,0,0,0.0327,0,0.4031,0.1462,0.0366,0.2188,0,0.5794,0.0848,39.3163,16.1683,1385.7499,294.9622,3.5268,8.0805,200.2301,11.5157,0.7523,5.9625,0.0023,0.0145,40.3806,4.6552,0.5037,0.0597,0.3567,0.4526,0.0172,0.0599,0.0134,0.0015,1.2391,0.0015,1.2366,2.5523,1.2541,0.0301,0.0027,0.0145,0.0065,0.0228,0.0,31.4353,0.0,0.0,0.0,36.6511,0.0
LUX_C25,0.3534,0,0,0.2414,0,2.309,1.9811,0.3428,0.1797,0,1.2924,0.1886,25.7275,4.9686,51.7042,51.6116,1.6783,1.7292,44.9596,3.0565,0.2172,2.8813,4.1385,3.6789,26.5646,5.1245,1.6284,0.0512,0.5599,0.534,0.0774,1.4227,0.1566,1.0479,2.4707,0.0095,1.4585,14.3365,2.165,3.0513,0.476,1.9543,0.6081,1.2346,0.0,38.2187,0.0,0.0,12.416,-42.6992,0.0
LUX_C26,0.0079,0,0,0.003,0,0.0377,0.0756,0.0109,0.0693,0,0.0584,0.0251,1.0206,0.123,0.62,0.5568,9.8396,0.5991,3.6413,0.2683,0.0259,0.428,0.1606,0.0722,0.9637,1.8865,0.0722,0.0101,0.3925,0.1169,0.1014,0.0019,0.0965,0.1321,16.5331,1.6692,0.1039,1.6853,0.7588,0.2454,0.0291,2.4584,0.0168,0.1228,0.0,17.4336,0.0,0.6691,22.8369,0.2167,0.0
LUX_C27,0.0011,0,0,0.025,0,0.0984,0.0028,0.021,0.0348,0,0.1179,0.0222,2.9826,0.4938,4.5574,1.6685,3.045,4.827,12.873,1.0488,0.0519,1.2176,0.1926,0.0051,20.0457,2.7565,0.8469,0.0259,0.3113,0.1611,0.0475,1.1144,0.0503,0.0021,4.49,0.0206,0.565,1.4959,0.9695,0.788,0.0059,0.0408,0.0115,0.0945,0.0,13.8708,0.0,0.0038,16.2934,-24.1186,0.0
LUX_C28,7.6005,0,0,0.6583,0,1.6231,1.9199,1.8544,0.6107,0,1.4686,0.2744,22.6815,7.2514,31.3174,12.1202,1.9333,2.0356,176.0755,4.1312,0.3171,6.508,4.7944,0.9041,22.8781,8.0111,4.7552,0.1818,2.4572,1.0109,0.238,0.0015,0.3393,1.7047,5.7714,0.7664,1.1788,12.0292,6.7244,0.0613,0.2473,3.9844,0.5864,1.5783,0.0,16.5264,0.0,0.0,259.1204,-101.4494,0.0
LUX_C29,0.0009,0,0,0.0013,0,0.0395,0.0,0.0,0.0048,0,0.0216,0.0035,0.9367,0.2364,0.5591,0.3456,0.0287,0.0392,2.0424,7.067,0.0121,0.3032,0.0051,0.0062,0.264,1.6973,0.0256,0.0093,0.2095,0.1786,0.0694,0.0,0.0032,0.0,0.2106,0.0005,0.0421,0.1123,0.9196,0.0461,0.0008,0.0015,0.0027,0.0043,0.0,50.7996,0.0,0.0,121.1562,2.1387,0.0
LUX_C30,0.0,0,0,0.0,0,0.0006,0.0,0.0,0.0001,0,0.0002,0.0,0.0092,0.0009,0.0083,0.0104,0.0031,0.0007,0.0267,0.0158,0.0593,0.0786,0.0001,0.0,0.0001,0.0283,0.0851,0.0299,1.0818,0.0122,0.0013,0.0,0.0002,0.0,0.0013,0.0177,0.0007,0.0217,0.0341,0.006,0.0001,0.001,0.0001,0.0022,0.0,0.7733,0.0,0.0,5.3368,-0.8158,0.0
LUX_C31T33,0.0031,0,0,0.0028,0,0.7147,0.0028,0.0995,0.2238,0,0.5905,0.2213,6.213,1.888,9.2726,1.884,0.4395,0.1868,4.0291,0.2562,0.0322,2.3971,0.0483,0.0072,0.3171,4.2574,0.0502,0.2032,8.1143,0.5806,0.2533,0.0011,0.1082,0.0025,6.6136,4.2201,1.074,1.706,3.3667,0.0633,0.0554,15.9138,0.0336,0.0264,0.0,40.939,0.0,3.9087,20.0511,-3.824,0.0
LUX_D,2.1586,0,0,0.3645,0,8.5195,19.6141,6.9167,2.7798,0,12.6091,1.4071,102.6282,37.0672,227.9291,15.2781,1.965,1.1566,17.1663,1.4495,0.0896,1.6202,109.709,5.0827,25.3457,28.1178,10.7328,0.2106,3.1067,4.2411,1.5769,5.4302,1.0149,6.1607,7.4461,20.394,24.4787,11.8622,9.2157,11.8898,5.6163,30.8253,6.0871,2.8879,0.0,152.1588,0.0171,0.2062,114.0711,0.4077,0.0
LUX_E,1.8739,0,0,0.4905,0,6.7127,4.8487,2.3129,0.7108,0,1.7513,0.3109,19.0858,5.4668,201.1323,5.9957,0.2977,0.1942,3.3677,0.2089,0.0177,0.3284,11.7812,13.5361,37.9134,20.9033,4.321,0.1016,1.2312,1.0696,0.4339,6.408,0.6925,1.2134,3.8247,15.3109,9.1322,5.8817,3.0393,12.0272,1.0531,6.6853,1.0434,1.3488,0.0,89.6748,0.0101,2.9599,60.7156,-2.8004,0.0
LUX_F,5.4669,0,0,0.4531,0,10.3748,27.4503,3.147,1.2094,0,4.1155,1.0392,45.7254,15.2984,43.3801,14.8184,1.3906,0.9659,16.0867,0.9297,0.1068,3.7011,97.1879,13.6036,1154.0031,60.0755,128.3968,0.5651,9.4169,16.2016,3.7312,7.2899,2.9792,14.5802,58.0961,91.9348,248.5949,38.1958,23.0853,130.1579,12.6507,58.5174,9.7905,13.8597,0.0,212.8249,0.0638,0.9231,6711.477,1.535,0.0
LUX_G,30.7265,0,0,1.3398,0,124.2779,59.2948,5.0719,7.6653,0,28.9635,10.7354,313.9342,51.1366,170.6547,40.9857,8.7175,5.5678,70.2752,17.5241,0.3922,9.0046,12.4759,5.0124,127.4716,207.71,105.9532,2.7113,75.2367,13.1695,12.3669,133.6708,5.8505,16.5057,202.2909,74.0629,20.9398,291.877,167.254,16.7018,4.4889,65.0443,5.2505,4.7475,0.0,1451.6565,0.1774,31.7121,238.5372,107.2556,0.0
