V1,IRL_A01_02,IRL_A03,IRL_B05_06,IRL_B07_08,IRL_B09,IRL_C10T12,IRL_C13T15,IRL_C16,IRL_C17_18,IRL_C19,IRL_C20,IRL_C21,IRL_C22,IRL_C23,IRL_C24,IRL_C25,IRL_C26,IRL_C27,IRL_C28,IRL_C29,IRL_C30,IRL_C31T33,IRL_D,IRL_E,IRL_F,IRL_G,IRL_H49,IRL_H50,IRL_H51,IRL_H52,IRL_H53,IRL_I,IRL_J58T60,IRL_J61,IRL_J62_63,IRL_K,IRL_L,IRL_M,IRL_N,IRL_O,IRL_P,IRL_Q,IRL_R,IRL_S,IRL_T,IRL_HFCE,IRL_NPISH,IRL_GGFC,IRL_GFCF,IRL_INVNT,IRL_DPABR
IRL_A01_02,345.5148,29.7945,0.0862,0.4168,0.0024,1794.8844,0.2273,73.8351,0.0944,0.1962,5.358,7.6209,0.6877,0.637,0.0687,0.2443,0.9398,0.0639,0.2167,0.0654,0.2277,0.6927,4.1425,0.534,32.351,43.9904,0.5727,0.2331,0.1155,0.1954,0.2384,3.1991,0.6044,1.0145,0.2365,1.2535,1.1129,2.2187,0.8035,0.9647,0.505,19.2447,1.5958,0.4867,0.0,320.3697,1.6605,116.138,133.469,52.4486,0.0
IRL_A03,0.0,78.8226,0.0001,0.0001,0.0,9.1666,0.0,0.0,0.0,0.0,0.002,0.0104,0.0003,0.0004,0.0,0.0,0.003,0.0,0.0,0.0,0.0,1.8994,0.0,0.0,0.0,0.0215,0.0,0.101,0.0,0.0,0.0,0.012,0.0006,0.0,0.0,0.0033,0.0038,0.0,0.0,0.0,0.0,0.0458,0.0,0.0002,0.0,56.8439,0.2736,5.9894,0.0,-16.5196,0.0
IRL_B05_06,0.0079,0.0,0.3406,0.3377,0.0011,3.2944,0.0377,0.0615,0.0479,104.9369,0.1438,0.0089,0.1011,0.8363,2.0676,0.1303,1.0687,0.0256,0.0143,0.0029,0.0009,0.0222,6.5608,0.0152,1.9006,0.6651,0.2397,0.0042,0.0001,0.0135,0.0103,0.0722,0.0241,0.0412,0.0335,0.0006,0.005,0.0254,0.0371,2.3622,0.0678,2.483,0.0319,0.4444,0.0,16.0397,0.0868,0.0,7.5835,-3.8094,0.0
IRL_B07_08,176.2253,0.0388,0.0394,39.726,0.2791,22.3285,0.022,0.0211,0.0719,0.3014,2.3762,0.9825,0.6967,19.9606,31.0721,0.4784,0.3097,0.2697,0.216,0.0163,5.4102,20.7279,0.1115,0.4017,286.9999,9.3425,0.6272,0.0211,0.2238,0.2113,0.1727,1.3046,0.3605,0.9486,0.0921,0.4331,0.2615,2.0086,0.4009,1.7269,0.481,1.4495,0.5852,3.7861,0.0,4.0846,0.004,0.1847,5.1609,27.8106,0.0
IRL_B09,0.0266,0.0349,0.2722,0.6641,0.0421,0.0536,0.0001,0.0006,0.004,27.5473,0.1745,0.0406,0.0067,0.1135,0.1531,0.0191,0.0022,0.0007,0.0094,0.0001,0.0066,0.004,0.1846,0.0118,1.4866,0.012,0.0235,0.001,0.0331,0.0088,0.0052,0.0015,0.0005,0.0,0.0001,0.0032,0.0246,0.0268,0.0254,0.012,0.0017,0.0036,0.0028,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRL_C10T12,1362.9456,20.7289,0.2655,3.6753,0.0376,5017.853,10.376,8.6393,6.6741,2.5256,58.0469,397.5604,28.3858,4.0764,10.3468,3.937,46.2553,0.5865,1.2914,1.8366,0.7562,9.6994,50.4867,3.6301,61.7783,691.8101,58.7225,5.3717,14.4176,19.4419,24.559,704.7375,329.9033,7.67,57.8725,12.1632,22.5702,18.8061,51.5574,44.8081,14.5475,136.0364,52.8295,67.895,0.0,6493.1405,35.9809,1.73,411.5987,960.4251,0.0
IRL_C13T15,0.1525,0.0564,0.0039,0.0832,0.0027,0.0859,5.9371,0.0547,0.1014,0.0961,0.9615,1.458,0.0972,0.0545,0.006,0.029,1.3835,0.0228,0.0349,0.0131,0.0096,5.846,0.026,0.0838,7.1096,51.5129,0.1379,0.0045,0.353,0.0411,0.2439,1.1775,0.4522,0.3013,1.0767,0.3416,0.4156,6.9697,3.2203,2.4449,0.0742,3.2748,0.1979,0.8425,0.0,300.3288,0.0014,0.0642,55.8336,17.7067,0.0
IRL_C16,0.2026,0.0053,0.0089,0.0255,0.002,1.0101,0.0262,5.848,0.1014,0.3118,0.0525,0.1998,2.2358,0.1486,0.0315,0.0744,0.5058,0.0392,0.1581,0.0421,0.0183,11.1424,2.0663,0.5295,79.0394,0.8725,0.08,0.007,0.1402,0.0108,0.0692,0.05,1.2491,0.4247,0.4347,0.5719,0.7361,0.6569,1.6318,1.808,0.175,0.5524,0.0354,0.811,0.0,60.7167,0.0004,0.0041,18.4675,5.8678,0.0
IRL_C17_18,1.3108,0.0469,0.0044,0.0281,0.0065,7.9125,0.1921,0.3216,10.592,0.2881,2.7211,3.8634,0.7371,0.2262,0.1247,0.5112,3.3596,0.3469,0.302,0.1345,0.1444,7.3827,0.1747,0.6106,9.4863,78.188,2.7462,0.1101,1.7755,0.4166,1.8072,4.9733,362.35,3.5426,15.8655,34.6642,0.673,50.353,11.1484,2.2474,24.9983,31.7772,2.9211,7.0515,0.0,191.4346,0.0014,0.0402,36.1662,20.7612,0.0
IRL_C19,59.4563,8.1461,0.3713,4.1247,0.1956,18.5909,0.0971,3.2107,1.0622,532.4306,9.8805,231.8958,20.8094,14.7934,3.7438,74.2153,907.7086,46.227,244.9546,9.8065,32.1436,180.2195,7.6657,5.0976,152.4967,137.9005,52.2535,1.9912,226.6939,4.8545,14.2144,5.1211,29.7938,29.027,13.239,9.35,2.0264,37.047,85.5943,40.3634,9.9339,350.79,5.9548,14.5483,0.0,1258.2009,0.5142,0.0232,1173.1974,213.0198,0.0
IRL_C20,360.3515,0.2342,4.0246,58.027,0.3441,268.4608,52.688,141.3799,102.6692,12.5641,102.8414,935.7951,394.2976,62.4931,167.7455,54.0959,416.1311,4.1564,12.044,27.8005,9.5346,126.2149,667.4844,26.2321,132.2193,745.2851,2.7306,0.041,21.8099,0.2407,0.7273,5.3538,776.1939,2.3413,4.1474,2.816,31.8034,97.5589,17.8232,6.2882,4.368,66.3519,4.598,41.2849,0.0,877.5341,0.0355,63.2435,1764.2423,510.8877,0.0
IRL_C21,270.7548,0.3649,3.6378,52.302,0.248,215.6341,39.0905,99.8684,73.2545,99.1318,245.5628,988.0877,283.2241,44.3659,122.7418,39.5509,635.3451,3.2719,70.2235,19.825,9.0726,259.5223,471.9781,35.2246,95.8756,535.5628,2.1573,0.0402,16.5154,1.0281,1.0869,10.8404,579.0164,1.7812,18.0316,2.5529,24.8717,87.21,14.4334,19.8844,3.3179,508.1703,3.6081,31.2757,0.0,885.5363,0.0838,750.2084,4024.2667,870.8798,0.0
IRL_C22,0.8707,0.2388,0.0366,0.185,0.0233,15.2768,0.0998,0.2824,0.4054,2.3915,4.1326,27.9036,28.8834,0.6233,0.1794,1.9724,25.7021,5.8516,3.4646,2.6554,1.1182,26.4374,0.3917,0.4853,83.3763,137.4298,4.1006,0.1021,1.7569,2.0181,0.6826,0.4061,2.6265,0.8312,3.3049,0.7786,0.5594,1.2067,8.2117,6.8303,0.1499,31.5237,0.2066,1.7864,0.0,129.6275,0.0026,0.0132,30.6248,20.3978,0.0
IRL_C23,153.1205,0.0703,0.158,3.383,0.2391,8.9541,0.0868,0.1046,0.1593,2.2652,1.9869,4.3059,4.6309,31.7935,7.3482,3.2392,4.1665,1.8917,1.9391,0.0879,3.6324,137.3194,0.3938,0.8614,469.6261,45.3761,0.8759,0.0354,2.5059,0.099,0.2118,1.3427,0.5293,2.5305,0.7267,0.3814,1.0775,2.7043,0.9749,1.5473,0.4538,2.5954,0.7964,5.4656,0.0,8.9313,0.019,0.492,41.7968,41.5358,0.0
IRL_C24,0.0564,0.0008,0.9645,0.0058,0.0372,3.82,0.0985,1.1366,0.1849,0.8665,2.3217,8.7759,11.8005,4.6586,12.3785,48.4964,39.8546,13.2037,25.6993,11.1803,2.7179,117.558,0.4063,0.6886,39.7239,13.426,1.1193,0.0061,0.081,0.0162,0.0506,0.004,0.2365,1.5888,1.0047,0.876,0.563,1.0921,0.4761,3.325,0.0301,0.0331,0.0636,0.0746,0.0,6.6589,0.0,0.0,5.8033,9.0916,0.0
IRL_C25,1.2532,0.0711,1.9984,0.4361,0.111,8.48,0.4199,2.0666,0.6185,14.5739,7.4059,25.7592,21.2235,3.2006,3.2311,29.6401,80.0052,24.6454,32.1527,8.2516,23.0666,45.3513,2.266,0.291,249.8695,36.0343,1.1947,0.1827,0.6851,0.2176,0.143,0.4307,1.1519,1.5274,5.5142,1.2176,0.7775,4.2482,10.5231,8.3099,7.3245,1.8037,0.1356,0.5152,0.0,13.8683,0.0033,0.0907,517.486,23.18,0.0
IRL_C26,9.3061,4.134,0.5687,6.0944,0.0616,28.5777,0.4783,0.6549,0.3204,25.7168,40.7708,58.7234,2.1725,1.2747,4.6231,6.099,1138.9436,108.8499,42.2334,15.0298,8.7689,540.2216,0.9895,1.53,228.2467,54.4656,4.8153,0.1521,13.7801,3.8026,4.1846,6.7687,33.5402,154.671,126.6015,32.8096,2.8843,51.9146,119.5432,28.6236,17.772,236.438,5.3802,7.9394,0.0,569.7553,0.0356,0.4125,8632.6298,817.5362,0.0
IRL_C27,0.4044,0.0616,0.3503,0.0188,0.0115,3.5461,0.0251,0.0746,0.1099,1.7703,45.7796,6.9623,0.244,0.2246,0.0469,0.7446,116.4762,5.276,15.2335,3.3864,0.6419,59.4625,0.096,0.188,98.5039,26.366,0.4742,0.0523,1.7027,0.0296,0.1021,0.1147,0.1753,1.3966,1.38,0.2587,0.5043,10.3461,25.3752,1.9798,0.1573,9.4693,0.329,0.2221,0.0,44.2742,0.0048,0.1161,319.6182,12.8246,0.0
IRL_C28,2.1085,0.1585,0.2152,0.5046,0.0742,1.4307,0.1005,0.2353,0.0623,1.8625,0.8161,3.4321,1.0041,0.592,0.1869,11.0336,56.4813,1.4438,12.344,1.0398,3.6814,12.5699,0.4177,0.0495,29.4212,7.5684,0.9992,0.1159,3.2677,0.1459,0.2635,0.5769,1.0651,1.3456,0.6323,1.2108,0.0704,2.0145,6.0708,7.7643,0.3271,3.194,0.3992,0.9412,0.0,64.4648,0.018,0.8355,890.3113,10.8352,0.0
IRL_C29,0.0577,0.002,0.0069,0.037,0.0017,0.0327,0.0016,0.0077,0.0022,0.0464,0.0314,0.0825,0.0574,0.0104,0.0087,0.0895,0.9794,0.6591,0.144,0.2204,0.0692,2.9355,0.0324,0.0018,1.1991,3.7571,0.4834,0.0553,0.0973,0.0399,0.2152,0.0165,0.0172,0.1054,0.1071,0.2596,0.0087,0.148,0.1632,0.2431,0.0255,0.0475,0.0368,0.0383,0.0,43.5376,0.0002,0.0005,700.9706,0.7489,0.0
IRL_C30,0.0896,0.146,0.0231,0.0169,0.0,0.0034,0.0009,0.0076,0.0012,0.0001,0.0136,0.0245,0.0054,0.0035,0.0,0.0014,0.0198,0.0005,0.006,0.7018,6.1228,6.2292,0.0,0.0211,0.2516,0.1462,0.0816,0.0812,2.0694,0.0295,0.0417,0.0162,0.0004,0.0554,0.0583,0.0625,0.1033,0.5322,2.4279,0.1486,0.0044,0.1003,0.0105,0.0169,0.0,28.6022,0.0,0.0,771.4699,0.8652,0.0
IRL_C31T33,42.381,4.9554,0.6028,1.1137,0.6572,12.5423,0.1983,2.0049,0.6651,21.0219,7.0909,33.949,15.6584,7.5247,2.5506,39.114,203.5479,29.8684,39.868,6.8774,12.8835,1229.6121,3.9625,2.3802,308.2165,141.7109,35.3906,2.4139,145.2967,3.8841,9.2582,4.4367,22.9719,28.4897,12.4892,19.2738,1.2264,36.0991,70.4298,121.6841,7.5361,229.9087,7.0407,17.1054,0.0,2586.8576,0.0135,10.6275,2818.0875,113.0017,0.0
IRL_D,114.387,16.9533,3.4827,85.4704,0.3927,438.9269,14.4171,61.2235,18.0664,40.9017,113.6726,240.7657,107.2908,129.9519,14.0276,48.7922,173.825,13.165,44.0611,13.1713,46.718,61.0365,538.3678,107.2334,127.2529,1628.1488,116.4066,4.108,23.6989,39.3352,48.0532,184.7809,109.638,199.7451,47.045,124.9937,73.3501,336.6987,140.5249,0.7977,100.6137,151.3144,73.7238,80.1885,0.0,1219.4927,12.0016,123.2606,39.2455,2.7244,0.0
IRL_E,2.1388,4.8611,0.6951,2.6417,0.1355,38.4532,1.3925,1.9421,1.3273,6.5395,21.113,42.8408,25.4885,2.3266,83.4618,5.6292,40.5632,0.6963,8.4377,3.8626,0.6691,29.0026,0.3926,117.2732,125.6384,392.4449,13.5435,2.2989,1.101,5.2854,14.7617,24.4462,16.5142,3.0572,6.2292,22.8892,18.4636,88.1931,49.6721,404.1168,2.9692,137.984,24.9929,22.4683,0.0,957.6576,0.0033,422.7713,33.3944,0.2905,0.0
IRL_F,16.7418,1.6864,0.8421,1.9213,0.0434,31.3065,0.4372,1.3246,0.4686,22.4338,2.7185,12.2327,1.2255,1.7561,1.9868,2.6387,45.0479,0.601,25.305,0.383,0.1988,23.9757,2.992,1.9584,1346.7883,0.1037,0.0012,0.0416,0.8732,0.0,0.0004,0.0037,0.0007,0.0653,0.0001,6.22,11.0373,0.0938,7.0362,14.2734,13.3578,14.3061,0.1495,6.4895,0.0,22.5134,0.0,2.2985,27555.1353,0.0003,0.0
IRL_G,386.1773,19.323,2.0025,14.75,0.3384,1206.7447,14.2927,10.5092,12.1227,170.3872,85.0473,274.9805,34.6256,24.5533,13.4315,61.5237,396.3645,19.4796,73.3345,8.9388,15.1811,306.8392,86.7645,19.5636,164.1215,762.7072,79.3845,12.6252,81.6422,20.6564,27.2392,169.4865,374.0942,19.2244,230.4192,105.9041,13.2462,95.9634,80.6503,180.8919,33.2985,206.5209,22.6204,56.6788,0.0,3728.9875,29.0232,376.3772,5087.2681,444.1295,0.0
IRL_H49,26.8588,1.7596,0.7876,7.3498,0.3516,83.0454,2.4105,5.6061,4.1601,40.5748,8.8265,16.7984,10.624,12.2123,3.2434,19.1979,206.8623,4.7506,20.7928,1.505,2.9971,69.5316,7.3873,7.1476,116.9854,581.0036,60.1209,0.9145,8.3905,2.2368,18.8343,6.737,44.9899,2.5316,2.8408,86.2309,1.7669,17.6298,28.9359,17.9594,14.038,59.5441,2.0328,4.9448,0.0,1648.4026,0.3188,465.9985,365.7737,112.6549,0.0
IRL_H50,1.4144,1.2075,0.0341,0.3936,0.0036,7.572,0.1446,0.4538,0.2644,5.0779,2.2085,3.4073,0.7245,1.6498,0.3808,0.8207,42.8938,0.2931,2.7959,0.1695,0.4071,3.4726,0.7896,1.2963,1.9974,12.2785,0.3112,14.6997,2.952,2.8043,0.0851,0.9611,5.2461,0.978,0.3432,0.8721,0.1154,1.6356,8.4662,0.3869,0.0926,0.76,0.0961,0.1877,0.0,24.5972,0.0205,0.2252,39.5284,57.0589,0.0
IRL_H51,19.4732,1.1011,1.2018,6.3089,0.0295,96.3025,1.6209,0.8769,4.2405,37.3007,11.5201,52.2582,12.0205,23.4479,27.1544,5.9833,156.8172,8.2173,39.5795,6.0844,12.659,45.3844,7.3348,1.2063,15.5888,47.2484,2.8147,2.6909,84.7967,3.9318,10.1048,6.6892,15.0137,1.3809,0.8775,32.0809,0.6793,87.1018,80.2505,12.9897,4.1041,17.1189,1.3283,7.3289,0.0,286.8917,0.3266,11.0726,300.4486,209.9551,0.0
IRL_H52,6.8352,6.7044,0.0322,0.287,0.2545,14.4781,0.1481,0.1933,0.2432,5.5535,3.1027,9.098,0.8966,2.6099,0.4372,1.306,89.1517,0.8722,4.0413,0.2107,0.6131,7.4194,1.0381,1.6676,11.8074,316.3025,146.378,88.6319,167.9654,10.9925,4.6963,7.6237,4.477,1.7414,10.0853,22.1251,0.1433,16.506,11.512,1408.1851,0.2741,2.412,1.9116,3.4974,0.0,494.6367,0.0693,0.8991,60.9218,16.9814,0.0
IRL_H53,1.3329,0.0,0.1525,0.6349,0.0211,16.1731,1.9342,2.1528,0.5213,0.1374,2.4944,1.0071,3.4398,2.8906,3.567,6.3176,0.8391,2.5518,0.1906,1.4238,5.6164,3.4382,1.3024,0.5247,14.7652,350.5308,5.6714,0.0497,0.3194,1.207,327.7194,0.9342,126.3006,5.8156,20.6863,112.0171,3.6468,94.8395,30.0337,3.1626,0.9803,10.4627,2.2948,46.8426,0.0,101.1647,10.5667,0.0007,15.3902,5.1648,0.0
IRL_I,1.1133,0.2836,2.5464,8.8418,0.0862,44.62,10.3548,7.3313,2.4965,12.2618,36.0485,33.2483,12.2808,9.5855,13.874,28.742,50.5574,5.1748,17.3506,10.6283,13.1542,25.9212,101.7552,12.3065,29.4263,281.9629,14.8632,4.2889,84.1814,2.4842,10.574,56.6756,84.5041,10.004,42.5153,144.1913,11.33,413.9102,125.2923,7.0521,1.8908,69.1411,21.0836,30.5776,0.0,4796.658,0.0,0.0,1.9632,0.0027,0.0
IRL_J58T60,0.6081,0.0155,4.737,24.348,0.0238,132.3581,16.1735,5.3261,43.9415,0.0003,314.8579,103.7168,37.2813,30.1669,21.5524,123.4322,31.8734,7.9272,9.1483,8.651,9.3685,93.3636,290.1004,17.8687,2.2202,102.832,1.8317,0.0991,0.1623,0.1563,0.9813,15.1231,2144.0996,40.9114,25.0037,82.9979,14.7521,72.1455,47.6233,131.3294,52.2591,11.9308,19.7253,163.404,0.0,238.4265,0.0,349.0589,17135.9711,21.1641,0.0
IRL_J61,24.3624,1.2903,1.0895,7.4904,0.0588,41.9342,3.8947,2.8636,1.0071,12.2587,25.179,43.335,8.7592,6.7226,5.4256,11.6013,37.4244,2.2043,11.2068,4.1345,4.8736,73.4921,74.6486,9.9463,64.3486,280.7766,6.4905,1.9845,5.0474,2.9923,17.0675,5.5257,13.7572,346.2374,47.4626,259.2055,28.2898,303.6309,54.0451,4.3718,4.8205,33.1531,12.2431,22.8856,0.0,1283.446,15.3645,7.9286,114.538,11.1685,0.0
IRL_J62_63,9.4617,0.8098,0.194,1.2426,0.0254,28.2652,0.3198,0.6094,0.5452,11.8604,20.9731,116.4948,2.5411,1.523,1.2899,4.16,14.2266,1.8421,3.2762,0.8573,1.0257,12.5769,6.2151,3.2749,26.1837,75.038,2.7767,0.4754,5.044,10.7656,4.5438,4.7119,10.4851,17.401,250.4845,119.0136,3.5366,63.6914,37.7767,1.0132,0.9963,16.1625,1.8275,4.8576,0.0,3.7279,0.2571,9.7819,3248.8672,125.7975,0.0
IRL_K,26.5286,2.7632,1.0924,3.4114,0.0445,28.1773,1.5461,1.5345,0.8367,37.3645,4.594,10.3026,4.788,2.7172,2.6483,4.943,41.9649,1.4845,5.7245,1.3926,2.9716,10.7198,14.1249,2.1088,47.1524,53.1818,5.4189,0.5544,7.7432,2.2594,1.8686,16.1139,7.0085,2.8291,2.2537,222.426,39.326,16.0808,36.8245,2.3821,1.9567,7.1381,10.9591,9.1888,0.0,282.0396,0.246,16.5884,345.1693,110.7547,0.0
IRL_L,0.2364,0.0,0.2449,1.0796,0.0261,2.6941,0.5049,0.3664,0.1247,0.8709,3.2259,3.4535,1.099,0.9535,0.6933,1.4357,3.9857,0.3309,1.1665,0.2622,0.2329,11.391,9.7848,2.681,21.3006,104.1638,1.4902,0.1418,1.175,1.862,2.6088,17.4756,2.7458,10.1949,3.0754,303.5192,13.9743,29.9807,30.7346,49.5469,16.4025,32.9662,7.5957,3.2693,0.0,22288.8777,1.9831,81.5429,2517.14,2.76,0.0
