V1,BEL_A01_02,BEL_A03,BEL_B05_06,BEL_B07_08,BEL_B09,BEL_C10T12,BEL_C13T15,BEL_C16,BEL_C17_18,BEL_C19,BEL_C20,BEL_C21,BEL_C22,BEL_C23,BEL_C24,BEL_C25,BEL_C26,BEL_C27,BEL_C28,BEL_C29,BEL_C30,BEL_C31T33,BEL_D,BEL_E,BEL_F,BEL_G,BEL_H49,BEL_H50,BEL_H51,BEL_H52,BEL_H53,BEL_I,BEL_J58T60,BEL_J61,BEL_J62_63,BEL_K,BEL_L,BEL_M,BEL_N,BEL_O,BEL_P,BEL_Q,BEL_R,BEL_S,BEL_T,BEL_HFCE,BEL_NPISH,BEL_GGFC,BEL_GFCF,BEL_INVNT,BEL_DPABR
BEL_J62_63,11.5742,0.0568,0,4.5742,0.0656,96.1928,11.3968,6.2847,20.666,74.6595,123.0528,283.0997,23.4679,14.3631,61.6919,77.7397,75.8524,18.9464,56.8924,57.3128,6.7476,38.2768,158.7602,33.3848,170.0878,1229.8809,162.507,1.4643,16.9584,168.9884,37.6425,35.5792,85.3094,618.5342,3648.2139,1534.4904,30.1169,1657.869,649.2269,488.5978,46.1287,304.0556,118.3527,87.8533,0.0,268.0548,0.0664,87.1573,4760.1328,19.3195,0.0001
BEL_K,235.6507,4.3413,0,30.1722,0.5364,709.7667,60.0011,109.1123,91.4361,381.1262,558.2803,443.7757,109.6158,114.9204,300.089,225.8818,82.3236,58.2406,176.2109,179.2694,26.6839,131.2554,813.1417,306.5862,1324.3597,2186.3819,411.0356,68.9257,42.9928,444.691,71.5945,339.7457,93.277,334.7252,465.4555,10492.0673,4434.7861,3794.0233,1012.4987,885.9446,96.5594,610.6489,136.8683,175.4339,0.0,11929.7536,0.0321,27.5481,399.7714,80.0222,0.0
BEL_L,21.3805,0.0001,0,1.5594,0.1202,171.4234,17.51,8.1398,40.2518,8.5056,42.7754,23.6438,29.0478,17.5662,19.9562,101.1461,18.3345,12.3187,49.0339,78.5503,10.8198,69.7809,36.4894,116.4149,1134.2509,3050.0824,204.1517,2.2592,11.2983,938.801,67.9805,864.7702,68.5582,120.6225,252.2569,939.6362,2385.7461,2060.2692,649.312,766.9722,265.1447,760.2912,283.0664,403.0395,0.0,42348.6385,0.0002,45.7542,323.8751,0.3419,0.0
BEL_M,279.0179,1.5795,0,32.9953,1.1332,996.537,103.6141,94.1684,156.3765,2231.8272,1040.2532,3256.023,237.4017,218.5738,286.658,828.4647,249.6095,97.6941,350.0122,310.5189,84.2535,309.9977,629.5045,523.5975,2033.6113,7900.1871,278.6241,56.6962,114.2798,1175.8252,125.516,635.5271,401.2857,236.3044,1517.0196,3953.9113,732.9362,14352.83,2242.5934,1464.2,308.4503,904.8427,671.5503,961.5356,0.0,1317.2749,137.5392,949.9792,9658.2931,116.7334,0.0
BEL_N,220.1443,0.4044,0,18.9964,0.8598,987.0557,63.6458,69.2595,125.9236,856.2311,627.8917,3109.5975,214.8592,188.8513,272.6146,357.936,142.8724,100.1143,300.6191,350.2178,27.6966,249.6835,73.2417,261.8707,1899.0503,3604.8561,499.2127,54.4286,272.1635,1684.5061,146.0344,836.7341,437.4664,473.2684,895.5946,1289.4214,845.4254,3749.8147,3903.6687,559.4348,275.259,1141.0104,237.5786,337.9181,0.0,6203.8202,9.8115,64.8386,1653.2282,34.336,0.0
BEL_O,9.6577,0.1283,0,1.7462,0.0405,50.9663,1.9484,17.9128,6.8328,11.4929,15.9068,131.4019,8.4844,6.1776,11.0899,14.2372,7.9838,3.3504,8.242,7.1238,3.134,11.618,30.3394,16.8375,71.6916,378.6053,35.8337,3.4372,7.7527,99.453,6.5593,71.9346,46.3433,38.871,137.7827,134.7671,75.8367,305.6253,133.3401,86.6963,33.0588,85.6175,273.7343,40.1703,0.0,4997.6546,91.6772,38464.1671,697.9465,1.3826,0.0
BEL_P,0.2487,0.0897,0,0.6363,0.0245,7.607,0.7766,0.234,2.8769,15.8283,16.8554,544.1051,7.6214,4.0812,12.4512,9.3413,7.1084,2.9376,8.7978,3.821,3.1367,12.5621,6.8443,6.2788,21.9951,79.7211,13.8882,0.1568,3.9686,12.0603,1.3856,2.9933,5.038,15.1279,86.9852,118.081,14.3499,290.2437,48.042,105.5381,867.4706,33.5288,16.9796,14.9537,0.0,1722.2848,455.4516,29809.2275,2278.5705,0.0992,0.0
BEL_Q,0.5486,0.0001,0,0.2007,0.0187,3.519,0.6424,0.2634,1.3579,2.2144,6.5374,24.3474,3.0216,2.5826,9.0017,4.7232,3.8921,0.9395,4.595,3.1963,1.5257,4.8087,2.1895,3.2732,27.0501,31.0812,16.6502,0.3398,0.57,7.3402,1.0147,6.1207,1.9964,10.3014,38.3639,16.851,2.9485,52.3896,26.5117,104.505,1.4331,4603.5426,4.5605,14.3384,0.0,17425.5998,2759.0164,35736.272,99.8786,0.1503,0.0
BEL_R,15.5426,0.1054,0,0.5073,0.0095,66.3338,3.6686,3.3753,4.37,3.3662,19.4628,39.4524,5.9233,5.8695,10.526,12.8594,3.1316,3.3669,6.1581,6.6258,4.5956,15.5113,10.756,11.1872,79.272,246.6426,18.8419,1.1475,4.1579,32.753,2.9937,130.5077,157.704,33.3938,49.7134,72.0836,10.5581,160.2893,104.7352,158.3941,44.3317,105.9645,898.1636,27.1583,0.0,3243.7838,227.7627,1486.8805,213.3423,2.416,0.0
BEL_S,13.5344,0.1592,0,1.3222,0.0337,105.7047,5.4331,4.9054,11.8409,21.7848,82.9986,110.3252,10.1149,17.1692,165.8511,26.0204,8.607,7.5941,15.0493,15.2731,16.9246,18.9133,73.7156,97.0191,85.4633,400.5893,52.3368,2.3566,6.5609,103.1773,15.9026,137.8189,31.0457,23.8688,67.4951,489.0817,44.9365,540.4024,212.2928,45.8871,189.7123,704.8724,112.0937,1464.4459,0.0,4718.138,1918.2569,27.2274,59.528,3.9988,0.0001
BEL_T,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.5157,0.0,0.0,0.0,0.0,0.0
