V1,HRV_A01_02,HRV_A03,HRV_B05_06,HRV_B07_08,HRV_B09,HRV_C10T12,HRV_C13T15,HRV_C16,HRV_C17_18,HRV_C19,HRV_C20,HRV_C21,HRV_C22,HRV_C23,HRV_C24,HRV_C25,HRV_C26,HRV_C27,HRV_C28,HRV_C29,HRV_C30,HRV_C31T33,HRV_D,HRV_E,HRV_F,HRV_G,HRV_H49,HRV_H50,HRV_H51,HRV_H52,HRV_H53,HRV_I,HRV_J58T60,HRV_J61,HRV_J62_63,HRV_K,HRV_L,HRV_M,HRV_N,HRV_O,HRV_P,HRV_Q,HRV_R,HRV_S,HRV_T,HRV_HFCE,HRV_NPISH,HRV_GGFC,HRV_GFCF,HRV_INVNT,HRV_DPABR
HRV_A01_02,320.1819,10.4894,0.1569,0.233,0.7073,684.815,4.3213,79.8165,29.9578,2.2938,5.3686,2.3505,3.5092,2.6084,0.3884,3.2711,0.5024,2.3447,8.1937,0.4655,2.0793,105.7768,10.4928,2.8436,38.4058,224.0442,49.2897,0.7444,9.1185,7.4436,0.4572,18.4212,3.8504,2.0074,15.7036,7.0366,9.3221,19.4171,16.4621,13.8117,34.9186,12.9614,21.1782,17.4507,0.0,864.8699,3.8683,93.7433,96.2372,30.9988,0.0
HRV_A03,5.7692,6.8698,0.0228,0.1383,0.1295,51.0806,1.2535,0.7461,0.9044,1.3903,0.5895,0.6043,1.4663,1.1623,0.2386,1.8498,0.3691,1.1978,0.8087,0.1748,1.2095,1.4916,4.0093,0.7059,7.9925,7.7398,1.5583,0.4643,0.1251,0.683,0.0778,9.4374,0.4663,0.2106,1.0171,1.036,1.1727,1.386,1.1803,2.9919,1.2701,3.0645,0.8814,0.9363,0.0,63.9804,15.6528,3.5852,14.6412,6.256,0.0
HRV_B05_06,0.0012,0.0197,0.0767,0.53,1.6342,1.7628,0.0007,0.0013,0.0001,31.4608,0.0348,0.0007,0.0027,0.0,0.1062,0.0021,0.0,0.004,0.0,0.0001,0.0,0.0003,6.3027,0.0166,0.0481,0.0256,0.0322,0.0377,0.0,0.5313,0.0,0.0508,0.0003,0.0011,0.0,0.0,0.3511,1.4704,0.0366,0.0143,0.0,0.008,0.0,0.0167,0.0,0.0289,0.0827,0.0,0.0022,0.1847,0.0
HRV_B07_08,2.1959,1.0493,1.6958,31.6782,8.331,23.8172,0.1504,0.3834,1.8952,0.0,0.8965,0.389,0.2983,15.7152,1.0333,0.7262,0.0208,0.5751,0.1419,0.0426,0.271,0.2395,0.0603,6.797,70.1946,2.4815,0.7562,0.6394,0.0,10.1845,0.0,1.1685,0.006,0.0153,0.0048,0.0027,6.9232,20.4423,0.723,0.6617,0.0319,0.4873,0.1857,2.2269,0.0,0.6872,0.0,0.0,0.0,3.138,0.0
HRV_B09,0.0,0.3301,0.1863,0.0095,9.4038,16.0063,0.0058,0.0189,0.0016,135.6239,0.5826,0.0091,0.0347,0.0,0.7756,0.0204,0.0001,0.0375,0.0,0.0012,0.0001,0.0031,29.4535,0.1677,4.947,1.9874,3.4275,0.4627,0.0,7.1985,0.0,0.4457,0.0,0.0,0.0,0.0,4.8701,14.7457,0.4925,0.0,0.0,0.1348,0.0003,0.2791,0.0,0.0,0.0,0.0,0.2254,0.0,0.0
HRV_C10T12,199.4683,3.0159,0.0015,0.0067,0.0041,221.5995,41.1586,0.1249,2.6226,0.0068,25.5586,14.2148,0.6975,0.4643,0.0759,0.1862,0.0042,0.0982,0.1134,0.0112,0.059,0.0708,1.2153,0.1209,3.4403,157.1289,0.851,4.2303,0.2136,7.4668,0.01,765.1288,0.2064,0.0052,0.1211,1.2631,1.1838,20.5194,51.4562,0.3284,52.1134,70.1174,28.5303,4.5422,0.0,2645.6294,4.5904,0.0019,0.0,48.699,0.0
HRV_C13T15,5.2176,0.0508,0.0093,0.0148,0.0248,1.8663,76.6157,0.091,0.8308,0.047,0.1341,0.2592,1.8293,4.7788,0.2851,0.6641,0.0565,0.9905,0.5979,0.2851,0.8706,3.9957,0.5752,17.0697,2.4858,15.551,7.9542,1.0786,2.0497,9.6388,0.9895,7.4426,0.0879,11.9709,0.6116,6.1543,19.4858,14.5531,13.5805,131.5592,9.8784,36.8469,16.2612,6.7943,0.0,320.8287,9.4838,0.2109,11.4357,16.243,0.0
HRV_C16,12.4292,0.9332,0.3224,0.3705,0.9813,30.9509,4.0835,183.6854,5.9776,2.4237,2.2166,1.6001,6.9246,4.7322,1.0061,17.0606,0.772,5.6807,5.1009,0.6147,5.5052,14.9664,14.03,1.5528,62.9507,18.3482,3.8929,0.8691,0.3019,12.9909,0.1506,10.1279,0.7075,0.5414,2.3658,3.4717,41.6412,4.4204,2.9039,6.5634,3.1254,13.6829,11.0803,7.4849,0.0,86.8022,6.3937,7.5839,39.1918,9.8739,0.0
HRV_C17_18,14.1803,1.2922,0.1171,0.6913,0.4074,73.7763,9.4332,9.8403,203.9067,2.694,16.8209,11.3194,7.9358,9.5985,0.6611,9.1329,0.7558,5.0065,4.6386,0.4398,6.463,5.3926,11.3974,2.1406,13.1282,33.6435,5.7543,1.3703,0.2593,7.0423,3.0404,78.8251,33.3004,5.1273,5.4753,11.257,6.0096,23.0327,11.3621,18.4645,13.4939,19.9535,26.2465,45.8113,0.0,255.8542,4.8578,5.2896,24.6431,12.9863,0.0
HRV_C19,30.5525,3.6629,0.3015,2.0687,1.5945,44.1861,10.2226,5.5957,6.3547,18.5198,5.6595,4.8194,7.3657,11.4156,2.6502,14.0043,2.3137,8.2711,5.854,1.6814,8.1176,10.4038,306.5254,12.0113,115.7585,63.3129,65.4404,25.8382,8.0373,11.0458,2.6016,42.9518,9.7621,5.1034,9.2961,11.2554,16.4367,29.0787,20.4808,32.6973,5.8911,25.6081,9.6879,12.8815,0.0,462.9329,6.3967,31.9239,87.4993,17.9345,0.0
