V1,ROW_A01_02,ROW_A03,ROW_B05_06,ROW_B07_08,ROW_B09,ROW_C10T12,ROW_C13T15,ROW_C16,ROW_C17_18,ROW_C19,ROW_C20,ROW_C21,ROW_C22,ROW_C23,ROW_C24,ROW_C25,ROW_C26,ROW_C27,ROW_C28,ROW_C29,ROW_C30,ROW_C31T33,ROW_D,ROW_E,ROW_F,ROW_G,ROW_H49,ROW_H50,ROW_H51,ROW_H52,ROW_H53,ROW_I,ROW_J58T60,ROW_J61,ROW_J62_63,ROW_K,ROW_L,ROW_M,ROW_N,ROW_O,ROW_P,ROW_Q,ROW_R,ROW_S,ROW_T,ROW_HFCE,ROW_NPISH,ROW_GGFC,ROW_GFCF,ROW_INVNT,ROW_DPABR
ROW_A01_02,245349.3978,2194.8424,4271.0406,860.4039,2061.4109,166589.3999,10080.7829,7024.9112,2712.4404,798.4107,3907.7212,2358.0003,3463.393,542.1766,550.937,353.4432,113.2994,105.1076,196.8827,265.4181,40.5024,1376.628,2056.8031,413.5337,9559.0815,11728.5562,945.0494,380.2068,197.031,456.4053,36.0185,19938.4883,309.0283,327.7263,142.5051,832.9839,1360.1042,1027.1795,1396.1605,7324.3031,5266.7871,5297.9579,784.4764,1599.9738,0.0,280407.2881,151.8176,4031.8798,19331.3473,32965.2901,140.3516
ROW_A03,700.798,9859.169,158.8769,27.6852,8.7115,11951.7753,37.2871,14.9265,17.3878,34.0176,45.7147,14.2923,11.0485,29.4931,34.2493,16.629,7.3098,9.1781,13.4691,12.8338,3.2044,23.4861,40.7227,15.7164,184.2987,276.3042,96.657,76.5971,111.6917,28.6089,2.5168,3043.5361,23.346,30.8746,11.4285,32.4069,36.272,42.6819,23.8401,606.9387,153.8281,551.4279,47.3529,71.8527,0.0,31938.3392,28.0429,208.8471,427.8989,2866.7026,13.2861
ROW_B05_06,2949.611,491.7175,248437.3676,8012.3395,7293.3485,6820.6771,788.1819,147.8718,808.0381,125573.3136,18154.9406,472.5324,528.9104,2508.5283,5046.7042,471.9262,293.3583,230.6549,679.5435,311.3218,91.0555,385.1204,35702.3253,2411.5322,10326.2168,7935.2217,21629.5174,2104.0975,2905.461,2232.7711,492.4602,1793.5324,340.6886,1575.6406,244.7928,582.2759,1990.6994,1153.8747,783.7089,4319.2067,3669.3436,1325.5301,363.7994,836.2685,0.0,11771.9662,3.9023,286.3961,15726.0573,52862.6253,60.367
ROW_B07_08,1464.7725,89.7829,11493.4247,40706.7456,5249.2111,1132.3253,143.8524,25.715,249.0105,1068.9886,5210.1746,169.2161,128.2815,9819.7844,34856.6779,385.8973,117.4541,261.2181,185.7148,103.2226,21.2212,343.4128,1064.1916,353.2496,33569.5477,598.55,222.892,25.0183,30.9166,146.4187,8.7249,198.5709,31.5459,54.9147,18.004,53.7551,1387.1052,147.0679,139.8242,1116.151,235.7379,115.6835,62.9458,170.3265,0.0,3331.4365,3.3842,125.8228,2773.177,8447.9372,10.3375
ROW_B09,462.0279,166.3537,60696.5348,4865.7991,7847.2458,70.8134,12.7859,3.6422,56.0755,3622.802,217.4712,10.0156,12.3587,2902.7836,5278.525,319.0344,4.8926,5.5276,13.8567,7.1557,2.0286,96.684,344.7396,36.3993,2568.8664,98.8271,160.8029,18.8311,46.9487,125.3102,4.2097,28.3538,11.1079,12.9546,6.6436,26.8792,113.5689,64.4381,40.6581,155.8858,131.469,46.0553,15.4765,40.1322,0.0,213.4172,0.8517,32.0269,4403.626,31.2634,4.1878
ROW_C10T12,48225.8504,4368.854,6352.963,563.3838,161.408,68247.6025,1383.751,236.9873,573.7563,1131.3643,3122.6535,996.4641,399.6027,651.4402,679.554,472.1196,100.2623,127.8847,247.3226,296.1559,45.2291,440.4439,1661.9775,391.5352,5755.1983,7798.3664,1753.731,751.0864,675.7248,619.9573,27.404,41603.1444,379.8303,295.668,150.5372,1692.5688,1505.4565,707.1257,537.9292,9422.543,7863.6119,6678.3823,1040.1001,2117.6261,0.0,236492.218,110.0059,1310.4887,2011.7945,12248.9094,501.8055
ROW_C13T15,1111.4225,247.4552,1683.554,244.7769,123.3577,816.0453,52803.2364,178.1758,1174.2394,387.2565,455.3543,409.7102,1240.3773,1278.3831,1064.0887,1242.2106,165.5787,589.1003,394.5686,1433.4426,134.303,2976.3848,706.0577,352.8478,2659.3162,5731.4629,966.0682,168.9738,353.533,289.2839,79.4281,1342.115,194.9555,397.3583,211.9149,418.5728,400.902,735.5604,722.9255,4616.5215,1128.3945,1888.9367,979.7072,2481.4677,0.0,80247.7102,61.2157,467.1954,1544.8365,4066.7424,316.6843
ROW_C16,492.4571,27.7278,251.5262,139.21,23.3447,424.7909,104.4047,6607.2771,1344.6499,27.4386,161.4338,24.5298,97.2934,214.4039,119.4546,156.2072,35.9274,79.8567,123.9802,146.7479,48.564,5410.1039,240.8819,36.7201,11737.4277,585.0936,106.0843,15.3896,15.0338,76.8,8.7778,92.9309,41.2319,37.4205,15.4335,52.1117,1003.6354,99.1844,79.0594,267.9424,167.6056,90.6106,46.8564,369.1117,0.0,2624.0875,7.4552,23.9638,1102.9121,339.8844,17.2204
ROW_C17_18,623.4178,68.4669,439.9885,119.0676,42.8971,4626.717,715.6224,319.5981,11846.2898,127.5598,1037.6883,964.2215,419.9893,1179.2246,250.5325,149.8012,231.9295,243.2854,182.8216,115.989,20.0676,630.0272,259.2322,161.4859,900.6953,5949.4848,344.1933,59.1261,90.4915,263.7425,141.4061,583.0207,3774.1314,385.161,295.4177,2051.818,778.768,1991.226,875.5106,2625.5315,2686.6798,936.7092,400.4834,1135.3141,0.0,10368.734,17.7542,385.7501,850.5275,361.6029,52.8477
ROW_C19,7113.2244,2216.4304,10873.2297,3979.6282,1686.8179,2091.72,654.1452,260.359,432.4947,18907.8562,15491.2283,367.5019,552.0918,2232.726,3675.3469,344.188,223.0722,304.8254,309.6119,258.2484,58.5772,501.6748,4037.2502,806.4726,8065.4321,8121.0293,36395.1398,5591.2189,10924.0056,1911.9144,475.0604,948.4873,340.9041,644.5286,211.3505,985.6806,881.4178,1292.6686,1421.9483,5674.2775,2096.1663,1515.8958,400.9661,1259.3368,0.0,42998.7708,3.9467,211.1496,3437.4002,4842.3277,311.5836
ROW_C20,15337.2998,177.3205,6710.72,1738.3708,763.1876,2526.8736,6049.9623,996.7523,2810.0111,6681.1157,29827.8461,2279.2075,16015.1153,3976.6863,3678.0351,2133.6164,663.7446,1721.7226,751.2176,1133.5624,243.3588,1518.3469,638.4317,560.8431,9204.8366,2186.0929,835.5997,177.0852,195.5418,205.4788,23.6112,545.3658,526.9767,119.4754,80.8088,189.0584,1683.4788,718.6423,603.006,976.1657,846.2666,2220.8664,191.0567,1528.5793,0.0,16140.9624,22.1728,608.5759,1089.5503,5900.6788,51.4949
