V1,CIV_A01_02,CIV_A03,CIV_B05_06,CIV_B07_08,CIV_B09,CIV_C10T12,CIV_C13T15,CIV_C16,CIV_C17_18,CIV_C19,CIV_C20,CIV_C21,CIV_C22,CIV_C23,CIV_C24,CIV_C25,CIV_C26,CIV_C27,CIV_C28,CIV_C29,CIV_C30,CIV_C31T33,CIV_D,CIV_E,CIV_F,CIV_G,CIV_H49,CIV_H50,CIV_H51,CIV_H52,CIV_H53,CIV_I,CIV_J58T60,CIV_J61,CIV_J62_63,CIV_K,CIV_L,CIV_M,CIV_N,CIV_O,CIV_P,CIV_Q,CIV_R,CIV_S,CIV_T,CIV_HFCE,CIV_NPISH,CIV_GGFC,CIV_GFCF,CIV_INVNT,CIV_DPABR
CIV_G,415.1342,15.965,7.8664,50.7275,5.0925,914.0136,74.944,26.5137,58.9953,128.5029,109.7063,44.0257,57.482,124.2414,17.8993,77.2982,20.0986,2.9733,56.1731,1.1865,3.2071,47.4802,49.7486,26.0206,507.1413,488.6054,551.3584,68.3757,150.8452,241.9462,110.7769,805.545,81.4421,103.6674,69.7452,67.5304,8.4505,11.3929,27.6263,94.4551,28.6688,22.5491,27.2228,87.5577,0.0,7122.2612,0.0,21.3113,876.0894,1.2719,0.0
CIV_H49,102.5012,7.1616,2.1203,14.3209,0.7137,137.8115,5.1523,5.7985,7.1935,30.4821,14.9519,3.378,11.0048,8.6726,7.3332,19.7531,1.8976,0.8468,3.5198,0.2218,0.5075,7.0952,2.4267,1.7302,76.1377,630.909,22.6995,4.5176,8.0182,15.1584,3.7961,52.5405,1.2697,1.596,0.7393,3.1917,2.2853,1.8948,3.1968,5.191,3.6696,2.0227,0.2262,9.2636,0.0,1226.6339,0.0,0.9258,85.9501,2.2789,0.0
CIV_H50,11.5086,4.8882,0.5512,3.4409,0.2398,19.6603,0.7544,0.9507,1.0561,9.1247,3.0293,0.8486,2.0,1.5529,1.0866,3.0421,0.5087,0.1569,0.7376,0.0358,0.1044,0.9604,0.3249,0.2644,10.3473,137.7898,3.8528,7.9214,1.8481,8.2183,2.0755,6.0671,0.1697,0.359,0.0939,0.3504,0.3572,0.2743,0.563,0.6805,0.3677,0.2379,0.0413,1.2733,0.0,142.9875,0.0001,0.3551,19.7761,10.1742,0.0
CIV_H51,16.3008,2.8164,1.0088,4.0339,0.5013,21.905,0.8987,0.7872,1.0519,10.0054,3.7956,1.4777,2.5782,1.5529,1.0098,3.0603,0.9401,0.193,1.3597,0.0513,0.1824,1.0809,0.5179,0.4105,11.3424,197.8394,3.7467,1.5451,10.2134,7.808,2.9902,5.3677,0.4393,0.6971,0.5204,4.0094,1.592,1.5603,2.3987,3.4015,1.6399,0.6101,0.1761,3.1521,0.0,447.6284,0.0001,0.4329,21.7203,14.0782,0.0
CIV_H52,89.2978,11.8872,1.4057,10.8874,0.4919,73.318,1.8432,2.8486,2.9196,6.7045,8.5896,2.052,6.9596,2.8449,1.3424,4.2623,1.5077,0.3439,3.1215,0.1522,0.342,2.0193,1.0067,0.8711,20.1787,1066.0633,27.0702,17.2639,24.9787,65.8605,3.1763,9.2615,0.7246,0.7934,0.4532,2.5814,2.3145,1.5437,3.46,3.2046,1.2417,0.6922,0.2086,4.5658,0.0,415.1419,0.0,0.1448,14.1099,0.5191,0.0
CIV_H53,19.574,2.954,0.5504,4.6697,0.3728,23.7241,0.5857,0.8043,0.8628,0.565,2.3688,0.9097,2.195,0.4934,0.0605,0.6149,0.6475,0.0948,1.2937,0.0413,0.1137,0.3488,0.7055,0.5821,4.6854,350.1616,3.5037,1.1301,1.7545,8.6384,14.9399,0.8711,0.8649,1.0761,0.5053,8.932,3.4432,2.0421,2.5755,5.0508,2.169,0.9538,0.2477,5.1052,0.0,168.2468,0.0,0.0,0.0,0.1324,0.0
CIV_I,9.5049,0.0449,0.8102,4.1842,0.5733,12.971,0.0683,0.7643,0.5746,0.5246,2.2518,0.8671,0.6049,0.4041,0.1929,1.7553,0.0,0.2256,4.4352,0.0067,0.0219,1.2369,4.9754,2.804,22.0327,30.2171,3.2928,0.6607,4.9285,3.8278,1.0694,32.0749,6.3674,5.9176,6.4544,7.9405,1.2876,12.0155,5.2998,17.8314,5.7329,2.4101,1.1862,62.7344,0.0,3861.9293,0.0,0.0,0.0,0.0,0.0
CIV_J58T60,21.5378,1.2008,0.0869,0.5502,0.0331,6.4254,0.1455,0.171,0.6727,0.3781,0.5551,0.2202,0.0861,0.0723,0.0277,0.2568,0.151,0.0104,0.5863,0.004,0.0145,0.2434,0.3618,0.1281,9.4663,10.1702,3.0568,0.9391,2.9112,6.467,1.9429,1.058,89.7795,27.0745,20.4193,3.5177,1.5905,1.3982,2.5437,2.4381,3.7912,0.1689,0.2451,5.834,0.0,510.3071,0.0,0.0,97.6248,0.0876,0.0
CIV_J61,73.7066,3.1598,0.253,1.4673,0.1148,9.199,0.4018,0.4384,0.7988,0.603,0.7422,0.2675,0.2246,0.1842,0.0708,0.7947,0.3143,0.0184,1.5213,0.0083,0.0239,0.4534,0.92,0.3817,36.6751,18.6731,12.2576,2.5612,5.1202,18.2842,6.0216,2.2097,10.2406,76.0755,10.9809,9.7149,4.1235,1.3627,5.4018,4.9052,2.5447,0.4414,0.2061,10.5144,0.0,890.6537,0.0,0.0,68.0173,0.1651,0.0
CIV_J62_63,85.7002,3.1227,0.4188,2.5683,0.2479,11.8522,0.7147,0.5394,1.438,1.1882,1.6914,0.6244,0.3284,0.2895,0.1559,1.3209,0.7477,0.037,2.6091,0.0194,0.0661,0.8654,2.2458,0.7292,46.1222,36.5527,15.3435,4.5847,16.0458,33.388,9.7668,1.7105,43.5992,53.2769,141.0092,24.1531,5.9904,3.5812,10.1859,9.0113,5.2865,0.7231,0.4487,14.2659,0.0,333.3833,0.0,0.0,294.0034,0.2238,0.0
CIV_K,50.365,0.2893,6.2661,34.715,2.304,99.875,4.1058,2.3617,5.7674,10.8653,31.3866,7.9286,4.6757,5.5316,0.9228,4.9168,1.5648,1.0326,2.2579,0.4644,1.3082,1.4929,43.6041,8.4983,63.1599,215.1128,45.6708,15.3833,22.621,56.6808,7.2655,8.9884,5.7186,9.9912,8.0769,169.86,77.2696,4.1216,5.5527,12.2045,3.1082,3.5808,0.684,9.5258,0.0,213.5102,0.0,81.5274,7.8143,0.0896,0.0
CIV_L,41.6288,7.9951,1.2808,7.8285,0.6133,45.9196,8.8663,12.5595,20.1642,1.1256,7.3399,2.3485,2.2281,6.4787,0.813,10.2176,5.1104,0.2157,38.1057,0.5206,1.2555,10.3755,2.7411,0.2018,47.5166,300.9603,14.3448,2.5887,5.1337,37.4106,4.688,22.1169,9.1665,17.705,13.2094,49.688,26.3092,12.9693,24.3173,13.3622,7.035,4.2913,0.978,17.3125,0.0,2389.115,0.0,0.0,0.0244,0.0089,0.0
CIV_M,24.098,0.2268,1.6854,10.7042,0.8625,111.3876,1.6192,3.0021,3.0155,5.1112,18.5869,9.5203,2.7378,3.5479,0.7073,5.4786,3.7381,0.3608,14.2936,0.1563,0.4612,2.5173,30.4165,10.2396,182.0369,153.3474,11.7191,4.1762,7.4179,23.7099,2.9221,13.1833,17.6346,18.8579,19.9978,70.0074,15.2422,37.6737,23.0191,33.1962,25.1875,74.3289,3.8097,2.6932,0.0,95.4425,0.0,0.0,186.7081,0.1001,0.0
CIV_N,58.8843,4.3433,5.4959,43.3716,3.8278,129.1487,3.5246,5.8059,10.1672,5.6249,20.1194,7.1196,3.9913,17.5292,3.9331,37.7335,1.2251,0.6581,16.7452,1.4928,4.2736,10.2267,39.7205,18.9346,86.1505,543.7944,49.8062,20.6417,47.98,70.944,11.3405,18.3796,33.9094,42.0794,41.9721,32.8929,35.4091,52.9899,40.6951,20.7447,53.8513,39.4401,2.2729,22.4488,0.0,134.9077,0.0,0.0,0.0,0.0107,0.0
CIV_O,0.243,0.0466,0.0075,0.0458,0.0036,0.268,0.0517,0.0733,0.1176,0.0066,0.0429,0.0137,0.013,0.0378,0.0047,0.0596,0.0298,0.0013,0.2223,0.003,0.0073,0.0605,0.0161,0.0012,0.2773,1.7563,0.0837,0.0151,0.03,0.2183,0.0274,0.129,0.0535,0.1033,0.0771,0.29,0.1535,0.0757,0.142,0.0781,0.0423,0.0252,0.0057,0.1012,0.0,8.5333,0.0,2724.6884,0.0,-0.0007,0.0
CIV_P,0.8045,0.0041,0.082,0.5776,0.0474,1.0448,0.0182,0.0198,0.0742,0.0724,0.2399,0.1282,0.0436,0.2889,0.0237,0.169,0.0015,0.0131,0.0113,0.037,0.1175,0.1221,0.8702,0.1498,0.9181,4.3386,0.2064,0.0751,0.2601,0.3573,0.0893,0.2276,0.1756,0.223,0.3073,0.934,0.1024,0.5382,0.7014,0.7204,7.0889,0.9386,0.0552,1.1607,0.0,140.1516,0.136,2458.3962,0.0094,0.0001,0.0
CIV_Q,0.0,0.0,0.0379,0.277,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.364,0.0,3.8707,0.0,0.0,0.0,164.2278,131.8972,764.331,0.0,0.0,0.0
CIV_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6143,0.0,0.0,255.8269,7.1058,0.0,0.0,0.0008,0.0
CIV_S,1.5634,0.0218,0.4767,3.7417,0.3742,4.9187,0.0518,0.1246,0.1803,0.5236,0.7319,0.2433,0.1621,0.2503,0.0171,0.1392,0.3892,0.0099,4.5395,0.0023,0.0059,0.1016,3.1866,0.0663,3.1062,12.658,0.724,0.2028,0.3807,1.0851,0.2201,0.5817,2.9334,2.7671,2.9552,30.4333,0.2419,0.4809,0.4743,2.868,0.4455,0.558,0.4082,8.5082,0.0,741.457,137.3414,0.0,0.0,0.0,0.0
CIV_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.3843,0.0,0.0,0.0,0.0,0.0
