V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T,ITA_HFCE,ITA_NPISH,ITA_GGFC,ITA_GFCF,ITA_INVNT,ITA_DPABR
ITA_J61,36.3558,12.3495,31.691,7.407,2.7332,877.6331,359.1938,90.0163,331.8194,36.2474,250.2671,101.6629,391.6963,444.8464,481.1114,628.3222,221.5404,151.9721,399.2891,319.162,127.6649,244.0544,280.223,562.4392,338.3665,1982.3337,287.236,29.2478,132.6923,339.5402,31.6662,1335.2269,361.4096,7534.8176,336.2725,443.5201,123.0022,441.1948,318.842,729.2093,140.1007,642.9357,446.0593,352.0696,0.0,13086.8369,0.229,91.8876,1361.5348,14.7667,0.0
ITA_J62_63,81.4651,4.4012,162.508,29.1844,2.8826,753.7163,446.648,61.7103,287.3831,85.1305,191.1389,135.7113,310.8103,190.436,158.9488,477.1428,247.2499,305.4247,1080.4763,804.4894,280.5424,439.8293,941.9592,455.5139,1333.2124,6179.078,916.0725,57.213,41.3237,997.8266,101.0322,1096.302,545.0304,423.9921,6898.8862,3963.7317,345.6127,4315.558,1882.3918,1125.1787,312.1888,936.2028,703.5549,477.5231,0.0,2722.7241,16.0622,1459.3416,21691.5971,-7.7832,0.0
ITA_K,828.2869,31.0308,81.7299,25.9688,15.5801,2377.011,1696.9307,262.5273,628.9247,229.1942,686.8824,431.8569,743.563,806.922,696.8451,1641.8698,365.9159,611.9119,2296.3356,674.7369,797.3893,1303.7706,1785.1939,708.0522,4440.2292,16392.552,1939.923,628.6003,172.8169,1284.1777,100.2627,2434.2474,484.1758,981.0004,1156.6692,31257.3102,9822.1709,3510.8089,3345.6083,3575.8925,473.8633,1562.1353,1128.073,1348.5871,0.0,36716.6603,0.4512,186.8272,1252.3288,57.7348,0.0
ITA_L,62.4219,5.7396,44.2553,75.4826,3.139,1023.8601,1558.7178,189.9982,387.8716,44.7222,385.8337,136.672,562.5828,360.8213,256.5909,1143.6554,172.7171,345.5716,1180.0419,346.25,199.2102,927.3262,582.1277,550.5324,2130.5091,18043.9627,1649.9698,23.955,190.7263,1555.2386,267.2462,6347.1195,779.8304,1119.6884,1751.4826,3599.0866,2262.0526,3887.3035,2095.3534,1683.3441,1020.7042,2963.8851,1317.1277,1067.2478,0.0,198838.9236,0.0568,629.9139,8466.3756,1.3737,0.0
ITA_M,771.0373,8.2516,215.2032,89.4366,38.4142,4822.7774,3342.137,348.7454,1680.927,555.6154,1003.0728,1391.1187,1154.9821,853.3755,1763.8775,2210.2769,951.2139,1387.5875,5238.7302,3442.8683,1539.1782,2339.2822,1996.1976,1649.941,13923.1937,23802.5961,1504.1983,218.8804,278.4671,4291.8329,133.9924,2601.0381,1772.5267,739.0092,6776.1243,4197.0428,3229.5428,24656.3601,10512.6824,4253.6725,1673.2105,4105.5417,3081.8299,1593.3175,0.0,10560.8027,420.631,5707.4226,23115.1275,-1818.7882,0.0
ITA_N,456.0005,2.1139,192.0515,99.2498,24.0828,1773.3684,2651.7978,213.4293,1027.2373,816.7498,567.593,688.8793,677.1223,512.437,2116.8148,2107.3817,452.0382,714.5455,3792.6552,896.5747,515.6009,2087.7605,964.6569,3445.8762,11536.6252,12549.1376,1715.312,1158.9366,2550.1905,3814.406,250.5019,2924.0911,1498.8086,1092.7294,2461.9709,1366.86,1905.1952,6307.4799,8030.2864,8492.3949,1397.427,4025.2093,1924.3322,829.6938,0.0,14560.9724,32.3272,2014.4508,2232.3628,-454.533,0.0
ITA_O,141.0742,0.5228,82.3915,58.3617,1.9064,557.075,476.1615,113.369,380.8891,1674.3738,258.3303,272.8439,146.5425,133.013,1540.4202,279.3215,48.1059,96.5015,348.3895,187.1657,131.0364,261.6063,214.1972,1969.379,1060.2989,1891.4044,377.5169,56.106,102.435,371.8152,170.095,730.2786,358.3884,76.8502,437.4558,226.3534,240.4523,738.0036,713.232,2526.1951,253.7836,675.4635,982.7847,127.1619,0.0,7152.5573,250.0588,136707.8358,832.855,7.3934,0.0
ITA_P,6.167,0.0495,18.4727,3.4506,0.3242,144.9299,145.1157,8.3224,53.1334,17.3825,84.9211,151.7932,48.3197,30.2635,50.5639,122.8218,65.0238,59.1208,245.775,93.6036,58.8945,134.6394,80.3619,96.1789,366.4981,1080.4707,73.1299,48.783,27.9771,358.6911,9.3346,88.3691,83.8198,31.4903,353.5258,103.4773,18.4059,625.1219,523.4903,715.4993,1214.3377,728.8639,140.0843,388.4057,0.0,12062.4427,641.6647,67365.1142,123.4024,0.784,0.0
ITA_Q,57.6425,0.1815,24.0832,4.3916,0.4327,57.7478,39.3972,4.3617,25.8531,104.2178,19.7937,84.5828,8.5721,10.7532,79.2595,14.5413,5.3507,9.6584,195.2225,59.8946,24.1502,131.199,29.0602,282.2682,242.9078,180.747,56.5953,11.3699,10.5774,76.3405,14.167,69.2726,25.7552,7.6979,96.7995,71.1635,36.6025,1583.546,2710.5809,424.3945,733.4906,17049.0228,799.0768,54.7824,0.0,30452.6608,1129.7874,126999.3159,834.5426,2.8928,0.0
ITA_R,28.9754,0.3959,28.0758,18.3788,2.0977,894.7396,742.0719,15.3512,511.0125,1239.6715,81.8327,489.8838,48.1346,64.4813,286.9368,79.8304,21.7077,56.0303,222.5961,44.8965,44.9977,235.1002,134.0465,134.9167,1090.607,1404.1738,134.2853,84.999,47.1104,226.6136,45.1067,1408.467,2612.2938,163.4556,488.6521,78.1467,202.4145,713.659,966.289,213.6173,144.1443,435.0315,7753.275,497.6254,0.0,17778.1532,2408.8203,3753.1248,524.9696,-79.03,0.0
ITA_S,246.857,2.7261,15.4979,6.4681,1.2742,168.6807,209.2837,12.2671,94.2127,418.6864,46.1486,101.2082,22.9889,27.3348,87.1185,42.5889,25.4159,31.1249,210.5853,76.7528,43.1714,291.0166,155.9459,445.7642,546.7291,470.2603,68.2482,12.7597,15.981,191.3072,68.708,214.1401,202.2718,34.183,245.4483,114.3688,90.473,824.502,1631.101,782.2507,272.1356,1384.3245,434.9784,356.4511,0.0,30317.3027,3392.1996,1857.1587,439.1988,10.8787,0.0
ITA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20179.8711,0.0,0.0,0.0,0.0,0.0
