V1,DNK_A01_02,DNK_A03,DNK_B05_06,DNK_B07_08,DNK_B09,DNK_C10T12,DNK_C13T15,DNK_C16,DNK_C17_18,DNK_C19,DNK_C20,DNK_C21,DNK_C22,DNK_C23,DNK_C24,DNK_C25,DNK_C26,DNK_C27,DNK_C28,DNK_C29,DNK_C30,DNK_C31T33,DNK_D,DNK_E,DNK_F,DNK_G,DNK_H49,DNK_H50,DNK_H51,DNK_H52,DNK_H53,DNK_I,DNK_J58T60,DNK_J61,DNK_J62_63,DNK_K,DNK_L,DNK_M,DNK_N,DNK_O,DNK_P,DNK_Q,DNK_R,DNK_S,DNK_T,DNK_HFCE,DNK_NPISH,DNK_GGFC,DNK_GFCF,DNK_INVNT,DNK_DPABR
DNK_H53,2.9913,0.1325,0.2583,0.0547,0.5221,38.558,0.6058,4.3404,16.9315,0.6958,18.989,25.8384,0.7921,1.5895,0.0628,2.0343,0.8503,1.4144,6.079,1.7988,0.2447,12.0144,25.4996,41.4024,8.5424,295.2581,30.1901,8.6473,2.4526,139.4392,73.715,20.0972,124.711,10.8113,63.8367,62.0166,15.1039,156.6348,151.7207,77.751,53.6426,185.0847,41.2635,21.4772,0.0,85.1967,0.0,0.0401,3.4313,1.4127,0.0
DNK_I,3.677,1.9894,0.7773,0.1121,2.7506,26.4261,1.9787,2.3731,2.2626,0.2246,21.9814,264.5109,5.5861,5.2759,0.8934,10.509,20.1516,7.1704,34.3446,2.5992,1.0974,12.3898,4.13,22.9066,11.9166,446.3482,143.5624,26.3869,49.9391,58.5477,12.5772,219.6563,40.3325,12.2508,95.5268,102.4666,19.9935,265.4708,216.5112,103.8909,82.1115,189.0401,79.8472,70.7728,0.0,6898.3374,0.0,0.2394,0.0,0.0025,0.0
DNK_J58T60,3.4538,0.6258,0.8997,0.3505,0.5587,43.5582,1.0921,1.1263,6.627,0.2128,9.5543,83.6344,0.9775,2.4932,0.1061,3.0727,19.5972,3.997,31.0534,1.0917,0.551,16.2519,4.8278,24.0129,13.9989,389.098,11.2302,17.0731,2.4821,25.875,23.7256,40.0314,670.0976,207.3128,256.114,218.7976,50.183,608.4504,103.9932,182.6044,159.1364,100.3203,147.5353,52.1366,0.0,1378.6737,0.0,341.6565,1302.3985,3.1427,0.0
DNK_J61,2.4708,4.3761,1.7355,0.2849,2.3016,16.1613,0.8451,1.8749,2.6268,0.2802,13.9723,60.2943,2.7394,4.0013,0.8982,5.6047,12.9467,3.4081,38.0616,1.2025,0.5281,19.9319,4.3027,44.1187,20.5798,295.4201,35.8476,17.5174,3.2043,51.4008,122.2332,27.6618,46.5035,829.9112,199.5666,135.5391,18.7777,417.2635,272.5537,157.8732,130.5216,151.0535,46.2987,41.8719,0.0,2425.1633,0.0,0.3964,116.0897,2.392,0.0
DNK_J62_63,17.6036,3.6388,5.0394,1.5029,1.7247,54.8552,1.5707,2.7871,7.6395,1.0593,28.4252,202.917,2.2907,4.3234,0.44,6.2003,32.9771,21.7234,82.7747,2.7925,1.4967,31.0134,22.7071,120.1953,60.7638,820.6827,33.0304,122.3845,12.9164,147.0013,132.3823,106.5778,402.6345,216.6958,1344.0472,727.0363,289.4605,953.4552,437.503,784.8903,600.0435,478.6471,127.635,171.0596,0.0,425.2084,0.0,1.9301,2417.5907,6.7724,0.0
DNK_K,871.8516,30.4993,10.8038,2.5901,19.529,157.1877,15.3916,12.663,23.574,1.372,27.0438,103.9542,21.8999,22.7445,12.133,38.6474,64.0412,12.7113,112.0388,7.5529,15.6191,89.1448,100.5362,54.9771,334.5855,721.0677,164.5985,306.923,12.3974,115.0303,25.0116,87.8437,60.5586,51.595,177.8466,5916.922,4383.3955,458.1289,323.0267,398.7978,85.54,146.9911,48.093,75.9553,0.0,9588.9471,0.0068,16.4445,193.5583,6.7819,0.0
DNK_L,19.6706,7.6747,6.64,1.1786,5.3303,182.1505,18.5924,38.3009,93.041,0.3035,41.7475,161.1194,65.4343,29.2122,14.1992,159.1579,116.8917,58.7028,323.3877,4.0485,2.6638,228.7746,7.9261,55.8647,180.6029,4362.8573,159.9664,15.4976,36.4529,263.4069,48.1377,1150.8513,196.0074,138.827,372.8302,859.2496,422.061,1056.1387,431.5226,1200.5055,401.7509,608.6245,231.7519,336.3737,0.0,28191.9869,0.0,265.6822,2456.2656,0.2863,0.0
DNK_M,365.6414,6.9132,20.2029,4.0699,34.0622,422.9777,10.231,16.6983,50.6438,3.867,118.8862,1159.8609,20.1183,25.1097,1.0902,42.3255,74.3942,35.7181,1142.4761,15.9893,3.8105,207.4093,100.6386,792.1559,3811.443,2996.1629,201.9155,113.3985,9.4363,583.7167,124.5524,228.3229,364.9717,229.3532,1214.4999,623.9261,931.7839,3622.7834,1996.057,797.2395,531.7071,582.1802,434.8028,279.3143,0.0,316.9703,93.088,726.3854,4175.3776,8.4919,0.0
DNK_N,89.3862,2.1081,5.9,1.7058,24.3778,199.5181,7.2008,9.6109,28.5401,4.3934,107.6379,871.4064,15.1636,22.8265,1.5079,35.6742,125.8061,19.4618,164.1355,7.2506,3.408,359.4998,47.6876,323.0703,760.8544,2111.7801,283.1404,41.0518,25.6696,609.4255,45.5327,224.7904,339.7024,174.5235,664.7181,352.17,221.7564,1298.2837,1044.4544,458.4192,432.2048,1131.837,332.074,183.1709,0.0,2596.0491,0.0,1391.8015,276.1839,4.6666,0.0
DNK_O,7.4775,2.2424,1.1102,0.3299,1.0775,23.4077,0.6079,1.4892,1.8434,0.3883,13.2241,63.7323,0.6994,2.2072,1.197,3.2796,11.3243,3.1805,97.8118,1.0745,0.7357,7.1511,11.9644,39.376,12.6106,199.3168,67.8419,10.8621,6.201,41.0908,16.4551,27.7422,29.3891,29.4507,122.5369,120.629,32.4788,210.275,206.7176,248.0735,66.1106,528.0789,20.0742,31.912,0.0,152.5637,0.0,20036.5603,730.4956,0.2069,0.0
DNK_P,2.2915,0.2214,0.2211,0.0503,1.0228,4.5695,0.2966,0.3723,0.8692,0.0864,3.4184,103.8963,0.6074,0.8549,0.0279,1.4623,7.8562,1.4303,266.5136,0.4587,0.2258,5.1611,1.1805,4.8681,4.8064,131.3083,14.6348,2.1897,0.187,10.6229,7.2023,9.9645,11.9697,8.7494,36.7055,71.2677,7.1173,291.92,77.3581,129.0995,298.8501,93.6125,14.9664,28.5525,0.0,1609.4355,1728.5199,16631.5487,1866.8661,0.0614,0.0
DNK_Q,0.3758,0.0412,0.0785,0.0186,0.4771,1.26,0.0533,0.0856,0.0816,0.0118,0.6176,419.5991,0.0781,0.1886,0.008,0.1747,0.6427,0.1845,61.0199,0.0736,0.0226,0.9725,0.3341,1.5604,2.4122,25.1149,0.6877,0.881,0.1036,2.089,0.7588,1.5256,6.6556,1.3394,76.1852,4.2874,1.6598,90.8291,4.4109,46.1061,98.0575,438.9979,1.4249,4.3089,0.0,4732.1174,894.1195,36545.8709,441.3219,0.03,0.0
DNK_R,0.3365,1.1622,0.0785,0.0214,0.1313,2.0534,0.0635,0.1178,0.2015,0.0161,0.9073,4.857,0.1059,0.2565,0.0424,0.3024,0.8507,0.2358,16.1164,0.113,0.0454,1.089,0.4091,1.8344,1.7482,38.0418,0.7489,3.7649,0.0998,2.0587,0.7601,9.914,158.3817,1.41,44.8232,5.1988,1.7902,116.0294,49.7285,16.7895,171.6996,296.6309,265.276,11.053,0.0,3802.2862,451.2964,1515.8471,432.525,0.4797,0.0
DNK_S,23.0977,3.2649,1.7555,0.6473,1.9432,44.8645,1.452,3.0379,3.2102,0.3961,11.0704,56.345,5.2366,7.1677,1.7275,7.489,18.8559,5.0138,26.912,1.4692,0.8209,16.6051,7.2247,46.7731,23.9722,147.2766,31.1798,31.7362,2.5413,40.3353,14.5433,72.2548,22.7526,27.2551,104.4501,87.7479,292.0221,186.5992,813.1168,50.6114,16.7001,197.743,20.5078,24.9139,0.0,1960.7022,1538.76,1096.0058,21.8185,0.0329,0.0
DNK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.8891,0.0,0.0,0.0,0.0,0.0
