V1,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T,DEU_HFCE,DEU_NPISH,DEU_GGFC,DEU_GFCF,DEU_INVNT,DEU_DPABR
DEU_A01_02,2903.1542,0.6586,26.9138,25.4761,0.1071,25699.6868,88.2075,2272.5464,109.8996,24.2613,68.4615,24.5216,230.2972,24.2839,36.4642,49.8346,13.9355,15.375,48.9555,125.8402,5.8651,113.027,230.3865,45.3454,191.6487,681.404,69.1204,40.2449,3.1793,48.7033,10.0135,527.3847,10.9776,17.15,13.5322,36.6673,809.6808,63.7912,967.5278,598.8669,62.3749,382.8538,32.1488,86.1261,0.0,23877.2452,5.731,59.3275,1318.5714,710.9503,0.0
DEU_A03,0.0,31.4374,0.0,0.0,0.0,158.3031,0.0,0.0,0.4208,0.0,0.5831,0.1681,0.0,0.0,0.0,0.0,0.0,0.3911,0.5201,0.4437,0.0,2.1709,0.0,0.0,0.5035,2.917,0.0,0.9278,0.0,0.0,0.0,55.5973,0.0,0.0,0.0,0.0,0.0,0.0026,0.0,0.5349,0.0,15.8174,1.2573,0.0051,0.0,116.0069,0.0,0.0,0.0,4.1404,0.0
DEU_B05_06,15.2789,0.1309,134.1006,21.2725,0.2469,122.9224,13.1285,6.7512,58.0548,1545.4344,160.6156,15.7124,25.8675,108.7776,470.9686,38.4423,10.7208,14.8308,89.5092,36.8384,8.1204,16.6067,1624.0747,18.0809,36.4528,141.8456,23.7071,14.3719,5.3536,12.7662,5.1427,26.7775,5.3687,5.8631,4.2202,14.9408,7.8297,23.4526,22.6628,71.9543,17.7319,80.3758,6.2225,11.3966,0.0,1067.5792,0.0026,2.5566,26.246,58.2527,0.0
DEU_B07_08,27.1974,0.5241,0.8328,44.8633,0.527,27.4981,3.2278,10.3438,6.6276,8.7098,31.2866,12.0272,8.8771,331.9268,70.6756,12.2791,10.6898,11.5739,34.4485,32.3955,4.1994,18.0314,29.8677,5.6623,773.0769,17.7694,3.0969,0.6452,0.5844,2.2822,0.5977,8.7132,1.048,2.0743,0.4203,0.6663,2.6493,4.7667,8.9896,58.1859,1.422,16.1505,1.7768,2.7298,0.0,200.0652,0.0395,4.6094,94.3837,34.9915,0.0
DEU_B09,0.3137,0.0188,22.3293,6.2347,0.7864,0.3394,0.0092,0.0178,0.7957,33.9375,4.5737,0.2313,0.3071,5.9293,9.2829,1.2403,0.0099,0.0548,0.4754,0.0368,0.0347,0.1173,6.2298,0.487,23.7327,0.2455,1.4103,0.1267,0.1908,1.3337,0.0235,0.0397,0.015,0.0,0.0011,0.0226,1.7005,1.1825,0.6994,0.5401,0.0544,0.1152,0.0784,0.0621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEU_C10T12,3233.539,0.2577,17.6669,15.1024,0.1576,26554.3049,53.0961,12.6465,48.4901,47.5024,1301.3445,738.5105,44.4114,23.4053,46.913,30.74,29.7169,26.9529,66.3286,54.7278,13.3244,57.4044,27.0372,6.1889,259.3119,143.2319,8.7645,509.6763,135.8824,5.3748,3.1441,13589.7344,34.3564,4.7584,5.3821,11.2513,3.1506,40.5423,34.5872,3904.1967,801.0807,8488.8062,121.2454,282.6408,0.0,117661.8719,0.2518,659.6937,121.9987,2676.0741,0.0
DEU_C13T15,39.5069,23.174,1.7462,1.636,0.1795,53.3317,1303.1313,8.1437,21.102,11.7416,23.1567,45.4651,367.6245,9.9569,13.2507,62.786,54.272,54.6196,142.8185,585.5997,44.6524,339.4653,13.8711,8.8327,239.5801,98.2966,9.7187,4.5385,2.6022,9.5313,23.798,97.2702,13.6088,4.6632,42.158,26.28,5.5882,25.1491,111.5066,67.688,27.2858,173.8006,76.0591,43.4631,0.0,16107.5299,0.0609,171.3225,213.2656,382.4427,0.0
DEU_C16,64.6855,0.695,12.7164,17.9261,0.163,212.2061,30.4817,4027.3342,233.2622,15.5611,220.232,58.5151,75.0701,90.2707,82.8833,274.349,113.26,99.2095,384.8168,380.435,453.932,1936.8645,135.5105,57.1922,4780.7594,251.6165,16.9449,3.2453,2.4502,45.7608,9.8523,88.8276,11.4303,32.7145,9.1954,31.0103,104.3953,135.7181,371.9354,155.748,133.1944,104.8432,52.7554,591.5966,0.0,2754.3391,0.3082,8.9473,3071.5593,254.9888,0.0001
DEU_C17_18,56.8126,5.2076,11.6818,78.5753,0.2723,2722.8492,324.4353,118.5201,9515.5877,44.7889,1086.0364,1259.7915,439.6071,252.8565,94.6641,402.3234,548.3792,558.6005,611.9458,620.7973,75.1212,628.9386,105.9369,87.3407,542.9705,5049.8195,91.4137,13.1747,14.6327,96.0389,302.8824,110.368,3070.0989,343.8857,158.5571,943.7311,85.205,2090.7607,1668.8123,796.354,259.8836,817.1101,133.8447,313.8876,0.0,8265.2604,4.2281,48.7546,412.6008,544.7083,0.0002
DEU_C19,1240.3828,12.3002,36.6385,142.8563,6.1884,301.6055,70.5989,78.5129,117.1311,2782.3323,2332.1321,282.3813,277.95,539.4434,772.3297,164.1424,112.8008,174.4058,286.3343,482.546,73.3391,141.4736,877.4276,472.4258,2416.8653,3151.3761,2305.6677,1319.1216,2579.2231,2493.0882,576.3278,221.7706,115.0028,75.8463,119.4508,101.3714,83.9014,737.2822,659.9752,1065.0761,211.6851,437.0821,160.1028,324.8373,0.0,20936.9839,2.649,42.4756,312.5808,582.2434,0.0006
