V1,MYS_A01_02,MYS_A03,MYS_B05_06,MYS_B07_08,MYS_B09,MYS_C10T12,MYS_C13T15,MYS_C16,MYS_C17_18,MYS_C19,MYS_C20,MYS_C21,MYS_C22,MYS_C23,MYS_C24,MYS_C25,MYS_C26,MYS_C27,MYS_C28,MYS_C29,MYS_C30,MYS_C31T33,MYS_D,MYS_E,MYS_F,MYS_G,MYS_H49,MYS_H50,MYS_H51,MYS_H52,MYS_H53,MYS_I,MYS_J58T60,MYS_J61,MYS_J62_63,MYS_K,MYS_L,MYS_M,MYS_N,MYS_O,MYS_P,MYS_Q,MYS_R,MYS_S,MYS_T,MYS_HFCE,MYS_NPISH,MYS_GGFC,MYS_GFCF,MYS_INVNT,MYS_DPABR
MYS_A01_02,2762.6245,34.9455,0.0,0.0,0.4017,15843.2991,875.9923,1549.1812,1030.1186,0.2774,0.4324,4.5133,1835.2057,4.6905,3.4602,12.0488,57.4645,3.9244,27.7311,10.5616,823.6249,102.5091,0.0,0.0,0.0,1762.3097,0.0,0.0,0.0,0.0,0.0,1078.2365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0869,37.2189,4.4273,0.0,0.0,0.0,9479.1042,0.3676,0.0,1479.1893,0.5872,0.0
MYS_A03,1.2932,34.3422,0.0,0.0,0.0003,805.0843,0.1762,0.0025,0.0039,0.0001,0.0001,0.0841,0.3692,0.0009,0.0007,0.0024,0.0116,0.0008,0.0056,0.0021,0.0002,0.0139,0.0,0.0,0.0,200.6505,0.0,0.0,0.0,0.0,0.0,959.5471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0075,0.0009,0.0,0.0,0.0,2681.9917,0.0767,0.0,0.2976,0.1475,0.0
MYS_B05_06,20.9756,0.4689,3036.6023,4.3995,46.3255,425.6069,0.3702,0.2749,0.3836,17094.3261,1535.7505,0.4867,3.6023,16.6213,1.0482,0.6576,1.0313,1.069,2.6751,4.1514,0.0671,5.9538,1715.8085,0.1268,330.7804,36.6385,2.6117,0.0995,1.043,1.7706,0.2097,0.4265,0.2056,0.1238,0.0977,0.1157,1.6706,0.273,0.285,0.2934,0.0835,0.0973,0.2865,0.0307,0.0,54.9848,0.0,0.0,0.0,-19.8721,0.0
MYS_B07_08,4.6264,0.0,0.3322,0.3768,39.574,0.4363,0.2971,0.0116,5.7094,0.9046,11.6556,0.5929,11.987,772.5142,438.9433,21.1353,7.0848,14.4596,36.9268,25.5838,6.0349,72.0612,24.8346,0.0,1184.8095,4.8236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5609,0.2011,0.0
MYS_B09,14.3042,31.5934,2403.0468,158.3901,682.3869,4.9696,0.1599,0.3829,9.1885,985.9776,80.8606,0.2095,5.2871,109.4348,119.5391,11.2298,0.7384,0.4051,1.141,0.1343,0.1675,0.5406,39.1544,5.7079,238.548,3.2402,8.3043,0.7878,3.1328,7.1215,0.0446,0.6237,0.1076,0.0,0.0057,0.3101,6.052,4.5062,2.3411,4.1517,0.4593,0.3441,0.7209,0.0473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYS_C10T12,2715.3131,499.2059,3.8757,11.3318,3.1846,19159.3432,49.6809,3.1366,6.3687,23.9388,273.5823,7.1503,57.0734,7.6657,8.1701,22.6963,7.1669,4.6946,3.1634,1.5376,0.7424,2.8174,5.861,0.9315,13.0191,3344.8281,8.6936,0.5487,3.4688,6.5111,0.777,5833.7459,0.9049,0.414,0.3265,0.3893,5.6694,1.1847,0.9596,310.3474,78.7703,195.7886,120.7355,0.3004,0.0,21133.1604,1.0036,0.2021,2.1997,-18.52,0.0
MYS_C13T15,2.9735,0.2259,0.3365,0.2003,2.3252,84.4249,720.0481,3.8559,71.1485,0.2361,11.5595,10.4899,37.2043,9.4679,3.6405,4.654,12.1745,5.5055,8.1464,46.7614,3.0445,49.0887,0.1751,1.1081,7.0539,529.2875,3.5178,0.5675,0.4612,3.9401,6.6445,37.793,1.8593,1.8424,5.7052,75.2967,0.6784,3.1712,7.3659,69.6925,4.4397,6.0868,1.905,0.4723,0.0,1968.1894,0.143,0.9588,1.6342,-1.6711,0.0
MYS_C16,35.0651,2.8994,0.8676,0.951,2.1146,31.8536,20.6121,1587.7316,109.3387,1.6025,70.6815,0.2596,28.7596,53.9831,62.9981,95.7374,211.6435,17.4462,25.265,12.7882,35.0596,792.5164,0.0475,0.1375,1941.1131,4.5798,0.0448,0.2366,0.0062,0.0543,0.0297,0.0557,0.0219,0.0552,0.0852,0.2477,0.0442,0.0712,0.1406,6.8171,1.2911,0.3847,0.8967,0.0154,0.0,140.1602,0.0532,0.0,2.4959,-13.3693,0.0
MYS_C17_18,1.2423,0.108,35.4262,4.001,2.8426,126.0062,18.6319,38.8379,1181.1992,0.7776,52.406,3.9223,54.7112,39.4072,36.749,38.5048,165.5845,11.0353,11.2751,13.4462,3.1875,35.9189,0.2546,0.3191,3.5358,708.2019,55.7678,47.5233,2.9076,76.6783,25.2945,144.0533,75.999,92.7635,128.7671,372.6994,26.6995,176.283,123.7915,118.9838,253.568,47.9857,28.4556,7.0239,0.0,2957.56,0.1078,0.0,1290.3184,-306.1438,0.0
MYS_C19,615.3703,371.5716,135.9944,208.7386,88.7755,755.3757,114.8249,180.4177,210.5831,630.0724,4562.6658,10.7643,337.1961,611.9218,693.2864,494.5826,311.8199,66.1881,75.142,60.033,45.3212,184.345,1393.0965,102.3576,2053.444,1795.4244,2067.1846,78.7822,825.501,1403.962,166.32,342.9479,163.6376,97.9866,77.3662,91.5502,1322.7527,217.1574,225.6085,231.4913,66.2175,77.4443,226.7554,24.8822,0.0,5953.4636,0.0026,0.0031,0.0,15.6547,0.0
MYS_C20,1828.0697,12.5374,33.5816,83.2399,43.885,909.3143,166.5018,466.0315,679.4983,805.1739,4647.6129,302.1181,3727.8477,774.2435,1008.1835,376.433,855.5398,271.0556,134.1366,67.0851,41.0296,230.2916,30.8622,116.2482,652.0868,236.1231,48.1323,1.7084,18.0526,175.751,21.99,66.1236,54.3946,2.1643,1.7921,2.3047,55.0421,66.5649,7.4053,40.5597,4.1573,18.5295,5.4908,35.4561,0.0,918.0718,0.1134,0.5782,4.4704,-18.3186,0.0
